要許可台帳一覧表,,,,,
"指令番号 
業種","受付日 
決裁日",有効期間,"営業者住所 
申請者名","営業所所在地 
屋号",許可条件
名保 34 108 魚介類販売業,令和04/06/20 令和04/06/27,令和04/06/27 令和09/07/31,,"奄美市名瀬小宿401-2 
奄美殖産 
090-9078-6926",
,,,川畑 文敏,,
名保 34 106 魚介類販売業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県奄美市名瀬幸町16- 16 
有限会社 海寿水産 
代表取締役 上原 正寿","奄美市名瀬幸町16-16 
上原鮮魚つきあげ店 
0997-52-1780",
名保 34 65 魚介類販売業,令和04/06/27 令和04/06/30,令和04/06/30 令和10/07/31,"鹿児島県奄美市名瀬入舟町18- 21 
株式会社グリーンストア 
代表取締役社長 里 綾子","奄美市名瀬入舟町18-21 
グリーンストア入舟店 
0997-53-7087",
名保 34 28 清涼飲料水製 造業,令和04/04/28 令和04/05/06,令和04/05/06 令和10/07/31,,"奄美市住用町摺勝555-13奄美市農林産物加工センター 
奄美伍郷商店 
0997-69-5077",他の業種と同時に製造しないこと
,,,長瀬 悠,,
名保 34 110 酒類製造業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県奄美市名瀬小俣町11 -21 
西平酒造株式会社 
代表取締役 西平 せれな","奄美市名瀬小俣町11-21 
西平酒造株式会社 
0997-52-0171",
名保 34 62 酒類製造業,令和04/06/23 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県大島郡伊仙町伊仙2288-3  2F
奄美DNA株式会社 
代表取締役 平 泰造","奄美市名瀬港町1-2 松第2ビル1階
AMAMI BREWERY 
0997-58-8100",
名保 34 97 そうざい製造 業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"奄美市名瀬久里町1-10 
あらた弁当 
0997-53-8598",
,,,新 重広,,
名保 34 38 そうざい製造 業,令和04/05/10 令和04/05/16,令和04/05/16 令和10/07/31,,"奄美市名瀬朝戸1489 奄美市農業研究センター 
ココリコカレー 
0997-54-9001",
,,,元井 新司,,
名保 34 46 そうざい製造 業,令和04/05/26 令和04/05/27,令和04/05/27 令和10/07/31,,"大島郡喜界町小野津1528 
きずな 
090-1808-5155",
,,,北村 美喜,,
名保 34 93 そうざい製造 業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,,"大島郡瀬戸内町古仁屋大湊8一 6 
喜納惣菜店 
0997-72-0248",
,,,喜納 良子,,
名保 34 105 水産製品製造 業,令和04/06/20 令和04/06/27,令和04/06/27 令和10/07/31,"鹿児島県奄美市名瀬幸町16- 16 
有限会社 海寿水産 
代表取締役 上原 正寿","奄美市名瀬幸町16-16 
上原鮮魚つきあげ店 
0997-52-1780",
名保 34 45 漬物製造業,令和04/05/24 令和04/05/26,令和04/05/26 令和10/07/31,"鹿児島県奄美市住用町役勝80 
NPO法人すみようヤムラランド 
理事長 満田 英和","奄美市住用町摺勝555-13奄美市農産物加工センター 
三太郎の里 
0997-69-5077",他の業種と同時に製造を行わないこと
徳保 34 50 飲食店営業 (一般食堂·レストラン等),令和04/06/09 令和04/06/14,令和04/06/14 令和10/07/31,,"大島郡天城町平土野36-9 
喫茶56",
,,,廣木 みつ子,,
徳保 34 46 飲食店営業 (旅館),令和04/05/25 令和04/05/30,令和04/05/30 令和10/07/31,,"大島郡徳之島町亀津996 
旅館ちとせ 
0997-82-0054",
,,,吉田 桂子,,
徳保 34 57 飲食店営業 (その他),令和04/06/21 令和04/06/28,令和04/06/28 令和09/07/31,,"大島郡伊仙町伊仙2071-5 
SunHouse",申請のあった食品に限る。
,,,椛山 秀浩,,
徳保 34 41 飲食店営業 (その他),令和04/05/11 令和04/05/16,令和04/05/16 令和09/07/31,,"大島郡伊仙町伊仙3627-1 
ばぁばいりばた市",他業種の製造を同時に行わないこと。
,,,椛山 弘子,,
徳保 34 40 飲食店営業 (その他),令和04/05/11 令和04/05/16,令和04/05/16 令和09/07/31,,"大島郡伊仙町面縄1974-4 
Purma Marca",簡易な調理に限る。
,,,矢野 夢子,,
徳保 34 47 飲食店営業 (その他),令和04/05/25 令和04/05/30,令和04/05/30 令和09/07/31,,"大島郡徳之島町井之川416 
青空カフェ いまここ",
,,,三田 綾乃,,
徳保 34 39 飲食店営業 (その他),令和04/05/09 令和04/05/09,令和04/05/09 令和09/07/31,,"大島郡徳之島町下久志3081-2 
もたいみどり焼菓子店",簡易な調理に限る。 他業種の製造を同時に行わないこと。
,,,福﨑 敬恵,,
徳保 34 38 飲食店営業 (その他),令和04/04/28 令和04/05/02,令和04/05/02 令和10/07/31,,"大島郡徳之島町亀津7267 
ダイニング Rikyu 
0997-83-3227",
,,,玉江 賢久,,
徳保 34 58 飲食店営業 (その他),令和04/06/22 令和04/06/28,令和04/06/28 令和09/07/31,,"大島郡徳之島町母間9540 
魚健 
0997-84-0092",他業種の製造を同時に行わないこと。
,,,板垣 陽治,,
徳保 34 42 菓子製造業,令和04/05/11 令和04/05/16,令和04/05/16 令和09/07/31,,"大島郡伊仙町伊仙3627-1 
ばぁばいりばた市",他業種の製造を同時に行わないこと。
,,,椛山 弘子,,
徳保 34 51 菓子製造業,令和04/06/15 令和04/06/20,令和04/06/20 令和10/07/31,,"大島郡与論町茶花1008 
ヒロ屋ベーカリー 
0997-97-3553",
,,,南 賢司,,
徳保 34 60 食肉処理業,令和04/06/23 令和04/06/28,令和04/06/28 令和10/07/31,,"大島郡徳之島町亀津491-1 
岡山食品 
0997-83-3313",他業種の製造を同時に行わないこと。
,,,岡山 哲志,,
徳保 34 48 食肉販売業,令和04/06/09 令和04/06/14,令和04/06/14 令和09/07/31,,"大島郡伊仙町伊仙2593 
魚勝 
0997-86-3182",
,,,大江 恵太,,
徳保 34 49 魚介類販売業,令和04/06/09 令和04/06/14,令和04/06/14 令和09/07/31,,"大島郡伊仙町伊仙2593 
魚勝 
0997-86-3182",
,,,大江 恵太,,
徳保 34 59 魚介類販売業,令和04/06/22 令和04/06/28,令和04/06/28 令和09/07/31,,"大島郡徳之島町母間9540 
魚健 
0997-84-0092",他業種の製造を 同時に行わない こと。
,,,板垣 陽治,,
徳保 34 45 麺類製造業,令和04/05/20 令和04/05/24,令和04/05/24 令和10/07/31,,"大島郡知名町瀬利覚468-1 
天猿 
0997-85-1440",
,,,宗岡 美吉,,
徳保 34 43 そうざい製造 業,令和04/05/11 令和04/05/16,令和04/05/16 令和09/07/31,,"大島郡伊仙町伊仙3627-1 
ばぁばいりばた市",他業種の製造を同時に行わないこと。
,,,椛山 弘子,,
徳保 34 55 そうざい製造 業,令和04/06/16 令和04/06/20,令和04/06/20 令和10/07/31,"鹿児島県大島郡知名町知名682 
株式会社GonZ 
代表取締役 勘里 洋介","大島郡和泊町和泊954-1和泊町農産物加工センター 
せりよさ (和泊町農産物加工セ ンター)",
徳保 34 44 漬物製造業,令和04/05/11 令和04/05/16,令和04/05/16 令和09/07/31,,"大島郡伊仙町伊仙3627-1 
ばぁばいりばた市",他業種の製造を同時に行わないこと。
,,,椛山 弘子,,
徳保 34 52 漬物製造業,令和04/06/16 令和04/06/20,令和04/06/20 令和09/07/31,,"大島郡与論町茶花2297-1 
居酒屋 ひょうきん 
0997-97-3557",飲食店の営業時間外に製造すること
,,,田畑 克夫,,
