https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名,施設の住所,,,,施設の電話番号※,業種,営業者氏名,代表職,代表者氏名,営業者の電話番号※,初回の許可年月日,最新の許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
トライブ,豊橋市新本町６７番地２  フルタビル１階,愛知県,豊橋市新本町６７番地２,フルタビル１階,,飲食店営業(一般食堂・レストラン等),有限会社　トライブ,取締役,小林　慎典,03-5960-4745,2021/5/31,2021/5/31,豊橋市指令3豊保生第711－52号,,246,トライブ,0532,,,,,愛知県　豊橋市新本町６７番地２,愛知県豊橋市新本町６７番地２,フルタビル１階,117767,23,23201,新本町,,2021/05/31,2021/05/31,,,有限会社　トライブ,小林　慎典,03-5960-4745,,,,,,,,豊橋市指令3豊保生第711－52号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,トライブ11776723201,948c1b49-d131-4297-8c78-ab2404271e53,有限会社トライブ,3fb65a43-f204-46c1-8640-3771d109d2a0,47d0b20b-7b92-469e-9128-26ecef8f4ee1,2021/05/31,トライブ,トライブ,有限会社トライブ
とん汁食堂　竜翔／唐揚げのスズヒロ,豊橋市高師本郷町字宮前６１番地２,愛知県,豊橋市高師本郷町字宮前６１番地２,,,飲食店営業(一般食堂・レストラン等),株式会社　竜笑,代表取締役,鈴木　竜司,37-2231,2021/12/6,2021/12/6,豊橋市指令3豊保生第111－366号,,246,とん汁食堂　竜翔／唐揚げのスズヒロ,0532,,,,,愛知県　豊橋市高師本郷町字宮前６１番地２,愛知県豊橋市高師本郷町字宮前６１番地２,,117778,23,23201,高師本郷町,,2021/12/06,2021/12/06,,,株式会社　竜笑,鈴木　竜司,0532-37-2231,,,,,,,,豊橋市指令3豊保生第111－366号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,とん汁食堂竜翔唐揚げのスズヒロ11777823201,195a502b-334c-4097-96bb-921c1d362c57,株式会社竜笑,fca3da28-e43b-4dda-af01-cf647acfaa33,181e65c0-597f-4595-8bb5-21ef9fe7eb3b,2021/12/06,とん汁食堂　竜翔／唐揚げのスズヒロ,とん汁食堂竜翔唐揚げのスズヒロ,株式会社竜笑
とん汁食堂　竜翔／唐揚げのスズヒロ,豊橋市高師本郷町字宮前６１番地２,愛知県,豊橋市高師本郷町字宮前６１番地２,,,そうざい製造業,株式会社　竜笑,代表取締役,鈴木　竜司,37-2231,2021/12/6,2021/12/6,豊橋市指令3豊保生第135－19号,,246,とん汁食堂　竜翔／唐揚げのスズヒロ,0532,,,,,愛知県　豊橋市高師本郷町字宮前６１番地２,愛知県豊橋市高師本郷町字宮前６１番地２,,117778,23,23201,高師本郷町,,2021/12/06,2021/12/06,,,株式会社　竜笑,鈴木　竜司,0532-37-2231,,,,,,,,豊橋市指令3豊保生第135－19号,,そうざい製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,とん汁食堂竜翔唐揚げのスズヒロ11777823201,195a502b-334c-4097-96bb-921c1d362c57,株式会社竜笑,fca3da28-e43b-4dda-af01-cf647acfaa33,cead154a-b914-4bb2-8502-1260868022a9,2021/12/06,とん汁食堂　竜翔／唐揚げのスズヒロ,とん汁食堂竜翔唐揚げのスズヒロ,株式会社竜笑
はなまるうどん　イオン豊橋南店　,豊橋市野依町字落合１番地１２  イオン豊橋南　２階　フードコート,愛知県,豊橋市野依町字落合１番地１２ ,イオン豊橋南 ２階 フードコート,43-6870,飲食店営業(一般食堂・レストラン等),株式会社　はなまる,代表取締役,門脇　純孝,03-5651-8701,2018/4/25,2018/4/25,豊橋市指令29豊保生第101－344号,,246,はなまるうどん　イオン豊橋南店　,0532,0532-43-6870,,,,愛知県　豊橋市野依町字落合１番地１２ ,愛知県豊橋市野依町字落合１番地１２,イオン豊橋南 ２階 フードコート,117834,23,23201,野依町,,2018/04/25,2018/04/25,,,株式会社　はなまる,門脇　純孝,03-5651-8701,,,,,,,,豊橋市指令29豊保生第101－344号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,はなまるうどんイオン豊橋南店0532-43-687011783423201,c176fd93-3588-4306-a745-86aecc5d0210,株式会社はなまる,4232883d-ce50-414f-914c-773b631932d2,a747efc4-4eee-48da-a395-59e3574d1a47,2018/04/25,はなまるうどん　イオン豊橋南店　,はなまるうどんイオン豊橋南店,株式会社はなまる
はま寿司　豊橋曙店,豊橋市曙町字測点２１番地１,愛知県,豊橋市曙町字測点２１番地１,,38-5885,飲食店営業(すし),株式会社　はま寿司,代表取締役,遠藤　哲郎,03-6833-8032,2021/12/8,2021/12/8,豊橋市指令3豊保生第111－358号,,246,はま寿司　豊橋曙店,0532,0532-38-5885,,,,愛知県　豊橋市曙町字測点２１番地１,愛知県豊橋市曙町字測点２１番地１,,117652,23,23201,曙町,,2021/12/08,2021/12/08,,,株式会社　はま寿司,遠藤　哲郎,03-6833-8032,,,,,,,,豊橋市指令3豊保生第111－358号,,飲食店営業,すし,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,はま寿司豊橋曙店0532-38-588511765223201,80426869-0d27-4d21-922a-d801d827844c,株式会社はま寿司,a1fb2d94-4db8-40bc-8e9a-150420be2c8c,3f3bbe9d-e7ca-4f31-93cc-1ceeda0055ad,2021/12/08,はま寿司　豊橋曙店,はま寿司豊橋曙店,株式会社はま寿司
ピッツェリア　ネアポリス,豊橋市向山町字中畑１３番地１  マイルストーン１階,愛知県,豊橋市向山町字中畑１３番地１,マイルストーン１階,,飲食店営業(一般食堂・レストラン等),綿引　裕三郎,,,,2021/6/11,2021/6/11,豊橋市指令3豊保生第111－16号,,246,ピッツェリア　ネアポリス,0532,,,,,愛知県　豊橋市向山町字中畑１３番地１,愛知県豊橋市向山町字中畑１３番地１,マイルストーン１階,117936,23,23201,向山町,,2021/06/11,2021/06/11,,,,綿引　裕三郎 ,,,,,,,,,豊橋市指令3豊保生第111－16号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ピッツェリアネアポリス11793623201,bdbb0ef8-3a11-4797-8ad0-f55f88d13e59,,personal,70ebd30f-d596-461b-a59d-b7a5420a26e2,2021/06/11,ピッツェリア　ネアポリス,ピッツェリアネアポリス,
プライベートサロン　リビー,豊橋市三本木町字元三本木４８番地２,愛知県,豊橋市三本木町字元三本木４８番地２,,38-5877,飲食店営業(一般食堂・レストラン等),伊藤　なつ子,,,,2021/5/21,2021/5/21,豊橋市指令3豊保生第711－39号,,246,プライベートサロン　リビー,0532,0532-38-5877,,,,愛知県　豊橋市三本木町字元三本木４８番地２,愛知県豊橋市三本木町字元三本木４８番地２,,117751,23,23201,三本木町,,2021/05/21,2021/05/21,,,,伊藤　なつ子 ,,,,,,,,,豊橋市指令3豊保生第711－39号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,プライベトサロンリビ0532-38-587711775123201,00246_65d94480-9fa0-41ab-92d5-154d141834cc,,personal,0c74c80f-886f-48c3-b387-c537fb86a22d,2021/05/21,プライベートサロン　リビー,プライベトサロンリビ,
ヘルスケア王ケ崎町,豊橋市王ケ崎町字上原１番地１４５,愛知県,豊橋市王ケ崎町字上原１番地１４５,,26-8015,飲食店営業(集団給食施設),株式会社グリーンヘルスケアサービス,代表取締役,黒川　知輝,03-3379-1211,2020/6/1,2020/6/1,豊橋市指令2豊保生第101－42号,,246,ヘルスケア王ケ崎町,0532,0532-26-8015,,,,愛知県　豊橋市王ケ崎町字上原１番地１４５,愛知県豊橋市王が崎町字上原１番地１４５,,117708,23,23201,王が崎町,,2020/06/01,2020/06/01,,,株式会社グリーンヘルスケアサービス,黒川　知輝,03-3379-1211,,,,,,,,豊橋市指令2豊保生第101－42号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ヘルスケア王ケ崎町0532-26-801511770823201,4657d457-21c2-4232-a569-011c492cbb41,株式会社グリーンヘルスケアサービス,fc212a04-713d-4177-bbcb-9e63985d2fd5,ab269a1d-8513-4878-b680-235da7cbf614,2020/06/01,ヘルスケア王ケ崎町,ヘルスケア王ケ崎町,株式会社グリーンヘルスケアサービス
ヘルスケア青竹町,豊橋市青竹町字青竹９６番地,愛知県,豊橋市青竹町字青竹９６番地,,43-6803,飲食店営業(集団給食施設),株式会社グリーンヘルスケアサービス,代表取締役,黒川　知輝,03-3379-1211,2020/6/1,2020/6/1,豊橋市指令2豊保生第101－39号,,246,ヘルスケア青竹町,0532,0532-43-6803,,,,愛知県　豊橋市青竹町字青竹９６番地,愛知県豊橋市青竹町字青竹９６番地,,117650,23,23201,青竹町,,2020/06/01,2020/06/01,,,株式会社グリーンヘルスケアサービス,黒川　知輝,03-3379-1211,,,,,,,,豊橋市指令2豊保生第101－39号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ヘルスケア青竹町0532-43-680311765023201,52774938-ed63-42a3-96b8-3bcf6c5fed37,株式会社グリーンヘルスケアサービス,fc212a04-713d-4177-bbcb-9e63985d2fd5,b6fa8460-76e4-4ff2-9ed0-fed43d4f329f,2020/06/01,ヘルスケア青竹町,ヘルスケア青竹町,株式会社グリーンヘルスケアサービス
ベルマートキヨスク豊橋,豊橋市花田町字西宿無番地  ＪＲ豊橋駅構内,愛知県,豊橋市花田町字西宿無番地, ＪＲ豊橋駅構内,57-6707,飲食店営業(仕出し屋・弁当屋),東海キヨスク株式会社,代表取締役,加藤　公一,052-562-6022,2018/7/3,2018/7/3,豊橋市指令30豊保生第101－93号,,246,ベルマートキヨスク豊橋,0532,0532-57-6707,,,,愛知県　豊橋市花田町字西宿無番地,愛知県豊橋市花田町字西宿無番地, ＪＲ豊橋駅構内,117856,23,23201,花田町,,2018/07/03,2018/07/03,,,東海キヨスク株式会社,加藤　公一,052-562-6022,,,,,,,,豊橋市指令30豊保生第101－93号,,飲食店営業,仕出し屋・弁当屋,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ベルマトキヨスク豊橋0532-57-670711785623201,adb57678-7f35-45c1-b289-739bdca7d3c2,東海キヨスク株式会社,f284255b-9d92-4674-94b0-711b5ac02cea,1edf4842-01bb-463e-9bf5-79becfda5350,2018/07/03,ベルマートキヨスク豊橋,ベルマトキヨスク豊橋,東海キヨスク株式会社
ベルマートキヨスク豊橋,豊橋市花田町字西宿無番地  ＪＲ豊橋駅構内,愛知県,豊橋市花田町字西宿無番地, ＪＲ豊橋駅構内,57-6707,喫茶店営業(一般),東海キヨスク株式会社,代表取締役,加藤　公一,052-562-6022,2015/8/6,2015/8/6,豊橋市指令27豊保生第103－5号,,246,ベルマートキヨスク豊橋,0532,0532-57-6707,,,,愛知県　豊橋市花田町字西宿無番地,愛知県豊橋市花田町字西宿無番地, ＪＲ豊橋駅構内,117856,23,23201,花田町,,2015/08/06,2015/08/06,,,東海キヨスク株式会社,加藤　公一,052-562-6022,,,,,,,,豊橋市指令27豊保生第103－5号,,喫茶店営業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ベルマトキヨスク豊橋0532-57-670711785623201,adb57678-7f35-45c1-b289-739bdca7d3c2,東海キヨスク株式会社,f284255b-9d92-4674-94b0-711b5ac02cea,cfaffca7-1062-4c7b-88b4-92934ddd5b96,2015/08/06,ベルマートキヨスク豊橋,ベルマトキヨスク豊橋,東海キヨスク株式会社
マルカイ,豊橋市松葉町一丁目８番地１,愛知県,豊橋市松葉町１丁目８番地１,,,飲食店営業(一般食堂・レストラン等),株式会社　ＯＳＢ,代表取締役,中野　匡也,39-3988,2016/11/25,2016/11/25,豊橋市指令28豊保生第101－196号,,246,マルカイ,0532,,,,,愛知県　豊橋市松葉町１丁目８番地１,愛知県豊橋市松葉町１丁目８番地１,,117909,23,23201,松葉町１,,2016/11/25,2016/11/25,,,株式会社　ＯＳＢ,中野　匡也,0532-39-3988,,,,,,,,豊橋市指令28豊保生第101－196号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,マルカイ11790923201,db2ac990-f4c0-4da6-8a60-65e3e6f1e3a1,株式会社ＯＳＢ,078e0afc-e579-4ccd-b43f-d936e6bd13e6,d1e3eae5-f404-4464-ac20-556dec24376e,2016/11/25,マルカイ,マルカイ,株式会社ＯＳＢ
みじょか,豊橋市佐藤二丁目２番地２,愛知県,豊橋市佐藤２丁目２番地２,,,飲食店営業(一般食堂・レストラン等),鈴木　啓悟,,,,2021/5/17,2021/5/17,豊橋市指令3豊保生第711－31号,,246,みじょか,0532,,,,,愛知県　豊橋市佐藤２丁目２番地２,愛知県豊橋市佐藤２丁目２番地２,,118019,23,23201,佐藤２,,2021/05/17,2021/05/17,,,,鈴木　啓悟 ,,,,,,,,,豊橋市指令3豊保生第711－31号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,みじょか11801923201,83340352-1965-4ea4-b114-a43dce9d1b45,,personal,2c30b202-ad57-463a-bc8a-043b74215ddb,2021/05/17,みじょか,みじょか,
みじょか,豊橋市佐藤二丁目２番地２,愛知県,豊橋市佐藤２丁目２番地２,,,菓子製造業(一般),鈴木　啓悟,,,,2021/5/17,2021/5/17,豊橋市指令3豊保生第713－6号,,246,みじょか,0532,,,,,愛知県　豊橋市佐藤２丁目２番地２,愛知県豊橋市佐藤２丁目２番地２,,118019,23,23201,佐藤２,,2021/05/17,2021/05/17,,,,鈴木　啓悟 ,,,,,,,,,豊橋市指令3豊保生第713－6号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,みじょか11801923201,83340352-1965-4ea4-b114-a43dce9d1b45,,personal,7866afbf-6dca-4eb9-82db-d15b6158205a,2021/05/17,みじょか,みじょか,
むぎとろ・日本料理　黒やなぎ,豊橋市松葉町一丁目７番地,愛知県,豊橋市松葉町１丁目７番地,,53-3343,そうざい製造業,有限会社　むぎとろ,代表取締役,黒柳　悦也,54-0370,2018/9/4,2018/9/4,豊橋市指令30豊保生第157－1号,,246,むぎとろ・日本料理　黒やなぎ,0532,0532-53-3343,,,,愛知県　豊橋市松葉町１丁目７番地,愛知県豊橋市松葉町１丁目７番地,,117909,23,23201,松葉町１,,2018/09/04,2018/09/04,,,有限会社　むぎとろ,黒柳　悦也,0532-54-0370,,,,,,,,豊橋市指令30豊保生第157－1号,,そうざい製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,むぎとろ日本料理黒やなぎ0532-53-334311790923201,ff969d7a-ff9a-4565-9e84-323ed1fd511f,有限会社むぎとろ,b66f920e-2b9b-4c24-b711-3538ce5879eb,510d7cdf-09a0-4db2-a38c-d31ba5e5885d,2018/09/04,むぎとろ・日本料理　黒やなぎ,むぎとろ日本料理黒やなぎ,有限会社むぎとろ
むぎとろ・日本料理　黒やなぎ,豊橋市松葉町一丁目７番地,愛知県,豊橋市松葉町１丁目７番地,,53-3343,飲食店営業(その他),有限会社　むぎとろ,代表取締役,黒柳　悦也,,1992/10/7,2019/10/1,豊橋市指令1豊保生第102－84号,,246,むぎとろ・日本料理　黒やなぎ,0532,0532-53-3343,,,,愛知県　豊橋市松葉町１丁目７番地,愛知県豊橋市松葉町１丁目７番地,,117909,23,23201,松葉町１,,1992/10/07,2019/10/01,,,有限会社　むぎとろ,黒柳　悦也,,,,,,,,,豊橋市指令1豊保生第102－84号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,むぎとろ日本料理黒やなぎ0532-53-334311790923201,ff969d7a-ff9a-4565-9e84-323ed1fd511f,有限会社むぎとろ,b66f920e-2b9b-4c24-b711-3538ce5879eb,00b5517e-898c-4a4a-b2c3-f03e5ab8bcc4,2019/10/01,むぎとろ・日本料理　黒やなぎ,むぎとろ日本料理黒やなぎ,有限会社むぎとろ
ヤギさん食堂,豊橋市中野町字上新切１番地１  豊橋南郵便局内３階,愛知県,豊橋市中野町字上新切１番地１,豊橋南郵便局内３階,22-8818,飲食店営業(一般食堂・レストラン等),ＩＤルーブル株式会社,代表取締役,友富　旭美,052-806-0361,2020/11/24,2020/11/24,豊橋市指令2豊保生第101－224号,,246,ヤギさん食堂,0532,0532-22-8818,,,,愛知県　豊橋市中野町字上新切１番地１,愛知県豊橋市中野町字上新切１番地１,豊橋南郵便局内３階,117805,23,23201,中野町,,2020/11/24,2020/11/24,,,ＩＤルーブル株式会社,友富　旭美,052-806-0361,,,,,,,,豊橋市指令2豊保生第101－224号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ヤギさん食堂0532-22-881811780523201,c0d4dc66-07ad-4551-a303-f7ca51827000,ＩＤルーブル株式会社,bcac82e5-bb5b-4ae3-a81f-b013daf4089c,78bc7026-5680-4719-8cf9-8266011c6a7c,2020/11/24,ヤギさん食堂,ヤギさん食堂,ＩＤルーブル株式会社
ラクラス豊橋西幸,豊橋市高師町字小野２番地１３,愛知県,豊橋市高師町字小野２番地１３,,29-8165,飲食店営業(集団給食施設),株式会社　ティー・エフ・ピー,代表取締役,杉野　政人,0561-67-0877,2016/3/1,2016/3/1,豊橋市指令27豊保生第101－290号,,246,ラクラス豊橋西幸,0532,0532-29-8165,,,,愛知県　豊橋市高師町字小野２番地１３,愛知県豊橋市高師町字小野２番地１３,,117777,23,23201,高師町,,2016/03/01,2016/03/01,,,株式会社　ティー・エフ・ピー,杉野　政人,0561-67-0877,,,,,,,,豊橋市指令27豊保生第101－290号,,飲食店営業,集団給食施設,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ラクラス豊橋西幸0532-29-816511777723201,31b49188-54d6-413a-a44e-7b6c9b8fe907,株式会社ティー・エフ・ピー,6607185e-4028-4993-857d-9c205eb3d9aa,e91275ce-65a4-44df-9e47-0c7f2355b9dc,2016/03/01,ラクラス豊橋西幸,ラクラス豊橋西幸,株式会社ティー・エフ・ピー
ローソン豊橋神野新田店,豊橋市神野新田町字ワノ割４８番地１,愛知県,豊橋市神野新田町字ワノ割４８番地１,,33-5565,飲食店営業(仕出し屋・弁当屋),原田　未季,,,,2021/6/30,2021/6/30,豊橋市指令3豊保生第111－42号,,246,ローソン豊橋神野新田店,0532,0532-33-5565,,,,愛知県　豊橋市神野新田町字ワノ割４８番地１,愛知県豊橋市神野新田町字ワノ割４８番地１,,117770,23,23201,神野新田町,,2021/06/30,2021/06/30,,,,原田　未季 ,,,,,,,,,豊橋市指令3豊保生第111－42号,,飲食店営業,仕出し屋・弁当屋,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ロソン豊橋神野新田店0532-33-556511777023201,00246_06eeed21-d86f-41b1-a461-84b0e33bb87b,,personal,56f06ae2-1cb8-42dc-83c7-26fb42f42273,2021/06/30,ローソン豊橋神野新田店,ロソン豊橋神野新田店,
ワークショップ杜,豊橋市老津町字中原２１番地の１,愛知県,豊橋市老津町字中原２１番地の１,,23-4020,菓子製造業(一般),社会福祉法人　双樹会,理事,柴田　肇,23-5181,2015/7/2,2015/7/2,豊橋市指令27豊保生第105－19号,,246,ワークショップ杜,0532,0532-23-4020,,,,愛知県　豊橋市老津町字中原２１番地の１,愛知県豊橋市老津町字中原２１番地ノ１,,117694,23,23201,老津町,,2015/07/02,2015/07/02,,,社会福祉法人　双樹会,柴田　肇,0532-23-5181,,,,,,,,豊橋市指令27豊保生第105－19号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,ワクショップ杜0532-23-402011769423201,cac1c4bb-13c5-4551-85fd-5b08e62b1739,社会福祉法人双樹会,593d00e1-090c-49ef-8822-17aa037179c7,b55a5412-c7a1-4c11-825a-b7047650d631,2015/07/02,ワークショップ杜,ワクショップ杜,社会福祉法人双樹会
野屋,豊橋市岩田町字道合８８番地６,愛知県,豊橋市岩田町字道合８８番地６,,61-4273,飲食店営業(仕出し屋・弁当屋),山本　よしの,,,,2021/12/1,2021/12/1,豊橋市指令3豊保生第111－194号,,246,野屋,0532,0532-61-4273,,,,愛知県　豊橋市岩田町字道合８８番地６,愛知県豊橋市岩田町字道合８８番地６,,117679,23,23201,岩田町,,2021/12/01,2021/12/01,,,,山本　よしの ,,,,,,,,,豊橋市指令3豊保生第111－194号,,飲食店営業,仕出し屋・弁当屋,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,野屋0532-61-427311767923201,9c3c5d8a-d69f-4181-97b4-f3e9b34ee91e,,personal,ad43c1eb-253b-4ccd-9ed1-44e1566487f6,2021/12/01,野屋,野屋,
野屋,豊橋市岩田町字道合８８番地６,愛知県,豊橋市岩田町字道合８８番地６,,61-4273,漬物製造業,山本　よしの,,,,2021/12/1,2021/12/1,豊橋市指令3豊保生第139－1号,,246,野屋,0532,0532-61-4273,,,,愛知県　豊橋市岩田町字道合８８番地６,愛知県豊橋市岩田町字道合８８番地６,,117679,23,23201,岩田町,,2021/12/01,2021/12/01,,,,山本　よしの ,,,,,,,,,豊橋市指令3豊保生第139－1号,,漬物製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,野屋0532-61-427311767923201,9c3c5d8a-d69f-4181-97b4-f3e9b34ee91e,,personal,a7076503-921c-409d-be1a-98a81f01b699,2021/12/01,野屋,野屋,
野家　豊橋平川店,豊橋市平川町３４番地,愛知県,豊橋市平川町３４番地,,69-1088,飲食店営業(一般食堂・レストラン等),株式会社　中日本野家,代表取締役,神領　幸春,03-5651-8601,2012/8/3,2018/12/1,豊橋市指令30豊保生第102－149号,,246,野家　豊橋平川店,0532,0532-69-1088,,,,愛知県　豊橋市平川町３４番地,愛知県豊橋市平川町３４番地,,117880,23,23201,平川町,,2012/08/03,2018/12/01,,,株式会社　中日本野家,神領　幸春,03-5651-8601,,,,,,,,豊橋市指令30豊保生第102－149号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,野家豊橋平川店0532-69-108811788023201,a9efd6cf-837f-4e86-b5e8-bc9b241a7762,株式会社中日本野家,7c6affc0-048d-4746-b6ad-7cf5407a113c,7623b98f-64c8-4f10-9223-861ead0013be,2018/12/01,野家　豊橋平川店,野家豊橋平川店,株式会社中日本野家
野家２３号線花田町店,豊橋市花田町字荒木２４番地の１,愛知県,豊橋市花田町字荒木２４番地の１,,34-1356,飲食店営業(一般食堂・レストラン等),株式会社　中日本野家,代表取締役,神領　幸春,03-5651-8601,2013/1/8,2019/2/1,豊橋市指令30豊保生第102－244号,,246,野家２３号線花田町店,0532,0532-34-1356,,,,愛知県　豊橋市花田町字荒木２４番地の１,愛知県豊橋市花田町字荒木２４番地ノ１,,117856,23,23201,花田町,,2013/01/08,2019/02/01,,,株式会社　中日本野家,神領　幸春,03-5651-8601,,,,,,,,豊橋市指令30豊保生第102－244号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,野家２３号線花田町店0532-34-135611785623201,2bf0753a-d22c-4b6e-b466-a670e14efbca,株式会社中日本野家,7c6affc0-048d-4746-b6ad-7cf5407a113c,e95208c5-6766-49cb-b268-014d9fe194dc,2019/02/01,野家２３号線花田町店,野家２３号線花田町店,株式会社中日本野家
野家２５９号線南栄店,豊橋市南栄町字蟹原２１番地２２,愛知県,豊橋市南栄町字蟹原２１番地２２,,,飲食店営業(一般食堂・レストラン等),株式会社　中日本野家,代表取締役,神領　幸春,03-5651-8601,2012/6/18,2019/4/1,豊橋市指令30豊保生第102－307号,,246,野家２５９号線南栄店,0532,,,,,愛知県　豊橋市南栄町字蟹原２１番地２２,愛知県豊橋市南栄町字蟹原２１番地２２,,117923,23,23201,南栄町,,2012/06/18,2019/04/01,,,株式会社　中日本野家,神領　幸春,03-5651-8601,,,,,,,,豊橋市指令30豊保生第102－307号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,野家２５９号線南栄店11792323201,d5090cb9-aeb8-473f-a390-a0df34e170b3,株式会社中日本野家,7c6affc0-048d-4746-b6ad-7cf5407a113c,54da92a8-9718-41ad-bc6b-4b26c87662b5,2019/04/01,野家２５９号線南栄店,野家２５９号線南栄店,株式会社中日本野家
,豊橋市大岩町字西郷内４１番地,愛知県,豊橋市大岩町字西郷内４１番地,,41-0147,飲食店営業(仕出し屋・弁当屋),安形　秀敏,,,,2021/8/1,2021/8/1,豊橋市指令3豊保生第111－92号,,246,,0532,0532-41-0147,,,,愛知県　豊橋市大岩町字西郷内４１番地,愛知県豊橋市大岩町字西郷内４１番地,,117698,23,23201,大岩町,,2021/08/01,2021/08/01,,,,安形　秀敏 ,,,,,,,,,豊橋市指令3豊保生第111－92号,,飲食店営業,仕出し屋・弁当屋,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,0532-41-014711769823201,26641081-1aa1-453e-9266-79c9843bc363,,personal,bf92a76d-afad-4a1b-bcc3-a703d41dff21,2021/08/01,,,
