https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,施設名,施設-住所1,施設-マンション名,申請者1,申請者2,申請者3,申請-住所1,申請-マンション名,施設-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,代表者肩書き,代表者氏名,営業者住所,営業者住所ビル名,施設電話番号,有効期間始期,有効期間終期,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3令豊保衛第153-11号,食肉販売業,株式会社　フォックスマート,豊田市保見ケ丘五丁目１番地,,株式会社　フォックスマート,代表取締役,小野　常夫,愛知県豊田市保見ケ丘五丁目１番地,,43-3015,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,株式会社　フォックスマート,0565,0565-43-3015,,,,豊田市保見ケ丘五丁目１番地,愛知県豊田市保見が丘５丁目１番地,,124430,23,23211,保見が丘５,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　フォックスマート,代表取締役 小野　常夫,,愛知県豊田市保見ケ丘五丁目１番地,愛知県豊田市保見が丘５丁目１番地,,124430,愛知県,豊田市,保見が丘５,3令豊保衛第153-11号,,食肉販売業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,I,58,583,,株式会社フォックスマト0565-43-301512443023211,868f8c42-cb0c-4458-a570-4b5d489ba834,株式会社フォックスマート124430,b6804d60-f07a-4026-970e-05597c9d96fc,4b361f77-a38f-439e-af12-5576a9c085fa,2021/12/02,株式会社フォックスマート,株式会社フォックスマト,株式会社フォックスマート
3令豊保衛第154-9号,魚介類販売業,株式会社　フォックスマート,豊田市保見ケ丘五丁目１番地,,株式会社　フォックスマート,代表取締役,小野　常夫,愛知県豊田市保見ケ丘五丁目１番地,,43-3015,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,株式会社　フォックスマート,0565,0565-43-3015,,,,豊田市保見ケ丘五丁目１番地,愛知県豊田市保見が丘５丁目１番地,,124430,23,23211,保見が丘５,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　フォックスマート,代表取締役 小野　常夫,,愛知県豊田市保見ケ丘五丁目１番地,愛知県豊田市保見が丘５丁目１番地,,124430,愛知県,豊田市,保見が丘５,3令豊保衛第154-9号,,魚介類販売業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,I,58,,,株式会社フォックスマト0565-43-301512443023211,868f8c42-cb0c-4458-a570-4b5d489ba834,株式会社フォックスマート124430,b6804d60-f07a-4026-970e-05597c9d96fc,34d20229-3ef2-4bb2-a581-f352c6b9803b,2021/12/02,株式会社フォックスマート,株式会社フォックスマト,株式会社フォックスマート
3令豊保衛第161-20号,菓子製造業,株式会社　フォックスマート,豊田市保見ケ丘五丁目１番地,,株式会社　フォックスマート,代表取締役,小野　常夫,愛知県豊田市保見ケ丘五丁目１番地,,43-3015,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,株式会社　フォックスマート,0565,0565-43-3015,,,,豊田市保見ケ丘五丁目１番地,愛知県豊田市保見が丘５丁目１番地,,124430,23,23211,保見が丘５,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　フォックスマート,代表取締役 小野　常夫,,愛知県豊田市保見ケ丘五丁目１番地,愛知県豊田市保見が丘５丁目１番地,,124430,愛知県,豊田市,保見が丘５,3令豊保衛第161-20号,,菓子製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,株式会社フォックスマト0565-43-301512443023211,868f8c42-cb0c-4458-a570-4b5d489ba834,株式会社フォックスマート124430,b6804d60-f07a-4026-970e-05597c9d96fc,d50f0459-915c-48b0-b2dc-f53b145fd9aa,2021/12/02,株式会社フォックスマート,株式会社フォックスマト,株式会社フォックスマート
3令豊保衛第109-3号,食肉処理業,プライムデリカ株式会社　豊田第一工場,豊田市花本町井前１番地２３,,プライムデリカ株式会社,代表取締役,齊藤　正義,神奈川県相模原市南区麻溝台一丁目７番１号,,44-0005,2021/12/2,2026/12/31,2021/12/2,2021/12/2,,248,プライムデリカ株式会社　豊田第一工場,0565,0565-44-0005,,,,豊田市花本町井前１番地２３,愛知県豊田市花本町井前１番地２３,,123980,23,23211,花本町,,2021/12/02,2021/12/02,2021/12/02,2026/12/31,プライムデリカ株式会社,代表取締役 齊藤　正義,,神奈川県相模原市南区麻溝台一丁目７番１号,神奈川県相模原市南区麻溝台１丁目７番１号,,80829,神奈川県,相模原市南区,麻溝台１,3令豊保衛第109-3号,,食肉販売業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,I,58,583,,プライムデリカ株式会社豊田第一工場0565-44-000512398023211,635a81aa-4851-45d9-ad90-d85c82287756,プライムデリカ株式会社80829,c100e4a9-fdb8-432a-ba09-8168ab5f45ea,77ab400c-9346-491a-b721-ac7d8d61bfc1,2021/12/02,プライムデリカ株式会社豊田第一工場,プライムデリカ株式会社豊田第一工場,プライムデリカ株式会社
3令豊保衛第151-32号,飲食店営業,天下茶屋,豊田市松平町赤原３４－５,,中根　公子,,,,,58-3725,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,天下茶屋,0565,0565-58-3725,,,,豊田市松平町赤原３４－５,愛知県豊田市松平町赤原３４－５,,124230,23,23211,松平町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,中根　公子  ,,,,,,,,,3令豊保衛第151-32号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,天下茶屋0565-58-372512423023211,b8353adf-7825-4d51-95ae-75885387bd92,,personal,082b7206-0a67-4874-8898-dafd66e5a0f2,2021/12/02,天下茶屋,天下茶屋,
3令豊保衛第161-18号,菓子製造業,天下茶屋,豊田市松平町赤原３４－５,,中根　公子,,,,,58-3725,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,天下茶屋,0565,0565-58-3725,,,,豊田市松平町赤原３４－５,愛知県豊田市松平町赤原３４－５,,124230,23,23211,松平町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,中根　公子  ,,,,,,,,,3令豊保衛第161-18号,,菓子製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,天下茶屋0565-58-372512423023211,b8353adf-7825-4d51-95ae-75885387bd92,,personal,47cbc4f2-7953-48f6-8c7d-ed8b1600a8cb,2021/12/02,天下茶屋,天下茶屋,
3令豊保衛第101-430号,飲食店営業,あみやき亭　豊田寿店,豊田市寿町３－３,,株式会社　あみやき亭,代表取締役,佐藤　啓介,愛知県春日井市如意申町五丁目１２番地の８,,25-2911,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,あみやき亭　豊田寿店,0565,0565-25-2911,,,,豊田市寿町３－３,愛知県豊田市寿町３－３,,123508,23,23211,寿町３,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　あみやき亭,代表取締役 佐藤　啓介,,愛知県春日井市如意申町五丁目１２番地の８,愛知県春日井市如意申町５丁目１２番地ノ８,,120214,愛知県,春日井市,如意申町５,3令豊保衛第101-430号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,あみやき亭豊田寿店0565-25-291112350823211,b60d1470-5785-49a1-bf5b-122e7a240edc,株式会社あみやき亭120214,8092a06e-df79-41c7-8508-cb61552b8479,5f79078d-a3f6-4b5a-ba06-a24ed325df75,2021/12/02,あみやき亭　豊田寿店,あみやき亭豊田寿店,株式会社あみやき亭
3令豊保衛第101-403号,飲食店営業,リックス　菊屋,豊田市寿町４丁目５番地２,,株式会社　菊屋,代表取締役,前田　嘉明,愛知県豊田市寿町４丁目５番地２,,28-4664,2021/12/2,2026/12/31,2021/12/2,2021/12/2,,248,リックス　菊屋,0565,0565-28-4664,,,,豊田市寿町４丁目５番地２,愛知県豊田市寿町４丁目５番地２,,123509,23,23211,寿町４,,2021/12/02,2021/12/02,2021/12/02,2026/12/31,株式会社　菊屋,代表取締役 前田　嘉明,,愛知県豊田市寿町４丁目５番地２,愛知県豊田市寿町４丁目５番地２,,123509,愛知県,豊田市,寿町４,3令豊保衛第101-403号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,リックス菊屋0565-28-466412350923211,3a41919a-c339-449f-8c95-e33857a35e0f,株式会社菊屋123509,c3eb5858-9f8e-470b-9956-96ec6f4a5a29,556164d6-56f9-4cff-a114-8cf6315cf6d0,2021/12/02,リックス　菊屋,リックス菊屋,株式会社菊屋
3令豊保衛第101-426号,飲食店営業,セブンーイレブン豊田市寿町店,豊田市寿町７丁目２４番,,森川　功一,,,,,26-6448,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,セブンーイレブン豊田市寿町店,0565,0565-26-6448,,,,豊田市寿町７丁目２４番,愛知県豊田市寿町７丁目２４番,,123512,23,23211,寿町７,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,森川　功一  ,,,,,,,,,3令豊保衛第101-426号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,セブンイレブン豊田市寿町店0565-26-644812351223211,d6ff4a91-76bc-43e8-ade9-6694d9d6f387,,personal,674aaa31-8292-4a19-98c5-30e5c51e7501,2021/12/02,セブンイレブン豊田市寿町店,セブンイレブン豊田市寿町店,
3令豊保衛第101-386号,飲食店営業,ファミリーマート　トヨタ聖心寮店,豊田市聖心町２丁目１－３,,石川　秀樹,,,,,24-2662,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,ファミリーマート　トヨタ聖心寮店,0565,0565-24-2662,,,,豊田市聖心町２丁目１－３,愛知県豊田市聖心町２丁目１－３,,123672,23,23211,聖心町２,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,石川　秀樹  ,,,,,,,,,3令豊保衛第101-386号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ファミリマトトヨタ聖心寮店0565-24-266212367223211,87b881f5-a856-4476-8df9-1015c8566273,,personal,d9ceb7b6-39d6-444b-978b-34b3b80dcc91,2021/12/02,ファミリーマート　トヨタ聖心寮店,ファミリマトトヨタ聖心寮店,
3令豊保衛第101-391号,飲食店営業,カラオケ居酒屋　ゆう遊,豊田市柿本町４丁目２番地１,,船本　知史子,,,,,26-1317,2021/12/2,2026/12/31,2021/12/2,2021/12/2,,248,カラオケ居酒屋　ゆう遊,0565,0565-26-1317,,,,豊田市柿本町４丁目２番地１,愛知県豊田市柿本町４丁目２番地１,,123248,23,23211,柿本町４,,2021/12/02,2021/12/02,2021/12/02,2026/12/31,,船本　知史子  ,,,,,,,,,3令豊保衛第101-391号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,カラオケ居酒屋ゆう遊0565-26-131712324823211,cbc342cf-14e9-42ab-b32f-2e95bff3997f,,personal,0e9d04a0-00d9-4f66-836c-c1a636bdfa37,2021/12/02,カラオケ居酒屋　ゆう遊,カラオケ居酒屋ゆう遊,
3令豊保衛第101-402号,飲食店営業,セブンーイレブン豊田市田代町店,豊田市田代町３丁目１－１,,蟹　真一,,,,,34-5521,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,セブンーイレブン豊田市田代町店,0565,0565-34-5521,,,,豊田市田代町３丁目１－１,愛知県豊田市田代町３丁目１－１,,123751,23,23211,田代町３,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,蟹　真一  ,,,,,,,,,3令豊保衛第101-402号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,セブンイレブン豊田市田代町店0565-34-552112375123211,0d87b42e-8fa1-4371-93b3-83848de82c34,,personal,bc4aadb7-6a84-480a-b5fd-2dd48eaa15c3,2021/12/02,セブンイレブン豊田市田代町店,セブンイレブン豊田市田代町店,
3令豊保衛第101-393号,飲食店営業,家庭料理　彩伃,豊田市東梅坪町１０－１－３,,小林　さよ子,,,,,33-7921,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,家庭料理　彩伃,0565,0565-33-7921,,,,豊田市東梅坪町１０－１－３,愛知県豊田市東梅坪町１０－１－３,,123991,23,23211,東梅坪町１０,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,小林　さよ子  ,,,,,,,,,3令豊保衛第101-393号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,家庭料理彩伃0565-33-792112399123211,bf302e9c-b9ab-4a39-8d63-6df823bd1524,,personal,d8cd8a64-1ebf-458c-8e6f-e24d878a26a1,2021/12/02,家庭料理　彩伃,家庭料理彩伃,
3令豊保衛第101-420号,飲食店営業,トヨタ自動車株式会社　堤厨房棟,豊田市堤町馬ノ頭１番地,,トヨタ生活協同組合,代表理事,加藤　昭夫,愛知県豊田市豊栄町二丁目１１１番地,,54-2143,2021/12/2,2028/12/31,2021/12/2,2021/12/2,,248,トヨタ自動車株式会社　堤厨房棟,0565,0565-54-2143,,,,豊田市堤町馬ノ頭１番地,愛知県豊田市堤町馬ノ頭１番地,,123798,23,23211,堤町,,2021/12/02,2021/12/02,2021/12/02,2028/12/31,トヨタ生活協同組合,代表理事 加藤　昭夫,,愛知県豊田市豊栄町二丁目１１１番地,愛知県豊田市豊栄町２丁目１１１番地,,124125,愛知県,豊田市,豊栄町２,3令豊保衛第101-420号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,トヨタ自動車株式会社堤厨房棟0565-54-214312379823211,2adcdb70-17d7-4674-86a8-4355afeda7e7,トヨタ生活協同組合124125,b628994f-b8f0-44af-b067-d79e1971de49,5959d912-ffff-428f-9f5c-fbd176331596,2021/12/02,トヨタ自動車株式会社堤厨房棟,トヨタ自動車株式会社堤厨房棟,トヨタ生活協同組合
3令豊保衛第101-421号,飲食店営業,トヨタ自動車株式会社　第２高岡和風寮,豊田市西岡町星ケ丘５０,,トヨタ生活協同組合,代表理事,加藤　昭夫,愛知県豊田市豊栄町二丁目１１１番地,,51-2313,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,トヨタ自動車株式会社　第２高岡和風寮,0565,0565-51-2313,,,,豊田市西岡町星ケ丘５０,愛知県豊田市西岡町星が丘５０,,123896,23,23211,西岡町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,トヨタ生活協同組合,代表理事 加藤　昭夫,,愛知県豊田市豊栄町二丁目１１１番地,愛知県豊田市豊栄町２丁目１１１番地,,124125,愛知県,豊田市,豊栄町２,3令豊保衛第101-421号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,トヨタ自動車株式会社第２高岡和風寮0565-51-231312389623211,a58c31d4-e37f-4d1f-9ebe-bedaf9e5f897,トヨタ生活協同組合124125,b628994f-b8f0-44af-b067-d79e1971de49,a63d868e-d003-4085-889d-b1d10d4944e5,2021/12/02,トヨタ自動車株式会社第２高岡和風寮,トヨタ自動車株式会社第２高岡和風寮,トヨタ生活協同組合
3令豊保衛第101-398号,飲食店営業,有限会社　松南園,豊田市永覚新町２丁目１９番地,,有限会社　松南園,代表取締役,松永　郁也,愛知県豊田市永覚新町二丁目１８番地,,27-1675,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,有限会社　松南園,0565,0565-27-1675,,,,豊田市永覚新町２丁目１９番地,愛知県豊田市永覚新町２丁目１９番地,,123107,23,23211,永覚新町２,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,有限会社　松南園,代表取締役 松永　郁也,,愛知県豊田市永覚新町二丁目１８番地,愛知県豊田市永覚新町２丁目１８番地,,123107,愛知県,豊田市,永覚新町２,3令豊保衛第101-398号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,有限会社松南園0565-27-167512310723211,da643945-aa70-4d45-80d9-58f1b32014e0,有限会社松南園123107,86dae20f-f009-478d-afd5-b6dfea0c077c,3d112dec-3e5e-488a-a5e8-6c14d4a09c21,2021/12/02,有限会社松南園,有限会社松南園,有限会社松南園
3令豊保衛第101-416号,飲食店営業,ａｇｒｅｅ,豊田市大林町１０－１０－２,向山店舗　１号室,永坂　陽子,,,,,26-4322,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,ａｇｒｅｅ,0565,0565-26-4322,,,,豊田市大林町１０－１０－２,愛知県豊田市大林町１０－１０－２,,123181,23,23211,大林町１０,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,永坂　陽子  ,,,,,,,,,3令豊保衛第101-416号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ａｇｒｅｅ0565-26-432212318123211,eacd88f4-945f-4851-b13b-e9aef92b25b4,,personal,5dbc12ee-0512-40e6-82b5-a48eecbfdaca,2021/12/02,ａｇｒｅｅ,ａｇｒｅｅ,
3令豊保衛第101-390号,飲食店営業,洋食屋　あしぇっと,豊田市大林町１２丁目５－１４,,近藤　光浩,,,,,27-8568,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,洋食屋　あしぇっと,0565,0565-27-8568,,,,豊田市大林町１２丁目５－１４,愛知県豊田市大林町１２丁目５－１４,,123183,23,23211,大林町１２,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,近藤　光浩  ,,,,,,,,,3令豊保衛第101-390号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,洋食屋あしぇっと0565-27-856812318323211,000bbcc6-e820-46db-9921-1c8b3293fb9a,,personal,d29ef3a7-d830-4493-ace8-74da6fb4f048,2021/12/02,洋食屋　あしぇっと,洋食屋あしぇっと,
3令豊保衛第101-373号,飲食店営業,台湾料理　九興飯店,豊田市鴛鴨町向山１６１－１,,王　海明,,,,,42-5393,2021/12/2,2026/12/31,2021/12/2,2021/12/2,,248,台湾料理　九興飯店,0565,0565-42-5393,,,,豊田市鴛鴨町向山１６１－１,愛知県豊田市鴛鴨町向山１６１－１,,123235,23,23211,鴛鴨町向山,,2021/12/02,2021/12/02,2021/12/02,2026/12/31,,王　海明  ,,,,,,,,,3令豊保衛第101-373号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,台湾料理九興飯店0565-42-539312323523211,479204f6-10d7-407e-82a5-2e15f7d887e4,,personal,f3e4debc-cd70-46f0-8153-b3d5ac869d05,2021/12/02,台湾料理　九興飯店,台湾料理九興飯店,
3令豊保衛第101-378号,飲食店営業,一の谷,豊田市足助町一ノ谷２２番地,,有限会社　一の谷,取締役,本多　敦,愛知県豊田市足助町一の谷２２番地,,62-0508,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,一の谷,0565,0565-62-0508,,,,豊田市足助町一ノ谷２２番地,愛知県豊田市足助町一ノ谷２２番地,,124471,23,23211,足助町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,有限会社　一の谷,取締役 本多　敦,,愛知県豊田市足助町一の谷２２番地,愛知県豊田市足助町一ノ谷２２番地,,124471,愛知県,豊田市,足助町,3令豊保衛第101-378号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,一の谷0565-62-050812447123211,bb16a70e-04f2-4137-a68c-134cbb34c199,有限会社一の谷124471,85e9ac5d-0dae-42ec-97fc-9d8ead80d0c4,7f11c51c-22ea-44bf-90d6-e33ff792c43e,2021/12/02,一の谷,一の谷,有限会社一の谷
3令豊保衛第101-377号,飲食店営業,香嵐亭,豊田市足助町宮平１番地,,株式会社　香嵐亭,代表取締役,浅井　幹夫,愛知県豊田市足助町宮平１番地,,62-0129,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,香嵐亭,0565,0565-62-0129,,,,豊田市足助町宮平１番地,愛知県豊田市足助町宮平１番地,,124471,23,23211,足助町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社　香嵐亭,代表取締役 浅井　幹夫,,愛知県豊田市足助町宮平１番地,愛知県豊田市足助町宮平１番地,,124471,愛知県,豊田市,足助町,3令豊保衛第101-377号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,香嵐亭0565-62-012912447123211,e8b59428-d838-4f88-bb71-1920c7a361cf,株式会社香嵐亭124471,2bf2cd75-ba57-4e61-ad0e-418c733bf819,936ef072-3cde-4d98-b516-fc1c84046198,2021/12/02,香嵐亭,香嵐亭,株式会社香嵐亭
3令豊保衛第101-376号,飲食店営業,さかたや,豊田市足助町新町３０番地,,近藤　茂樹,,,,,62-2673,2021/12/2,2026/12/31,2021/12/2,2021/12/2,,248,さかたや,0565,0565-62-2673,,,,豊田市足助町新町３０番地,愛知県豊田市足助町新町３０番地,,124471,23,23211,足助町,,2021/12/02,2021/12/02,2021/12/02,2026/12/31,,近藤　茂樹  ,,,,,,,,,3令豊保衛第101-376号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,さかたや0565-62-267312447123211,9193d239-903b-458a-9e2d-29cb4fdcd34e,,personal,a34767d0-48f8-40dc-9ec0-273b26514a1e,2021/12/02,さかたや,さかたや,
3令豊保衛第101-375号,飲食店営業,　両口屋,豊田市足助町本町１６,,佐久間　章郎,,,,,62-0056,2021/12/2,2025/07/31,2021/12/2,2021/12/2,,248,　両口屋,0565,0565-62-0056,,,,豊田市足助町本町１６,愛知県豊田市足助町本町１６,,124471,23,23211,足助町,,2021/12/02,2021/12/02,2021/12/02,2025/07/31,,佐久間　章郎  ,,,,,,,,,3令豊保衛第101-375号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,両口屋0565-62-005612447123211,3461c289-2f08-4a8e-ab53-cae7e8759029,,personal,063aef19-88ff-4df9-9f8c-00702da5fb49,2021/12/02,　両口屋,両口屋,
3令豊保衛第101-379号,飲食店営業,なかさだ,豊田市足助町門前１１,,梅村　ふき子,,,,,62-1574,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,なかさだ,0565,0565-62-1574,,,,豊田市足助町門前１１,愛知県豊田市足助町門前１１,,124471,23,23211,足助町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,梅村　ふき子  ,,,,,,,,,3令豊保衛第101-379号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,なかさだ0565-62-157412447123211,428ac9a8-9167-4e17-879e-d601f63c379e,,personal,06edbc80-759f-4cb5-bcbb-c90d2aaa8ce6,2021/12/02,なかさだ,なかさだ,
3令豊保衛第111-22号,菓子製造業,松栄軒,豊田市下切町森下２９０９番３,,松井　一郎,,,,,68-3600,2021/12/2,2027/12/31,2021/12/2,2021/12/2,,248,松栄軒,0565,0565-68-3600,,,,豊田市下切町森下２９０９番３,愛知県豊田市下切町森下２９０９番３,,124574,23,23211,下切町,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,,松井　一郎  ,,,,,,,,,3令豊保衛第111-22号,,菓子製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,松栄軒0565-68-360012457423211,c7516713-577c-4afa-be1c-565a39aa7222,,personal,ce0059b2-fd75-432d-9860-90adbdfb559d,2021/12/02,松栄軒,松栄軒,
3令豊保衛第101-341号,飲食店営業,家族葬ホール　ティア豊田中央,豊田市十塚町４丁目４７番地,,株式会社　永田屋,代表取締役,永田　正也,愛知県岡崎市上六名三丁目１３番地１２,,33-9400,2021/12/1,2026/11/30,2021/12/1,2021/12/1,,248,家族葬ホール　ティア豊田中央,0565,0565-33-9400,,,,豊田市十塚町４丁目４７番地,愛知県豊田市十塚町４丁目４７番地,,123867,23,23211,十塚町４,,2021/12/01,2021/12/01,2021/12/01,2026/11/30,株式会社　永田屋,代表取締役 永田　正也,,愛知県岡崎市上六名三丁目１３番地１２,愛知県岡崎市上六名３丁目１３番地１２,,118357,愛知県,岡崎市,上六名３,3令豊保衛第101-341号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,家族葬ホルティア豊田中央0565-33-940012386723211,1e723279-e028-45bd-9431-a2bfc33a6a35,株式会社永田屋118357,7cb5b7f1-6a64-4e6b-a51b-7269bbb7f0e8,fb0b92c5-8d78-4aa9-81a9-80b599801494,2021/12/01,家族葬ホール　ティア豊田中央,家族葬ホルティア豊田中央,株式会社永田屋
3令豊保衛第101-427号,飲食店営業,きらり,豊田市小坂町６－６７－２,サンファイブＤ,株式会社　オーケープラス,代表取締役,中村　文也,愛知県豊田市小坂本町一丁目１５番地８,シティハイツＡＴ９０４号,47-4484,2021/12/1,2027/11/30,2021/12/1,2021/12/1,,248,きらり,0565,0565-47-4484,,,,豊田市小坂町６－６７－２,愛知県豊田市小坂町６－６７－２,サンファイブＤ,123444,23,23211,小坂町６,,2021/12/01,2021/12/01,2021/12/01,2027/11/30,株式会社　オーケープラス,代表取締役 中村　文也,,愛知県豊田市小坂本町一丁目１５番地８,愛知県豊田市小坂本町１丁目１５番地８,シティハイツＡＴ９０４号,123455,愛知県,豊田市,小坂本町１,3令豊保衛第101-427号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,きらり0565-47-448412344423211,3b8cb8cf-16b3-49e8-8902-0f67eecac0fa,株式会社オーケープラス123455,a27d3ebf-4426-4c66-a582-52a98428cbd6,789a03df-0e9f-45f4-a5e3-c4fa276bb7d9,2021/12/01,きらり,きらり,株式会社オーケープラス
