11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＡＱＵＡ,,904-2171,沖縄市高原６－４－１７,,              ,飲食店営業,その他,前武當　育実,,R04.06.28,R04.06.28,第03202200471号,,中部保健所,ＡＱＵＡ,098,,904-2171,,,沖縄市高原６－４－１７,沖縄県沖縄市高原６－４－１７,,215957,沖縄県,沖縄市,高原６,,2022/06/28,2022/06/28,,,,,,,,,,,,,第03202200471号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＱＵＡ,ＡＱＵＡ,,,1,,,,,
小料理　南風,,904-0022,沖縄市園田３－１０－２２,１ＦＢ号室,              ,飲食店営業,小料理,仲村　智子,,R04.06.28,R04.06.28,第03202200473号,,中部保健所,小料理　南風,098,,904-0022,,,沖縄市園田３－１０－２２,沖縄県沖縄市園田３－１０－２２,１ＦＢ号室,215930,沖縄県,沖縄市,園田３,,2022/06/28,2022/06/28,,,,,,,,,,,,,第03202200473号,,飲食店営業, 小料理,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,小料理　南風,小料理南風,,,1,,,,,
ＡＶＡＮＴＩ,,904-0304,中頭郡読谷村楚辺２２６０－２,左１F,              ,飲食店営業,レストラン,儀間　眞智子,,R04.06.28,R04.06.28,第03202200474号,,中部保健所,ＡＶＡＮＴＩ,098,,904-0304,,,中頭郡読谷村楚辺２２６０－２,沖縄県中頭郡読谷村楚辺２２６０－２,左１F,216352,沖縄県,中頭郡読谷村,楚辺,,2022/06/28,2022/06/28,,,,,,,,,,,,,第03202200474号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＶＡＮＴＩ,ＡＶＡＮＴＩ,,,1,,,,,
ビーチルームリゾート谷茶,,904-0412,国頭郡恩納村谷茶１５２,ビーチルームリゾート谷茶４Ａ,098-966-8180  ,飲食店営業,旅館,廣岡　定視,,R04.06.28,R04.06.28,第03202200477号,,中部保健所,ビーチルームリゾート谷茶,098,098-966-8180,904-0412,,,国頭郡恩納村谷茶１５２,沖縄県国頭郡恩納村谷茶１５２,ビーチルームリゾート谷茶４Ａ,216159,沖縄県,国頭郡恩納村,谷茶,,2022/06/28,2022/06/28,,,,,,,,,,,,,第03202200477号,,飲食店営業, 旅館,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ビーチルームリゾート谷茶,ビチルムリゾト谷茶,,,1,,,,,
ライブハウス　モッズ,,904-0115,北谷町美浜９－１,デポアイランドビルＥ－２Ｆ,098-988-5025  ,飲食店営業,食堂,株式会社ＭＯＤ’Ｓ,098-988-5025  ,R04.06.28,R04.06.28,第03202200478号,,中部保健所,ライブハウス　モッズ,098,098-988-5025,904-0115,,,北谷町美浜９－１,沖縄県中頭郡北谷町美浜９－１,デポアイランドビルＥ－２Ｆ,216290,沖縄県,中頭郡北谷町,美浜,,2022/06/28,2022/06/28,,,株式会社ＭＯＤ’Ｓ,,098-988-5025  ,,,,,,,,第03202200478号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ライブハウス　モッズ,ライブハウスモッズ,株式会社ＭＯＤ＇Ｓ,,1,,,,,
仲西商店,,904-2201,うるま市昆布１８３２－８２,,098-972-6778  ,飲食店営業,仕出し屋,仲西　朝子,,R04.06.28,R04.06.28,第03202200482号,,中部保健所,仲西商店,098,098-972-6778,904-2201,,,うるま市昆布１８３２－８２,沖縄県うるま市昆布１８３２－８２,,216489,沖縄県,うるま市,昆布,,2022/06/28,2022/06/28,,,,,,,,,,,,,第03202200482号,,飲食店営業, 仕出し屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,仲西商店,仲西商店,,,3,,,,,
仲西商店,,904-2201,うるま市昆布１８３２－８２,,098-972-6778  ,魚介類販売業,魚介類販売業,仲西　朝子,,R04.06.28,R04.06.28,第03202200483号,,中部保健所,仲西商店,098,098-972-6778,904-2201,,,うるま市昆布１８３２－８２,沖縄県うるま市昆布１８３２－８２,,216489,沖縄県,うるま市,昆布,,2022/06/28,2022/06/28,,,,,,,,,,,,,第03202200483号,,魚介類販売業, 魚介類販売業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,仲西商店,仲西商店,,,3,,,,,
仲西商店,,904-2201,うるま市昆布１８３２－８２,,098-972-6778  ,食肉販売業,食肉販売業,仲西　朝子,,R04.06.28,R04.06.28,第03202200484号,,中部保健所,仲西商店,098,098-972-6778,904-2201,,,うるま市昆布１８３２－８２,沖縄県うるま市昆布１８３２－８２,,216489,沖縄県,うるま市,昆布,,2022/06/28,2022/06/28,,,,,,,,,,,,,第03202200484号,,食肉販売業, 食肉販売業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,仲西商店,仲西商店,,,3,,,,,
ＢＡＫＵＴＯ　ＢＲＥＡＤ　ＦＡＣＴＯＲＹ,,904-1107,うるま市石川曙１－６－３８,,098-965-5191  ,菓子製造業,菓子製造業,ＧｌｏｂａｌＢｒｅｅｚｅ株式会社,098-965-5191  ,R04.06.29,R04.06.29,第03202200490号,,中部保健所,ＢＡＫＵＴＯ　ＢＲＥＡＤ　ＦＡＣＴＯＲＹ,098,098-965-5191,904-1107,,,うるま市石川曙１－６－３８,沖縄県うるま市石川曙１－６－３８,,216035,沖縄県,うるま市,石川曙１,,2022/06/29,2022/06/29,,,ＧｌｏｂａｌＢｒｅｅｚｅ株式会社,,098-965-5191  ,,,,,,,,第03202200490号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＢＡＫＵＴＯ　ＢＲＥＡＤ　ＦＡＣＴＯＲＹ,ＢＡＫＵＴＯＢＲＥＡＤＦＡＣＴＯＲＹ,ＧｌｏｂａｌＢｒｅｅｚｅ株式会社,,1,,,,,
ファミリーマート沖縄越来店,,904-0001,沖縄市越来２－１－２０,,098-860-9536  ,飲食店営業,その他,株式会社沖縄ファミリーマート,098-867-2420  ,R04.06.29,R04.06.29,第03202200491号,,中部保健所,ファミリーマート沖縄越来店,098,098-860-9536,904-0001,,,沖縄市越来２－１－２０,沖縄県沖縄市越来２－１－２０,,215865,沖縄県,沖縄市,越来２,,2022/06/29,2022/06/29,,,株式会社沖縄ファミリーマート,,098-867-2420  ,,,,,,,,第03202200491号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート沖縄越来店,ファミリマト沖縄越来店,株式会社沖縄ファミリーマート,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
串焼き酒場　炭★星,,904-2245,うるま市赤道３５１－２,,098-989-4997  ,飲食店営業,居酒屋,久田　健太,,R04.06.29,R04.06.29,第03202200492号,,中部保健所,串焼き酒場　炭★星,098,098-989-4997,904-2245,,,うるま市赤道３５１－２,沖縄県うるま市赤道３５１－２,,216517,沖縄県,うるま市,赤道,,2022/06/29,2022/06/29,,,,,,,,,,,,,第03202200492号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,串焼き酒場　炭★星,串焼き酒場炭星,,,1,,,,,
スナック模合,,904-0031,沖縄市上地２－１－９,,              ,飲食店営業,スナック,浦崎　友絵,,R04.06.29,R04.06.29,第03202200493号,,中部保健所,スナック模合,098,,904-0031,,,沖縄市上地２－１－９,沖縄県沖縄市上地２－１－９,,215972,沖縄県,沖縄市,上地２,,2022/06/29,2022/06/29,,,,,,,,,,,,,第03202200493号,,飲食店営業, スナック,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック模合,スナック模合,,,1,,,,,
ＯＬＤ　ＣＯＲＮＥＲ　ＳＴＡＮＤ,,904-0323,中頭郡読谷村高志保９１５,,              ,飲食店営業,その他,株式会社琉球プランテーションズ,098-851-3692  ,R04.06.29,R04.06.29,第03202200494号,,中部保健所,ＯＬＤ　ＣＯＲＮＥＲ　ＳＴＡＮＤ,098,,904-0323,,,中頭郡読谷村高志保９１５,沖縄県中頭郡読谷村高志保９１５,,216353,沖縄県,中頭郡読谷村,高志保,,2022/06/29,2022/06/29,,,株式会社琉球プランテーションズ,,098-851-3692  ,,,,,,,,第03202200494号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＯＬＤ　ＣＯＲＮＥＲ　ＳＴＡＮＤ,ＯＬＤＣＯＲＮＥＲＳＴＡＮＤ,株式会社琉球プランテーションズ,,1,,,,,
ＢＡＲ　微風,,904-0031,沖縄市上地２－１－２１,,098-989-8866  ,飲食店営業,バー,安里　常春,,R04.06.29,R04.06.29,第03202200495号,,中部保健所,ＢＡＲ　微風,098,098-989-8866,904-0031,,,沖縄市上地２－１－２１,沖縄県沖縄市上地２－１－２１,,215972,沖縄県,沖縄市,上地２,,2022/06/29,2022/06/29,,,,,,,,,,,,,第03202200495号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＲ　微風,ＢＡＲ微風,,,1,,,,,
国際ステーキ　恩納店,,904-0411,国頭郡恩納村恩納１６５３－４,,098-966-2101  ,飲食店営業,その他,株式会社　国際企画,098-860-1236  ,R04.06.30,R04.06.30,第03202200502号,,中部保健所,国際ステーキ　恩納店,098,098-966-2101,904-0411,,,国頭郡恩納村恩納１６５３－４,沖縄県国頭郡恩納村恩納１６５３－４,,216156,沖縄県,国頭郡恩納村,恩納,,2022/06/30,2022/06/30,,,株式会社　国際企画,,098-860-1236  ,,,,,,,,第03202200502号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,国際ステーキ　恩納店,国際ステキ恩納店,株式会社国際企画,,1,,,,,
ぐっちょんのジャークチキン,,904-2225,うるま市喜屋武２０－１,,              ,そうざい製造業,そうざい製造業,濱口　誠,,R04.07.01,R04.07.01,第03202200507号,,中部保健所,ぐっちょんのジャークチキン,098,,904-2225,,,うるま市喜屋武２０－１,沖縄県うるま市喜屋武２０－１,,216497,沖縄県,うるま市,喜屋武,,2022/07/01,2022/07/01,,,,,,,,,,,,,第03202200507号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ぐっちょんのジャークチキン,ぐっちょんのジャクチキン,,,1,,,,,
ゴットタン本店,,901-2202,宜野湾市普天間２－３７－６,社交ビル渚１Ｆ１０３号,              ,飲食店営業,その他,友寄　佳人,,R04.07.01,R04.07.01,第03202200508号,,中部保健所,ゴットタン本店,098,,901-2202,,,宜野湾市普天間２－３７－６,沖縄県宜野湾市普天間２－３７－６,社交ビル渚１Ｆ１０３号,215602,沖縄県,宜野湾市,普天間２,,2022/07/01,2022/07/01,,,,,,,,,,,,,第03202200508号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ゴットタン本店,ゴットタン本店,,,1,,,,,
ゴディバ　イオンモール沖縄ライカム店,,901-2306,中頭郡北中城村ライカム１番地,イオンモール沖縄ライカム２F,098-930-6811  ,アイスクリーム類製造業,ｱｲｽｸﾘｰﾑ類製造業,ゴディバジャパン株式会社,03-5797-8100  ,R04.07.01,R04.07.01,第03202200509号,,中部保健所,ゴディバ　イオンモール沖縄ライカム店,098,098-930-6811,901-2306,,,中頭郡北中城村ライカム１番地,沖縄県中頭郡北中城村ライカム１番地,イオンモール沖縄ライカム２F,702000,沖縄県,中頭郡北中城村,ライカム,,2022/07/01,2022/07/01,,,ゴディバジャパン株式会社,,03-5797-8100  ,,,,,,,,第03202200509号,,アイスクリーム類製造業, ｱｲｽｸﾘｰﾑ類製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ゴディバ　イオンモール沖縄ライカム店,ゴディバイオンモル沖縄ライカム店,ゴディバジャパン株式会社,,1,,,,,
住宅型有料老人ホームあっとほーむきむたかの丘,,904-2311,うるま市勝連南風原３５８４,,              ,飲食店営業,食堂,日清医療食品株式会社,03-3287-3611  ,R04.06.30,R04.06.30,第03202200510号,,中部保健所,住宅型有料老人ホームあっとほーむきむたかの丘,098,,904-2311,,,うるま市勝連南風原３５８４,沖縄県うるま市勝連南風原３５８４,,216049,沖縄県,うるま市,勝連南風原,,2022/06/30,2022/06/30,,,日清医療食品株式会社,,03-3287-3611  ,,,,,,,,第03202200510号,,飲食店営業, 食堂,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,住宅型有料老人ホームあっとほーむきむたかの丘,住宅型有料老人ホムあっとほむきむたかの丘,日清医療食品株式会社,,1,,,,,
ランコントレ,,        ,沖縄市室川２－１－１１（１Ｆ）,,098-934-5539  ,飲食店営業,バー,比嘉　満,,R04.06.30,R04.06.30,第03202200516号,,中部保健所,ランコントレ,098,098-934-5539,        ,,,沖縄市室川２－１－１１（１Ｆ）,沖縄県沖縄市室川２－１－１１（１Ｆ）,,215913,沖縄県,沖縄市,室川２,,2022/06/30,2022/06/30,,,,,,,,,,,,,第03202200516号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ランコントレ,ランコントレ,,,1,,,,,
ハッピーレモン　北谷店,,904-0115,中頭郡北谷町美浜９－２１,デポアイランドシーサイド　１階一部（Ｋ）,              ,飲食店営業,その他,ディー＆グロースキャピタル株式会社,098-894-7720  ,R04.07.01,R04.07.01,第03202200520号,,中部保健所,ハッピーレモン　北谷店,098,,904-0115,,,中頭郡北谷町美浜９－２１,沖縄県中頭郡北谷町美浜９－２１,デポアイランドシーサイド　１階一部（Ｋ）,216290,沖縄県,中頭郡北谷町,美浜,,2022/07/01,2022/07/01,,,ディー＆グロースキャピタル株式会社,,098-894-7720  ,,,,,,,,第03202200520号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ハッピーレモン　北谷店,ハッピレモン北谷店,ディー＆グロースキャピタル株式会社,,1,,,,,
コーヒーシャープ　アンティ,,901-2203,宜野湾市野嵩４－２０－１６,,098-892-3873  ,飲食店営業,その他,當山　洋子,,R04.07.01,R04.07.01,第03202200521号,,中部保健所,コーヒーシャープ　アンティ,098,098-892-3873,901-2203,,,宜野湾市野嵩４－２０－１６,沖縄県宜野湾市野嵩４－２０－１６,,215599,沖縄県,宜野湾市,野嵩４,,2022/07/01,2022/07/01,,,,,,,,,,,,,第03202200521号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,コーヒーシャープ　アンティ,コヒシャプアンティ,,,1,,,,,
赤崎レストラン,,904-1103,うるま市石川赤崎１－２－５,,098-964-3132  ,飲食店営業,レストラン,石川隼人,,R04.07.01,R04.07.01,第03202200522号,,中部保健所,赤崎レストラン,098,098-964-3132,904-1103,,,うるま市石川赤崎１－２－５,沖縄県うるま市石川赤崎１－２－５,,216028,沖縄県,うるま市,石川赤崎１,,2022/07/01,2022/07/01,,,,,,,,,,,,,第03202200522号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,赤崎レストラン,赤崎レストラン,,,1,,,,,
ローソンうるま石川東恩納店,,        ,うるま市石川東恩納２５１－１,,              ,飲食店営業,そうざい,平安名　農,,R04.07.01,R04.07.01,第03202200523号,,中部保健所,ローソンうるま石川東恩納店,098,,        ,,,うるま市石川東恩納２５１－１,沖縄県うるま市石川東恩納２５１－１,,216045,沖縄県,うるま市,石川東恩納,,2022/07/01,2022/07/01,,,,,,,,,,,,,第03202200523号,,飲食店営業, そうざい,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ローソンうるま石川東恩納店,ロソンうるま石川東恩納店,,ローソン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
パニーニ専門店　サクパン,,904-2173,沖縄市比屋根３－１６－９,,              ,飲食店営業,カフェー,阿部　桜,,R04.07.04,R04.07.04,第03202200528号,,中部保健所,パニーニ専門店　サクパン,098,,904-2173,,,沖縄市比屋根３－１６－９,沖縄県沖縄市比屋根３－１６－９,,215966,沖縄県,沖縄市,比屋根３,,2022/07/04,2022/07/04,,,,,,,,,,,,,第03202200528号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,パニーニ専門店　サクパン,パニニ専門店サクパン,,,1,,,,,
ａｔａｂｉｉ’ｓ 読谷店,,904-0323,読谷村高志保９１５－１,ＧＡＬＡ青い海内,              ,飲食店営業,その他,合同会社アタビーズ,098-987-8700  ,R04.07.04,R04.07.04,第03202200529号,,中部保健所,ａｔａｂｉｉ’ｓ 読谷店,098,,904-0323,,,読谷村高志保９１５－１,沖縄県中頭郡読谷村高志保９１５－１,ＧＡＬＡ青い海内,216353,沖縄県,中頭郡読谷村,高志保,,2022/07/04,2022/07/04,,,合同会社アタビーズ,,098-987-8700  ,,,,,,,,第03202200529号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ａｔａｂｉｉ＇ｓ　読谷店,ａｔａｂｉｉｓ読谷店,合同会社アタビーズ,,1,,,,,
ワインとピザのお店　屋台EN,,904-2172,沖縄市泡瀬３－１８－１０,ウィンザービル１階,,飲食店営業,居酒屋,奥松　謙一,,R04.07.04,R04.07.04,第03202200530号,,中部保健所,ワインとピザのお店　屋台EN,098,,904-2172,,,沖縄市泡瀬３－１８－１０,沖縄県沖縄市泡瀬３－１８－１０,ウィンザービル１階,215945,沖縄県,沖縄市,泡瀬３,,2022/07/04,2022/07/04,,,,,,,,,,,,,第03202200530号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ワインとピザのお店　屋台ＥＮ,ワインとピザのお店屋台ＥＮ,,,1,,,,,
スターバックスコーヒー沖縄登川店,,904-2142,沖縄市登川１－８－６,,              ,飲食店営業,その他,スターバックスコーヒージャパン株式会社,03-5745-5886  ,R04.07.04,R04.07.04,第03202200531号,,中部保健所,スターバックスコーヒー沖縄登川店,098,,904-2142,,,沖縄市登川１－８－６,沖縄県沖縄市登川１－８－６,,215885,沖縄県,沖縄市,登川１,,2022/07/04,2022/07/04,,,スターバックスコーヒージャパン株式会社,,03-5745-5886  ,,,,,,,,第03202200531号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スターバックスコーヒー沖縄登川店,スタバックスコヒ沖縄登川店,スターバックスコーヒージャパン株式会社,Starbucks Coffee,1,宿泊業，飲食サービス業,飲食店,喫茶店,喫茶店,
まんが喫茶　ＯＨＡＮＡ,,904-0101,北谷町上勢頭５５０－１０,１階,              ,飲食店営業,その他,仲程　勇輔,,R04.06.30,R04.06.30,第03202200536号,,中部保健所,まんが喫茶　ＯＨＡＮＡ,098,,904-0101,,,北谷町上勢頭５５０－１０,沖縄県中頭郡北谷町上勢頭５５０－１０,１階,216280,沖縄県,中頭郡北谷町,上勢頭,,2022/06/30,2022/06/30,,,,,,,,,,,,,第03202200536号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,まんが喫茶　ＯＨＡＮＡ,まんが喫茶ＯＨＡＮＡ,,,1,,,,,
沖縄〇〇せんべい　宜野湾店,,        ,宜野湾市上原２－７－１２,比嘉店舗右,098-989-7062  ,菓子製造業,菓子製造業,株式会社洋陽之国,              ,R04.07.05,R04.07.05,第03202200537号,,中部保健所,沖縄〇〇せんべい　宜野湾店,098,098-989-7062,        ,,,宜野湾市上原２－７－１２,沖縄県宜野湾市上原２－７－１２,比嘉店舗右,215550,沖縄県,宜野湾市,上原２,,2022/07/05,2022/07/05,,,株式会社洋陽之国,,-undefined-    ,,,,,,,,第03202200537号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,沖縄〇〇せんべい　宜野湾店,沖縄せんべい宜野湾店,株式会社洋陽之国,,2,,,,,
沖縄〇〇せんべい　宜野湾店,,        ,宜野湾市上原２－７－１２,比嘉店舗右,098-989-7062  ,飲食店営業,その他,株式会社洋陽之国,              ,R04.07.05,R04.07.05,第03202200538号,,中部保健所,沖縄〇〇せんべい　宜野湾店,098,098-989-7062,        ,,,宜野湾市上原２－７－１２,沖縄県宜野湾市上原２－７－１２,比嘉店舗右,215550,沖縄県,宜野湾市,上原２,,2022/07/05,2022/07/05,,,株式会社洋陽之国,,-undefined-    ,,,,,,,,第03202200538号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,沖縄〇〇せんべい　宜野湾店,沖縄せんべい宜野湾店,株式会社洋陽之国,,2,,,,,
絖氷,,904-2161,沖縄市古謝３－２０－１７,,              ,飲食店営業,パーラー,辺土名　美代子,,R04.07.05,R04.07.05,第03202200539号,,中部保健所,絖氷,098,,904-2161,,,沖縄市古謝３－２０－１７,沖縄県沖縄市古謝３－２０－１７,,215991,沖縄県,沖縄市,古謝３,,2022/07/05,2022/07/05,,,,,,,,,,,,,第03202200539号,,飲食店営業, パーラー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,絖氷,絖氷,,,1,,,,,
韓国大衆酒屋ムハン,,904-0022,沖縄市園田１－１５－２６,山根ビル３Ｆ,098-989-9715  ,飲食店営業,居酒屋,株式会社ＨＩＤＥ,098-989-9715  ,R04.07.05,R04.07.05,第03202200540号,,中部保健所,韓国大衆酒屋ムハン,098,098-989-9715,904-0022,,,沖縄市園田１－１５－２６,沖縄県沖縄市園田１－１５－２６,山根ビル３Ｆ,215928,沖縄県,沖縄市,園田１,,2022/07/05,2022/07/05,,,株式会社ＨＩＤＥ,,098-989-9715  ,,,,,,,,第03202200540号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,韓国大衆酒屋ムハン,韓国大衆酒屋ムハン,株式会社ＨＩＤＥ,,1,,,,,
ＬＩＶＥ＆ＢＡＲ　ＲＥＶＥＲＳＥ,,904-0031,沖縄市上地１－１３－３０,２Ｆ,098-930-2456  ,飲食店営業,キャバレー,比嘉　良成,,R04.07.06,R04.07.06,第03202200541号,,中部保健所,ＬＩＶＥ＆ＢＡＲ　ＲＥＶＥＲＳＥ,098,098-930-2456,904-0031,,,沖縄市上地１－１３－３０,沖縄県沖縄市上地１－１３－３０,２Ｆ,215971,沖縄県,沖縄市,上地１,,2022/07/06,2022/07/06,,,,,,,,,,,,,第03202200541号,,飲食店営業, キャバレー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＬＩＶＥ＆ＢＡＲ　ＲＥＶＥＲＳＥ,ＬＩＶＥＢＡＲＲＥＶＥＲＳＥ,,,1,,,,,
りん次,,904-0031,沖縄市上地１－１６－８,,098-923-2328  ,飲食店営業,居酒屋,仲宗根　蓮也,,R04.07.06,R04.07.06,第03202200542号,,中部保健所,りん次,098,098-923-2328,904-0031,,,沖縄市上地１－１６－８,沖縄県沖縄市上地１－１６－８,,215971,沖縄県,沖縄市,上地１,,2022/07/06,2022/07/06,,,,,,,,,,,,,第03202200542号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,りん次,りん次,,,1,,,,,
焼酉一輝,,904-0004,沖縄市中央１－１４－７,ホームアウェイ沖縄１Ｆ右,              ,飲食店営業,居酒屋,原　浩一,,R04.07.07,R04.07.07,第03202200543号,,中部保健所,焼酉一輝,098,,904-0004,,,沖縄市中央１－１４－７,沖縄県沖縄市中央１－１４－７,ホームアウェイ沖縄１Ｆ右,215916,沖縄県,沖縄市,中央１,,2022/07/07,2022/07/07,,,,,,,,,,,,,第03202200543号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼酉一輝,焼酉一輝,,,1,,,,,
Ｓ／ＰＥＲＣＥＮＴ,,901-2321,北中城村美崎９６,美崎ビル１号室,              ,飲食店営業,その他,港女株式会社,              ,R04.07.07,R04.07.07,第03202200544号,,中部保健所,Ｓ／ＰＥＲＣＥＮＴ,098,,901-2321,,,北中城村美崎９６,沖縄県中頭郡北中城村美崎９６,美崎ビル１号室,701999,沖縄県,中頭郡北中城村,美崎,,2022/07/07,2022/07/07,,,港女株式会社,,-undefined-    ,,,,,,,,第03202200544号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｓ／ＰＥＲＣＥＮＴ,ＳＰＥＲＣＥＮＴ,港女株式会社,,1,,,,,
