https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,業態,施設名,施設-住所1,施設-マンション名,申請者1,申請-住所1,申請-マンション名,施設-電話番号1,申請-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,細業種,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業者住所ビル名,施設電話番号,営業者電話番号,有効期間始期,有効期間終期,施行年月日,初回施行日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3清保第741-73号,飲食店営業,その他,ファミリーマート 稲沢一色下方店,稲沢市一色下方町２９８番地,,株式会社 ＹＣＳ,愛知県津島市愛宕町８丁目１４１番地７,,0587-34-3218,0567-25-8689,2022/03/01,2028/02/29,2021/12/10,2021/12/10,,259,ファミリーマート 稲沢一色下方店,0587,0587-34-3218,,,,稲沢市一色下方町２９８番地,愛知県稲沢市一色下方町２９８番地,,127799,23,23220,一色下方町,,2021/12/10,2021/12/10,2022/03/01,2028/02/29,株式会社 ＹＣＳ,,0567-25-8689,愛知県津島市愛宕町８丁目１４１番地７,愛知県津島市愛宕町８丁目１４１番地７,,121606,愛知県,津島市,愛宕町８,3清保第741-73号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ファミリマト稲沢一色下方店0587-34-321812779923220,6ef3cf53-18ad-4f97-9b9c-06e61e5af37f,株式会社ＹＣＳ121606,192dfd61-50ec-4acb-bf98-56a545066fda,94998dcc-a89f-432d-b713-99e03f05d32c,2021/12/10,ファミリーマート　稲沢一色下方店,ファミリマト稲沢一色下方店,株式会社ＹＣＳ
3清保第741-87号,飲食店営業,一般食堂・レストラン等,一刻魁堂 稲沢店,稲沢市一色中屋敷町１４１,,ＪＢレストラン株式会社,愛知県名古屋市緑区桶狭間切戸２２１７番,,0587-36-2411,052-629-1100,2022/01/01,2027/12/31,2021/12/10,2021/12/10,,259,一刻魁堂 稲沢店,0587,0587-36-2411,,,,稲沢市一色中屋敷町１４１,愛知県稲沢市一色中屋敷町１４１,,127830,23,23220,一色中屋敷町,,2021/12/10,2021/12/10,2022/01/01,2027/12/31,ＪＢレストラン株式会社,,052-629-1100,愛知県名古屋市緑区桶狭間切戸２２１７番,愛知県名古屋市緑区桶狭間切戸２２１７番,,117290,愛知県,名古屋市緑区,桶狭間切戸,3清保第741-87号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,一刻魁堂稲沢店0587-36-241112783023220,6eb928a9-714e-4957-8b1e-6be121b7eaf6,ＪＢレストラン株式会社117290,9d2f9bb1-2ae4-4cb7-9616-660c4b87abcc,5895ac58-5d44-4b5c-b0f3-c1af460ee278,2021/12/10,一刻魁堂　稲沢店,一刻魁堂稲沢店,ＪＢレストラン株式会社
3清保第759-1号,そうざい製造業,,株式会社 オリエンタル 稲沢工場,稲沢市大矢町高松１－１,,株式会社 オリエンタル,愛知県名古屋市中村区亀島２丁目２０番２９号,,0587-36-1515,052-451-5151,2022/01/01,2026/12/31,2021/12/15,2021/12/15,,259,株式会社 オリエンタル 稲沢工場,0587,0587-36-1515,,,,稲沢市大矢町高松１－１,愛知県稲沢市大矢町高松１－１,,127602,23,23220,大矢町,,2021/12/15,2021/12/15,2022/01/01,2026/12/31,株式会社 オリエンタル,,052-451-5151,愛知県名古屋市中村区亀島２丁目２０番２９号,愛知県名古屋市中村区亀島２丁目２０番２９号,,114541,愛知県,名古屋市中村区,亀島２,3清保第759-1号,,そうざい製造業,,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,株式会社オリエンタル稲沢工場0587-36-151512760223220,b00ae313-3c24-4cd3-b0ce-85d54aa12248,株式会社オリエンタル114541,3405ceef-2919-4eb2-9ef7-0fed3af8d653,f0442c62-129d-41d4-b156-22582584c793,2021/12/15,株式会社オリエンタル　稲沢工場,株式会社オリエンタル稲沢工場,株式会社オリエンタル
3清保第720-2号,密封包装食品製造業,,株式会社 オリエンタル 稲沢工場,稲沢市大矢町高松１－１,,株式会社 オリエンタル,愛知県名古屋市中村区亀島２丁目２０番２９号,,0587-36-1515,052-451-5151,2022/01/01,2026/12/31,2021/12/15,2021/12/15,,259,株式会社 オリエンタル 稲沢工場,0587,0587-36-1515,,,,稲沢市大矢町高松１－１,愛知県稲沢市大矢町高松１－１,,127602,23,23220,大矢町,,2021/12/15,2021/12/15,2022/01/01,2026/12/31,株式会社 オリエンタル,,052-451-5151,愛知県名古屋市中村区亀島２丁目２０番２９号,愛知県名古屋市中村区亀島２丁目２０番２９号,,114541,愛知県,名古屋市中村区,亀島２,3清保第720-2号,,密封包装食品製造業,,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,株式会社オリエンタル稲沢工場0587-36-151512760223220,b00ae313-3c24-4cd3-b0ce-85d54aa12248,株式会社オリエンタル114541,3405ceef-2919-4eb2-9ef7-0fed3af8d653,1b87f66e-44c8-45e2-8e7d-545f27175d48,2021/12/15,株式会社オリエンタル　稲沢工場,株式会社オリエンタル稲沢工場,株式会社オリエンタル
3清保第701-33号,飲食店営業,一般食堂・レストラン等,喫茶ケニア,稲沢市七ツ寺町地蔵前８－５,,安達 正也,,,0587-36-3557,,2021/12/09,2027/12/31,2021/12/09,2021/12/09,,259,喫茶ケニア,0587,0587-36-3557,,,,稲沢市七ツ寺町地蔵前８－５,愛知県稲沢市七ツ寺町地蔵前８－５,,127720,23,23220,七ツ寺町,,2021/12/09,2021/12/09,2021/12/09,2027/12/31,,安達 正也,,,,,,,,,3清保第701-33号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,喫茶ケニア0587-36-355712772023220,dd7186e8-15b0-48ea-9474-cbe941a368dd,,personal,6b8b24cf-d6d6-40da-82e1-0a5e3309565a,2021/12/09,喫茶ケニア,喫茶ケニア,
3清保第741-80号,飲食店営業,集団給食施設,ＺＥＮＴ稲沢店 食堂,稲沢市増田西町５３番地,,株式会社ベンダーネットサービス,愛知県清須市阿原宮東２６１,,0586-86-1300,052-400-0109,2022/03/01,2028/02/29,2021/12/28,2021/12/28,,259,ＺＥＮＴ稲沢店 食堂,0587,0586-86-1300,,,,稲沢市増田西町５３番地,愛知県稲沢市増田西町５３番地,,127758,23,23220,増田西町,,2021/12/28,2021/12/28,2022/03/01,2028/02/29,株式会社ベンダーネットサービス,,052-400-0109,愛知県清須市阿原宮東２６１,愛知県清須市阿原宮東２６１,,131736,愛知県,清須市,阿原宮東,3清保第741-80号,,飲食店営業, 集団給食施設,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＺＥＮＴ稲沢店食堂0586-86-130012775823220,79182f5c-2f3c-49e0-9866-ce5ab7f9afaa,株式会社ベンダーネットサービス131736,5931d2a6-7453-4502-92a6-fdb2c8727738,74863115-6a7e-4c30-aa89-8031612199cf,2021/12/28,ＺＥＮＴ稲沢店　食堂,ＺＥＮＴ稲沢店食堂,株式会社ベンダーネットサービス
3清保第701-34号,飲食店営業,その他,ファミリーマート 稲沢祖父江曲店,稲沢市祖父江町祖父江曲１３３－１,,永峯 真司,,,0587-98-3622,,2021/12/16,2027/12/31,2021/12/16,2021/12/16,,259,ファミリーマート 稲沢祖父江曲店,0587,0587-98-3622,,,,稲沢市祖父江町祖父江曲１３３－１,愛知県稲沢市祖父江町祖父江曲１３３－１,,128292,23,23220,祖父江町祖父江曲,,2021/12/16,2021/12/16,2021/12/16,2027/12/31,,永峯 真司,,,,,,,,,3清保第701-34号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ファミリマト稲沢祖父江曲店0587-98-362212829223220,8312e997-5c40-440e-a050-d9a97e605b11,,personal,91e0699d-983b-45f0-9168-db24b8949286,2021/12/16,ファミリーマート　稲沢祖父江曲店,ファミリマト稲沢祖父江曲店,
3清保第741-74号,飲食店営業,一般食堂・レストラン等,一平,稲沢市祖父江町甲新田イ九６３－３,,服部 順一,,,0587-97-2804,,2022/01/01,2027/12/31,2021/12/15,2021/12/15,,259,一平,0587,0587-97-2804,,,,稲沢市祖父江町甲新田イ九６３－３,愛知県稲沢市祖父江町甲新田イ九６３－３,,128068,23,23220,祖父江町甲新田イ九,,2021/12/15,2021/12/15,2022/01/01,2027/12/31,,服部 順一,,,,,,,,,3清保第741-74号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,一平0587-97-280412806823220,b37a62e8-4f03-4a41-be5f-e242205ad2bf,,personal,d04a3fb5-61bc-43c0-a2cf-d2d196e1fe00,2021/12/15,一平,一平,
3清保第741-69号,飲食店営業,一般食堂・レストラン等,すてーきてい,稲沢市祖父江町西鵜之本佐屋川２７－２,,伊藤 和義,,,0587-97-2203,,2022/04/01,2028/03/31,2021/12/15,2021/12/15,,259,すてーきてい,0587,0587-97-2203,,,,稲沢市祖父江町西鵜之本佐屋川２７－２,愛知県稲沢市祖父江町西鵜ノ本佐屋川２７－２,,128325,23,23220,祖父江町西鵜ノ本佐屋川,,2021/12/15,2021/12/15,2022/04/01,2028/03/31,,伊藤 和義,,,,,,,,,3清保第741-69号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,すてきてい0587-97-220312832523220,5e8fb8d9-5bab-4859-a7b6-2baeae84ff41,,personal,1ba2b3c5-16f6-4da0-8545-93cd6f894523,2021/12/15,すてーきてい,すてきてい,
3清保第748-5号,菓子製造業,一般,有限会社 松月堂,稲沢市祖父江町本甲神明前８３－９,,有限会社 松月堂,愛知県稲沢市祖父江町本甲神明前８３－９,,0587-97-0373,0587-97-0373,2022/04/01,2028/03/31,2021/12/15,2021/12/15,,259,有限会社 松月堂,0587,0587-97-0373,,,,稲沢市祖父江町本甲神明前８３－９,愛知県稲沢市祖父江町本甲神明前８３－９,,128373,23,23220,祖父江町本甲神明前,,2021/12/15,2021/12/15,2022/04/01,2028/03/31,有限会社 松月堂,,0587-97-0373,愛知県稲沢市祖父江町本甲神明前８３－９,愛知県稲沢市祖父江町本甲神明前８３－９,,128373,愛知県,稲沢市,祖父江町本甲神明前,3清保第748-5号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,有限会社松月堂0587-97-037312837323220,ee06a533-9383-4e14-835c-503e8bd0f2b3,有限会社松月堂128373,27a4a034-b4ee-4ba2-940f-d35bc70b72a2,7b704d14-f4bf-4135-a8a6-b80152cea6b5,2021/12/15,有限会社松月堂,有限会社松月堂,有限会社松月堂
3清保第741-86号,飲食店営業,その他,よりみち,稲沢市祖父江町馬飼東馬飼１８,,後藤 景子,,,0587-97-6002,,2022/04/01,2028/03/31,2021/12/15,2021/12/15,,259,よりみち,0587,0587-97-6002,,,,稲沢市祖父江町馬飼東馬飼１８,愛知県稲沢市祖父江町馬飼東馬飼１８,,128393,23,23220,祖父江町馬飼東馬飼,,2021/12/15,2021/12/15,2022/04/01,2028/03/31,,後藤 景子,,,,,,,,,3清保第741-86号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,よりみち0587-97-600212839323220,2690089f-2e23-4e00-a784-b626b198e7ab,,personal,a958973e-3f40-469a-98c2-05ce7b5b4b95,2021/12/15,よりみち,よりみち,
3清保第741-72号,飲食店営業,その他,智惠,稲沢市平和町横池中之町１１６,,植田 百々代,,,0567-46-1307,,2022/04/01,2028/03/31,2021/12/15,2021/12/15,,259,智惠,0587,0567-46-1307,,,,稲沢市平和町横池中之町１１６,愛知県稲沢市平和町横池中ノ町１１６,,128653,23,23220,平和町横池,,2021/12/15,2021/12/15,2022/04/01,2028/03/31,,植田 百々代,,,,,,,,,3清保第741-72号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,智惠0567-46-130712865323220,4bab9150-94a8-40f8-8e6e-a80b38078f99,,personal,a2a857f9-2a72-4159-bb0e-6c8886bb338c,2021/12/15,智惠,智惠,
3清保第741-66号,飲食店営業,すし,さくら寿し,稲沢市平和町下起南４３,,桜井 隆彦,,,0567-46-3013,,2022/04/01,2028/03/31,2021/12/15,2021/12/15,,259,さくら寿し,0567,0567-46-3013,,,,稲沢市平和町下起南４３,愛知県稲沢市平和町下起南４３,,128544,23,23220,平和町下起南,,2021/12/15,2021/12/15,2022/04/01,2028/03/31,,桜井 隆彦,,,,,,,,,3清保第741-66号,,飲食店営業, すし,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,さくら寿し0567-46-301312854423220,10d4a5c2-16e8-419d-9418-cc768896b78f,,personal,58d79d08-71ab-4450-b1c4-8ed49858034a,2021/12/15,さくら寿し,さくら寿し,
3新保第3-70号,飲食店営業,その他,セブン‐イレブン新城バイパス店,新城市稲木字仲野69番地５３,,合資会社WisteNia.Co.,愛知県新城市稲木字仲野69番地５３,,0536-23-5911,0536-23-5911,2022/01/01,2027/12/31,2021/12/28,2021/12/28,,257,セブン‐イレブン新城バイパス店,0536,0536-23-5911,,,,新城市稲木字仲野69番地５３,愛知県新城市稲木字仲野６９番地５３,,128694,23,23221,稲木,,2021/12/28,2021/12/28,2022/01/01,2027/12/31,合資会社WisteNia.Co.,,0536-23-5911,愛知県新城市稲木字仲野69番地５３,愛知県新城市稲木字仲野６９番地５３,,128694,愛知県,新城市,稲木,3新保第3-70号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,セブンイレブン新城バイパス店0536-23-591112869423221,28e0a0f2-48b8-400d-a0e3-5d6762405a96,合資会社ＷｉｓｔｅＮｉａ．Ｃｏ．128694,20953311-54d9-4d64-ac17-90b559982832,1e748b2d-9e88-4e8a-921f-cdd5a9273b4c,2021/12/28,セブンイレブン新城バイパス店,セブンイレブン新城バイパス店,合資会社ＷｉｓｔｅＮｉａ．Ｃｏ．
3新保第1-57号,食肉販売業,一般,京城苑,新城市一鍬田字畠中４５番地１,,森田 花子,,,0536-22-1616,,2021/12/01,2027/11/30,2021/12/01,2021/12/01,,257,京城苑,0536,0536-22-1616,,,,新城市一鍬田字畠中４５番地１,愛知県新城市一鍬田字畠中４５番地１,,128719,23,23221,一鍬田,,2021/12/01,2021/12/01,2021/12/01,2027/11/30,,森田 花子,,,,,,,,,3新保第1-57号,,食肉販売業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,I,58,583,,京城苑0536-22-161612871923221,3468b31a-0a38-40dd-a432-60eaa155bf17,,personal,564a6871-7946-4f23-b82a-3e4d7cce279f,2021/12/01,京城苑,京城苑,
3新保第3-60号,飲食店営業,一般食堂・レストラン等,鳳城苑,新城市横川字追分２７０番地６,,黒田 雅好,,,0536-25-0301,,2022/02/01,2028/01/31,2021/12/08,2021/12/08,,257,鳳城苑,0536,0536-25-0301,,,,新城市横川字追分２７０番地６,愛知県新城市横川字追分２７０番地６,,128725,23,23221,横川,,2021/12/08,2021/12/08,2022/02/01,2028/01/31,,黒田 雅好,,,,,,,,,3新保第3-60号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,鳳城苑0536-25-030112872523221,93e2f262-929c-4773-a6a2-62da22182acb,,personal,20a97c0a-5bb3-4eeb-8014-1d6b248aa8bc,2021/12/08,鳳城苑,鳳城苑,
3知保第1-359号,飲食店営業,一般食堂・レストラン等,居酒屋 のんこ,東海市名和町トドメキ３７－２,,浦野 のぶ子,,,,,2021/12/17,2027/12/31,2021/12/14,2021/12/14,,258,居酒屋 のんこ,052,,,,,東海市名和町トドメキ３７－２,愛知県東海市名和町トドメキ３７－２,,128847,23,23222,名和町,,2021/12/14,2021/12/14,2021/12/17,2027/12/31,,浦野 のぶ子,,,,,,,,,3知保第1-359号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,居酒屋のんこ12884723222,de3491ea-e018-400b-a8e8-c71aff5e79d0,,personal,f9b33062-29bd-4fe1-b26a-22ab27541c40,2021/12/14,居酒屋　のんこ,居酒屋のんこ,
3知保第1-361号,飲食店営業,一般食堂・レストラン等,食堂Cafe GS名和,東海市名和町三番割上２０,,株式会社グッドスピード,愛知県名古屋市東区泉２－２８－２３,高岳ＫＡＮＡＭＥビル８Ｆ,0120-015-044,052-933-4092,2022/01/01,2027/12/31,2021/12/17,2021/12/17,,258,食堂Cafe GS名和,052,0120-015-044,,,,東海市名和町三番割上２０,愛知県東海市名和町三番割上２０,,128847,23,23222,名和町,,2021/12/17,2021/12/17,2022/01/01,2027/12/31,株式会社グッドスピード,,052-933-4092,愛知県名古屋市東区泉２－２８－２３,愛知県名古屋市東区泉２－２８－２３,高岳ＫＡＮＡＭＥビル８Ｆ,113835,愛知県,名古屋市東区,泉２,3知保第1-361号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,食堂ＣａｆｅＧＳ名和0120-015-04412884723222,9feff0f2-5e28-4721-bcd5-613a0dca6366,株式会社グッドスピード113835,f35c403d-6d0b-4664-b8f3-02ca3c0f07d8,a4164c4f-55fe-4241-b758-99a24c7de870,2021/12/17,食堂Ｃａｆｅ　ＧＳ名和,食堂ＣａｆｅＧＳ名和,株式会社グッドスピード
3知保第5-76号,菓子製造業,一般,食堂Cafe GS名和,東海市名和町三番割上２０,,株式会社グッドスピード,愛知県名古屋市東区泉２－２８－２３,高岳ＫＡＮＡＭＥビル８Ｆ,0120-015-044,052-933-4092,2022/01/01,2027/12/31,2021/12/17,2021/12/17,,258,食堂Cafe GS名和,052,0120-015-044,,,,東海市名和町三番割上２０,愛知県東海市名和町三番割上２０,,128847,23,23222,名和町,,2021/12/17,2021/12/17,2022/01/01,2027/12/31,株式会社グッドスピード,,052-933-4092,愛知県名古屋市東区泉２－２８－２３,愛知県名古屋市東区泉２－２８－２３,高岳ＫＡＮＡＭＥビル８Ｆ,113835,愛知県,名古屋市東区,泉２,3知保第5-76号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,食堂ＣａｆｅＧＳ名和0120-015-04412884723222,9feff0f2-5e28-4721-bcd5-613a0dca6366,株式会社グッドスピード113835,f35c403d-6d0b-4664-b8f3-02ca3c0f07d8,1f52bca7-75f5-4edd-8a7b-a471be0716d0,2021/12/17,食堂Ｃａｆｅ　ＧＳ名和,食堂ＣａｆｅＧＳ名和,株式会社グッドスピード
3知保第1-363号,飲食店営業,集団給食施設,３高炉 東海寮,東海市富木島町東山２７－１,,株式会社ニッコクトラスト,東京都中央区日本橋堀留町２－４－３,,,03-6861-4451,2021/12/20,2027/12/31,2021/12/20,2021/12/20,,258,３高炉 東海寮,052,,,,,東海市富木島町東山２７－１,愛知県東海市富木島町東山２７－１,,128851,23,23222,富木島町,,2021/12/20,2021/12/20,2021/12/20,2027/12/31,株式会社ニッコクトラスト,,03-6861-4451,東京都中央区日本橋堀留町２－４－３,東京都中央区日本橋堀留町２－４－３,,73006,東京都,中央区,日本橋堀留町２,3知保第1-363号,,飲食店営業, 集団給食施設,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,３高炉東海寮12885123222,1729e46a-1277-4d16-b5f5-76af2c7a8f08,株式会社ニッコクトラスト73006,d2f96a38-0563-45b5-a710-8ed139dc8dc9,ee0cbb2c-1394-41fc-aebb-27e78348269b,2021/12/20,３高炉　東海寮,３高炉東海寮,株式会社ニッコクトラスト
3知保第1-365号,飲食店営業,一般食堂・レストラン等,とんかつ しおん,東海市富貴ノ台１－１７５,,株式会社万楽,愛知県名古屋市中川区伏屋２－１８１１,,052-603-6721,,2021/12/22,2027/12/31,2021/12/22,2021/12/22,,258,とんかつ しおん,052,052-603-6721,,,,東海市富貴ノ台１－１７５,愛知県東海市富貴ノ台１－１７５,,128869,23,23222,富貴ノ台１,,2021/12/22,2021/12/22,2021/12/22,2027/12/31,株式会社万楽,,,愛知県名古屋市中川区伏屋２－１８１１,愛知県名古屋市中川区伏屋２－１８１１,,116145,愛知県,名古屋市中川区,伏屋２,3知保第1-365号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,とんかつしおん052-603-672112886923222,cffe307a-ba22-4248-9cb3-857ee85de1f8,株式会社万楽116145,319449ed-d14e-4c84-bba8-9659a34864be,cbd5e633-442a-4295-b4e9-6e7d285f62e8,2021/12/22,とんかつ　しおん,とんかつしおん,株式会社万楽
3知保第5-77号,菓子製造業,一般,偉人の閃き,東海市養父町北反田４３,フラリモ１階,株式会社CIS,三重県鳥羽市堅子町字前山２４４－１,,0562-38-6506,052-775-3441,2021/12/24,2027/12/31,2021/12/24,2021/12/24,,258,偉人の閃き,0562,0562-38-6506,,,,東海市養父町北反田４３,愛知県東海市養父町北反田４３,フラリモ１階,128858,23,23222,養父町,,2021/12/24,2021/12/24,2021/12/24,2027/12/31,株式会社CIS,,052-775-3441,三重県鳥羽市堅子町字前山２４４－１,三重県鳥羽市堅子町字前山２４４－１,,137133,三重県,鳥羽市,堅子町,3知保第5-77号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,偉人の閃き0562-38-650612885823222,0bd1e42e-c7ac-426b-9fca-b56564ceb50f,株式会社ＣＩＳ137133,ae1afba9-f74c-4a7d-ae88-9eaeea3d5dc6,7b0f485e-9279-4f79-baca-cab8385ac938,2021/12/24,偉人の閃き,偉人の閃き,株式会社ＣＩＳ
3知保第1-356号,飲食店営業,集団給食施設,４７７７０事業所,知多市新知字二股２３,ＳＯＲＡ保育園,一冨士フードサービス株式会社,大阪府大阪市北区梅田３－３－２０,明治安田生命大阪梅田ビル２６階,,06-6458-8801,2021/12/07,2027/12/31,2021/12/07,2021/12/07,,258,４７７７０事業所,0562,,,,,知多市新知字二股２３,愛知県知多市新知字二股２３,ＳＯＲＡ保育園,129073,23,23224,新知,,2021/12/07,2021/12/07,2021/12/07,2027/12/31,一冨士フードサービス株式会社,,06-6458-8801,大阪府大阪市北区梅田３－３－２０,大阪府大阪市北区梅田３－３－２０,明治安田生命大阪梅田ビル２６階,155830,大阪府,大阪市北区,梅田３,3知保第1-356号,,飲食店営業, 集団給食施設,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,４７７７０事業所12907323224,0ef4328c-e25a-46fd-91fb-c091c068c648,一冨士フードサービス株式会社155830,8a13d929-4ba2-4d27-95dd-8dbed4f19b9c,d17b07a4-cb27-4a59-aefb-faddbf19523c,2021/12/07,４７７７０事業所,４７７７０事業所,一冨士フードサービス株式会社
3知保第1-362号,飲食店営業,その他,カラオケ喫茶ドレミ,知多市巽が丘４－１６２,,鬼頭 芳邦,,,0562-34-3309,,2021/12/10,2027/12/31,2021/12/10,2021/12/10,,258,カラオケ喫茶ドレミ,0562,0562-34-3309,,,,知多市巽が丘４－１６２,愛知県知多市巽が丘４－１６２,,129140,23,23224,巽が丘４,,2021/12/10,2021/12/10,2021/12/10,2027/12/31,,鬼頭 芳邦,,,,,,,,,3知保第1-362号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,カラオケ喫茶ドレミ0562-34-330912914023224,df16c584-5e61-4603-9960-9f57c29c763d,,personal,d1f238e3-108f-4029-a737-b35627bd7a43,2021/12/10,カラオケ喫茶ドレミ,カラオケ喫茶ドレミ,
3知保第1-357号,飲食店営業,仕出し屋・弁当屋,笑福,知多市中原１－１,,佐々木 昌己,,,,,2021/12/10,2026/12/31,2021/12/10,2021/12/10,,258,笑福,0562,,,,,知多市中原１－１,愛知県知多市中原１－１,,129215,23,23224,中原１,,2021/12/10,2021/12/10,2021/12/10,2026/12/31,,佐々木 昌己,,,,,,,,,3知保第1-357号,,飲食店営業, 仕出し屋・弁当屋,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,笑福12921523224,b93e7a43-ff49-48c4-918f-923359165402,,personal,fd8abcfb-5c9a-43e9-8b98-1bbb76e994d9,2021/12/10,笑福,笑福,
3衣保第2-304号,飲食店営業,その他,ファミリーマート知立弘法店,知立市弘法一丁目１０番１,,有限会社パーソナルサービスコーポレーション,愛知県刈谷市板倉町１丁目４番１,,0566-84-3611,0566-27-1233,2022/01/01,2027/12/31,2021/12/24,2021/12/24,,260,ファミリーマート知立弘法店,0566,0566-84-3611,,,,知立市弘法一丁目１０番１,愛知県知立市弘法１丁目１０番１,,129522,23,23225,弘法１,,2021/12/24,2021/12/24,2022/01/01,2027/12/31,有限会社パーソナルサービスコーポレーション,,0566-27-1233,愛知県刈谷市板倉町１丁目４番１,愛知県刈谷市板倉町１丁目４番１,,122509,愛知県,刈谷市,板倉町１,3衣保第2-304号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ファミリマト知立弘法店0566-84-361112952223225,7d7560d6-29b2-473d-b7f8-1e597c84b689,有限会社パーソナルサービスコーポレーション122509,dbf434ce-0163-494f-a8f4-aa2405dfdab2,57cbc08f-29a4-4ba0-b515-eec1f5552173,2021/12/24,ファミリーマート知立弘法店,ファミリマト知立弘法店,有限会社パーソナルサービスコーポレーション
