https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,n処理終了,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,,業種,,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,その他,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232025,,愛知県,岡崎市,㐂久鮨美合支店,キクズシミアイシテン,飲食店営業,,愛知県岡崎市美合町平地78-21,,,,(0564)51-1793,,,431-01-501-0148,2010/2/10,2020/2/28,2020/3/1,2025/2/28,,,,,,247,㐂久鮨美合支店,0564,0564-51-1793,,,,愛知県岡崎市美合町平地78-21,愛知県岡崎市美合町平地７８－２１,,118285,23,23202,美合町,,2010/02/10,2020/02/28,2020/03/01,2025/02/28,,,,,,,,,,,431-01-501-0148,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,㐂久鮨美合支店0564-51-179311828523202,075fa2bf-f5b1-4317-9bce-7cbcb2c41ea0,,personal,fcf0a8bb-1537-4a24-9969-048bad5fcc8d,2020/02/28,㐂久鮨美合支店,㐂久鮨美合支店,
232025,,愛知県,岡崎市,ｓｗｅｅｔ ｐｏｔａｔｏ 芋や,スイート ポテト イモヤ,菓子製造業,,愛知県岡崎市大門3-6-18,泉ビル１０１,,,(0564)28-1288,,,427-01-510-0039,2010/2/18,2016/2/29,2016/3/1,2022/2/28,,,,,,247,ｓｗｅｅｔ ｐｏｔａｔｏ 芋や,0564,0564-28-1288,,,,愛知県岡崎市大門3-6-18,愛知県岡崎市大門３－６－１８,泉ビル１０１,118376,23,23202,大門３,,2010/02/18,2016/02/29,2016/03/01,2022/02/28,,,,,,,,,,,427-01-510-0039,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,ｓｗｅｅｔｐｏｔａｔｏ芋や0564-28-128811837623202,30550dd9-f96a-43e4-b2fb-a95c40fbae19,,personal,066b99ad-2c14-462b-9686-01851c8ddacb,2016/02/29,ｓｗｅｅｔ　ｐｏｔａｔｏ　芋や,ｓｗｅｅｔｐｏｔａｔｏ芋や,
232025,,愛知県,岡崎市,マーキュリー,マーキュリー,飲食店営業,,愛知県岡崎市六供町3-21,ステープル六供２Ｆ,,,(0564)25-3901,,,430-01-504-0029,2013/7/4,2018/7/31,2018/8/1,2024/7/31,,,,,,247,マーキュリー,0564,0564-25-3901,,,,愛知県岡崎市六供町3-21,愛知県岡崎市六供町３－２１,ステープル六供２Ｆ,118331,23,23202,六供町３,,2013/07/04,2018/07/31,2018/08/01,2024/07/31,,,,,,,,,,,430-01-504-0029,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,マキュリ0564-25-390111833123202,8eb82a52-b051-493e-8782-cf5422142baa,,personal,955227a9-30db-4272-879b-3e6961a5dbd4,2018/07/31,マーキュリー,マキュリ,
232025,,愛知県,岡崎市,旨いもんや 無。,ウマイモンヤ ム。,飲食店営業,,愛知県岡崎市明大寺本町4-31,,,,(0564)25-8035,,,430-01-504-0019,2013/7/12,2018/7/24,2018/8/1,2023/7/31,,,,,,247,旨いもんや 無。,0564,0564-25-8035,,,,愛知県岡崎市明大寺本町4-31,愛知県岡崎市明大寺本町４－３１,,118295,23,23202,明大寺本町４,,2013/07/12,2018/07/24,2018/08/01,2023/07/31,,,,,,,,,,,430-01-504-0019,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,旨いもんや無0564-25-803511829523202,a1488fce-6c1e-4769-ac3b-68143c5ce0a6,,personal,2089527c-1828-483a-9447-ab8612057c4a,2018/07/24,旨いもんや　無。,旨いもんや無,
232025,,愛知県,岡崎市,ガストロ シックス,ガストロ シックス,飲食店営業,,愛知県岡崎市六名1-3-2,,,,(0564)64-2366,,,431-01-501-0053,2013/7/22,2019/7/24,2019/8/1,2025/7/31,,,,,,247,ガストロ シックス,0564,0564-64-2366,,,,愛知県岡崎市六名1-3-2,愛知県岡崎市六名１－３－２,,118423,23,23202,六名１,,2013/07/22,2019/07/24,2019/08/01,2025/07/31,,,,,,,,,,,431-01-501-0053,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ガストロシックス0564-64-236611842323202,c4c27ff3-39a5-4eb3-a441-d61c5730b837,,personal,0ed62cf0-835c-47a5-b676-01b1ee04e975,2019/07/24,ガストロ　シックス,ガストロシックス,
232025,,愛知県,岡崎市,ほっともっと 岡崎井内町店,ホットモット オカザキイナイチョウテン,飲食店営業,,愛知県岡崎市井内町字西浦45-1,,,,(0564)72-4666,,,431-01-502-0015,2013/8/1,2019/7/29,2019/8/1,2025/7/31,,,,,,247,ほっともっと 岡崎井内町店,0564,0564-72-4666,,,,愛知県岡崎市井内町字西浦45-1,愛知県岡崎市井内町字西浦４５－１,,118067,23,23202,井内町,,2013/08/01,2019/07/29,2019/08/01,2025/07/31,,,,,,,,,,,431-01-502-0015,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ほっともっと岡崎井内町店0564-72-466611806723202,83eb9920-a41a-4c32-b7c6-5248db431298,,personal,0c1aa082-2fee-4748-95ca-d9e61488007d,2019/07/29,ほっともっと　岡崎井内町店,ほっともっと岡崎井内町店,
232025,,愛知県,岡崎市,Ｄｒ．Ｓｍｉｔｈ,ドクター スミス,飲食店営業,,愛知県岡崎市明大寺町寺東5-3,鈴熊ビルＢ１Ｆ,,,(0564)83-6349,,,427-01-504-0130,2010/3/29,2016/3/30,2016/4/1,2022/3/31,,,,,,247,Ｄｒ．Ｓｍｉｔｈ,0564,0564-83-6349,,,,愛知県岡崎市明大寺町寺東5-3,愛知県岡崎市明大寺町寺東５－３,鈴熊ビルＢ１Ｆ,118291,23,23202,明大寺町,,2010/03/29,2016/03/30,2016/04/01,2022/03/31,,,,,,,,,,,427-01-504-0130,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ＤｒＳｍｉｔｈ0564-83-634911829123202,819ff923-3a1f-48b6-b0f2-835ef195333d,,personal,26bc40d9-17d5-4cba-8ade-ae9dafcc5ab3,2016/03/30,Ｄｒ．Ｓｍｉｔｈ,ＤｒＳｍｉｔｈ,
232025,,愛知県,岡崎市,ほなの地球ごはん,ホナノチキュウゴハン,飲食店営業,,愛知県岡崎市井ﾉ口新町12-2,１Ｆ,,,(0564)24-3242,,,431-01-501-0056,2013/8/14,2019/8/19,2019/9/1,2025/8/31,,,,,,247,ほなの地球ごはん,0564,0564-24-3242,,,,愛知県岡崎市井ﾉ口新町12-2,愛知県岡崎市井ノ口新町１２－２,１Ｆ,118405,23,23202,井ノ口新町,,2013/08/14,2019/08/19,2019/09/01,2025/08/31,,,,,,,,,,,431-01-501-0056,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ほなの地球ごはん0564-24-324211840523202,ef72e4ca-908d-468b-a1b5-a4108d484617,,personal,d606bc88-927c-4689-b9a3-20815fdf80c7,2019/08/19,ほなの地球ごはん,ほなの地球ごはん,
232025,,愛知県,岡崎市,かつら,カツラ,飲食店営業,,愛知県岡崎市唐沢町1-19-2,スギテックビル１Ｆ,,,(0564)83-7515,,,431-01-504-0048,2013/8/26,2019/8/19,2019/9/1,2025/8/31,,,,,,247,かつら,0564,0564-83-7515,,,,愛知県岡崎市唐沢町1-19-2,愛知県岡崎市唐沢町１－１９－２,スギテックビル１Ｆ,118128,23,23202,唐沢町１,,2013/08/26,2019/08/19,2019/09/01,2025/08/31,,,,,,,,,,,431-01-504-0048,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,かつら0564-83-751511812823202,d23b8037-6d99-4a31-a2b8-842bd591a90a,,personal,1340ff7a-765e-4906-aa29-24ebc78ab1f0,2019/08/19,かつら,かつら,
232025,,愛知県,岡崎市,イザック ７０３,イザック ナナマルサン,飲食店営業,,愛知県岡崎市井ﾉ口新町12-2,１Ｆ,,,(0564)24-1213,,,431-01-504-0067,2013/9/4,2019/9/27,2019/10/1,2025/9/30,,,,,,247,イザック ７０３,0564,0564-24-1213,,,,愛知県岡崎市井ﾉ口新町12-2,愛知県岡崎市井ノ口新町１２－２,１Ｆ,118405,23,23202,井ノ口新町,,2013/09/04,2019/09/27,2019/10/01,2025/09/30,,,,,,,,,,,431-01-504-0067,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,イザック７０３0564-24-121311840523202,c839c233-7372-41a6-ad0d-d993baea892d,,personal,50b60f2b-45c7-49d5-85ee-4a63179bada8,2019/09/27,イザック　７０３,イザック７０３,
232025,,愛知県,岡崎市,シフォン屋 ゆらり,シフォンヤ ユラリ,菓子製造業,,愛知県岡崎市稲熊町8-141-3,,,,(0564)26-6950,,,431-01-510-0033,2013/9/4,2019/9/24,2019/10/1,2025/9/30,,,,,,247,シフォン屋 ゆらり,0564,0564-26-6950,,,,愛知県岡崎市稲熊町8-141-3,愛知県岡崎市稲熊町８－１４１－３,,118076,23,23202,稲熊町８,,2013/09/04,2019/09/24,2019/10/01,2025/09/30,,,,,,,,,,,431-01-510-0033,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,シフォン屋ゆらり0564-26-695011807623202,fc49c507-4290-43ac-af68-73aba538c80a,,personal,4bbf19fb-e655-4229-a709-3afc4f237f3e,2019/09/24,シフォン屋　ゆらり,シフォン屋ゆらり,
232025,,愛知県,岡崎市,居酒屋きむら,イザカヤキムラ,飲食店営業,,愛知県岡崎市三崎町1-5,上地ビル１Ｆ,,,(0564)79-2830,,,431-01-504-0073,2013/9/2,2019/9/30,2019/10/1,2025/9/30,,,,,,247,居酒屋きむら,0564,0564-79-2830,,,,愛知県岡崎市三崎町1-5,愛知県岡崎市三崎町１－５,上地ビル１Ｆ,118347,23,23202,三崎町,,2013/09/02,2019/09/30,2019/10/01,2025/09/30,,,,,,,,,,,431-01-504-0073,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,居酒屋きむら0564-79-283011834723202,1ce42cca-eb03-4720-95dd-db3d636953a0,,personal,2e9d019d-2c90-4495-aff8-dcd1c990ae7f,2019/09/30,居酒屋きむら,居酒屋きむら,
232025,,愛知県,岡崎市,ラーメンふじ美,ラーメンフジミ,飲食店営業,,愛知県岡崎市河原町1-18,４号,,,,,,431-01-501-0071,2013/9/9,2019/9/17,2019/10/1,2025/9/30,,,,,,247,ラーメンふじ美,0564,,,,,愛知県岡崎市河原町1-18,愛知県岡崎市河原町１－１８,４号,118404,23,23202,河原町,,2013/09/09,2019/09/17,2019/10/01,2025/09/30,,,,,,,,,,,431-01-501-0071,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ラメンふじ美11840423202,e2e37a5b-38f8-4dc4-b7bf-52d06dc4bb3b,,personal,96253a15-40f1-4098-8603-4c6118d7a3d5,2019/09/17,ラーメンふじ美,ラメンふじ美,
232025,,愛知県,岡崎市,ｐｕｂ ｓｎａｃｋ ＡＭＩＥ,パブ スナック アミー,飲食店営業,,愛知県岡崎市南明大寺町4-35,東和第１ビル２階,,,,,,431-01-504-0071,2013/9/11,2019/9/30,2019/10/1,2025/9/30,,,,,,247,ｐｕｂ ｓｎａｃｋ ＡＭＩＥ,0564,,,,,愛知県岡崎市南明大寺町4-35,愛知県岡崎市南明大寺町４－３５,東和第１ビル２階,118401,23,23202,南明大寺町,,2013/09/11,2019/09/30,2019/10/01,2025/09/30,,,,,,,,,,,431-01-504-0071,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ｐｕｂｓｎａｃｋＡＭＩＥ11840123202,77ade65e-e783-49b4-a90a-78061e2359e6,,personal,af62d3ea-0a6b-4d58-a5c6-b1fa4f9692be,2019/09/30,ｐｕｂ　ｓｎａｃｋ　ＡＭＩＥ,ｐｕｂｓｎａｃｋＡＭＩＥ,
232025,,愛知県,岡崎市,ライトマン,ライトマン,飲食店営業,,愛知県岡崎市南明大寺町5-1,トップレジャービル ３Ｆ Ａ号,,,(0564)55-1618,,,431-01-504-0062,2013/9/11,2019/9/24,2019/10/1,2025/9/30,,,,,,247,ライトマン,0564,0564-55-1618,,,,愛知県岡崎市南明大寺町5-1,愛知県岡崎市南明大寺町５－１,トップレジャービル ３Ｆ Ａ号,118401,23,23202,南明大寺町,,2013/09/11,2019/09/24,2019/10/01,2025/09/30,,,,,,,,,,,431-01-504-0062,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ライトマン0564-55-161811840123202,5f6cd733-1fac-45c2-9323-337ae15b4df5,,personal,fbe3d06c-0926-4e0e-a486-d0c5b756abd9,2019/09/24,ライトマン,ライトマン,
232025,,愛知県,岡崎市,ちゃのまのごちそう,チャノマノゴチソウ,飲食店営業,,愛知県岡崎市城南町2-6-2,,,,(0564)79-7220,,,502-01-501-0061,2010/3/31,2020/8/6,2020/9/1,2025/8/31,,,,,,247,ちゃのまのごちそう,0564,0564-79-7220,,,,愛知県岡崎市城南町2-6-2,愛知県岡崎市城南町２－６－２,,118369,23,23202,城南町２,,2010/03/31,2020/08/06,2020/09/01,2025/08/31,,,,,,,,,,,502-01-501-0061,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ちゃのまのごちそう0564-79-722011836923202,e917869d-a254-460c-afe4-b90971643822,,personal,216cde19-0e29-4bd9-8948-83abe71d448a,2020/08/06,ちゃのまのごちそう,ちゃのまのごちそう,
232025,,愛知県,岡崎市,成瀬屋,ナルセヤ,飲食店営業,,愛知県岡崎市羽根町字若宮6-4,,,,(0564)51-2743,,,427-01-501-0143,2010/3/31,2016/3/16,2016/4/1,2022/3/31,,,,,,247,成瀬屋,0564,0564-51-2743,,,,愛知県岡崎市羽根町字若宮6-4,愛知県岡崎市羽根町字若宮６－４,,118251,23,23202,羽根町,,2010/03/31,2016/03/16,2016/04/01,2022/03/31,,,,,,,,,,,427-01-501-0143,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,成瀬屋0564-51-274311825123202,f267dc5f-9171-40f5-9295-b5f010e4e51c,,personal,4cc43751-0a49-44ec-a4b9-1255194bf3f8,2016/03/16,成瀬屋,成瀬屋,
232025,,愛知県,岡崎市,Ｍ,エム,飲食店営業,,愛知県岡崎市康生通東2-38,,,,(0564)25-1606,,,431-01-504-0072,2013/9/27,2019/9/30,2019/10/1,2025/9/30,,,,,,247,Ｍ,0564,0564-25-1606,,,,愛知県岡崎市康生通東2-38,愛知県岡崎市康生通東２－３８,,118364,23,23202,康生通東２,,2013/09/27,2019/09/30,2019/10/01,2025/09/30,,,,,,,,,,,431-01-504-0072,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,Ｍ0564-25-160611836423202,582b51ec-5056-4394-870d-46fd38a6966f,,personal,bbd23763-77ee-4027-96db-a5d56a8f7156,2019/09/30,Ｍ,Ｍ,
232025,,愛知県,岡崎市,マルココーヒーサービス,マルココーヒーサービス,飲食店営業,,愛知県岡崎,800 さ 1706 ﾜｰｹﾞﾝﾊﾞｽﾀｲﾌﾟⅡ,,,,,,430-01-504-0065,2013/10/3,2018/10/29,2018/11/1,2023/10/31,,,自動車による営業に限る（愛知県内有効）,,,247,マルココーヒーサービス,0564,,,,,愛知県岡崎,愛知県岡崎市,800 さ 1706 ﾜｰｹﾞﾝﾊﾞｽﾀｲﾌﾟⅡ,118034,23,23202,,,2013/10/03,2018/10/29,2018/11/01,2023/10/31,,,,,,,,,,,430-01-504-0065,,飲食店営業,,自動車による営業に限る（愛知県内有効）,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,マルココヒサビス11803423202,c9d404b7-60f6-4708-b3b2-8b2cc70907cb,,personal,d8a7a140-3535-4555-8274-d735973b1c59,2018/10/29,マルココーヒーサービス,マルココヒサビス,
232025,,愛知県,岡崎市,かぼちゃの馬車,カボチャノバシャ,飲食店営業,,愛知県岡崎市六名南1-4-1,小野英憲店舗１号,,,(0564)55-2661,,,431-01-504-0084,2013/10/10,2019/10/31,2019/11/1,2025/10/31,,,,,,247,かぼちゃの馬車,0564,0564-55-2661,,,,愛知県岡崎市六名南1-4-1,愛知県岡崎市六名南１－４－１,小野英憲店舗１号,118384,23,23202,六名南１,,2013/10/10,2019/10/31,2019/11/01,2025/10/31,,,,,,,,,,,431-01-504-0084,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,かぼちゃの馬車0564-55-266111838423202,0b45b1f8-79e5-487d-a1bc-2d93a03101c0,,personal,41b96509-a175-40a0-9765-1da78c5353a7,2019/10/31,かぼちゃの馬車,かぼちゃの馬車,
232025,,愛知県,岡崎市,Ｗａ蔵,ワクラ,飲食店営業,,愛知県岡崎市上地5-1-13,,,,(0564)71-5070,,,431-01-502-0021,2013/10/23,2019/10/16,2019/11/1,2025/10/31,,,,,,247,Ｗａ蔵,0564,0564-71-5070,,,,愛知県岡崎市上地5-1-13,愛知県岡崎市上地５－１－１３,,118465,23,23202,上地５,,2013/10/23,2019/10/16,2019/11/01,2025/10/31,,,,,,,,,,,431-01-502-0021,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,Ｗａ蔵0564-71-507011846523202,196631d7-6e4e-47e1-ac6e-2fa177cc8371,,personal,436819a5-7c54-4b87-8809-0f4d0a3e40b7,2019/10/16,Ｗａ蔵,Ｗａ蔵,
232025,,愛知県,岡崎市,韓国家庭料理 青山,カンコクカテイリョウリ アオヤマ,飲食店営業,,愛知県岡崎市菅生町管生47,,,,(0564)21-5155,,,430-01-501-0094,2013/10/23,2018/10/31,2018/11/1,2023/10/31,,,,,,247,韓国家庭料理 青山,0564,0564-21-5155,,,,愛知県岡崎市菅生町管生47,愛知県岡崎市菅生町管生４７,,118180,23,23202,菅生町,,2013/10/23,2018/10/31,2018/11/01,2023/10/31,,,,,,,,,,,430-01-501-0094,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,韓国家庭料理青山0564-21-515511818023202,b79fa359-9cd9-4378-9323-c3bc5050a5a8,,personal,9b325b2b-7893-494b-b9bf-19132de4378f,2018/10/31,韓国家庭料理　青山,韓国家庭料理青山,
232025,,愛知県,岡崎市,Ｃｈｅｚ ＴＯＭＯ,シェ トモ,飲食店営業,,愛知県岡崎市六名3-1-12,,,,(0564)83-5689,,,431-01-501-0085,2013/10/25,2019/10/9,2019/11/1,2025/10/31,,,,,,247,Ｃｈｅｚ ＴＯＭＯ,0564,0564-83-5689,,,,愛知県岡崎市六名3-1-12,愛知県岡崎市六名３－１－１２,,118425,23,23202,六名３,,2013/10/25,2019/10/09,2019/11/01,2025/10/31,,,,,,,,,,,431-01-501-0085,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ＣｈｅｚＴＯＭＯ0564-83-568911842523202,052b58eb-c780-453b-813f-35b3fccc9733,,personal,1720e958-e7f1-4a2a-98e0-cf0ff2bf7acf,2019/10/09,Ｃｈｅｚ　ＴＯＭＯ,ＣｈｅｚＴＯＭＯ,
232025,,愛知県,岡崎市,イグ・サロン,イグ・サロン,魚介類販売業,,愛知県岡崎市能見通1-12,,,,(0564)24-8360,,,430-01-509-0013,2013/10/21,2018/10/25,2018/11/1,2023/10/31,,,,,,247,イグ・サロン,0564,0564-24-8360,,,,愛知県岡崎市能見通1-12,愛知県岡崎市能見通１－１２,,118235,23,23202,能見通１,,2013/10/21,2018/10/25,2018/11/01,2023/10/31,,,,,,,,,,,430-01-509-0013,,魚介類販売業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,I,58,,,イグサロン0564-24-836011823523202,845d9554-8df6-449e-aa55-0e6c922007f9,,personal,24acc49d-18ff-4dbf-a8b3-0ab84bd54240,2018/10/25,イグ・サロン,イグサロン,
232025,,愛知県,岡崎市,ＲＯＢＡＴＡ いろは,ロバタ イロハ,飲食店営業,,愛知県岡崎市鴨田町字辻1-1,,,,(0564)25-0900,,,431-01-504-0081,2013/10/21,2019/10/30,2019/11/1,2025/10/31,,,,,,247,ＲＯＢＡＴＡ いろは,0564,0564-25-0900,,,,愛知県岡崎市鴨田町字辻1-1,愛知県岡崎市鴨田町字辻１－１,,118125,23,23202,鴨田町,,2013/10/21,2019/10/30,2019/11/01,2025/10/31,,,,,,,,,,,431-01-504-0081,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ＲＯＢＡＴＡいろは0564-25-090011812523202,7497edd5-3d8d-48dc-a88b-435798138aed,,personal,25579a75-458b-42ae-9653-58cbda8134cd,2019/10/30,ＲＯＢＡＴＡ　いろは,ＲＯＢＡＴＡいろは,
232025,,愛知県,岡崎市,イグ・サロン,イグ・サロン,飲食店営業,,愛知県岡崎市能見通1-12,,,,(0564)24-8360,,,430-01-504-0063,2013/10/21,2018/10/25,2018/11/1,2023/10/31,,,,,,247,イグ・サロン,0564,0564-24-8360,,,,愛知県岡崎市能見通1-12,愛知県岡崎市能見通１－１２,,118235,23,23202,能見通１,,2013/10/21,2018/10/25,2018/11/01,2023/10/31,,,,,,,,,,,430-01-504-0063,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,イグサロン0564-24-836011823523202,845d9554-8df6-449e-aa55-0e6c922007f9,,personal,c5b7389d-cff0-4c2b-8add-6bf42fa33368,2018/10/25,イグ・サロン,イグサロン,
232025,,愛知県,岡崎市,イグ・サロン,イグ・サロン,食肉販売業,,愛知県岡崎市能見通1-12,,,,(0564)24-8360,,,430-01-507-0017,2013/10/21,2018/10/25,2018/11/1,2023/10/31,,,,,,247,イグ・サロン,0564,0564-24-8360,,,,愛知県岡崎市能見通1-12,愛知県岡崎市能見通１－１２,,118235,23,23202,能見通１,,2013/10/21,2018/10/25,2018/11/01,2023/10/31,,,,,,,,,,,430-01-507-0017,,食肉販売業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,I,58,583,,イグサロン0564-24-836011823523202,845d9554-8df6-449e-aa55-0e6c922007f9,,personal,816f4e5b-2bef-493d-9abe-bbb660672c5c,2018/10/25,イグ・サロン,イグサロン,
232025,,愛知県,岡崎市,２階の喫茶店 ＧＰ,ニカイノキッサテン ジーピー,飲食店営業,,愛知県岡崎市上和田町字ｻｼﾞ10,ピアゴ上和田店２Ｆ,,,(0564)55-0339,,,431-01-501-0083,2013/11/1,2019/10/9,2019/11/1,2025/10/31,,,,,,247,２階の喫茶店 ＧＰ,0564,0564-55-0339,,,,愛知県岡崎市上和田町字ｻｼﾞ10,愛知県岡崎市上和田町字ｻｼﾞ１０,ピアゴ上和田店２Ｆ,118121,23,23202,上和田町,,2013/11/01,2019/10/09,2019/11/01,2025/10/31,,,,,,,,,,,431-01-501-0083,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,２階の喫茶店ＧＰ0564-55-033911812123202,627d0d80-798e-4f34-82f2-dd67e75b62e4,,personal,8bfcbbc5-884e-438b-984f-29126fc20581,2019/10/09,２階の喫茶店　ＧＰ,２階の喫茶店ＧＰ,
232025,,愛知県,岡崎市,五月,サツキ,飲食店営業,,愛知県岡崎市欠町字網笠2-2,宇野ビル２Ｆ北,,,(0564)64-2351,,,431-01-504-0079,2013/11/1,2019/10/23,2019/11/1,2025/10/31,,,,,,247,五月,0564,0564-64-2351,,,,愛知県岡崎市欠町字網笠2-2,愛知県岡崎市欠町字網笠２－２,宇野ビル２Ｆ北,118110,23,23202,欠町,,2013/11/01,2019/10/23,2019/11/01,2025/10/31,,,,,,,,,,,431-01-504-0079,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,五月0564-64-235111811023202,73132359-8530-4997-a87e-047e9a433b99,,personal,4784f789-5be2-4239-8f37-8de78de7328a,2019/10/23,五月,五月,
232025,,愛知県,岡崎市,ダイニングバー藍離宮,ダイニングバーアイリキュウ,飲食店営業,,愛知県岡崎市日名南町9-5,,,,(0564)25-1210,,,431-01-504-0093,2013/11/5,2019/11/28,2019/12/1,2025/11/30,,,,,,247,ダイニングバー藍離宮,0564,0564-25-1210,,,,愛知県岡崎市日名南町9-5,愛知県岡崎市日名南町９－５,,118264,23,23202,日名南町,,2013/11/05,2019/11/28,2019/12/01,2025/11/30,,,,,,,,,,,431-01-504-0093,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ダイニングバ藍離宮0564-25-121011826423202,79753428-a3ca-4013-90a8-1753d8986e15,,personal,9e299f46-d92a-4d43-a008-75df0e617f53,2019/11/28,ダイニングバー藍離宮,ダイニングバ藍離宮,
232025,,愛知県,岡崎市,肉力,ニクリキ,食肉販売業,,愛知県岡崎市梅園町1-3,フレッシュショップあいランド,,,(0564)22-1356,,,431-01-507-0025,2013/11/5,2019/11/11,2019/12/1,2025/11/30,,,,,,247,肉力,0564,0564-22-1356,,,,愛知県岡崎市梅園町1-3,愛知県岡崎市梅園町１－３,フレッシュショップあいランド,118088,23,23202,梅園町１,,2013/11/05,2019/11/11,2019/12/01,2025/11/30,,,,,,,,,,,431-01-507-0025,,食肉販売業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,I,58,583,,肉力0564-22-135611808823202,4b4f1830-5b3a-40aa-bd5e-94aa6f07dfeb,,personal,bac2b708-be8a-4de1-ac7d-5da6e86236ab,2019/11/11,肉力,肉力,
232025,,愛知県,岡崎市,パティスリー マツイ,パティスリー マツイ,菓子製造業,,愛知県岡崎市庄司田3-1-10,,,,(0564)54-0720,,,431-01-510-0045,2013/11/7,2019/11/11,2019/12/1,2025/11/30,,,,,,247,パティスリー マツイ,0564,0564-54-0720,,,,愛知県岡崎市庄司田3-1-10,愛知県岡崎市庄司田３－１－１０,,118471,23,23202,庄司田３,,2013/11/07,2019/11/11,2019/12/01,2025/11/30,,,,,,,,,,,431-01-510-0045,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,パティスリマツイ0564-54-072011847123202,66def8e7-1212-4260-85ce-386ea6681d4e,,personal,bc8e8f0c-cac2-4f9b-b0ee-c953792f74e1,2019/11/11,パティスリー　マツイ,パティスリマツイ,
