https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-マンション名,申請者1,業種,申請区分,施設-電話番号1,開業年月日,許可年月日,確認番号,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業の種類,申請区分,施設電話番号,初回許可日,許可年月日（有効期間始期）,許可番号,営業者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
家ごはん屋ＮＥＯ,東京都北区赤羽一丁目４７番５号,大好ビル１階,株式会社ＮＥＯ,飲食店営業,新規,03-3903-5307,2021/11/26,2021/11/26,3北健生食き第686号,03-5939-6882,,196,家ごはん屋ＮＥＯ,03,03-3903-5307,,,,東京都北区赤羽一丁目４７番５号,東京都北区赤羽１丁目４７番５号,大好ビル１階,74860,13,13117,赤羽１,,2021/11/26,2021/11/26,,,株式会社ＮＥＯ,,03-5939-6882,,,,,,,,3北健生食き第686号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,家ごはん屋ＮＥＯ03-3903-53077486013117,4fb46066-7ce4-4bfa-b5df-b79449b83209,株式会社ＮＥＯ,e184be2b-6173-44af-9cd1-f5b6edbd4930,c0ec4345-c7db-423c-afb1-9b230b1cc369,2021/11/26,家ごはん屋ＮＥＯ,家ごはん屋ＮＥＯ,株式会社ＮＥＯ
Ｅａｒｔｈ Ｃｏｌｏｒ カフェ＆バル,東京都北区赤羽一丁目５０番１号,１Ｆ,高見　理恵子,飲食店営業,新規,,2021/12/6,2021/12/6,3北健生食き第702号,,,196,Ｅａｒｔｈ Ｃｏｌｏｒ カフェ＆バル,03,,,,,東京都北区赤羽一丁目５０番１号,東京都北区赤羽１丁目５０番１号,１Ｆ,74860,13,13117,赤羽１,,2021/12/06,2021/12/06,,,,高見　理恵子,,,,,,,,,3北健生食き第702号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＥａｒｔｈＣｏｌｏｒカフェバル7486013117,a6f2c9a5-f763-4d66-abf7-f79224406d78,,personal,182cbab7-5e52-46e0-8e44-666d1ab99aa4,2021/12/06,Ｅａｒｔｈ　Ｃｏｌｏｒ　カフェ＆バル,ＥａｒｔｈＣｏｌｏｒカフェバル,
酒菜や　あ・うん,東京都北区赤羽一丁目５２番４号,,諸星　摩美子,飲食店営業,新規,03-3598-5949,2021/12/21,2021/12/21,3北健生食き第735号,,,196,酒菜や　あ・うん,03,03-3598-5949,,,,東京都北区赤羽一丁目５２番４号,東京都北区赤羽１丁目５２番４号,,74860,13,13117,赤羽１,,2021/12/21,2021/12/21,,,,諸星　摩美子,,,,,,,,,3北健生食き第735号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,酒菜やあうん03-3598-59497486013117,968ece4f-50a8-42d2-bcbc-3a4c7ec5fd08,,personal,77b86ffb-bfb8-45ff-b2ed-79f0c3be3025,2021/12/21,酒菜や　あ・うん,酒菜やあうん,
,東京都北区赤羽一丁目５３番５号,,宮川定子,飲食店営業,新規,03-3902-2513,2021/11/30,2021/11/30,3北健生食き第695号,,,196,,03,03-3902-2513,,,,東京都北区赤羽一丁目５３番５号,東京都北区赤羽１丁目５３番５号,,74860,13,13117,赤羽１,,2021/11/30,2021/11/30,,,,宮川定子,,,,,,,,,3北健生食き第695号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,03-3902-25137486013117,a94cb4c7-41d0-482a-b586-0a6c0de90300,,personal,5cf700e8-cfd8-4603-af5e-332474f11a82,2021/11/30,,,
赤土竜,東京都北区赤羽二丁目２０番４号,尾嶋ビル地下１階,株式会社Valentia,飲食店営業,新規,,2021/12/14,2021/12/14,3北健生食き第741号,,,196,赤土竜,03,,,,,東京都北区赤羽二丁目２０番４号,東京都北区赤羽２丁目２０番４号,尾嶋ビル地下１階,74861,13,13117,赤羽２,,2021/12/14,2021/12/14,,,株式会社Valentia,,,,,,,,,,3北健生食き第741号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,赤土竜7486113117,69cd6167-511f-46c1-983c-f95fdda3e040,株式会社Ｖａｌｅｎｔｉａ,81b7c8ac-d120-4ff3-b8ab-fb9aa969ee8e,3cb035b6-d747-470d-934a-726e529bedc3,2021/12/14,赤土竜,赤土竜,株式会社Ｖａｌｅｎｔｉａ
バーズ,東京都北区赤羽二丁目２０番５号,グロリアハイツ１F,樋口かおり,飲食店営業,新規,03-3902-0072,2021/11/19,2021/11/19,3北健生食き第670号,,,196,バーズ,03,03-3902-0072,,,,東京都北区赤羽二丁目２０番５号,東京都北区赤羽２丁目２０番５号,グロリアハイツ１F,74861,13,13117,赤羽２,,2021/11/19,2021/11/19,,,,樋口かおり,,,,,,,,,3北健生食き第670号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,バズ03-3902-00727486113117,875f0461-5907-4fb0-9b8a-c1a1945f508b,,personal,b3205f89-250c-4880-b091-c2c6b4891459,2021/11/19,バーズ,バズ,
青猫書房,東京都北区赤羽二丁目２８番８号,,岩瀬孝祥,飲食店営業,新規,03-3901-4080,2021/12/15,2021/12/15,3北健生食き第726号,,,196,青猫書房,03,03-3901-4080,,,,東京都北区赤羽二丁目２８番８号,東京都北区赤羽２丁目２８番８号,,74861,13,13117,赤羽２,,2021/12/15,2021/12/15,,,,岩瀬孝祥,,,,,,,,,3北健生食き第726号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,青猫書房03-3901-40807486113117,31d010ad-afe0-46be-a45a-70ecc0ebe451,,personal,b060f2e4-a699-48ae-b75c-54b7e86660c0,2021/12/15,青猫書房,青猫書房,
カラオケパブ　夕月,東京都北区赤羽二丁目６６番２号,法月ハイム102,法月　千惠,飲食店営業,新規,03-3598-3786,2021/11/1,2021/11/1,3北健生食き第618号,,,196,カラオケパブ　夕月,03,03-3598-3786,,,,東京都北区赤羽二丁目６６番２号,東京都北区赤羽２丁目６６番２号,法月ハイム102,74861,13,13117,赤羽２,,2021/11/01,2021/11/01,,,,法月　千惠,,,,,,,,,3北健生食き第618号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,カラオケパブ夕月03-3598-37867486113117,b671aa14-c6fb-459c-831f-9174c2372b1d,,personal,7a955a2e-4585-4715-a537-8c71be39166d,2021/11/01,カラオケパブ　夕月,カラオケパブ夕月,
ライフアクトピア北赤羽店,東京都北区赤羽北二丁目３１番２２号,,株式会社ライフコーポレーション,飲食店営業,新規,03-5993-3171,2021/12/10,2021/12/10,3北健生食き第661号,03-3661-4001,,196,ライフアクトピア北赤羽店,03,03-5993-3171,,,,東京都北区赤羽北二丁目３１番２２号,東京都北区赤羽北２丁目３１番２２号,,74864,13,13117,赤羽北２,,2021/12/10,2021/12/10,,,株式会社ライフコーポレーション,,03-3661-4001,,,,,,,,3北健生食き第661号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ライフアクトピア北赤羽店03-5993-31717486413117,e1e90256-bc70-4c88-9971-cfa55f12cba3,株式会社ライフコーポレーション,3bd25a3f-d3ea-4535-9f3a-597153e6fe8c,e033239b-3c9a-462a-b66f-26a8ad61867c,2021/12/10,ライフアクトピア北赤羽店,ライフアクトピア北赤羽店,株式会社ライフコーポレーション
ラーメン居酒屋おおはし,東京都北区赤羽北二丁目３２番１１号,,株式会社ヒロ・フーズ,飲食店営業,新規,03-3909-9111,2021/11/19,2021/11/19,3北健生食き第650号,048-863-6427,,196,ラーメン居酒屋おおはし,03,03-3909-9111,,,,東京都北区赤羽北二丁目３２番１１号,東京都北区赤羽北２丁目３２番１１号,,74864,13,13117,赤羽北２,,2021/11/19,2021/11/19,,,株式会社ヒロ・フーズ,,048-863-6427,,,,,,,,3北健生食き第650号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ラメン居酒屋おおはし03-3909-91117486413117,7e1fe948-31a6-4a58-a6fc-445720064727,株式会社ヒロ・フーズ,7d2d0bdb-d2cc-46df-baf7-6489990d495b,1f4e250a-5895-496d-9d71-0789794db211,2021/11/19,ラーメン居酒屋おおはし,ラメン居酒屋おおはし,株式会社ヒロ・フーズ
㈱イトーヨーカドー　赤羽店,東京都北区赤羽西一丁目７番１号,,株式会社　イトーヨーカ堂,飲食店営業,新規,03-3905-5111,2021/11/16,2021/11/16,3北健生食き第644号,03-6238-2111,,196,㈱イトーヨーカドー　赤羽店,03,03-3905-5111,,,,東京都北区赤羽西一丁目７番１号,東京都北区赤羽西１丁目７番１号,,74870,13,13117,赤羽西１,,2021/11/16,2021/11/16,,,株式会社　イトーヨーカ堂,,03-6238-2111,,,,,,,,3北健生食き第644号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,株式会社イトヨカド赤羽店03-3905-51117487013117,d0e1364f-916c-4f9e-94ad-4a3d8d369634,株式会社イトーヨーカ堂,0ce7ef69-8d74-4ef2-95d8-beeb02550654,2981e114-fe6e-4e21-89a3-a2373f1c1e8c,2021/11/16,株式会社イトーヨーカドー　赤羽店,株式会社イトヨカド赤羽店,株式会社イトーヨーカ堂
nomka,東京都北区赤羽西一丁目７番１号,パルロード３ループ館８　,五十嵐　祐二,飲食店営業,新規,03-5948-4233,2021/11/25,2021/11/25,3北健生食き第638号,,,196,nomka,03,03-5948-4233,,,,東京都北区赤羽西一丁目７番１号,東京都北区赤羽西１丁目７番１号,パルロード３ループ館８　,74870,13,13117,赤羽西１,,2021/11/25,2021/11/25,,,,五十嵐　祐二,,,,,,,,,3北健生食き第638号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ｎｏｍｋａ03-5948-42337487013117,3615c557-ffc9-4355-bf09-ff462d853041,,personal,a8a1bd52-3904-4fef-9c8f-d6cec7436955,2021/11/25,ｎｏｍｋａ,ｎｏｍｋａ,
寿司春,東京都北区赤羽西一丁目１７番７号,,髙橋春雄,飲食店営業,新規,03-3900-5213,2021/12/21,2021/12/21,3北健生食き第705号,,,196,寿司春,03,03-3900-5213,,,,東京都北区赤羽西一丁目１７番７号,東京都北区赤羽西１丁目１７番７号,,74870,13,13117,赤羽西１,,2021/12/21,2021/12/21,,,,髙橋春雄,,,,,,,,,3北健生食き第705号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,寿司春03-3900-52137487013117,6c423286-ddde-41c9-8ddc-b04fce4c316b,,personal,bfa04b67-cec3-42e3-84a9-a89fe77dd231,2021/12/21,寿司春,寿司春,
ダイコク,東京都北区赤羽西六丁目６番１１号,,有限会社大黒商店,飲食店営業,新規,03-3907-1229,2021/11/22,2021/11/22,3北健生食き第672号,03-3907-1229,,196,ダイコク,03,03-3907-1229,,,,東京都北区赤羽西六丁目６番１１号,東京都北区赤羽西６丁目６番１１号,,74875,13,13117,赤羽西６,,2021/11/22,2021/11/22,,,有限会社大黒商店,,03-3907-1229,,,,,,,,3北健生食き第672号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ダイコク03-3907-12297487513117,5f90c675-ce8c-4499-b816-8b6a7cf8badc,有限会社大黒商店,f13a2bf4-d478-44db-88d2-eb5ec03ab135,4508653d-e2d5-4fd3-9f81-cfcb3357cdc6,2021/11/22,ダイコク,ダイコク,有限会社大黒商店
カラオケバー　ウィズ,東京都北区赤羽南一丁目５番７号,クレアシオン赤羽ビル４階４０４号,合同会社MRG,飲食店営業,新規,03-6903-8211,2021/11/11,2021/11/11,3北健生食き第634号,03-6903-8211,,196,カラオケバー　ウィズ,03,03-6903-8211,,,,東京都北区赤羽南一丁目５番７号,東京都北区赤羽南１丁目５番７号,クレアシオン赤羽ビル４階４０４号,74876,13,13117,赤羽南１,,2021/11/11,2021/11/11,,,合同会社MRG,,03-6903-8211,,,,,,,,3北健生食き第634号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,カラオケバウィズ03-6903-82117487613117,e6735838-68c7-4456-862e-9266431c84b3,合同会社ＭＲＧ,8a0ecdfe-6d37-4f19-9175-db31ae19be1f,843bd579-5349-4d8b-a29e-202efef4656b,2021/11/11,カラオケバー　ウィズ,カラオケバウィズ,合同会社ＭＲＧ
インド料理　さくら,東京都北区浮間一丁目１番５号,,エベレストインポート株式会社,飲食店営業,新規,,2021/11/2,2021/11/2,3北健生食き第625号,,,196,インド料理　さくら,03,,,,,東京都北区浮間一丁目１番５号,東京都北区浮間１丁目１番５号,,74879,13,13117,浮間１,,2021/11/02,2021/11/02,,,エベレストインポート株式会社,,,,,,,,,,3北健生食き第625号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,インド料理さくら7487913117,3e82f55f-ff4e-43b1-bad5-a87c3089e9d1,エベレストインポート株式会社,fd28a0bf-fd8b-40af-aa43-a6f6263c990f,9361b961-2f19-45a5-8f93-caccd05d50b2,2021/11/02,インド料理　さくら,インド料理さくら,エベレストインポート株式会社
スナックＫ,東京都北区浮間一丁目７番２３号,,鹿山喜代子,飲食店営業,新規,03-3558-3800,2021/12/16,2021/12/16,3北健生食き第719号,,,196,スナックＫ,03,03-3558-3800,,,,東京都北区浮間一丁目７番２３号,東京都北区浮間１丁目７番２３号,,74879,13,13117,浮間１,,2021/12/16,2021/12/16,,,,鹿山喜代子,,,,,,,,,3北健生食き第719号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,スナックＫ03-3558-38007487913117,e69b6e05-b902-4718-a7a9-b925ca6a9bd5,,personal,094524bd-be4c-45c5-b347-e75ffef65b2a,2021/12/16,スナックＫ,スナックＫ,
関東餃子酒場,東京都北区浮間三丁目１番４１号,大久保ビル２F,王秋岩,飲食店営業,新規,03-5392-2390,2021/11/12,2021/11/12,3北健生食き第641号,,,196,関東餃子酒場,03,03-5392-2390,,,,東京都北区浮間三丁目１番４１号,東京都北区浮間３丁目１番４１号,大久保ビル２F,74881,13,13117,浮間３,,2021/11/12,2021/11/12,,,,王秋岩,,,,,,,,,3北健生食き第641号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,関東餃子酒場03-5392-23907488113117,ce9dc889-8775-4e75-8302-d97f79fe111e,,personal,ec6dcaad-9467-4044-8a8c-5f4f17a7c402,2021/11/12,関東餃子酒場,関東餃子酒場,
がや我屋,東京都北区浮間三丁目１番４１号,田口ビル１０２,株式会社ＳＴＹ・Ｗ,飲食店営業,新規,03-3966-6116,2021/12/7,2021/12/7,3北健生食き第709号,03-5970-2177,,196,がや我屋,03,03-3966-6116,,,,東京都北区浮間三丁目１番４１号,東京都北区浮間３丁目１番４１号,田口ビル１０２,74881,13,13117,浮間３,,2021/12/07,2021/12/07,,,株式会社ＳＴＹ・Ｗ,,03-5970-2177,,,,,,,,3北健生食き第709号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,がや我屋03-3966-61167488113117,c9e40760-13f5-4c1e-88fa-cab01025381c,株式会社ＳＴＹ・Ｗ,24c190a0-4482-4b92-93b2-aa25330488b0,c4e5dfe3-0b73-41af-8c11-38dca9ec1931,2021/12/07,がや我屋,がや我屋,株式会社ＳＴＹ・Ｗ
OASIS,東京都北区浮間三丁目１番４１号,１０２,株式会社ベストウェア,飲食店営業,新規,,2021/11/30,2021/11/30,3北健生食き第665号,,,196,OASIS,03,,,,,東京都北区浮間三丁目１番４１号,東京都北区浮間３丁目１番４１号,１０２,74881,13,13117,浮間３,,2021/11/30,2021/11/30,,,株式会社ベストウェア,,,,,,,,,,3北健生食き第665号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＯＡＳＩＳ7488113117,7a61bda0-5b79-41ae-a289-8f5248271a3f,株式会社ベストウェア,d2c10dd9-70f6-4428-a0e3-557d8909f1f1,b7167f69-5ca1-49ba-bc96-3fce13d36583,2021/11/30,ＯＡＳＩＳ,ＯＡＳＩＳ,株式会社ベストウェア
三九〇酒場,東京都北区浮間三丁目１番４１号,大久保ビル２F,清水玲,飲食店営業,新規,03-5392-2390,2021/11/12,2021/11/12,3北健生食き第640号,,,196,三九〇酒場,03,03-5392-2390,,,,東京都北区浮間三丁目１番４１号,東京都北区浮間３丁目１番４１号,大久保ビル２F,74881,13,13117,浮間３,,2021/11/12,2021/11/12,,,,清水玲,,,,,,,,,3北健生食き第640号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,三九酒場03-5392-23907488113117,cbbaf8bc-dbfb-4110-8a4c-0922cda2d184,,personal,301339e3-4a9c-46af-8361-ed3c5da0dd73,2021/11/12,三九〇酒場,三九酒場,
しげんcafé green,東京都北区浮間四丁目１番２６号,,特定非営利活動法人わくわくかん,飲食店営業,新規,03-6454-9020,2021/12/14,2021/12/14,3北健生食き第697号,03-3598-3337,,196,しげんcafé green,03,03-6454-9020,,,,東京都北区浮間四丁目１番２６号,東京都北区浮間４丁目１番２６号,,74882,13,13117,浮間４,,2021/12/14,2021/12/14,,,特定非営利活動法人わくわくかん,,03-3598-3337,,,,,,,,3北健生食き第697号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,しげんｃａｆeｇｒｅｅｎ03-6454-90207488213117,52bdf33c-536b-4957-a070-23e3a2e0810e,特定非営利活動法人わくわくかん,d1469a26-ce3b-4e68-85c4-81468c36d253,d2f96e45-c160-4c50-a92d-9058c48764a9,2021/12/14,しげんｃａｆé　ｇｒｅｅｎ,しげんｃａｆeｇｒｅｅｎ,特定非営利活動法人わくわくかん
粋肴　しま田,東京都北区浮間四丁目３番１１号,,嶋田龍三,飲食店営業,新規,03-3967-8362,2021/11/11,2021/11/11,3北健生食き第631号,,,196,粋肴　しま田,03,03-3967-8362,,,,東京都北区浮間四丁目３番１１号,東京都北区浮間４丁目３番１１号,,74882,13,13117,浮間４,,2021/11/11,2021/11/11,,,,嶋田龍三,,,,,,,,,3北健生食き第631号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,粋肴しま田03-3967-83627488213117,c07046f7-e256-41b0-98ed-2c2886b2cf14,,personal,1c2ec8ec-dfb1-4286-8dd4-e5c72988d395,2021/11/11,粋肴　しま田,粋肴しま田,
滝野川信用金庫浮間支店,東京都北区浮間四丁目１３番１号,,一冨士フードサービス株式会社,飲食店営業,新規,,2021/12/14,2021/12/14,3北健生食き第745号,,,196,滝野川信用金庫浮間支店,03,,,,,東京都北区浮間四丁目１３番１号,東京都北区浮間４丁目１３番１号,,74882,13,13117,浮間４,,2021/12/14,2021/12/14,,,一冨士フードサービス株式会社,,,,,,,,,,3北健生食き第745号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,滝野川信用金庫浮間支店7488213117,7e086e26-33ef-4701-b288-a5c4e636e618,一冨士フードサービス株式会社,846e8f7e-6fb0-4717-94eb-5a46fe59d6b3,7c984eac-2612-4518-9ac3-3d3a8bff8250,2021/12/14,滝野川信用金庫浮間支店,滝野川信用金庫浮間支店,一冨士フードサービス株式会社
カフェマッカラン,東京都北区桐ケ丘二丁目１１番３６号,ケルトハウス1階,東岡正弘,飲食店営業,新規,03-3907-7811,2021/12/15,2021/12/15,3北健生食き第724号,,,196,カフェマッカラン,03,03-3907-7811,,,,東京都北区桐ケ丘二丁目１１番３６号,東京都北区桐が丘２丁目１１番３６号,ケルトハウス1階,74907,13,13117,桐が丘２,,2021/12/15,2021/12/15,,,,東岡正弘,,,,,,,,,3北健生食き第724号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,カフェマッカラン03-3907-78117490713117,bbb27c6f-a4ca-4844-9e61-828856d6713a,,personal,841cef71-6dfe-41cf-8e48-345c310cc435,2021/12/15,カフェマッカラン,カフェマッカラン,
稲一,東京都北区志茂二丁目４７番５号,,稲垣　成一,飲食店営業,新規,03-3901-7011,2021/12/16,2021/12/16,3北健生食き第731号,,,196,稲一,03,03-3901-7011,,,,東京都北区志茂二丁目４７番５号,東京都北区志茂２丁目４７番５号,,74910,13,13117,志茂２,,2021/12/16,2021/12/16,,,,稲垣　成一,,,,,,,,,3北健生食き第731号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,稲一03-3901-70117491013117,ce14db33-ee4a-4abb-a858-c210d1d23d03,,personal,6920e50e-e9c8-4a07-9bfb-15b269b7bc63,2021/12/16,稲一,稲一,
炭火焼鳥　駿,東京都北区志茂二丁目５２番８号,,寺内修史,飲食店営業,新規,03-3903-2351,2021/11/11,2021/11/11,3北健生食き第630号,,,196,炭火焼鳥　駿,03,03-3903-2351,,,,東京都北区志茂二丁目５２番８号,東京都北区志茂２丁目５２番８号,,74910,13,13117,志茂２,,2021/11/11,2021/11/11,,,,寺内修史,,,,,,,,,3北健生食き第630号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,炭火焼鳥駿03-3903-23517491013117,4a333fd4-1149-4177-8460-73253df4e60d,,personal,590f94a4-009d-49a4-b16d-9d208b99b869,2021/11/11,炭火焼鳥　駿,炭火焼鳥駿,
公楽,東京都北区志茂三丁目２３番１３号,,滝沢　公博,飲食店営業,新規,03-3901-7315,2021/11/16,2021/11/16,3北健生食き第649号,,,196,公楽,03,03-3901-7315,,,,東京都北区志茂三丁目２３番１３号,東京都北区志茂３丁目２３番１３号,,74911,13,13117,志茂３,,2021/11/16,2021/11/16,,,,滝沢　公博,,,,,,,,,3北健生食き第649号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,公楽03-3901-73157491113117,8653bd1b-56ce-44f1-891b-80191e95beaa,,personal,b6b956e9-de3c-4d94-98e2-665e9ff4aef9,2021/11/16,公楽,公楽,
平塚亭,東京都北区上中里一丁目４７番２号,,鶴岡徳也,飲食店営業,新規,03-3915-0277,2021/12/20,2021/12/20,3北健生食き第742号,,,196,平塚亭,03,03-3915-0277,,,,東京都北区上中里一丁目４７番２号,東京都北区上中里１丁目４７番２号,,74898,13,13117,上中里１,,2021/12/20,2021/12/20,,,,鶴岡徳也,,,,,,,,,3北健生食き第742号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,平塚亭03-3915-02777489813117,0fb06aaa-2fed-4b0b-bb37-d4ee260e9798,,personal,92d7f006-5260-4af9-8ec5-34f176c34b03,2021/12/20,平塚亭,平塚亭,
和楽食堂　きょうわ,東京都北区上中里三丁目１８番８号,,石田さとみ,飲食店営業,新規,03-6884-6302,2021/11/15,2021/11/15,3北健生食き第645号,,,196,和楽食堂　きょうわ,03,03-6884-6302,,,,東京都北区上中里三丁目１８番８号,東京都北区上中里３丁目１８番８号,,74900,13,13117,上中里３,,2021/11/15,2021/11/15,,,,石田さとみ,,,,,,,,,3北健生食き第645号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,和楽食堂きょうわ03-6884-63027490013117,0b7738f0-8790-45af-b6ef-c72f411c218e,,personal,11e6dc05-6ff0-4979-b567-a7a9594cde4c,2021/11/15,和楽食堂　きょうわ,和楽食堂きょうわ,
万里ラーメン,東京都北区滝野川二丁目１８番５号,,後閑　將勝,飲食店営業,新規,03-3910-9048,2021/11/15,2021/11/15,3北健生食き第643号,,,196,万里ラーメン,03,03-3910-9048,,,,東京都北区滝野川二丁目１８番５号,東京都北区滝野川２丁目１８番５号,,74924,13,13117,滝野川２,,2021/11/15,2021/11/15,,,,後閑　將勝,,,,,,,,,3北健生食き第643号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,万里ラメン03-3910-90487492413117,709b33ca-0d1b-43b5-9bee-1ce17133163b,,personal,45e7f4bb-f882-41c8-9a5b-b80838d84b83,2021/11/15,万里ラーメン,万里ラメン,
満福食堂,東京都北区滝野川四丁目１０番１３号,ドルチェ王子１Ｆ,陳　鵬,飲食店営業,新規,03-5948-5374,2021/12/22,2021/12/22,3北健生食き第753号,,,196,満福食堂,03,03-5948-5374,,,,東京都北区滝野川四丁目１０番１３号,東京都北区滝野川４丁目１０番１３号,ドルチェ王子１Ｆ,74926,13,13117,滝野川４,,2021/12/22,2021/12/22,,,,陳　鵬,,,,,,,,,3北健生食き第753号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,満福食堂03-5948-53747492613117,373ddf7e-415d-4df7-a0cb-fd3937b0d9d2,,personal,0095b2d6-c682-4c51-9de5-4cd42a0e8a18,2021/12/22,満福食堂,満福食堂,
むぎ,東京都北区滝野川六丁目６３番８号,,関本稔,飲食店営業,新規,03-3916-0110,2021/12/16,2021/12/16,3北健生食き第740号,,,196,むぎ,03,03-3916-0110,,,,東京都北区滝野川六丁目６３番８号,東京都北区滝野川６丁目６３番８号,,74928,13,13117,滝野川６,,2021/12/16,2021/12/16,,,,関本稔,,,,,,,,,3北健生食き第740号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,むぎ03-3916-01107492813117,fb472455-dbc3-4f3b-b32e-375c3601619f,,personal,c15359a4-1e30-4119-95e2-227837f4050f,2021/12/16,むぎ,むぎ,
