https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,申請年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所名称,,営業所所在地,,,営業所電話番号,業種,営業者氏名（法人にあっては法人名）,営業者電話番号（法人のみ）,初回許可日,届出年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
コンパスグループ・ジャパン株式会社グランダ武蔵新城事業所,神奈川県川崎市,高津区千年８４４ ,高津区千年８４４,,797-2310,①飲食店（集団給食施設）,コンパスグループ・ジャパン株式会社,03-3544-0351,2022/1/28,,2022/1/28,2110267,,142,コンパスグループ・ジャパン株式会社グランダ武蔵新城事業所,044,044-797-2310,,,,神奈川県川崎市　高津区千年８４４,神奈川県川崎市高津区千年８４４,,80232,14,14134,千年,,2022/01/28,2022/01/28,,,コンパスグループ・ジャパン株式会社,,03-3544-0351,,,,,,,,2110267,,飲食店営業,（集団給食施設）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,コンパスグルプジャパン株式会社グランダ武蔵新城事業所044-797-23108023214134,bd42b1e7-186b-4f1e-878c-312c673c78d0,コンパスグループ・ジャパン株式会社,c6bdb237-334c-47bc-890a-04d85297ad63,de1a87ab-009b-4dfe-9c71-2d93c0a16bf0,2022/01/28,コンパスグループ・ジャパン株式会社グランダ武蔵新城事業所,コンパスグルプジャパン株式会社グランダ武蔵新城事業所,コンパスグループ・ジャパン株式会社
ＩＮＤＩＡＮ　ＨＯＵＳＥ,神奈川県川崎市,高津区久末２５２－１ コーポ森１階　１０１号室,高津区久末２５２－１,コーポ森１階 １０１号室,,①飲食店（一般食堂）,株式会社エムアールトレーディング,822-7304,2022/1/14,,2022/1/14,2110257,,142,ＩＮＤＩＡＮ　ＨＯＵＳＥ,044,,,,,神奈川県川崎市　高津区久末２５２－１,神奈川県川崎市高津区久末２５２－１,コーポ森１階 １０１号室,80235,14,14134,久末,,2022/01/14,2022/01/14,,,株式会社エムアールトレーディング,,044-822-7304,,,,,,,,2110257,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ＩＮＤＩＡＮＨＯＵＳＥ8023514134,3c010698-775c-4a84-823a-fa5da0bef6f0,株式会社エムアールトレーディング,ade927f2-ad06-4cb6-a755-c70ea683551e,bbfca4d4-b56b-4af7-a0fe-f6bf9e2956de,2022/01/14,ＩＮＤＩＡＮ　ＨＯＵＳＥ,ＩＮＤＩＡＮＨＯＵＳＥ,株式会社エムアールトレーディング
有限会社　ディー・エス・シー,神奈川県川崎市,高津区末長１－１５－１９ コテージ梶ヶ谷１０１,高津区末長１－１５－１９,コテージ梶ヶ谷１０１,,⑪菓子製造業（洋生菓子）,有限会社　ディー・エス・シー,322-8889,2022/1/31,,2022/1/31,2110265,,142,有限会社　ディー・エス・シー,044,,,,,神奈川県川崎市　高津区末長１－１５－１９,神奈川県川崎市高津区末長１－１５－１９,コテージ梶ヶ谷１０１,80224,14,14134,末長１,,2022/01/31,2022/01/31,,,有限会社　ディー・エス・シー,,044-322-8889,,,,,,,,2110265,,菓子製造業,（洋生菓子）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,E,9,,,有限会社ディエスシ8022414134,cf382edf-21a8-40f1-8835-f56f4f4bf6a6,有限会社ディー・エス・シー,b0d93de1-b223-4096-aeaf-22c535c2a95a,19b18578-e64c-4bfb-a53d-7d4622aff592,2022/01/31,有限会社ディー・エス・シー,有限会社ディエスシ,有限会社ディー・エス・シー
軽食コーナー　のがわ,神奈川県川崎市,高津区東野川２－３－７吉兆川崎野川店１Ｆ ,高津区東野川２－３－７,吉兆川崎野川店１Ｆ ,753-5151,①飲食店（そば店）,有限会社カメイ企画,045-877-8599,2022/1/31,,2022/1/31,2110264,,142,軽食コーナー　のがわ,044,044-753-5151,,,,神奈川県川崎市　高津区東野川２－３－７,神奈川県川崎市高津区東野川２－３－７,吉兆川崎野川店１Ｆ ,80255,14,14134,東野川２,,2022/01/31,2022/01/31,,,有限会社カメイ企画,,045-877-8599,,,,,,,,2110264,,飲食店営業,（そば店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,軽食コナのがわ044-753-51518025514134,09d1e1a7-ce4d-4a2d-b5ca-58c6d03de122,有限会社カメイ企画,e0a2bbc7-2442-4aab-b13d-53c560963f5d,9178cd57-6a10-484e-9701-750ec996841c,2022/01/31,軽食コーナー　のがわ,軽食コナのがわ,有限会社カメイ企画
居酒屋　与兵,神奈川県川崎市,宮前区有馬３丁目２８番１５号 ,宮前区有馬３丁目２８番１５号, ,855-0474,①飲食店（一般食堂）,今北　芳英,,2022/1/24,,2022/1/24,2110174,,142,居酒屋　与兵,044,044-855-0474,,,,神奈川県川崎市　宮前区有馬３丁目２８番１５号,神奈川県川崎市宮前区有馬３丁目２８番１５号, ,80362,14,14136,有馬３,,2022/01/24,2022/01/24,,,,今北　芳英,,,,,,,,,2110174,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,居酒屋与兵044-855-04748036214136,46229e46-34d6-413a-aa5c-925db8cf4bf6,,personal,24bc9947-7f8e-463d-ad49-6f518a6538e3,2022/01/24,居酒屋　与兵,居酒屋与兵,
５６５６　Ｃｈｉｃｋｅｎ,神奈川県川崎市,宮前区有馬５丁目２３番１６‐１０５号 ,宮前区有馬５丁目２３番１６,１０５号 ,866-5666,①飲食店（一般食堂）,株式会社ＭＡＳＳ企画,03-3728-5505,2022/1/25,,2022/1/25,2110175,,142,５６５６　Ｃｈｉｃｋｅｎ,044,044-866-5666,,,,神奈川県川崎市　宮前区有馬５丁目２３番１６,神奈川県川崎市宮前区有馬５丁目２３番１６,１０５号 ,80364,14,14136,有馬５,,2022/01/25,2022/01/25,,,株式会社ＭＡＳＳ企画,,03-3728-5505,,,,,,,,2110175,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,５６５６Ｃｈｉｃｋｅｎ044-866-56668036414136,9bb1109e-e59d-42e1-a110-8123629c8348,株式会社ＭＡＳＳ企画,e29826ec-78fe-4fc0-8c00-1251f796d411,003c8db5-09ee-40d5-aa5d-f8c195426b68,2022/01/25,５６５６　Ｃｈｉｃｋｅｎ,５６５６Ｃｈｉｃｋｅｎ,株式会社ＭＡＳＳ企画
セブンイレブン川崎鷺沼駅前店,神奈川県川崎市,宮前区鷺沼３丁目２番地１ 東急ドエルアルス鷺沼ネクステージ１０２,宮前区鷺沼３丁目２番地１,東急ドエルアルス鷺沼ネクステージ１０２,870-7011,①飲食店（簡易な飲食店）,有限会社トゥエンティー・フォー,866-2960,2022/1/24,,2022/1/24,2110165,,142,セブンイレブン川崎鷺沼駅前店,044,044-870-7011,,,,神奈川県川崎市　宮前区鷺沼３丁目２番地１,神奈川県川崎市宮前区鷺沼３丁目２番地１,東急ドエルアルス鷺沼ネクステージ１０２,80376,14,14136,鷺沼３,,2022/01/24,2022/01/24,,,有限会社トゥエンティー・フォー,,044-866-2960,,,,,,,,2110165,,飲食店営業,（簡易な飲食店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,セブンイレブン川崎鷺沼駅前店044-870-70118037614136,8f4fbc60-f3e4-4d92-a5ed-7ddf2d8599fd,有限会社トゥエンティー・フォー,2c659a87-3d5c-4ad0-8331-fd13c656f7ce,1b221775-d906-4c11-a31d-3aeac4c0a858,2022/01/24,セブンイレブン川崎鷺沼駅前店,セブンイレブン川崎鷺沼駅前店,有限会社トゥエンティー・フォー
カフェ　５４’ｓバー,神奈川県川崎市,宮前区鷺沼３丁目１１番地５５ ,宮前区鷺沼３丁目１１番地５５,,,①飲食店（一般食堂）,加藤　俊彦,,2022/1/24,,2022/1/24,2110173,,142,カフェ　５４’ｓバー,044,,,,,神奈川県川崎市　宮前区鷺沼３丁目１１番地５５,神奈川県川崎市宮前区鷺沼３丁目１１番地５５,,80376,14,14136,鷺沼３,,2022/01/24,2022/01/24,,,,加藤　俊彦,,,,,,,,,2110173,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,カフェ５４ｓバ8037614136,c4c6682f-301b-4c63-915a-2efcaa9ece16,,personal,e8a94214-3951-4f32-bd9b-f20feb003a3e,2022/01/24,カフェ　５４＇ｓバー,カフェ５４ｓバ,
ごはん処　おっと,神奈川県川崎市,宮前区土橋６丁目１０番地７ 鈴木ビル２Ｆ,宮前区土橋６丁目１０番地７,鈴木ビル２Ｆ,854-1891,①飲食店（一般食堂）,小笠原　春夫,,2022/1/25,,2022/1/25,2110177,,142,ごはん処　おっと,044,044-854-1891,,,,神奈川県川崎市　宮前区土橋６丁目１０番地７,神奈川県川崎市宮前区土橋６丁目１０番地７,鈴木ビル２Ｆ,80404,14,14136,土橋６,,2022/01/25,2022/01/25,,,,小笠原　春夫,,,,,,,,,2110177,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ごはん処おっと044-854-18918040414136,b448d6dc-2de2-4c7c-ae48-8d8178a6caeb,,personal,9d267556-6ada-443e-8f73-59990db3c08e,2022/01/25,ごはん処　おっと,ごはん処おっと,
エームＳＪ３１６５,神奈川県川崎市,宮前区野川本町２丁目１３番６号 帝京老人保健センター内,宮前区野川本町２丁目１３番６号, 帝京老人保健センター内,799-0928,①飲食店（集団給食施設）,エームサービスジャパン株式会社,03-6234-7500,2022/1/27,,2022/1/27,2110168,,142,エームＳＪ３１６５,044,044-799-0928,,,,神奈川県川崎市　宮前区野川本町２丁目１３番６号,神奈川県川崎市宮前区野川本町２丁目１３番６号, 帝京老人保健センター内,80442,14,14136,野川本町２,,2022/01/27,2022/01/27,,,エームサービスジャパン株式会社,,03-6234-7500,,,,,,,,2110168,,飲食店営業,（集団給食施設）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,エムＳＪ３１６５044-799-09288044214136,93116a1c-65ba-45de-b313-1b39a265653e,エームサービスジャパン株式会社,f21c08a8-5026-4512-b533-e949b0ce190a,7c70c9ad-95ac-406e-b398-edad24962b06,2022/01/27,エームＳＪ３１６５,エムＳＪ３１６５,エームサービスジャパン株式会社
駿河屋製菓有限会社,神奈川県川崎市,宮前区野川本町３丁目２９番３６号 ,宮前区野川本町３丁目２９番３６号, ,766-7797,⑪菓子製造業（菓子）,駿河屋製菓有限会社,766-7797,2022/1/27,,2022/1/27,2110172,,142,駿河屋製菓有限会社,044,044-766-7797,,,,神奈川県川崎市　宮前区野川本町３丁目２９番３６号,神奈川県川崎市宮前区野川本町３丁目２９番３６号, ,80443,14,14136,野川本町３,,2022/01/27,2022/01/27,,,駿河屋製菓有限会社,,044-766-7797,,,,,,,,2110172,,菓子製造業,（菓子）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,E,9,,,駿河屋製菓有限会社044-766-77978044314136,8a2d3721-2ee6-41a4-b312-a8767356564f,駿河屋製菓有限会社,8a25549c-4295-4891-b4b9-aefcab7285a7,d7682ab7-f39e-4e2a-964f-296cc7e133a9,2022/01/27,駿河屋製菓有限会社,駿河屋製菓有限会社,駿河屋製菓有限会社
ＳＵＭＯＡＩ　ＫＩＴＣＨＥＮ,神奈川県川崎市,宮前区犬蔵１丁目３１番１０号 ,宮前区犬蔵１丁目３１番１０号, ,,㉕そうざい製造業（そうざい）,小島　英雄,,2022/1/4,,2022/1/4,2110162,,142,ＳＵＭＯＡＩ　ＫＩＴＣＨＥＮ,044,,,,,神奈川県川崎市　宮前区犬蔵１丁目３１番１０号,神奈川県川崎市宮前区犬蔵１丁目３１番１０号, ,80428,14,14136,犬蔵１,,2022/01/04,2022/01/04,,,,小島　英雄,,,,,,,,,2110162,,そうざい製造業,（そうざい）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,E,9,,,ＳＵＭＯＡＩＫＩＴＣＨＥＮ8042814136,7f27a1ed-8171-4633-9c15-92b6ad2c9de0,,personal,3653e041-f547-4d69-bb45-64efbfe0328d,2022/01/04,ＳＵＭＯＡＩ　ＫＩＴＣＨＥＮ,ＳＵＭＯＡＩＫＩＴＣＨＥＮ,
ＫＩＭＩＤＯＲＩ,神奈川県川崎市,宮前区神木本町２丁目３番２２号 ,宮前区神木本町２丁目３番２２号, ,,①飲食店（大衆酒場）,宮田　みどり,,2022/1/12,,2022/1/12,2110167,,142,ＫＩＭＩＤＯＲＩ,044,,,,,神奈川県川崎市　宮前区神木本町２丁目３番２２号,神奈川県川崎市宮前区神木本町２丁目３番２２号, ,80381,14,14136,神木本町２,,2022/01/12,2022/01/12,,,,宮田　みどり,,,,,,,,,2110167,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ＫＩＭＩＤＯＲＩ8038114136,62289dda-d982-4c19-a463-ccc474136d09,,personal,69bb0ff9-3bd2-4fc9-a460-aaeec9f3211f,2022/01/12,ＫＩＭＩＤＯＲＩ,ＫＩＭＩＤＯＲＩ,
ファミリーマート川崎宮前南平台店,神奈川県川崎市,宮前区南平台１８番１３号 ,宮前区南平台１８番１３号, ,978-1163,①飲食店（簡易な飲食店）,中川　正浩,,2022/1/25,,2022/1/25,2110166,,142,ファミリーマート川崎宮前南平台店,044,044-978-1163,,,,神奈川県川崎市　宮前区南平台１８番１３号,神奈川県川崎市宮前区南平台１８番１３号, ,80424,14,14136,南平台,,2022/01/25,2022/01/25,,,,中川　正浩,,,,,,,,,2110166,,飲食店営業,（簡易な飲食店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ファミリマト川崎宮前南平台店044-978-11638042414136,8b18a46e-b796-4fae-b8f7-cd7abc4c5047,,personal,c6b7b1b1-e159-407d-a345-de35eebff336,2022/01/25,ファミリーマート川崎宮前南平台店,ファミリマト川崎宮前南平台店,
フェザーン商会,神奈川県川崎市,宮前区初山１丁目３７番４８号 ,宮前区初山１丁目３７番４８号, ,,⑪菓子製造業（菓子）,矢嶋　咲子,,2022/1/25,,2022/1/25,2110169,,142,フェザーン商会,044,,,,,神奈川県川崎市　宮前区初山１丁目３７番４８号,神奈川県川崎市宮前区初山１丁目３７番４８号, ,80426,14,14136,初山１,,2022/01/25,2022/01/25,,,,矢嶋　咲子,,,,,,,,,2110169,,菓子製造業,（菓子）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,E,9,,,フェザン商会8042614136,b41304cb-20e5-44ab-b510-cec718d5180b,,personal,a1ba6602-9de4-43c8-860e-1e4bfa02ad08,2022/01/25,フェザーン商会,フェザン商会,
有限会社金重水産,神奈川県川崎市,宮前区水沢１丁目１番１号 Ｂ－７３,宮前区水沢１丁目１番１号 ,Ｂ－７３,975-2618,④魚介類販売業（魚介類販売）,有限会社金重水産,975-2618,2022/1/18,,2022/1/18,2110170,,142,有限会社金重水産,044,044-975-2618,,,,神奈川県川崎市　宮前区水沢１丁目１番１号 ,神奈川県川崎市宮前区水沢１丁目１番１号,Ｂ－７３,80432,14,14136,水沢１,,2022/01/18,2022/01/18,,,有限会社金重水産,,044-975-2618,,,,,,,,2110170,,魚介類販売業,（魚介類販売）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,I,58,,,有限会社金重水産044-975-26188043214136,ab9c1f85-a679-4a56-9105-9e49001141a4,有限会社金重水産,3b68fdc3-4952-4d56-ba05-1ca8185c01d8,ee96ef9d-2ca9-45ed-843b-180b46114358,2022/01/18,有限会社金重水産,有限会社金重水産,有限会社金重水産
五輪海,神奈川県川崎市,宮前区水沢１丁目１番１号 水産棟内,宮前区水沢１丁目１番１号, 水産棟内,978-6205,⑯水産製品製造業（その他の魚介類加工品）,株式会社五輪海,978-6205,2022/1/31,,2022/1/31,2110182,,142,五輪海,044,044-978-6205,,,,神奈川県川崎市　宮前区水沢１丁目１番１号,神奈川県川崎市宮前区水沢１丁目１番１号, 水産棟内,80432,14,14136,水沢１,,2022/01/31,2022/01/31,,,株式会社五輪海,,044-978-6205,,,,,,,,2110182,,水産製品製造業,（その他の魚介類加工品）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,E,9,92,,五輪海044-978-62058043214136,bd2af89a-f298-44e8-a408-5c147fc384f7,株式会社五輪海,532ce2eb-946e-4c45-9c31-8dd63d2477e7,dc7f3a46-3c39-4a94-ae29-610a10ceb902,2022/01/31,五輪海,五輪海,株式会社五輪海
ｃｌｕｂ　ｂｉｊｏｕ,神奈川県川崎市,多摩区菅１丁目３番２１号セーリングビル地下１階 ,多摩区菅１丁目３番２１号,セーリングビル地下１階 ,322-9667,①飲食店（バー）,野辺沼　大輝,,2022/1/14,,2022/1/14,2110298,,142,ｃｌｕｂ　ｂｉｊｏｕ,044,044-322-9667,,,,神奈川県川崎市　多摩区菅１丁目３番２１号,神奈川県川崎市多摩区菅１丁目３番２１号,セーリングビル地下１階 ,80334,14,14135,菅１,,2022/01/14,2022/01/14,,,,野辺沼　大輝,,,,,,,,,2110298,,飲食店営業,（バー）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ｃｌｕｂｂｉｊｏｕ044-322-96678033414135,5a7e8a62-6470-4a1f-8b7e-9aa7bfed7e06,,personal,51400ad2-828c-41a2-ac96-857c2ed8cbe2,2022/01/14,ｃｌｕｂ　ｂｉｊｏｕ,ｃｌｕｂｂｉｊｏｕ,
ナマステ　インドレストラン,神奈川県川崎市,多摩区菅１丁目４番５号 野村ビル１Ｆ　Ａ号室,多摩区菅１丁目４番５号,野村ビル１Ｆ Ａ号室,944-9337,①飲食店（一般食堂）,ＳＡＭＲＡＴ　ＣＯ－ＯＰＥＲＡＴＥ株式会社,045-382-8811,2022/1/26,,2022/1/26,2110311,,142,ナマステ　インドレストラン,044,044-944-9337,,,,神奈川県川崎市　多摩区菅１丁目４番５号,神奈川県川崎市多摩区菅１丁目４番５号,野村ビル１Ｆ Ａ号室,80334,14,14135,菅１,,2022/01/26,2022/01/26,,,ＳＡＭＲＡＴ　ＣＯ－ＯＰＥＲＡＴＥ株式会社,,045-382-8811,,,,,,,,2110311,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ナマステインドレストラン044-944-93378033414135,1830722e-cbea-472c-ad1d-d6d5a1c7e2d8,ＳＡＭＲＡＴ　ＣＯ－ＯＰＥＲＡＴＥ株式会社,31995593-139c-4b8e-a5c3-d1cd649b91d4,29736b55-b267-4816-a40f-22822cf66a29,2022/01/26,ナマステ　インドレストラン,ナマステインドレストラン,ＳＡＭＲＡＴ　ＣＯ－ＯＰＥＲＡＴＥ株式会社
とんかつ・定食　ひだか,神奈川県川崎市,多摩区中野島３丁目１４－２８ ,多摩区中野島３丁目１４－２８,,712-4235,①飲食店（一般食堂）,日髙　年男,,2022/1/27,,2022/1/27,2110308,,142,とんかつ・定食　ひだか,044,044-712-4235,,,,神奈川県川崎市　多摩区中野島３丁目１４－２８,神奈川県川崎市多摩区中野島３丁目１４－２８,,80285,14,14135,中野島３,,2022/01/27,2022/01/27,,,,日髙　年男,,,,,,,,,2110308,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,とんかつ定食ひだか044-712-42358028514135,6bd54fad-1358-4751-91bd-8e7879e72623,,personal,76e59c9b-5a6d-4b43-b29f-302fe24dd6ce,2022/01/27,とんかつ・定食　ひだか,とんかつ定食ひだか,
ドミノ・ピザ　川崎中野島店,神奈川県川崎市,多摩区中野島６丁目２６番１２号 ,多摩区中野島６丁目２６番１２号, ,,①飲食店（仕出し屋）,株式会社ドミノ・ピザジャパン,03-5820-3794,2022/1/21,,2022/1/21,2110303,,142,ドミノ・ピザ　川崎中野島店,044,,,,,神奈川県川崎市　多摩区中野島６丁目２６番１２号,神奈川県川崎市多摩区中野島６丁目２６番１２号, ,80288,14,14135,中野島６,,2022/01/21,2022/01/21,,,株式会社ドミノ・ピザジャパン,,03-5820-3794,,,,,,,,2110303,,飲食店営業,（仕出し屋）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ドミノピザ川崎中野島店8028814135,d1b3cc0b-8073-4641-9740-fc2992b93a68,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,af56b74c-c58b-4b13-9b8f-6cea9c29d8d6,2022/01/21,ドミノ・ピザ　川崎中野島店,ドミノピザ川崎中野島店,株式会社ドミノ・ピザジャパン
プリメ－ロ　登戸店,神奈川県川崎市,多摩区登戸３４６７－１ 登戸橘ビル１階,多摩区登戸３４６７－１,登戸橘ビル１階,922-1929,⑪菓子製造業（パン類）,株式会社普賢商事,946-6981,2022/1/5,,2022/1/5,2110297,,142,プリメ－ロ　登戸店,044,044-922-1929,,,,神奈川県川崎市　多摩区登戸３４６７－１,神奈川県川崎市多摩区登戸３４６７－１,登戸橘ビル１階,80296,14,14135,登戸,,2022/01/05,2022/01/05,,,株式会社普賢商事,,044-946-6981,,,,,,,,2110297,,菓子製造業,（パン類）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,E,9,,,プリメロ登戸店044-922-19298029614135,df3b0a22-fe3a-4e4e-ac25-e98553f61945,株式会社普賢商事,d4988939-d7ac-49aa-93ee-3a7dcbf59f4a,2e2a2279-f28f-496b-9d75-5370e9a7df7f,2022/01/05,プリメ－ロ　登戸店,プリメロ登戸店,株式会社普賢商事
ちまき食堂,神奈川県川崎市,多摩区登戸新町１２９ ,多摩区登戸新町１２９,,933-2109,①飲食店（一般食堂）,高橋　正,,2022/1/20,,2022/1/20,2110304,,142,ちまき食堂,044,044-933-2109,,,,神奈川県川崎市　多摩区登戸新町１２９,神奈川県川崎市多摩区登戸新町１２９,,80297,14,14135,登戸新町,,2022/01/20,2022/01/20,,,,高橋　正,,,,,,,,,2110304,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ちまき食堂044-933-21098029714135,8d72f866-f7b7-435a-9c2b-b6266899849a,,personal,0fef7cb0-bf8f-449b-9dd0-e27defb54957,2022/01/20,ちまき食堂,ちまき食堂,
韓国料理　コッチュ,神奈川県川崎市,多摩区東生田１丁目１０番７号 ハイブレット向ヶ丘１Ｆ,多摩区東生田１丁目１０番７号, ハイブレット向ヶ丘１Ｆ,911-5678,①飲食店（一般食堂）,小岩井　朋子,,2022/1/13,,2022/1/13,2110299,,142,韓国料理　コッチュ,044,044-911-5678,,,,神奈川県川崎市　多摩区東生田１丁目１０番７号,神奈川県川崎市多摩区東生田１丁目１０番７号, ハイブレット向ヶ丘１Ｆ,80316,14,14135,東生田１,,2022/01/13,2022/01/13,,,,小岩井　朋子,,,,,,,,,2110299,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,韓国料理コッチュ044-911-56788031614135,c622dfc0-575c-43ab-af3e-7b9e5fea2c16,,personal,53b9dd47-e94f-417b-b2ce-41d4d482871b,2022/01/13,韓国料理　コッチュ,韓国料理コッチュ,
中華料理小紅楼,神奈川県川崎市,多摩区三田１丁目１３－３ ,多摩区三田１丁目１３－３,,922-1107,①飲食店（中華料理店）,早坂　敬治,,2022/1/21,,2022/1/21,2110309,,142,中華料理小紅楼,044,044-922-1107,,,,神奈川県川崎市　多摩区三田１丁目１３－３,神奈川県川崎市多摩区三田１丁目１３－３,,80298,14,14135,三田１,,2022/01/21,2022/01/21,,,,早坂　敬治,,,,,,,,,2110309,,飲食店営業,（中華料理店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,中華料理小紅楼044-922-11078029814135,95809102-30f3-4172-af6b-637610aef23e,,personal,fec0d065-a7ce-4e21-982e-a0b1c9b9fe3f,2022/01/21,中華料理小紅楼,中華料理小紅楼,
魚善,神奈川県川崎市,多摩区南生田３丁目３番１号－４ ,多摩区南生田３丁目３番１号－４,,954-9572,①飲食店（そうざい店）,岡本　善三郎,,2022/1/18,,2022/1/18,2110300,,142,魚善,044,044-954-9572,,,,神奈川県川崎市　多摩区南生田３丁目３番１号－４,神奈川県川崎市多摩区南生田３丁目３番１号－４,,80305,14,14135,南生田３,,2022/01/18,2022/01/18,,,,岡本　善三郎,,,,,,,,,2110300,,飲食店営業,（そうざい店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,魚善044-954-95728030514135,7248fbb6-3dc0-4bbd-b7e2-8c6046f8133d,,personal,75f46c19-a74b-4363-9507-99a12037442b,2022/01/18,魚善,魚善,
魚善,神奈川県川崎市,多摩区南生田３丁目３番１号－４ ,多摩区南生田３丁目３番１号－４,,954-9572,④魚介類販売業（魚介類販売）,岡本　善三郎,,2022/1/18,,2022/1/18,2110301,,142,魚善,044,044-954-9572,,,,神奈川県川崎市　多摩区南生田３丁目３番１号－４,神奈川県川崎市多摩区南生田３丁目３番１号－４,,80305,14,14135,南生田３,,2022/01/18,2022/01/18,,,,岡本　善三郎,,,,,,,,,2110301,,魚介類販売業,（魚介類販売）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,I,58,,,魚善044-954-95728030514135,7248fbb6-3dc0-4bbd-b7e2-8c6046f8133d,,personal,5817d182-e57d-4e57-acb7-1756d73e5e85,2022/01/18,魚善,魚善,
