https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,業種,申請者1,開業年月日,許可年月日,確認番号,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名（屋号）,施設の住所（所在地）,,,業種,開設者情報,初回の許可年月日,最新の許可年月日,許可番号,区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
徳久利,愛知県一宮市平島１丁目５－２５　,愛知県一宮市平島１丁目５－２５,,飲食店営業,大島　みち江,R 3.12. 6,R 3.12. 6,3一宮保衛第7001-424号,許可,,249,徳久利,0586,,,,,愛知県一宮市平島１丁目５－２５,愛知県一宮市平島１丁目５－２５,,118803,23,23203,平島１,,2021/12/06,2021/12/06,,,,大島　みち江,,,,,,,,,3一宮保衛第7001-424号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,徳久利11880323203,9d27d2cb-a091-48be-9b5f-ea6fe6bb6332,,personal,bcd91faa-50fe-42e3-8fc6-429fc006d291,2021/12/06,徳久利,徳久利,
喫茶ブラッサム,愛知県一宮市せんい１丁目４－５　ハイツ山崎１Ｆ,愛知県一宮市せんい１丁目４－５,ハイツ山崎１Ｆ,飲食店営業,岩田　昌子,R 3.12. 6,R 3.12. 6,3一宮保衛第7001-425号,許可,,249,喫茶ブラッサム,0586,,,,,愛知県一宮市せんい１丁目４－５,愛知県一宮市せんい１丁目４－５,ハイツ山崎１Ｆ,118698,23,23203,せんい１,,2021/12/06,2021/12/06,,,,岩田　昌子,,,,,,,,,3一宮保衛第7001-425号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,喫茶ブラッサム11869823203,6491b588-22cf-45f2-b2df-7042eda3b40a,,personal,40115af2-6a07-4605-814d-7d393cd5b464,2021/12/06,喫茶ブラッサム,喫茶ブラッサム,
トップ寿司本店,愛知県一宮市大宮１丁目１０－１３．１０－１４　,愛知県一宮市大宮１丁目１０－１３．１０－１４,,飲食店営業,株式会社　トップ,R 3.12.14,R 3.12.14,3一宮保衛第7001-426号,許可,,249,トップ寿司本店,0586,,,,,愛知県一宮市大宮１丁目１０－１３．１０－１４,愛知県一宮市大宮１丁目１０－１３．１０－１４,,118591,23,23203,大宮１,,2021/12/14,2021/12/14,,,株式会社　トップ,,,,,,,,,,3一宮保衛第7001-426号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,トップ寿司本店11859123203,3962531c-0572-4a0c-b94a-9b903e9cc678,株式会社トップ,0326c629-9d2e-48f5-a5e4-cac7f3ecaf24,a165cc77-7fd4-4864-a089-eede334f221f,2021/12/14,トップ寿司本店,トップ寿司本店,株式会社トップ
ラーメン中村,愛知県一宮市真清田１丁目２－１　,愛知県一宮市真清田１丁目２－１,,飲食店営業,中村　守,R 3.12.15,R 3.12.15,3一宮保衛第7001-427号,許可,,249,ラーメン中村,0586,,,,,愛知県一宮市真清田１丁目２－１,愛知県一宮市真清田１丁目２－１,,118832,23,23203,真清田１,,2021/12/15,2021/12/15,,,,中村　守,,,,,,,,,3一宮保衛第7001-427号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ラメン中村11883223203,47ffb9ce-b248-467f-a175-140ec9147c5e,,personal,5556a49d-9285-419a-82de-efdbf27871af,2021/12/15,ラーメン中村,ラメン中村,
ｃｏｆｆｅｅ　ｓｈｏｐ　一,愛知県一宮市丹陽町重吉字西堂寺１００－１　,愛知県一宮市丹陽町重吉字西堂寺１００－１,,飲食店営業,川本　和彦,R 3.12. 6,R 3.12. 6,3一宮保衛第7001-428号,許可,,249,ｃｏｆｆｅｅ　ｓｈｏｐ　一,0586,,,,,愛知県一宮市丹陽町重吉字西堂寺１００－１,愛知県一宮市丹陽町重吉字西堂寺１００－１,,118713,23,23203,丹陽町重吉,,2021/12/06,2021/12/06,,,,川本　和彦,,,,,,,,,3一宮保衛第7001-428号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ｃｏｆｆｅｅｓｈｏｐ一11871323203,74f4e795-c850-4260-baba-14fc44cf4abf,,personal,0892a8e3-4df5-4298-9bcd-935be5fae59a,2021/12/06,ｃｏｆｆｅｅ　ｓｈｏｐ　一,ｃｏｆｆｅｅｓｈｏｐ一,
おやつショップ　風恋人,愛知県一宮市平島１丁目７－１　綿半フレッシュマーケット,愛知県一宮市平島１丁目７－１,綿半フレッシュマーケット,飲食店営業,山田　篤彦,R 3.12. 1,R 3.12. 1,3一宮保衛第7001-429号,許可,,249,おやつショップ　風恋人,0586,,,,,愛知県一宮市平島１丁目７－１,愛知県一宮市平島１丁目７－１,綿半フレッシュマーケット,118803,23,23203,平島１,,2021/12/01,2021/12/01,,,,山田　篤彦,,,,,,,,,3一宮保衛第7001-429号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,おやつショップ風恋人11880323203,ae93b783-400d-4107-acfa-49e57f9498b0,,personal,2be13160-d2ba-4ca5-9a24-3eede8bb05f0,2021/12/01,おやつショップ　風恋人,おやつショップ風恋人,
ＣＡＦＥ　ｂａｎｙａｎｔｒｅｅ,愛知県一宮市平和２丁目２－１　,愛知県一宮市平和２丁目２－１,,飲食店営業,浅野　大介,R 3.12.21,R 3.12.21,3一宮保衛第7001-430号,許可,,249,ＣＡＦＥ　ｂａｎｙａｎｔｒｅｅ,0586,,,,,愛知県一宮市平和２丁目２－１,愛知県一宮市平和２丁目２－１,,118819,23,23203,平和２,,2021/12/21,2021/12/21,,,,浅野　大介,,,,,,,,,3一宮保衛第7001-430号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ＣＡＦＥｂａｎｙａｎｔｒｅｅ11881923203,68e90e58-6cdf-4358-bbfa-07c2f7d6b668,,personal,87ff69e4-32e6-42a5-a239-ac2e754b4b33,2021/12/21,ＣＡＦＥ　ｂａｎｙａｎｔｒｅｅ,ＣＡＦＥｂａｎｙａｎｔｒｅｅ,
スナック　るんるん,愛知県一宮市大江１丁目１２－７　パ－ルプラザビル２　地下１階（Ｓ）,愛知県一宮市大江１丁目１２－７,パ－ルプラザビル２ 地下１階（Ｓ）,飲食店営業,小川　玉珍,R 3.12.10,R 3.12.10,3一宮保衛第7001-431号,許可,,249,スナック　るんるん,0586,,,,,愛知県一宮市大江１丁目１２－７,愛知県一宮市大江１丁目１２－７,パ－ルプラザビル２ 地下１階（Ｓ）,118585,23,23203,大江１,,2021/12/10,2021/12/10,,,,小川　玉珍,,,,,,,,,3一宮保衛第7001-431号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,スナックるんるん11858523203,ff4ed24a-d199-41ac-959a-c0361522eb10,,personal,72f2a189-0357-485e-856f-06fb5681e99f,2021/12/10,スナック　るんるん,スナックるんるん,
ＭＢ一宮店,愛知県一宮市白旗通３丁目５－１　,愛知県一宮市白旗通３丁目５－１,,飲食店営業,株式会社　ＣＥＫ,R 3.12.10,R 3.12.10,3一宮保衛第7001-432号,許可,,249,ＭＢ一宮店,0586,,,,,愛知県一宮市白旗通３丁目５－１,愛知県一宮市白旗通３丁目５－１,,118674,23,23203,白旗通３,,2021/12/10,2021/12/10,,,株式会社　ＣＥＫ,,,,,,,,,,3一宮保衛第7001-432号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ＭＢ一宮店11867423203,01ad912f-1c40-4e9e-80ee-878501dabc0a,株式会社ＣＥＫ,dce06032-720b-4dfb-a383-66c923cb8ef5,44b99993-8c05-40be-b01b-10e619176ffc,2021/12/10,ＭＢ一宮店,ＭＢ一宮店,株式会社ＣＥＫ
ブロンコビリー尾西インター店,愛知県一宮市篭屋３丁目６　,愛知県一宮市篭屋３丁目６,,飲食店営業,株式会社　ブロンコビリー,R 3.12.20,R 3.12.20,3一宮保衛第7001-435号,許可,,249,ブロンコビリー尾西インター店,0586,,,,,愛知県一宮市篭屋３丁目６,愛知県一宮市篭屋３丁目６,,118927,23,23203,篭屋３,,2021/12/20,2021/12/20,,,株式会社　ブロンコビリー,,,,,,,,,,3一宮保衛第7001-435号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ブロンコビリ尾西インタ店11892723203,1c04861a-fe81-4c73-9302-9b0eb2b70661,株式会社ブロンコビリー,08804fdd-eec5-42d2-9f39-6dbd475a19fe,82fbf341-90a2-4fcb-b34e-cd4bcba6f010,2021/12/20,ブロンコビリー尾西インター店,ブロンコビリ尾西インタ店,株式会社ブロンコビリー
茶香房・ギャラリー　まつや,愛知県一宮市起字西茜屋４７　,愛知県一宮市起字西茜屋４７,,飲食店営業,笠原　抄織,R 3.12.13,R 3.12.13,3一宮保衛第7001-436号,許可,,249,茶香房・ギャラリー　まつや,0586,,,,,愛知県一宮市起字西茜屋４７,愛知県一宮市起字西茜屋４７,,118923,23,23203,起,,2021/12/13,2021/12/13,,,,笠原　抄織,,,,,,,,,3一宮保衛第7001-436号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,茶香房ギャラリまつや11892323203,79787ce8-a2a5-4bb3-be65-54e2aa626e2f,,personal,f5f19a54-50c7-4664-8375-8b4ad6e0cba4,2021/12/13,茶香房・ギャラリー　まつや,茶香房ギャラリまつや,
モカ,愛知県一宮市新生２丁目３－４　,愛知県一宮市新生２丁目３－４,,飲食店営業,新谷　利恵,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-437号,許可,,249,モカ,0586,,,,,愛知県一宮市新生２丁目３－４,愛知県一宮市新生２丁目３－４,,118677,23,23203,新生２,,2021/12/07,2021/12/07,,,,新谷　利恵,,,,,,,,,3一宮保衛第7001-437号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,モカ11867723203,57b30721-1b68-4d31-835c-83c30a6dd86c,,personal,fe4fb1cf-44fe-41c0-905e-a813f74f9ca7,2021/12/07,モカ,モカ,
中華料理　大善,愛知県一宮市和光１丁目３－１１　,愛知県一宮市和光１丁目３－１１,,飲食店営業,吴　春艶,R 3.12.20,R 3.12.20,3一宮保衛第7001-440号,許可,,249,中華料理　大善,0586,,,,,愛知県一宮市和光１丁目３－１１,愛知県一宮市和光１丁目３－１１,,118883,23,23203,和光１,,2021/12/20,2021/12/20,,,,吴　春艶,,,,,,,,,3一宮保衛第7001-440号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,中華料理大善11888323203,4402a3c4-0b14-4d92-a4f1-3dec0cf41e12,,personal,6fd417df-db79-479a-97d8-2a8226ef3b36,2021/12/20,中華料理　大善,中華料理大善,
アピタ一宮店　３階,愛知県一宮市両郷町１丁目２　アピタ一宮店　３階,愛知県一宮市両郷町１丁目２,アピタ一宮店 ３階,飲食店営業,ユニー株式会社,R 3.12.17,R 3.12.17,3一宮保衛第7001-447号,許可,,249,アピタ一宮店　３階,0586,,,,,愛知県一宮市両郷町１丁目２,愛知県一宮市両郷町１丁目２,アピタ一宮店 ３階,118872,23,23203,両郷町１,,2021/12/17,2021/12/17,,,ユニー株式会社,,,,,,,,,,3一宮保衛第7001-447号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,アピタ一宮店３階11887223203,c5392ddd-ff8a-4d70-b3a9-797a91f9d1ef,ユニー株式会社,832f212b-ea8b-4d3a-92cd-0ea4e2c90c99,546de64f-4bfc-44e0-a6e2-0f77c28821b0,2021/12/17,アピタ一宮店　３階,アピタ一宮店３階,ユニー株式会社
Ｍｒ．チャップリン,愛知県一宮市萩原町西御堂三反田８４－１　,愛知県一宮市萩原町西御堂三反田８４－１,,飲食店営業,福田　紀代美,R 3.12.16,R 3.12.16,3一宮保衛第7001-449号,許可,,249,Ｍｒ．チャップリン,0586,,,,,愛知県一宮市萩原町西御堂三反田８４－１,愛知県一宮市萩原町西御堂三反田８４－１,,118778,23,23203,萩原町西御堂,,2021/12/16,2021/12/16,,,,福田　紀代美,,,,,,,,,3一宮保衛第7001-449号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,Ｍｒチャップリン11877823203,d2399103-c02a-450c-866f-de86fd3964f2,,personal,0c70c6ad-0c3c-4e2d-a733-a6c1a534184e,2021/12/16,Ｍｒ．チャップリン,Ｍｒチャップリン,
パスタ・デ・ココ　一宮三ツ井店,愛知県一宮市三ツ井７丁目３－４　,愛知県一宮市三ツ井７丁目３－４,,飲食店営業,株式会社ニック,R 3.12.16,R 3.12.16,3一宮保衛第7001-450号,許可,,249,パスタ・デ・ココ　一宮三ツ井店,0586,,,,,愛知県一宮市三ツ井７丁目３－４,愛知県一宮市三ツ井７丁目３－４,,118918,23,23203,三ツ井７,,2021/12/16,2021/12/16,,,株式会社ニック,,,,,,,,,,3一宮保衛第7001-450号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,パスタデココ一宮三ツ井店11891823203,099e11da-3358-40b5-9128-2f3f2b2417ed,株式会社ニック,bb2f07a4-99f4-46f4-93c3-30fc662b3bde,9703d14f-9910-4e63-81fd-a541ed21e6bd,2021/12/16,パスタ・デ・ココ　一宮三ツ井店,パスタデココ一宮三ツ井店,株式会社ニック
株式会社綿半フレッシュマーケット平島店,愛知県一宮市平島１丁目７－１　,愛知県一宮市平島１丁目７－１,,飲食店営業,株式会社綿半フレッシュマーケット,R 3.12.14,R 3.12.14,3一宮保衛第7001-451号,許可,,249,株式会社綿半フレッシュマーケット平島店,0586,,,,,愛知県一宮市平島１丁目７－１,愛知県一宮市平島１丁目７－１,,118803,23,23203,平島１,,2021/12/14,2021/12/14,,,株式会社綿半フレッシュマーケット,,,,,,,,,,3一宮保衛第7001-451号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,株式会社綿半フレッシュマケット平島店11880323203,e4706f75-0b8e-4812-9dbf-41b858ac5a09,株式会社綿半フレッシュマーケット,31e956b6-5905-42ee-ad24-c7e67fd6e2b0,ad899ce9-b547-40ae-bc28-bd5b910c7f53,2021/12/14,株式会社綿半フレッシュマーケット平島店,株式会社綿半フレッシュマケット平島店,株式会社綿半フレッシュマーケット
ミニストップ　一宮篭屋店,愛知県一宮市篭屋１丁目１－１５　,愛知県一宮市篭屋１丁目１－１５,,飲食店営業,浅井　和永,R 3.12.20,R 3.12.20,3一宮保衛第7001-453号,許可,,249,ミニストップ　一宮篭屋店,0586,,,,,愛知県一宮市篭屋１丁目１－１５,愛知県一宮市篭屋１丁目１－１５,,118925,23,23203,篭屋１,,2021/12/20,2021/12/20,,,,浅井　和永,,,,,,,,,3一宮保衛第7001-453号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ミニストップ一宮篭屋店11892523203,6aa63548-ca73-4d46-bc2a-3df303baa2ab,,personal,804ea326-bf3a-4ec0-bce0-1a399193197d,2021/12/20,ミニストップ　一宮篭屋店,ミニストップ一宮篭屋店,
てぃるーむ富貴むてぃあら,愛知県一宮市萩原町築込字砂先４５４　,愛知県一宮市萩原町築込字砂先４５４,,飲食店営業,宮谷　真一郎,R 3.12.21,R 3.12.21,3一宮保衛第7001-454号,許可,,249,てぃるーむ富貴むてぃあら,0586,,,,,愛知県一宮市萩原町築込字砂先４５４,愛知県一宮市萩原町築込字砂先４５４,,118774,23,23203,萩原町築込,,2021/12/21,2021/12/21,,,,宮谷　真一郎,,,,,,,,,3一宮保衛第7001-454号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,てぃるむ富貴むてぃあら11877423203,cd48b7fe-e6e0-40f6-9637-719ffb946de9,,personal,ac55d886-0976-4d41-a0cf-2d5b6ee03d51,2021/12/21,てぃるーむ富貴むてぃあら,てぃるむ富貴むてぃあら,
森保染色株式会社,愛知県一宮市三条字下り戸３２　森保染色株式会社,愛知県一宮市三条字下り戸３２,森保染色株式会社,調理の機能を有する自動販売機営業,株式会社　アペックス,R 3.12.21,R 3.12.21,3一宮保衛第7002-003号,許可,,249,森保染色株式会社,0586,,,,,愛知県一宮市三条字下り戸３２,愛知県一宮市三条字下り戸３２,森保染色株式会社,118940,23,23203,三条,,2021/12/21,2021/12/21,,,株式会社　アペックス,,,,,,,,,,3一宮保衛第7002-003号,許可,調理機能を有する自動販売機,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,61,612,,森保染色株式会社11894023203,6f27616e-af08-4968-abcf-d69bfeacf697,株式会社アペックス,309fc722-e467-4a45-8da9-e34f8870dabb,be26219c-1916-42d3-9a59-f5406afad7ed,2021/12/21,森保染色株式会社,森保染色株式会社,株式会社アペックス
五清,愛知県一宮市丹陽町五日市場字屋敷１２　,愛知県一宮市丹陽町五日市場字屋敷１２,,食肉販売業,湯浅　清,R 3.12. 6,R 3.12. 6,3一宮保衛第7003-006号,許可,,249,五清,0586,,,,,愛知県一宮市丹陽町五日市場字屋敷１２,愛知県一宮市丹陽町五日市場字屋敷１２,,118710,23,23203,丹陽町五日市場,,2021/12/06,2021/12/06,,,,湯浅　清,,,,,,,,,3一宮保衛第7003-006号,許可,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,五清11871023203,76db10b0-687f-4cf1-8577-5dc4c6b9217a,,personal,22bf1b23-eabc-4b95-a3ee-a0479430001a,2021/12/06,五清,五清,
炭火焼肉　釜山,愛知県一宮市森本３丁目２３－２８　,愛知県一宮市森本３丁目２３－２８,,食肉販売業,三輪　卓也,R 3.12. 6,R 3.12. 6,3一宮保衛第7003-007号,許可,,249,炭火焼肉　釜山,0586,,,,,愛知県一宮市森本３丁目２３－２８,愛知県一宮市森本３丁目２３－２８,,118909,23,23203,森本３,,2021/12/06,2021/12/06,,,,三輪　卓也,,,,,,,,,3一宮保衛第7003-007号,許可,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,炭火焼肉釜山11890923203,6671b764-6cfd-4647-be4b-25e280726364,,personal,31af0d43-6bc2-4d5b-b714-b9b4384df69c,2021/12/06,炭火焼肉　釜山,炭火焼肉釜山,
たちとり,愛知県一宮市小信中島字南平口１０－１　,愛知県一宮市小信中島字南平口１０－１,,食肉販売業,板津　裕,R 3.12.13,R 3.12.13,3一宮保衛第7003-009号,許可,,249,たちとり,0586,,,,,愛知県一宮市小信中島字南平口１０－１,愛知県一宮市小信中島字南平口１０－１,,118939,23,23203,小信中島,,2021/12/13,2021/12/13,,,,板津　裕,,,,,,,,,3一宮保衛第7003-009号,許可,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,たちとり11893923203,a897bb08-7c6b-442d-a5d0-d444f0bd22ff,,personal,be197f79-6b01-410c-b620-b55ad7335e0f,2021/12/13,たちとり,たちとり,
株式会社綿半フレッシュマーケット平島店,愛知県一宮市平島１丁目７－１　,愛知県一宮市平島１丁目７－１,,食肉販売業,株式会社綿半フレッシュマーケット,R 3.12.14,R 3.12.14,3一宮保衛第7003-010号,許可,,249,株式会社綿半フレッシュマーケット平島店,0586,,,,,愛知県一宮市平島１丁目７－１,愛知県一宮市平島１丁目７－１,,118803,23,23203,平島１,,2021/12/14,2021/12/14,,,株式会社綿半フレッシュマーケット,,,,,,,,,,3一宮保衛第7003-010号,許可,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,株式会社綿半フレッシュマケット平島店11880323203,e4706f75-0b8e-4812-9dbf-41b858ac5a09,株式会社綿半フレッシュマーケット,31e956b6-5905-42ee-ad24-c7e67fd6e2b0,83099bff-62a2-4a49-a4ae-1f706611b566,2021/12/14,株式会社綿半フレッシュマーケット平島店,株式会社綿半フレッシュマケット平島店,株式会社綿半フレッシュマーケット
株式会社綿半フレッシュマーケット平島店,愛知県一宮市平島１丁目７－１　,愛知県一宮市平島１丁目７－１,,魚介類販売業,株式会社綿半フレッシュマーケット,R 3.12.14,R 3.12.14,3一宮保衛第7004-009号,許可,,249,株式会社綿半フレッシュマーケット平島店,0586,,,,,愛知県一宮市平島１丁目７－１,愛知県一宮市平島１丁目７－１,,118803,23,23203,平島１,,2021/12/14,2021/12/14,,,株式会社綿半フレッシュマーケット,,,,,,,,,,3一宮保衛第7004-009号,許可,魚介類販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,,,株式会社綿半フレッシュマケット平島店11880323203,e4706f75-0b8e-4812-9dbf-41b858ac5a09,株式会社綿半フレッシュマーケット,31e956b6-5905-42ee-ad24-c7e67fd6e2b0,fcf04554-8162-4734-b140-10d9205559d0,2021/12/14,株式会社綿半フレッシュマーケット平島店,株式会社綿半フレッシュマケット平島店,株式会社綿半フレッシュマーケット
アスピレーション株式会社,愛知県一宮市大和町氏永仲林１４０－１　,愛知県一宮市大和町氏永仲林１４０－１,,食肉処理業,アスピレーション株式会社,R 3.12. 7,R 3.12. 7,3一宮保衛第7009-005号,許可,,249,アスピレーション株式会社,0586,,,,,愛知県一宮市大和町氏永仲林１４０－１,愛知県一宮市大和町氏永仲林１４０－１,,118860,23,23203,大和町氏永,,2021/12/07,2021/12/07,,,アスピレーション株式会社,,,,,,,,,,3一宮保衛第7009-005号,許可,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,アスピレション株式会社11886023203,f2b28975-67e9-45ac-98c5-eb295b54ff97,アスピレーション株式会社,824a51d0-a901-49fa-b52e-dec2201b3624,99df766d-f199-4658-a4c9-54c9fd26206d,2021/12/07,アスピレーション株式会社,アスピレション株式会社,アスピレーション株式会社
有限会社ＳＧ・Ｓ,愛知県一宮市佐千原字北郷４２　,愛知県一宮市佐千原字北郷４２,,食肉処理業,有限会社ＳＧ・Ｓ,R 3.12. 9,R 3.12. 9,3一宮保衛第7009-006号,許可,,249,有限会社ＳＧ・Ｓ,0586,,,,,愛知県一宮市佐千原字北郷４２,愛知県一宮市佐千原字北郷４２,,118649,23,23203,佐千原,,2021/12/09,2021/12/09,,,有限会社ＳＧ・Ｓ,,,,,,,,,,3一宮保衛第7009-006号,許可,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,有限会社ＳＧＳ11864923203,5d78000c-00ae-4c4f-a73a-4780191d6af3,有限会社ＳＧ・Ｓ,03916f64-60e0-4db3-8df0-99914817496e,efef4ddf-fa2a-4611-8fb3-eb2c816d1f5a,2021/12/09,有限会社ＳＧ・Ｓ,有限会社ＳＧＳ,有限会社ＳＧ・Ｓ
株式会社綿半フレッシュマーケット平島店,愛知県一宮市平島１丁目７－１　,愛知県一宮市平島１丁目７－１,,食肉処理業,株式会社綿半フレッシュマーケット,R 3.12.14,R 3.12.14,3一宮保衛第7009-007号,許可,,249,株式会社綿半フレッシュマーケット平島店,0586,,,,,愛知県一宮市平島１丁目７－１,愛知県一宮市平島１丁目７－１,,118803,23,23203,平島１,,2021/12/14,2021/12/14,,,株式会社綿半フレッシュマーケット,,,,,,,,,,3一宮保衛第7009-007号,許可,食肉販売業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,I,58,583,,株式会社綿半フレッシュマケット平島店11880323203,e4706f75-0b8e-4812-9dbf-41b858ac5a09,株式会社綿半フレッシュマーケット,31e956b6-5905-42ee-ad24-c7e67fd6e2b0,b49607e2-59be-45b8-bc01-cdb7f632c7ac,2021/12/14,株式会社綿半フレッシュマーケット平島店,株式会社綿半フレッシュマケット平島店,株式会社綿半フレッシュマーケット
たい夢　一宮今伊勢店,愛知県一宮市今伊勢町新神戸字九反野５６－１　サガミ一宮今伊勢店　敷地内,愛知県一宮市今伊勢町新神戸字九反野５６－１,サガミ一宮今伊勢店 敷地内,菓子製造業,サガミレストランツ株式会社,R 3.12.17,R 3.12.17,3一宮保衛第7011-038号,許可,,249,たい夢　一宮今伊勢店,0586,,,,,愛知県一宮市今伊勢町新神戸字九反野５６－１,愛知県一宮市今伊勢町新神戸字九反野５６－１,サガミ一宮今伊勢店 敷地内,118572,23,23203,今伊勢町新神戸,,2021/12/17,2021/12/17,,,サガミレストランツ株式会社,,,,,,,,,,3一宮保衛第7011-038号,許可,菓子製造業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,E,9,,,たい夢一宮今伊勢店11857223203,1afd99bc-15a9-4360-b48e-8ec1edb85515,サガミレストランツ株式会社,9fcc9aff-287f-42c2-98b6-4f407ddb1b99,66546340-0951-4e95-94cb-5ca0a554cc57,2021/12/17,たい夢　一宮今伊勢店,たい夢一宮今伊勢店,サガミレストランツ株式会社
