https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,業種,申請者2,施設-電話番号1,確認番号,開業年月日,許可年月日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,,施設所在地,,,営業者氏名,営業の種類,代表者氏名,施設電話番号,許可番号,初回許可日,許可年月日,許可満了日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
辰己庵,東京都,練馬区貫井二丁目２番６号,練馬区貫井２丁目２番６号,,田雅一,飲食店営業,,3970-0011,3練健生練食第12337号,2021/12/16,2021/12/16,2027/12/31,,199,辰己庵,03,03-3970-0011,,,,東京都　練馬区貫井２丁目２番６号,東京都練馬区貫井２丁目２番６号,,75282,13,13120,貫井２,,2021/12/16,2021/12/16,,2027/12/31,,田雅一 ,,,,,,,,,3練健生練食第12337号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,辰己庵03-3970-00117528213120,bfd563d4-9c8b-4491-93bb-41dc14e9d5c5,,personal,5b6a134b-3d0e-463c-aa13-765833eca383,2021/12/16,辰己庵,辰己庵,
ニコニコキッチン練馬南店,東京都,練馬区貫井二丁目１４番２７号,練馬区貫井２丁目１４番２７号,,株式会社愛創コラボレーション,飲食店営業,山本隆久,5987-2520,3練健生練食第12320号,2021/12/17,2021/12/17,2027/12/31,,199,ニコニコキッチン練馬南店,03,03-5987-2520,,,,東京都　練馬区貫井２丁目１４番２７号,東京都練馬区貫井２丁目１４番２７号,,75282,13,13120,貫井２,,2021/12/17,2021/12/17,,2027/12/31,株式会社愛創コラボレーション,山本隆久,,,,,,,,,3練健生練食第12320号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ニコニコキッチン練馬南店03-5987-25207528213120,7b93e1a6-8365-4539-9cb3-016c43e664eb,株式会社愛創コラボレーション,265c309a-e8b4-487b-997a-39e8e176c6dd,2952ff8b-0038-4c4d-a605-2a66acd21b22,2021/12/17,ニコニコキッチン練馬南店,ニコニコキッチン練馬南店,株式会社愛創コラボレーション
ミスタードーナツ富士見台駅前ショップ,東京都,練馬区貫井三丁目７番５号,練馬区貫井３丁目７番５号,,株式会社プランドゥ,その他の食料・飲料販売業,吉田清人,0359875216,3練健生練食第12292号,2021/12/1,2021/12/1,,,199,ミスタードーナツ富士見台駅前ショップ,03,03-5987-5216,,,,東京都　練馬区貫井３丁目７番５号,東京都練馬区貫井３丁目７番５号,,75283,13,13120,貫井３,,2021/12/01,2021/12/01,,,株式会社プランドゥ,吉田清人,,,,,,,,,3練健生練食第12292号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ミスタドナツ富士見台駅前ショップ03-5987-52167528313120,97b98ed7-cfcd-4e02-a439-aa382b958aaa,株式会社プランドゥ,e221c18b-01b7-4b0d-86ee-1dad8f6ab588,48ebc365-d79e-4908-b1f4-372a97b654ec,2021/12/01,ミスタードーナツ富士見台駅前ショップ,ミスタドナツ富士見台駅前ショップ,株式会社プランドゥ
（有）キャプテン,東京都,練馬区貫井三丁目４５番１９号,練馬区貫井３丁目４５番１９号,,有限会社キャプテン,その他の食料・飲料販売業,九里正之,3990-4221,3練健生練食第12376号,2021/12/27,2021/12/27,,,199,（有）キャプテン,03,03-3990-4221,,,,東京都　練馬区貫井３丁目４５番１９号,東京都練馬区貫井３丁目４５番１９号,,75283,13,13120,貫井３,,2021/12/27,2021/12/27,,,有限会社キャプテン,九里正之,,,,,,,,,3練健生練食第12376号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,有限会社キャプテン03-3990-42217528313120,6b3072b9-d22e-4f4d-b07e-112646e0fefd,有限会社キャプテン,ff4270bb-4b4a-4776-aae8-2d3ec0ab31e5,7c3e9637-6276-439c-b8a6-60c12beaa227,2021/12/27,有限会社キャプテン,有限会社キャプテン,有限会社キャプテン
ほそ川,東京都,練馬区錦一丁目２５番２６号,練馬区錦１丁目２５番２６号,,細川一男,飲食店営業,,03-3933-0858,3練健生練食第12204号,2021/12/10,2021/12/10,2027/12/31,,199,ほそ川,03,03-3933-0858,,,,東京都　練馬区錦１丁目２５番２６号,東京都練馬区錦１丁目２５番２６号,,75279,13,13120,錦１,,2021/12/10,2021/12/10,,2027/12/31,,細川一男 ,,,,,,,,,3練健生練食第12204号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ほそ川03-3933-08587527913120,e6ce6521-50b5-4382-aceb-def9b1617b5d,,personal,0af3d519-bba6-4255-a110-00ee325c8a73,2021/12/10,ほそ川,ほそ川,
カフェ　カサス,東京都,練馬区氷川台三丁目３６番５号,練馬区氷川台３丁目３６番５号,,風祭　江利,飲食店営業,,03-3934-6652,3練健生練食第12201号,2021/12/7,2021/12/7,2027/12/31,,199,カフェ　カサス,03,03-3934-6652,,,,東京都　練馬区氷川台３丁目３６番５号,東京都練馬区氷川台３丁目３６番５号,,75306,13,13120,氷川台３,,2021/12/07,2021/12/07,,2027/12/31,,風祭　江利 ,,,,,,,,,3練健生練食第12201号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,カフェカサス03-3934-66527530613120,ffb3ffa7-ea3f-4135-9e5e-7a105dbcb9f3,,personal,682e6333-c084-48cc-b2f8-113610f8c08e,2021/12/07,カフェ　カサス,カフェカサス,
宮ぎ,東京都,練馬区平和台一丁目２０番７号,練馬区平和台１丁目２０番７号,,佐々木英人,飲食店営業,,3931-8764,3練健生練食第12259号,2021/12/9,2021/12/9,2027/12/31,,199,宮ぎ,03,03-3931-8764,,,,東京都　練馬区平和台１丁目２０番７号,東京都練馬区平和台１丁目２０番７号,,75312,13,13120,平和台１,,2021/12/09,2021/12/09,,2027/12/31,,佐々木英人 ,,,,,,,,,3練健生練食第12259号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,宮ぎ03-3931-87647531213120,31b1106f-4aa8-4e03-96a4-e8fca9eccb35,,personal,7490aa37-988a-4234-8b8f-87fac08e4a19,2021/12/09,宮ぎ,宮ぎ,
はま寿司　練馬春日町店,東京都,練馬区春日町二丁目７番１８号,練馬区春日町２丁目７番１８号,,株式会社はま寿司,その他の食料・飲料販売業,遠藤哲郎,5971-8020,3練健生練食第12345号,2021/12/15,2021/12/15,,,199,はま寿司　練馬春日町店,03,03-5971-8020,,,,東京都　練馬区春日町２丁目７番１８号,東京都練馬区春日町２丁目７番１８号,,75176,13,13120,春日町２,,2021/12/15,2021/12/15,,,株式会社はま寿司,遠藤哲郎,,,,,,,,,3練健生練食第12345号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,はま寿司練馬春日町店03-5971-80207517613120,73571e38-5819-471e-a993-ef2fabfa85c6,株式会社はま寿司,811c4121-252e-4cc4-864c-aa132cd8cc8a,92b99bea-3b65-4456-ae75-a94b33e5b72b,2021/12/15,はま寿司　練馬春日町店,はま寿司練馬春日町店,株式会社はま寿司
春日倶楽部,東京都,練馬区春日町六丁目１２番２０号,練馬区春日町６丁目１２番２０号,,社会福祉法人ハッピーネット,集団給食施設,伏見広一,0359718700,3練健生練食第12298号,2021/12/2,2021/12/2,,,199,春日倶楽部,03,03-5971-8700,,,,東京都　練馬区春日町６丁目１２番２０号,東京都練馬区春日町６丁目１２番２０号,,75180,13,13120,春日町６,,2021/12/02,2021/12/02,,,社会福祉法人ハッピーネット,伏見広一,,,,,,,,,3練健生練食第12298号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,春日倶楽部03-5971-87007518013120,6cbd9112-3876-4115-9746-bcb6b4e8843e,社会福祉法人ハッピーネット,1dc33c4d-3288-42c3-85c5-d7567c31ba03,fe70bf30-cdd9-47e9-b730-ba0d6b48129f,2021/12/02,春日倶楽部,春日倶楽部,社会福祉法人ハッピーネット
株式会社ハギワラ　練馬営業所,東京都,練馬区高松三丁目２２番１５号,練馬区高松３丁目２２番１５号,,株式会社ハギワラ,漬物製造業,萩原賢一,5848-7601,3練健生練食第12176号,2021/12/8,2021/12/8,2027/12/31,,199,株式会社ハギワラ　練馬営業所,03,03-5848-7601,,,,東京都　練馬区高松３丁目２２番１５号,東京都練馬区高松３丁目２２番１５号,,75240,13,13120,高松３,,2021/12/08,2021/12/08,,2027/12/31,株式会社ハギワラ,萩原賢一,,,,,,,,,3練健生練食第12176号,,漬物製造業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,,,株式会社ハギワラ練馬営業所03-5848-76017524013120,9f878451-3cce-44ea-88d5-b97a5014812c,株式会社ハギワラ,38c8e977-a162-480e-9b89-cbe27f2d776e,bc918bef-085d-4de1-84b3-73bfb9eb5a3e,2021/12/08,株式会社ハギワラ　練馬営業所,株式会社ハギワラ練馬営業所,株式会社ハギワラ
かるび家光が丘店,東京都,練馬区高松四丁目４番４３号,練馬区高松４丁目４番４３号,,株式会社スエヒロレストランシステム,食肉販売業（包装済みの食肉のみの販売）,佐藤啓介,0359712941,3練健生練食第12371号,2021/12/23,2021/12/23,,,199,かるび家光が丘店,03,03-5971-2941,,,,東京都　練馬区高松４丁目４番４３号,東京都練馬区高松４丁目４番４３号,,75241,13,13120,高松４,,2021/12/23,2021/12/23,,,株式会社スエヒロレストランシステム,佐藤啓介,,,,,,,,,3練健生練食第12371号,,食肉販売業,包装済みの食肉のみの販売,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,583,,かるび家光が丘店03-5971-29417524113120,21ff3e87-a324-4aa3-b68e-7c0d2f7c31c2,株式会社スエヒロレストランシステム,5af205d1-6382-44c8-ac87-bdebfb28c0db,bc3c62ef-1130-49a3-b423-0f361661997c,2021/12/23,かるび家光が丘店,かるび家光が丘店,株式会社スエヒロレストランシステム
すし銚子丸　光が丘店,東京都,練馬区高松四丁目１３番１９号,練馬区高松４丁目１３番１９号,,株式会社銚子丸,飲食店営業,石田満,03-5971-3440,3練健生練食第12315号,2021/12/10,2021/12/10,2027/12/31,,199,すし銚子丸　光が丘店,03,03-5971-3440,,,,東京都　練馬区高松４丁目１３番１９号,東京都練馬区高松４丁目１３番１９号,,75241,13,13120,高松４,,2021/12/10,2021/12/10,,2027/12/31,株式会社銚子丸,石田満,,,,,,,,,3練健生練食第12315号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,すし銚子丸光が丘店03-5971-34407524113120,6dceba61-893d-40b7-910a-14f42b2f2216,株式会社銚子丸,58d01a24-b2b6-4092-85bd-d13395423135,15cb05ef-5394-47a1-b127-0daf57382d59,2021/12/10,すし銚子丸　光が丘店,すし銚子丸光が丘店,株式会社銚子丸
株式会社サンエス　ｂａｌａｎｃｅ,東京都,練馬区高松五丁目１４番５号,練馬区高松５丁目１４番５号,,株式会社サンエス,その他の食料品製造・加工業,金子裕輝,0353726933,3練健生練食第12358号,2021/12/16,2021/12/16,,,199,株式会社サンエス　ｂａｌａｎｃｅ,03,03-5372-6933,,,,東京都　練馬区高松５丁目１４番５号,東京都練馬区高松５丁目１４番５号,,75242,13,13120,高松５,,2021/12/16,2021/12/16,,,株式会社サンエス,金子裕輝,,,,,,,,,3練健生練食第12358号,,その他の食料品製造・加工業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,株式会社サンエスｂａｌａｎｃｅ03-5372-69337524213120,44b2a666-3dcd-493d-b67f-ee32535a333c,株式会社サンエス,9c4c9eb1-3ce3-4802-89ba-3f1178df3715,e404e22e-7f6c-47af-a2b4-5cd3cc671398,2021/12/16,株式会社サンエス　ｂａｌａｎｃｅ,株式会社サンエスｂａｌａｎｃｅ,株式会社サンエス
大黒屋,東京都,練馬区北町一丁目２５番１２号,練馬区北町１丁目２５番１２号,,島野善一,飲食店営業,,3932-0735,3練健生練食第12306号,2021/12/16,2021/12/16,2027/12/31,,199,大黒屋,03,03-3932-0735,,,,東京都　練馬区北町１丁目２５番１２号,東京都練馬区北町１丁目２５番１２号,,75185,13,13120,北町１,,2021/12/16,2021/12/16,,2027/12/31,,島野善一 ,,,,,,,,,3練健生練食第12306号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,大黒屋03-3932-07357518513120,b48125ef-bf45-49eb-a0d7-1715cc96d054,,personal,b29c4a31-343c-452f-bd1b-ae57d5e01eff,2021/12/16,大黒屋,大黒屋,
寿ぎ乃家,東京都,練馬区田柄一丁目２番２０号,練馬区田柄１丁目２番２０号,,有限会社吉田養鶏場,飲食店営業,吉田保男,3930-4445,3練健生練食第12322号,2021/12/17,2021/12/17,2027/12/31,,199,寿ぎ乃家,03,03-3930-4445,,,,東京都　練馬区田柄１丁目２番２０号,東京都練馬区田柄１丁目２番２０号,,75244,13,13120,田柄１,,2021/12/17,2021/12/17,,2027/12/31,有限会社吉田養鶏場,吉田保男,,,,,,,,,3練健生練食第12322号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,寿ぎ乃家03-3930-44457524413120,2248df8b-e586-4807-a341-160d79ecaad7,有限会社吉田養鶏場,0ed501c8-d92a-4827-8092-78ca01bf7542,263c7941-deb6-4986-9465-8776572be7f3,2021/12/17,寿ぎ乃家,寿ぎ乃家,有限会社吉田養鶏場
有限会社吉田鶏肉店,東京都,練馬区田柄一丁目２番２０号,練馬区田柄１丁目２番２０号,,有限会社吉田養鶏場,飲食店営業,吉田保男,3930-4445,3練健生練食第12323号,2021/12/17,2021/12/17,2027/12/31,,199,有限会社吉田鶏肉店,03,03-3930-4445,,,,東京都　練馬区田柄１丁目２番２０号,東京都練馬区田柄１丁目２番２０号,,75244,13,13120,田柄１,,2021/12/17,2021/12/17,,2027/12/31,有限会社吉田養鶏場,吉田保男,,,,,,,,,3練健生練食第12323号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,有限会社吉田鶏肉店03-3930-44457524413120,5c2953f6-ae75-4325-886e-a39faf122b5a,有限会社吉田養鶏場,0ed501c8-d92a-4827-8092-78ca01bf7542,dc5f7d23-6d11-48b5-8146-19156109c027,2021/12/17,有限会社吉田鶏肉店,有限会社吉田鶏肉店,有限会社吉田養鶏場
有限会社吉田鶏肉店,東京都,練馬区田柄一丁目２番２０号,練馬区田柄１丁目２番２０号,,有限会社吉田養鶏場,食肉販売業,吉田保男,3930-4445,3練健生練食第12324号,2021/12/17,2021/12/17,2027/12/31,,199,有限会社吉田鶏肉店,03,03-3930-4445,,,,東京都　練馬区田柄１丁目２番２０号,東京都練馬区田柄１丁目２番２０号,,75244,13,13120,田柄１,,2021/12/17,2021/12/17,,2027/12/31,有限会社吉田養鶏場,吉田保男,,,,,,,,,3練健生練食第12324号,,食肉販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,583,,有限会社吉田鶏肉店03-3930-44457524413120,5c2953f6-ae75-4325-886e-a39faf122b5a,有限会社吉田養鶏場,0ed501c8-d92a-4827-8092-78ca01bf7542,290e2a44-6fb0-4a3d-ab1b-9de9af84641a,2021/12/17,有限会社吉田鶏肉店,有限会社吉田鶏肉店,有限会社吉田養鶏場
有限会社吉田鶏肉店,東京都,練馬区田柄一丁目２番２０号,練馬区田柄１丁目２番２０号,,有限会社吉田養鶏場,その他の食料・飲料販売業,吉田保男,3930-4445,3練健生練食第12325号,2021/12/8,2021/12/8,,,199,有限会社吉田鶏肉店,03,03-3930-4445,,,,東京都　練馬区田柄１丁目２番２０号,東京都練馬区田柄１丁目２番２０号,,75244,13,13120,田柄１,,2021/12/08,2021/12/08,,,有限会社吉田養鶏場,吉田保男,,,,,,,,,3練健生練食第12325号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,有限会社吉田鶏肉店03-3930-44457524413120,5c2953f6-ae75-4325-886e-a39faf122b5a,有限会社吉田養鶏場,0ed501c8-d92a-4827-8092-78ca01bf7542,13459548-20e7-43ac-a573-cd561972ef58,2021/12/08,有限会社吉田鶏肉店,有限会社吉田鶏肉店,有限会社吉田養鶏場
わが家　道,東京都,練馬区田柄二丁目３番８号,練馬区田柄２丁目３番８号,,上村道代,飲食店営業,,3938-1248,3練健生練食第12305号,2021/12/15,2021/12/15,2027/12/31,,199,わが家　道,03,03-3938-1248,,,,東京都　練馬区田柄２丁目３番８号,東京都練馬区田柄２丁目３番８号,,75245,13,13120,田柄２,,2021/12/15,2021/12/15,,2027/12/31,,上村道代 ,,,,,,,,,3練健生練食第12305号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,わが家道03-3938-12487524513120,42219619-613f-4b69-8300-ab515c0ceade,,personal,58855f4d-cdaf-4d45-a7f3-f0d45a35de24,2021/12/15,わが家　道,わが家道,
ＨＵＮＧＲＹ　ＩＮＤＩＡＮ　ＮＥＰＡＬＩ　ＣＵＲＲＹ　ＨＯＵＳＥ,東京都,練馬区田柄二丁目３３番１３号,練馬区田柄２丁目３３番１３号,,株式会社ＤＩＬＪＹＯＴＨＩ,飲食店営業,ニウレチャンディプラサド,03-6886-9748,3練健生練食第12342号,2021/12/21,2021/12/21,2027/12/31,,199,ＨＵＮＧＲＹ　ＩＮＤＩＡＮ　ＮＥＰＡＬＩ　ＣＵＲＲＹ　ＨＯＵＳＥ,03,03-6886-9748,,,,東京都　練馬区田柄２丁目３３番１３号,東京都練馬区田柄２丁目３３番１３号,,75245,13,13120,田柄２,,2021/12/21,2021/12/21,,2027/12/31,株式会社ＤＩＬＪＹＯＴＨＩ,ニウレチャンディプラサド,,,,,,,,,3練健生練食第12342号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,ＨＵＮＧＲＹＩＮＤＩＡＮＮＥＰＡＬＩＣＵＲＲＹＨＯＵＳＥ03-6886-97487524513120,bc0578cf-12d1-4a9f-9b24-415cc7ef2f41,株式会社ＤＩＬＪＹＯＴＨＩ,44854d54-0fc7-4b28-bd02-7d1528adc07c,6f4e59e2-da1f-44b7-8d66-b4e98554467a,2021/12/21,ＨＵＮＧＲＹ　ＩＮＤＩＡＮ　ＮＥＰＡＬＩ　ＣＵＲＲＹ　ＨＯＵＳＥ,ＨＵＮＧＲＹＩＮＤＩＡＮＮＥＰＡＬＩＣＵＲＲＹＨＯＵＳＥ,株式会社ＤＩＬＪＹＯＴＨＩ
しぶ,東京都,練馬区田柄二丁目３３番１５号,練馬区田柄２丁目３３番１５号,,木下理彩,飲食店営業,,3977-4657,3練健生練食第12312号,2021/12/16,2021/12/16,2027/12/31,,199,しぶ,03,03-3977-4657,,,,東京都　練馬区田柄２丁目３３番１５号,東京都練馬区田柄２丁目３３番１５号,,75245,13,13120,田柄２,,2021/12/16,2021/12/16,,2027/12/31,,木下理彩 ,,,,,,,,,3練健生練食第12312号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,しぶ03-3977-46577524513120,fea6bc11-8720-4e29-b88b-2676a0172861,,personal,7c76947e-c806-420e-98a5-2fa57481c38c,2021/12/16,しぶ,しぶ,
カルディコーヒーファーム　光が丘ＩＭＡ店,東京都,練馬区光が丘五丁目１番１号  ＩＭＡ専門店街,練馬区光が丘５丁目１番１号, ＩＭＡ専門店街,株式会社キャメル珈琲,その他の食料・飲料販売業,尾田信夫,03-3939-7521,3練健生練食第12290号,2021/12/1,2021/12/1,,,199,カルディコーヒーファーム　光が丘ＩＭＡ店,03,03-3939-7521,,,,東京都　練馬区光が丘５丁目１番１号,東京都練馬区光が丘５丁目１番１号, ＩＭＡ専門店街,75301,13,13120,光が丘５,,2021/12/01,2021/12/01,,,株式会社キャメル珈琲,尾田信夫,,,,,,,,,3練健生練食第12290号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,カルディコヒファム光が丘ＩＭＡ店03-3939-75217530113120,de2a86d6-0f53-4406-a79c-ca0e1834ac90,株式会社キャメル珈琲,f59490d0-4e10-4311-a326-3700302f1d76,d57a3786-c1a9-4d30-8692-cfa92c8509ff,2021/12/01,カルディコーヒーファーム　光が丘ＩＭＡ店,カルディコヒファム光が丘ＩＭＡ店,株式会社キャメル珈琲
蕎麦処いなたや光が丘店,東京都,練馬区光が丘五丁目１番１号  光が丘ＩＭＡ１階光の広場,練馬区光が丘５丁目１番１号, 光が丘ＩＭＡ１階光の広場,株式会社稲田屋本店,その他の食料・飲料販売業,梅原正樹,6904-0827,3練健生練食第12333号,2021/12/9,2021/12/9,,,199,蕎麦処いなたや光が丘店,03,03-6904-0827,,,,東京都　練馬区光が丘５丁目１番１号,東京都練馬区光が丘５丁目１番１号, 光が丘ＩＭＡ１階光の広場,75301,13,13120,光が丘５,,2021/12/09,2021/12/09,,,株式会社稲田屋本店,梅原正樹,,,,,,,,,3練健生練食第12333号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,蕎麦処いなたや光が丘店03-6904-08277530113120,bc4cf521-456d-496a-91fd-008e143f9ec7,株式会社稲田屋本店,30b08591-396d-43b6-a511-0ef995ddd958,bd8ded30-e2a4-4249-a2e7-3543d0735e14,2021/12/09,蕎麦処いなたや光が丘店,蕎麦処いなたや光が丘店,株式会社稲田屋本店
㈱菓匠清閑院　光が丘ＩＭＡ店,東京都,練馬区光が丘五丁目１番１号,練馬区光が丘５丁目１番１号,,株式会社菓匠清閑院,その他の食料・飲料販売業,岡田憲明,03-5967-1050,3練健生練食第12334号,2021/12/9,2021/12/9,,,199,㈱菓匠清閑院　光が丘ＩＭＡ店,03,03-5967-1050,,,,東京都　練馬区光が丘５丁目１番１号,東京都練馬区光が丘５丁目１番１号,,75301,13,13120,光が丘５,,2021/12/09,2021/12/09,,,株式会社菓匠清閑院,岡田憲明,,,,,,,,,3練健生練食第12334号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,株式会社菓匠清閑院光が丘ＩＭＡ店03-5967-10507530113120,bd27b968-acbd-462c-b4a1-f3f614aabd06,株式会社菓匠清閑院,cb611760-ed00-4ed0-91ed-f7c5c5af5191,a291167f-e050-4340-9b6f-efa07b1b1cda,2021/12/09,株式会社菓匠清閑院　光が丘ＩＭＡ店,株式会社菓匠清閑院光が丘ＩＭＡ店,株式会社菓匠清閑院
りんごとバター。光が丘ＩＭＡ店,東京都,練馬区光が丘五丁目１番１号  光が丘ＩＭＡ中央館地下１階,練馬区光が丘５丁目１番１号, 光が丘ＩＭＡ中央館地下１階,株式会社風美庵,その他の食料・飲料販売業,河越久,03-6909-2267,3練健生練食第12307号,2021/12/3,2021/12/3,,,199,りんごとバター。光が丘ＩＭＡ店,03,03-6909-2267,,,,東京都　練馬区光が丘５丁目１番１号,東京都練馬区光が丘５丁目１番１号, 光が丘ＩＭＡ中央館地下１階,75301,13,13120,光が丘５,,2021/12/03,2021/12/03,,,株式会社風美庵,河越久,,,,,,,,,3練健生練食第12307号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,りんごとバタ光が丘ＩＭＡ店03-6909-22677530113120,7b903c1b-c9e7-402a-aa40-5e0af6d275af,株式会社風美庵,76b351b5-21f0-4de9-b283-7952427da829,47e6c253-0c28-4431-af61-562bcfb2156d,2021/12/03,りんごとバター。光が丘ＩＭＡ店,りんごとバタ光が丘ＩＭＡ店,株式会社風美庵
北の大地　光が丘店,東京都,練馬区光が丘五丁目１番１号  ＩＭＡ専門店街Ｂ１Ｆ,練馬区光が丘５丁目１番１号, ＩＭＡ専門店街Ｂ１Ｆ,株式会社北の大地,野菜果物販売業,木佐森研三,0359673050,3練健生練食第12291号,2021/12/1,2021/12/1,,,199,北の大地　光が丘店,03,03-5967-3050,,,,東京都　練馬区光が丘５丁目１番１号,東京都練馬区光が丘５丁目１番１号, ＩＭＡ専門店街Ｂ１Ｆ,75301,13,13120,光が丘５,,2021/12/01,2021/12/01,,,株式会社北の大地,木佐森研三,,,,,,,,,3練健生練食第12291号,,野菜果物販売業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,582,,北の大地光が丘店03-5967-30507530113120,6b9b20b5-a7f8-47b8-a575-f48df6c4a2f3,株式会社北の大地,0b52d7e4-e6e7-4f54-afec-914ae2913dee,aa4ddb7b-4df9-4595-8981-abcb1a2ebc50,2021/12/01,北の大地　光が丘店,北の大地光が丘店,株式会社北の大地
京子,東京都,練馬区旭町三丁目２７番１５号  第２柴ビル２０２,練馬区旭町３丁目２７番１５号, 第２柴ビル２０２,菊池京子,飲食店営業,,03-6909-9009,3練健生練食第12368号,2021/12/28,2021/12/28,2027/12/31,,199,京子,03,03-6909-9009,,,,東京都　練馬区旭町３丁目２７番１５号,東京都練馬区旭町３丁目２７番１５号, 第２柴ビル２０２,75165,13,13120,旭町３,,2021/12/28,2021/12/28,,2027/12/31,,菊池京子 ,,,,,,,,,3練健生練食第12368号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,京子03-6909-90097516513120,e856aa42-a41c-4c50-8245-31e859016375,,personal,7efbef55-a547-41e8-9738-5fb13d552b6a,2021/12/28,京子,京子,
