https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,確認番号,許可年月日,業種,申請-電話番号1,開業年月日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所TEL1,営業者名,許可番号,許可開始日,業種,"営業者TEL1
情報公開用",初回許可日,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
カフェ　サイフォニスタ,豊島区,長崎二丁目12番15号,6905-8675,中元 人司,1-03-01203,令和3年11月25日,1飲食店営業(一般),※※※※※,令和3年11月25日,新規,,195,カフェ　サイフォニスタ,03,03-6905-8675,,,,豊島区　長崎二丁目12番15号,東京都豊島区長崎２丁目１２番１５号,,74816,13,13116,長崎２,,2021/11/25,2021/11/25,,,,中元 人司,,,,,,,,,1-03-01203,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,カフェサイフォニスタ03-6905-86757481613116,51c9cad3-7fdd-43ad-8f37-4a0b43a2617b,,personal,700b2a71-48e6-4693-8ffc-750d80eab3fc,2021/11/25,カフェ　サイフォニスタ,カフェサイフォニスタ,
ファミリーマート　豊島長崎三丁目店,豊島区,長崎三丁目14番17号,5917-2110,合同会社オー·リテール,1-03-01271,,1飲食店営業(一般·惣菜),06-6632-3000,,新規,,195,ファミリーマート　豊島長崎三丁目店,03,03-5917-2110,,,,豊島区　長崎三丁目14番17号,東京都豊島区長崎３丁目１４番１７号,,74817,13,13116,長崎３,,,,,,合同会社オー·リテール,,06-6632-3000,,,,,,,,1-03-01271,,飲食店営業,(一般·惣菜),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ファミリマト豊島長崎三丁目店03-5917-21107481713116,b3758ebe-0237-4d24-8206-9a13d14a446d,合同会社オー・リテール,f0803818-9b89-4732-b71d-b3dcbf4b7944,f89fcca2-706a-4e8d-a216-e7ceeb1f7253,2021/11/01,ファミリーマート　豊島長崎三丁目店,ファミリマト豊島長崎三丁目店,合同会社オー・リテール
名前はまだない珈琲店,豊島区,長崎四丁目4番5号,,原田ゆりか,1-03-00842,令和3年9月17日,1飲食店営業(一般),,令和3年9月17日,新規,,195,名前はまだない珈琲店,03,,,,,豊島区　長崎四丁目4番5号,東京都豊島区長崎４丁目４番５号,,74818,13,13116,長崎４,,2021/09/17,2021/09/17,,,,原田ゆりか,,,,,,,,,1-03-00842,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,名前はまだない珈琲店7481813116,faf234f8-dcbd-4f86-9efa-422813e6497f,,personal,eea5cd99-f797-4b14-a22a-4948e588ff0d,2021/09/17,名前はまだない珈琲店,名前はまだない珈琲店,
とろり天使のわらびもち東長崎店,豊島区,長崎四丁目9番3号,03-6905-8666,株式会社フードナビ,1-03-01161,令和3年11月2日,11菓子製造業(生菓子·和生菓子),03-6810-7951,令和3年11月2日,新規,,195,とろり天使のわらびもち東長崎店,03,03-6905-8666,,,,豊島区　長崎四丁目9番3号,東京都豊島区長崎４丁目９番３号,,74818,13,13116,長崎４,,2021/11/02,2021/11/02,,,株式会社フードナビ,,03-6810-7951,,,,,,,,1-03-01161,,菓子製造業,（生菓子・和生菓子）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,とろり天使のわらびもち東長崎店03-6905-86667481813116,e456aa80-3d37-4a71-92b8-ab72a2c75e17,株式会社フードナビ,2668e345-4b1c-48df-bdf8-f795fc24f549,be64fc4f-85e6-48b5-9aac-e61db9ca0ac8,2021/11/02,とろり天使のわらびもち東長崎店,とろり天使のわらびもち東長崎店,株式会社フードナビ
Blue sky Blue cafe,豊島区,長崎四丁目24番8号,3530-3814,特定非営利活動法人エヌピーオーあおぞら,1-02-00069,令和2年4月24日,【~~3.5】飲食店営業(飲食一般·喫茶店),6908-1661,令和2年4月24日,新規,,195,Blue sky Blue cafe,03,03-3530-3814,,,,豊島区　長崎四丁目24番8号,東京都豊島区長崎４丁目２４番８号,,74818,13,13116,長崎４,,2020/04/24,2020/04/24,,,特定非営利活動法人エヌピーオーあおぞら,,03-6908-1661,,,,,,,,1-02-00069,,喫茶店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＢｌｕｅｓｋｙＢｌｕｅｃａｆｅ03-3530-38147481813116,7e26a30c-e971-4294-87db-5ce2f28dfadc,特定非営利活動法人エヌピーオーあおぞら,57ab3d98-0733-434a-935b-3c44c45253e2,c41323e6-518d-4f9f-be3f-ba5caa0bc668,2020/04/24,Ｂｌｕｅ　ｓｋｙ　Ｂｌｕｅ　ｃａｆｅ,ＢｌｕｅｓｋｙＢｌｕｅｃａｆｅ,特定非営利活動法人エヌピーオーあおぞら
パティスリー オディール,豊島区,長崎四丁目30番2号,3959-6452,矢中愼一,1-03-01285,,11菓子製造業,※※※※※,,新規,,195,パティスリー オディール,03,03-3959-6452,,,,豊島区　長崎四丁目30番2号,東京都豊島区長崎４丁目３０番２号,,74818,13,13116,長崎４,,,,,,,矢中愼一,,,,,,,,,1-03-01285,,菓子製造業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,パティスリオディル03-3959-64527481813116,e16c6ed1-cd11-4a66-a6ea-a7d0eda42e54,,personal,7ab8a1f9-9cfd-4ef8-825c-c413bb83b9d3,2021/11/01,パティスリー　オディール,パティスリオディル,
ファミリーマート西武東長崎駅前店,豊島区,長崎五丁目1番34号,3955-8134,川田和人,1-02-00845,令和2年8月1日,【~R3.5】飲食店営業(飲食一般),※※※※※,平成18年7月25日,更新,,195,ファミリーマート西武東長崎駅前店,03,03-3955-8134,,,,豊島区　長崎五丁目1番34号,東京都豊島区長崎５丁目１番３４号,,74819,13,13116,長崎５,,2006/07/25,2020/08/01,,,,川田和人,,,,,,,,,1-02-00845,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ファミリマト西武東長崎駅前店03-3955-81347481913116,a074a2e0-ed6d-4fe7-b658-80735271a449,,personal,39317106-f13c-4878-88f0-471f70912866,2020/08/01,ファミリーマート西武東長崎駅前店,ファミリマト西武東長崎駅前店,
ジョナサン　要町駅前店,豊島区,要町一丁目9番1号,3958-6560,株式会社すかいらーくレストランツ,1-31-00120,令和元年5月1日,【~R3.5】飲食店営業(飲食一般·大規模店),0422-37-5218,平成17年4月21日,更新,,195,ジョナサン　要町駅前店,03,03-3958-6560,,,,豊島区　要町一丁目9番1号,東京都豊島区要町１丁目９番１号,,74784,13,13116,要町１,,2005/04/21,2019/05/01,,,株式会社すかいらーくレストランツ,,0422-37-5218,,,,,,,,1-31-00120,,飲食店営業,(飲食一般·大規模店),更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ジョナサン要町駅前店03-3958-65607478413116,72f84691-6373-4c03-8459-78c2b0dd55b2,株式会社すかいらーくレストランツ,096e5a40-3c9c-4cb8-82a7-75204bdd2395,a52d1ffe-3a18-4a77-8075-8dfe6f9993dc,2019/05/01,ジョナサン　要町駅前店,ジョナサン要町駅前店,株式会社すかいらーくレストランツ
松屋·マイカリー食堂要町店,豊島区,要町一丁目18番1号,,株式会社松屋フーズ,1-03-01191,,1飲食店営業(一般),0422-38-1136,,新規,,195,松屋·マイカリー食堂要町店,03,,,,,豊島区　要町一丁目18番1号,東京都豊島区要町１丁目１８番１号,,74784,13,13116,要町１,,,,,,株式会社松屋フーズ,,0422-38-1136,,,,,,,,1-03-01191,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,松屋マイカリ食堂要町店7478413116,d59d7ed6-09e7-4cf6-9091-eaa725730e50,株式会社松屋フーズ,fdf92a19-8fbe-4abc-a17c-a8c7e6d7f1cd,76cc87ed-0e23-4893-bc3e-c2d9066607eb,2021/11/01,松屋・マイカリー食堂要町店,松屋マイカリ食堂要町店,株式会社松屋フーズ
魚民,豊島区,要町三丁目23番12号,5995-2988,株式会社モンテローザフーズ,1-29-00426,平成29年6月1日,【~R3.5】飲食店営業(飲食一般·大規模店),0422-36-8888,平成22年5月17日,更新,,195,魚民,03,03-5995-2988,,,,豊島区　要町三丁目23番12号,東京都豊島区要町３丁目２３番１２号,,74786,13,13116,要町３,,2010/05/17,2017/06/01,,,株式会社モンテローザフーズ,,0422-36-8888,,,,,,,,1-29-00426,,飲食店営業,(飲食一般·大規模店),更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,魚民03-5995-29887478613116,3f294e81-0a14-4ef8-a83f-6b4e65db013c,株式会社モンテローザフーズ,3b4d9d23-8f8c-4ea8-8c35-7faec6280ad0,41316820-b841-4f9b-ba28-ef9ce88af4ff,2017/06/01,魚民,魚民,株式会社モンテローザフーズ
千川の杜　事業所,豊島区,要町三丁目54番9号,6905-9103,日清医療食品株式会社,1-26-02093,平成27年2月24日,【~R3.5】飲食店営業(飲食給食),3287-3611,平成27年2月24日,新規,,195,千川の杜　事業所,03,03-6905-9103,,,,豊島区　要町三丁目54番9号,東京都豊島区要町３丁目５４番９号,,74786,13,13116,要町３,,2015/02/24,2015/02/24,,,日清医療食品株式会社,,03-3287-3611,,,,,,,,1-26-02093,,飲食店営業,（給食）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,千川の杜事業所03-6905-91037478613116,272bd9d0-f6f9-4f78-b7de-a510ee8321f4,日清医療食品株式会社,caed14bb-a0f4-4953-b6b1-63211d3b8f27,e5147d3c-8832-4f81-8c58-6391c075b278,2015/02/24,千川の杜　事業所,千川の杜事業所,日清医療食品株式会社
ドミノ·ピザ　豊島高松店,豊島区,高松二丁目10番21号,03-5917-0036,株式会社ドミノ·ピザジャパン,1-27-00564,平成27年6月24日,【~R3.5】飲食店営業(飲食仕出),5820-3794,平成27年6月24日,新規,,195,ドミノ·ピザ　豊島高松店,03,03-5917-0036,,,,豊島区　高松二丁目10番21号,東京都豊島区高松２丁目１０番２１号,,74813,13,13116,高松２,,2015/06/24,2015/06/24,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-27-00564,,飲食店営業,(飲食仕出),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ドミノピザ豊島高松店03-5917-00367481313116,13e7cc8b-e5f0-44e7-ac14-3111eec73609,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,a5007951-2ad6-4d58-bf55-4d8a5b3e1fc3,2015/06/24,ドミノ・ピザ　豊島高松店,ドミノピザ豊島高松店,株式会社ドミノ・ピザジャパン
ドミノ·ピザ　豊島高松店,豊島区,高松二丁目10番21号,03-5917-0036,株式会社ドミノ·ピザジャパン,1-27-00565,平成27年6月24日,【~R3.5】菓子製造業(菓製その他),5820-3794,平成27年6月24日,新規,,195,ドミノ·ピザ　豊島高松店,03,03-5917-0036,,,,豊島区　高松二丁目10番21号,東京都豊島区高松２丁目１０番２１号,,74813,13,13116,高松２,,2015/06/24,2015/06/24,,,株式会社ドミノ·ピザジャパン,,03-5820-3794,,,,,,,,1-27-00565,,菓子製造業,（菓製その他）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ドミノピザ豊島高松店03-5917-00367481313116,13e7cc8b-e5f0-44e7-ac14-3111eec73609,株式会社ドミノ・ピザジャパン,d30338f2-d9a6-41de-b849-510ab1c04af5,94368342-9097-4043-a13e-1402654a533f,2015/06/24,ドミノ・ピザ　豊島高松店,ドミノピザ豊島高松店,株式会社ドミノ・ピザジャパン
ニューデイズ池袋北口,豊島区,南池袋一丁目28番1号,5957-0340,株式会社JR東日本クロスステーション,1-02-01985,令和3年2月1日,【~R3.5】喫茶店営業(喫茶店舗),050-3644-7177,平成27年1月28日,更新,,195,ニューデイズ池袋北口,03,03-5957-0340,,,,豊島区　南池袋一丁目28番1号,東京都豊島区南池袋１丁目２８番１号,,74835,13,13116,南池袋１,,2015/01/28,2021/02/01,,,株式会社JR東日本クロスステーション,,050-3644-7177,,,,,,,,1-02-01985,,喫茶店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ニュデイズ池袋北口03-5957-03407483513116,75e52b67-eac6-4904-bdf5-88327ab5613b,株式会社ＪＲ東日本クロスステーション,ae78b9ac-a867-4e93-8d83-1fc5ca8285b6,8200d766-a490-4fbd-862b-97dfa74da204,2021/02/01,ニューデイズ池袋北口,ニュデイズ池袋北口,株式会社ＪＲ東日本クロスステーション
RINGO　池袋店,豊島区,南池袋一丁目28番2号,5911-7825,株式会社JR東日本クロスステーション,1-27-02132,平成28年2月26日,【~R3.5】菓子製造業(生菓子·洋生菓子),050-3644-2879,平成22年11月10日,新規,,195,RINGO　池袋店,03,03-5911-7825,,,,豊島区　南池袋一丁目28番2号,東京都豊島区南池袋１丁目２８番２号,,74835,13,13116,南池袋１,,2010/11/10,2016/02/26,,,株式会社JR東日本クロスステーション,,050-3644-2879,,,,,,,,1-27-02132,,菓子製造業,(生菓子·洋生菓子),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ＲＩＮＧＯ池袋店03-5911-78257483513116,517abf83-333f-4d79-a1c0-bf78f141ce1e,株式会社ＪＲ東日本クロスステーション,ae78b9ac-a867-4e93-8d83-1fc5ca8285b6,cc9fc091-3af4-4390-86c6-14a8c8c20229,2016/02/26,ＲＩＮＧＯ　池袋店,ＲＩＮＧＯ池袋店,株式会社ＪＲ東日本クロスステーション
RINGO　池袋店,豊島区,南池袋一丁目28番2号,5911-7825,株式会社JR東日本クロスステーション,1-27-02133,平成28年2月26日,【~R3.5】アイスクリーム類製造業(ソフト),050-3644-2879,平成22年11月10日,新規,,195,RINGO　池袋店,03,03-5911-7825,,,,豊島区　南池袋一丁目28番2号,東京都豊島区南池袋１丁目２８番２号,,74835,13,13116,南池袋１,,2010/11/10,2016/02/26,,,株式会社JR東日本クロスステーション,,050-3644-2879,,,,,,,,1-27-02133,,アイスクリーム類製造業,(ソフト),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ＲＩＮＧＯ池袋店03-5911-78257483513116,517abf83-333f-4d79-a1c0-bf78f141ce1e,株式会社ＪＲ東日本クロスステーション,ae78b9ac-a867-4e93-8d83-1fc5ca8285b6,15ea2526-64e6-4b3d-9f4c-b5c7054f743f,2016/02/26,ＲＩＮＧＯ　池袋店,ＲＩＮＧＯ池袋店,株式会社ＪＲ東日本クロスステーション
いろり庵きらく池袋店,豊島区,南池袋一丁目28番2号,3987-7575,株式会社JR東日本クロスステーション,1-02-01291,令和2年10月12日,【~R3.5】飲食店営業(飲食そば·うどん含),050-3644-7177,令和2年10月12日,新規,,195,いろり庵きらく池袋店,03,03-3987-7575,,,,豊島区　南池袋一丁目28番2号,東京都豊島区南池袋１丁目２８番２号,,74835,13,13116,南池袋１,,2020/10/12,2020/10/12,,,株式会社JR東日本クロスステーション,,050-3644-7177,,,,,,,,1-02-01291,,飲食店営業,(飲食そば·うどん含),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,いろり庵きらく池袋店03-3987-75757483513116,1f805fab-42b2-4ca4-9c42-d40d814f882c,株式会社ＪＲ東日本クロスステーション,ae78b9ac-a867-4e93-8d83-1fc5ca8285b6,1fd361f0-bece-4714-812c-0e08adcdff38,2020/10/12,いろり庵きらく池袋店,いろり庵きらく池袋店,株式会社ＪＲ東日本クロスステーション
魚力寿司池袋店,豊島区,西池袋一丁目1番6号,5928-1088,株式会社魚力,1-02-02205,令和3年2月24日,【~R3.5】飲食店営業(飲食すし·一般店舗),042-525-5600,令和3年2月24日,新規,,195,魚力寿司池袋店,03,03-5928-1088,,,,豊島区　西池袋一丁目1番6号,東京都豊島区西池袋１丁目１番６号,,74821,13,13116,西池袋１,,2021/02/24,2021/02/24,,,株式会社魚力,,042-525-5600,,,,,,,,1-02-02205,,飲食店営業,(飲食すし·一般店舗),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,魚力寿司池袋店03-5928-10887482113116,fcf8e86a-40f5-4463-b1ea-ee1932cbcb74,株式会社魚力,7db4f3fb-de41-405a-bd2c-b8296ee93679,d7abfc8f-5fca-4faf-a7c6-386fdefea45c,2021/02/24,魚力寿司池袋店,魚力寿司池袋店,株式会社魚力
蟻月　池袋東武店,豊島区,西池袋一丁目1番25号,5904-9550,有限会社蟻月,1-02-01237,令和2年10月1日,【~R3.5】食肉販売業(肉販店舗),092-718-2610,令和2年10月1日,新規,,195,蟻月　池袋東武店,03,03-5904-9550,,,,豊島区　西池袋一丁目1番25号,東京都豊島区西池袋１丁目１番２５号,,74821,13,13116,西池袋１,,2020/10/01,2020/10/01,,,有限会社蟻月,,092-718-2610,,,,,,,,1-02-01237,,食肉販売業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,I,58,583,,蟻月池袋東武店03-5904-95507482113116,fee1201a-4c59-4fe0-bb8c-6ec8b8096aa4,有限会社蟻月,5821f288-3fbe-4724-8f59-80d5a8757ef0,9a0d5a27-fd23-48d7-a991-91eb85554528,2020/10/01,蟻月　池袋東武店,蟻月池袋東武店,有限会社蟻月
蟻月　池袋東武店,豊島区,西池袋一丁目1番25号,5904-9550,有限会社蟻月,1-27-01065,平成27年10月6日,【~R3.5】飲食店営業(飲食一般),092-718-2610,平成27年10月6日,新規,,195,蟻月　池袋東武店,03,03-5904-9550,,,,豊島区　西池袋一丁目1番25号,東京都豊島区西池袋１丁目１番２５号,,74821,13,13116,西池袋１,,2015/10/06,2015/10/06,,,有限会社蟻月,,092-718-2610,,,,,,,,1-27-01065,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,蟻月池袋東武店03-5904-95507482113116,fee1201a-4c59-4fe0-bb8c-6ec8b8096aa4,有限会社蟻月,5821f288-3fbe-4724-8f59-80d5a8757ef0,b66abe82-c1be-4edd-ac5f-28f0bf6c92d8,2015/10/06,蟻月　池袋東武店,蟻月池袋東武店,有限会社蟻月
IKEBUKURO　和菓子ショー,豊島区,西池袋一丁目1番25号,3981-2211,株式会社東武百貨店,1-03-01290,令和3年12月2日,1飲食店営業(一般),3981-2211,令和3年12月2日,新規,,195,IKEBUKURO　和菓子ショー,03,03-3981-2211,,,,豊島区　西池袋一丁目1番25号,東京都豊島区西池袋１丁目１番２５号,,74821,13,13116,西池袋１,,2021/12/02,2021/12/02,,,株式会社東武百貨店,,03-3981-2211,,,,,,,,1-03-01290,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＩＫＥＢＵＫＵＲＯ和菓子ショ03-3981-22117482113116,df2312e6-42fd-4407-8fda-ce4188ecf28b,株式会社東武百貨店,ae47c913-61e4-43ac-9709-16a19c87655d,97d51e27-9f1a-47b1-8133-3cffbcdce260,2021/12/02,ＩＫＥＢＵＫＵＲＯ　和菓子ショー,ＩＫＥＢＵＫＵＲＯ和菓子ショ,株式会社東武百貨店
IKEBUKURO　和菓子ショー,豊島区,西池袋一丁目1番25号,3981-2211,株式会社東武百貨店,1-03-01291,令和3年12月2日,1飲食店営業(一般),3981-2211,令和3年12月2日,新規,,195,IKEBUKURO　和菓子ショー,03,03-3981-2211,,,,豊島区　西池袋一丁目1番25号,東京都豊島区西池袋１丁目１番２５号,,74821,13,13116,西池袋１,,2021/12/02,2021/12/02,,,株式会社東武百貨店,,03-3981-2211,,,,,,,,1-03-01291,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＩＫＥＢＵＫＵＲＯ和菓子ショ03-3981-22117482113116,df2312e6-42fd-4407-8fda-ce4188ecf28b,株式会社東武百貨店,ae47c913-61e4-43ac-9709-16a19c87655d,fdb1458c-0c08-490c-ab01-2b5bc6ee1675,2021/12/02,ＩＫＥＢＵＫＵＲＯ　和菓子ショー,ＩＫＥＢＵＫＵＲＯ和菓子ショ,株式会社東武百貨店
IKEBUKURO　和菓子ショー,豊島区,西池袋一丁目1番25号,3981-2211,株式会社東武百貨店,1-03-01292,令和3年12月2日,11菓子製造業,3981-2211,令和3年12月2日,新規,,195,IKEBUKURO　和菓子ショー,03,03-3981-2211,,,,豊島区　西池袋一丁目1番25号,東京都豊島区西池袋１丁目１番２５号,,74821,13,13116,西池袋１,,2021/12/02,2021/12/02,,,株式会社東武百貨店,,03-3981-2211,,,,,,,,1-03-01292,,菓子製造業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ＩＫＥＢＵＫＵＲＯ和菓子ショ03-3981-22117482113116,df2312e6-42fd-4407-8fda-ce4188ecf28b,株式会社東武百貨店,ae47c913-61e4-43ac-9709-16a19c87655d,f6cfed96-57fe-4495-a9e5-33724565778f,2021/12/02,ＩＫＥＢＵＫＵＲＯ　和菓子ショー,ＩＫＥＢＵＫＵＲＯ和菓子ショ,株式会社東武百貨店
Good Morning Bangkok,豊島区,西池袋一丁目11番1号,3981-2211,cycle&design株式会社,1-29-01501,平成29年10月20日,【~R3.5】飲食店営業(飲食一般),080-5421-6761,平成29年10月20日,新規,,195,Good Morning Bangkok,03,03-3981-2211,,,,豊島区　西池袋一丁目11番1号,東京都豊島区西池袋１丁目１１番１号,,74821,13,13116,西池袋１,,2017/10/20,2017/10/20,,,cycle&design株式会社,,080-5421-6761,,,,,,,,1-29-01501,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＧｏｏｄＭｏｒｎｉｎｇＢａｎｇｋｏｋ03-3981-22117482113116,7fd06b21-1e88-4008-8af7-887fac935dcf,ｃｙｃｌｅ＆ｄｅｓｉｇｎ株式会社,c9a0d9cb-ff3d-411b-8eca-e79b29dd7e8a,3ce8dbf1-8bdb-4dea-a536-9286a0353844,2017/10/20,Ｇｏｏｄ　Ｍｏｒｎｉｎｇ　Ｂａｎｇｋｏｋ,ＧｏｏｄＭｏｒｎｉｎｇＢａｎｇｋｏｋ,ｃｙｃｌｅ＆ｄｅｓｉｇｎ株式会社
みはし　東武池袋店,豊島区,西池袋一丁目11番1号,03-5928-5701,有限会社みはし,1-30-00281,平成30年5月30日,【~R3.5】飲食店営業(飲食一般·喫茶店),03-3831-0384,平成30年5月30日,新規,,195,みはし　東武池袋店,03,03-5928-5701,,,,豊島区　西池袋一丁目11番1号,東京都豊島区西池袋１丁目１１番１号,,74821,13,13116,西池袋１,,2018/05/30,2018/05/30,,,有限会社みはし,,03-3831-0384,,,,,,,,1-30-00281,,喫茶店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,みはし東武池袋店03-5928-57017482113116,a0bcfb5c-9912-4fe6-a062-555047a2b587,有限会社みはし,fc847251-eb1b-4e44-b09d-0bf2e8be9df7,de4730d0-c20b-40f1-b26e-f92df566a78c,2018/05/30,みはし　東武池袋店,みはし東武池袋店,有限会社みはし
みはし　東武池袋店,豊島区,西池袋一丁目11番1号,03-5928-5701,有限会社みはし,1-30-00282,平成30年5月30日,【~R3.5】菓子製造業(生菓子·和生菓子),03-3831-0384,平成30年5月30日,新規,,195,みはし　東武池袋店,03,03-5928-5701,,,,豊島区　西池袋一丁目11番1号,東京都豊島区西池袋１丁目１１番１号,,74821,13,13116,西池袋１,,2018/05/30,2018/05/30,,,有限会社みはし,,03-3831-0384,,,,,,,,1-30-00282,,菓子製造業,(生菓子·和生菓子),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,みはし東武池袋店03-5928-57017482113116,a0bcfb5c-9912-4fe6-a062-555047a2b587,有限会社みはし,fc847251-eb1b-4e44-b09d-0bf2e8be9df7,8c5842c9-adf5-4f4a-bcc2-e9954adc4166,2018/05/30,みはし　東武池袋店,みはし東武池袋店,有限会社みはし
みはし　東武池袋店,豊島区,西池袋一丁目11番1号,03-5928-5701,有限会社みはし,1-30-00283,平成30年5月30日,【~R3.5】アイスクリーム類製造業(ソフト),03-3831-0384,平成30年5月30日,新規,,195,みはし　東武池袋店,03,03-5928-5701,,,,豊島区　西池袋一丁目11番1号,東京都豊島区西池袋１丁目１１番１号,,74821,13,13116,西池袋１,,2018/05/30,2018/05/30,,,有限会社みはし,,03-3831-0384,,,,,,,,1-30-00283,,アイスクリーム類製造業,(ソフト),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,みはし東武池袋店03-5928-57017482113116,a0bcfb5c-9912-4fe6-a062-555047a2b587,有限会社みはし,fc847251-eb1b-4e44-b09d-0bf2e8be9df7,0a1ebb1a-0c12-4ee5-9ae5-bfd204a89982,2018/05/30,みはし　東武池袋店,みはし東武池袋店,有限会社みはし
サンシャインクルーズ·クルーズ,豊島区,東池袋三丁目1番1号,3981-7555,株式会社ムーンエレファントジャパン,1-02-00332,令和2年5月28日,【~R3.5】菓子製造業(菓製その他),06-6577-8268,令和2年5月28日,新規,,195,サンシャインクルーズ·クルーズ,03,03-3981-7555,,,,豊島区　東池袋三丁目1番1号,東京都豊島区東池袋３丁目１番１号,,74832,13,13116,東池袋３,,2020/05/28,2020/05/28,,,株式会社ムーンエレファントジャパン,,06-6577-8268,,,,,,,,1-02-00332,,菓子製造業,（菓製その他）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,サンシャインクルズクルズ03-3981-75557483213116,c1d0c3ff-f3e6-4f8c-ae72-8ded302071c2,株式会社ムーンエレファントジャパン,3fc7ec24-6d5d-4593-bfe0-58fd98ccb5bc,b78299f6-8e8d-49aa-8943-98c44343e1c6,2020/05/28,サンシャインクルーズ・クルーズ,サンシャインクルズクルズ,株式会社ムーンエレファントジャパン
