,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
セブン－イレブン　小美玉中野谷店,茨城県小美玉市中野谷434-21,茨城県小美玉市中野谷４３４－２１,,0299-47-1212,飲食店営業,その他,大関　美恵子,,,,,,2022/07/26,2022/07/26,中保指令法第220318号,,中央保健所,セブン－イレブン　小美玉中野谷店,0299,0299-47-1212,,,,茨城県小美玉市中野谷４３４－２１,茨城県小美玉市中野谷４３４－２１,,56951,茨城県,小美玉市,中野谷,,2022/07/26,2022/07/26,,,,,,,,,,,,,中保指令法第220318号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン　小美玉中野谷店,セブンイレブン小美玉中野谷店,,セブンイレブン,2,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
ＣＨＩＮＥＳＥ　ＤＩＮＩＮＧ　瑞～ＭＩＺＵＫＩ～,茨城県東茨城郡茨城町小鶴81,茨城県東茨城郡茨城町小鶴８１,,029-353-7893,飲食店営業,中華料理店,菊池　裕,,,,,,2022/07/26,2022/07/26,中保指令法第220323号,,中央保健所,ＣＨＩＮＥＳＥ　ＤＩＮＩＮＧ　瑞～ＭＩＺＵＫＩ～,029,029-353-7893,,,,茨城県東茨城郡茨城町小鶴８１,茨城県東茨城郡茨城町小鶴８１,,56985,茨城県,東茨城郡茨城町,小鶴,,2022/07/26,2022/07/26,,,,,,,,,,,,,中保指令法第220323号,,飲食店営業, 中華料理店,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＣＨＩＮＥＳＥ　ＤＩＮＩＮＧ　瑞～ＭＩＺＵＫＩ～,ＣＨＩＮＥＳＥＤＩＮＩＮＧ瑞ＭＩＺＵＫＩ,,,1,,,,,
ローソン常陸大宮富岡店,茨城県常陸大宮市富岡166番地1,茨城県常陸大宮市富岡１６６番地１,,0295-52-6145,飲食店営業,その他,木村　郁郎,,,,,,2022/07/26,2022/07/26,ひ保指令法第220554号,,ひたちなか保健所,ローソン常陸大宮富岡店,0295,0295-52-6145,,,,茨城県常陸大宮市富岡１６６番地１,茨城県常陸大宮市富岡１６６番地１,,56028,茨城県,常陸大宮市,富岡,,2022/07/26,2022/07/26,,,,,,,,,,,,,ひ保指令法第220554号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ローソン常陸大宮富岡店,ロソン常陸大宮富岡店,,ローソン,1,宿泊業，飲食サービス業,飲食店,その他の飲食店,お好み焼・焼きそば・たこ焼店,
Ｃｈｒｏｎｏ　ｌｅ　Ｖｅｎｔ,茨城県ひたちなか市表町4-7,茨城県ひたちなか市表町４－７,,,飲食店営業,その他,宮嶋　昭司,,,,,,2022/07/26,2022/07/26,ひ保指令法第220549号,,ひたちなか保健所,Ｃｈｒｏｎｏ　ｌｅ　Ｖｅｎｔ,029,,,,,茨城県ひたちなか市表町４－７,茨城県ひたちなか市表町４－７,,55622,茨城県,ひたちなか市,表町,,2022/07/26,2022/07/26,,,,,,,,,,,,,ひ保指令法第220549号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃｈｒｏｎｏ　ｌｅ　Ｖｅｎｔ,ＣｈｒｏｎｏｌｅＶｅｎｔ,,,1,,,,,
ｈａ”ｒｕ2,茨城県那珂郡東海村石神外宿2462-11,茨城県那珂郡東海村石神外宿２４６２－１１,,,飲食店営業,喫茶店（簡易な飲食店）,河村　克彦,,,,,,2022/07/26,2022/07/26,ひ保指令法第220550号,,ひたちなか保健所,ｈａ”ｒｕ2,029,,,,,茨城県那珂郡東海村石神外宿２４６２－１１,茨城県那珂郡東海村石神外宿２４６２－１１,,57060,茨城県,那珂郡東海村,石神外宿,,2022/07/26,2022/07/26,,,,,,,,,,,,,ひ保指令法第220550号,,飲食店営業, 喫茶店（簡易な飲食店）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｈａ”ｒｕ２,ｈａｒｕ２,,,1,,,,,
焼きたてベーカリー　いしぱん,茨城県常陸大宮市北町399-1,茨城県常陸大宮市北町３９９－１,,0295-52-1339,飲食店営業,一般食堂・レストラン,株式会社　石川商店,代表取締役　石川　和幸,茨城県常陸大宮市北町404-1,茨城県常陸大宮市北町４０４－１,,0295-52-1338,2022/07/26,2022/07/26,ひ保指令法第220556号,,ひたちなか保健所,焼きたてベーカリー　いしぱん,0295,0295-52-1339,,,,茨城県常陸大宮市北町３９９－１,茨城県常陸大宮市北町３９９－１,,56004,茨城県,常陸大宮市,北町,,2022/07/26,2022/07/26,,,株式会社　石川商店,代表取締役　石川　和幸,0295-52-1338,茨城県常陸大宮市北町４０４－１,茨城県常陸大宮市北町４０４－１,,56004,茨城県,常陸大宮市,北町,ひ保指令法第220556号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼きたてベーカリー　いしぱん,焼きたてベカリいしぱん,株式会社石川商店,,3,,,,,
焼きたてベーカリー　いしぱん,茨城県常陸大宮市北町399-1,茨城県常陸大宮市北町３９９－１,,0295-52-1339,菓子製造業,菓子製造業,株式会社　石川商店,代表取締役　石川　和幸,茨城県常陸大宮市北町404-1,茨城県常陸大宮市北町４０４－１,,0295-52-1338,2022/07/26,2022/07/26,ひ保指令法第220555号,,ひたちなか保健所,焼きたてベーカリー　いしぱん,0295,0295-52-1339,,,,茨城県常陸大宮市北町３９９－１,茨城県常陸大宮市北町３９９－１,,56004,茨城県,常陸大宮市,北町,,2022/07/26,2022/07/26,,,株式会社　石川商店,代表取締役　石川　和幸,0295-52-1338,茨城県常陸大宮市北町４０４－１,茨城県常陸大宮市北町４０４－１,,56004,茨城県,常陸大宮市,北町,ひ保指令法第220555号,,菓子製造業, 菓子製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,焼きたてベーカリー　いしぱん,焼きたてベカリいしぱん,株式会社石川商店,,3,,,,,
セブンイレブン常陸大宮姥賀店,茨城県常陸大宮市姥賀町604-1,茨城県常陸大宮市姥賀町６０４－１,,0295-53-7010,飲食店営業,コンビニ（簡易な飲食店）,稲見　和司,,,,,,2022/07/26,2022/07/26,ひ保指令法第220557号,,ひたちなか保健所,セブンイレブン常陸大宮姥賀店,0295,0295-53-7010,,,,茨城県常陸大宮市姥賀町６０４－１,茨城県常陸大宮市姥賀町６０４－１,,55983,茨城県,常陸大宮市,姥賀町,,2022/07/26,2022/07/26,,,,,,,,,,,,,ひ保指令法第220557号,,飲食店営業, コンビニ（簡易な飲食店）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン常陸大宮姥賀店,セブンイレブン常陸大宮姥賀店,,セブンイレブン,2,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
ビジネスホテル　アネックス,茨城県潮来市あやめ2-19-1,茨城県潮来市あやめ２－１９－１,,0299-62-4567,飲食店営業,旅館,株式会社　セキネネオン,関根　英輔,茨城県潮来市古高3480-1,茨城県潮来市古高３４８０－１,,0299-66-3456,2022/07/26,2022/07/26,潮保指令法第220537号,,潮来保健所,ビジネスホテル　アネックス,0299,0299-62-4567,,,,茨城県潮来市あやめ２－１９－１,茨城県潮来市あやめ２－１９－１,,55847,茨城県,潮来市,あやめ２,,2022/07/26,2022/07/26,,,株式会社　セキネネオン,関根　英輔,0299-66-3456,茨城県潮来市古高３４８０－１,茨城県潮来市古高３４８０－１,,55891,茨城県,潮来市,古高,潮保指令法第220537号,,飲食店営業, 旅館,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ビジネスホテル　アネックス,ビジネスホテルアネックス,株式会社セキネネオン,,1,,,,,
ラ・メゾン・ドゥ・セレブ,茨城県鹿嶋市旭ケ丘2-4-2,茨城県鹿嶋市旭ケ丘２－４－２,,0299-85-0801,飲食店営業,その他,有限会社　セレブ,代表取締役　髙野　亜矢子,茨城県鹿嶋市旭ケ丘2-4-2,茨城県鹿嶋市旭ケ丘２－４－２,,0299-85-0801,2022/07/26,2022/07/26,潮保指令法第220529号,,潮来保健所,ラ・メゾン・ドゥ・セレブ,0299,0299-85-0801,,,,茨城県鹿嶋市旭ケ丘２－４－２,茨城県鹿嶋市旭が丘２－４－２,,55761,茨城県,鹿嶋市,旭が丘２,,2022/07/26,2022/07/26,,,有限会社　セレブ,代表取締役　髙野　亜矢子,0299-85-0801,茨城県鹿嶋市旭ケ丘２－４－２,茨城県鹿嶋市旭が丘２－４－２,,55761,茨城県,鹿嶋市,旭が丘２,潮保指令法第220529号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ラ・メゾン・ドゥ・セレブ,ラメゾンドゥセレブ,有限会社セレブ,,1,,,,,
ふわこっぺ　かみす店,茨城県神栖市平泉527-117　ミヨヒコＭⅡ-Ｅ,茨城県神栖市平泉５２７－１１７,ミヨヒコＭⅡ－Ｅ,,菓子製造業,菓子製造業,池田　陽介,,,,,,2022/07/26,2022/07/26,潮保指令法第220530号,,潮来保健所,ふわこっぺ　かみす店,0299,,,,,茨城県神栖市平泉５２７－１１７,茨城県神栖市平泉５２７－１１７,ミヨヒコＭⅡ－Ｅ,56662,茨城県,神栖市,平泉,,2022/07/26,2022/07/26,,,,,,,,,,,,,潮保指令法第220530号,,菓子製造業, 菓子製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,ふわこっぺ　かみす店,ふわこっぺかみす店,,,1,,,,,
ツマギアンズ,茨城県鹿嶋市爪木233-1,茨城県鹿嶋市爪木２３３－１,,,飲食店営業,その他,山町　浩信,,,,,,2022/07/26,2022/07/26,潮保指令法第220531号,,潮来保健所,ツマギアンズ,0299,,,,,茨城県鹿嶋市爪木２３３－１,茨城県鹿嶋市爪木２３３－１,,55808,茨城県,鹿嶋市,爪木,,2022/07/26,2022/07/26,,,,,,,,,,,,,潮保指令法第220531号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ツマギアンズ,ツマギアンズ,,,1,,,,,
リンデン,茨城県取手市桜が丘4丁目1-5,茨城県取手市桜が丘４丁目１－５,,0297-84-1994,菓子製造業,菓子製造業,藤﨑　弘宣,,,,,,2022/07/26,2022/07/26,竜保指令法第220450号,,竜ケ崎保健所,リンデン,0297,0297-84-1994,,,,茨城県取手市桜が丘４丁目１－５,茨城県取手市桜が丘４丁目１－５,,55179,茨城県,取手市,桜が丘４,,2022/07/26,2022/07/26,,,,,,,,,,,,,竜保指令法第220450号,,菓子製造業, 菓子製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,リンデン,リンデン,,,1,,,,,
セブン-イレブン　取手小浮気店,茨城県取手市小浮気字新田555-9,茨城県取手市小浮気字新田５５５－９,,0297-82-5717,飲食店営業,その他,新井　幸博,,,,,,2022/07/26,2022/07/26,竜保指令法第220451号,,竜ケ崎保健所,セブン-イレブン　取手小浮気店,0297,0297-82-5717,,,,茨城県取手市小浮気字新田５５５－９,茨城県取手市小浮気字新田５５５－９,,55175,茨城県,取手市,小浮気,,2022/07/26,2022/07/26,,,,,,,,,,,,,竜保指令法第220451号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン　取手小浮気店,セブンイレブン取手小浮気店,,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
ＲＵＵ　ＢＥＥ　琉渼,茨城県稲敷郡阿見町うずら野2-10-4　アキラテナント2F-Ｂ,茨城県稲敷郡阿見町うずら野２－１０－４,アキラテナント２F－Ｂ,,飲食店営業,その他,野村　美奈,,,,,,2022/07/26,2022/07/26,竜保指令法第220452号,,竜ケ崎保健所,ＲＵＵ　ＢＥＥ　琉渼,029,,,,,茨城県稲敷郡阿見町うずら野２－１０－４,茨城県稲敷郡阿見町うずら野２－１０－４,アキラテナント２F－Ｂ,57174,茨城県,稲敷郡阿見町,うずら野２,,2022/07/26,2022/07/26,,,,,,,,,,,,,竜保指令法第220452号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＲＵＵ　ＢＥＥ　琉渼,ＲＵＵＢＥＥ琉渼,,,1,,,,,
麺屋あきら,茨城県つくばみらい市細代759-1,茨城県つくばみらい市細代７５９－１,,090-9158-6250,飲食店営業,その他,㈱Akiraコーポレーション,金子　陽,茨城県つくばみらい市陽光台1-7-2 ステーションタワートヨシマ2F,茨城県つくばみらい市陽光台１－７－２,ステーションタワートヨシマ２F,029-758-9429,2022/07/26,2022/07/26,つ保指令法第220478号,,つくば保健所,麺屋あきら,0297,090-9158-6250,,,,茨城県つくばみらい市細代７５９－１,茨城県つくばみらい市細代７５９－１,,56889,茨城県,つくばみらい市,細代,,2022/07/26,2022/07/26,,,㈱Akiraコーポレーション,金子　陽,029-758-9429,茨城県つくばみらい市陽光台１－７－２,茨城県つくばみらい市陽光台１－７－２,,56909,茨城県,つくばみらい市,陽光台１,つ保指令法第220478号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,麺屋あきら,麺屋あきら,株式会社Ａｋｉｒａコーポレーション,,1,,,,,
牛角焼肉食堂イオンモールつくば店,茨城県つくば市稲岡66-1,茨城県つくば市稲岡６６－１,,029-893-2955,飲食店営業,一般食堂・レストラン,株式会社ワイ・グロウス,代表取締役　加藤　敏彦,茨城県つくば市二の宮2-1-3　クラフトビル3F,茨城県つくば市二の宮２－１－３,クラフトビル３F,029-852-3232,2022/07/26,2022/07/26,つ保指令法第220479号,,つくば保健所,牛角焼肉食堂イオンモールつくば店,029,029-893-2955,,,,茨城県つくば市稲岡６６－１,茨城県つくば市稲岡６６－１,,55306,茨城県,つくば市,稲岡,,2022/07/26,2022/07/26,,,株式会社ワイ・グロウス,代表取締役　加藤　敏彦,029-852-3232,茨城県つくば市二の宮２－１－３,茨城県つくば市二ノ宮２－１－３,,55426,茨城県,つくば市,二の宮２,つ保指令法第220479号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,牛角焼肉食堂イオンモールつくば店,牛角焼肉食堂イオンモルつくば店,株式会社ワイ・グロウス,,1,,,,,
お食事処いとう,茨城県結城市東茂呂1243-1,茨城県結城市東茂呂１２４３－１,,0296-35-0970,飲食店営業,一般食堂・レストラン,有限会社お食事処いとう,伊藤　幸宏,茨城県結城市東茂呂1243-1,茨城県結城市東茂呂１２４３－１,,0296-35-0970,2022/07/26,2022/07/26,筑保指令法第220337号,,筑西保健所,お食事処いとう,0296,0296-35-0970,,,,茨城県結城市東茂呂１２４３－１,茨城県結城市東茂呂１２４３－１,,54469,茨城県,結城市,東茂呂,,2022/07/26,2022/07/26,,,有限会社お食事処いとう,伊藤　幸宏,0296-35-0970,茨城県結城市東茂呂１２４３－１,茨城県結城市東茂呂１２４３－１,,54469,茨城県,結城市,東茂呂,筑保指令法第220337号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,お食事処いとう,お食事処いとう,有限会社お食事処いとう,,1,,,,,
Ｄｉｎｏ Ｊａｐａｎ合同会社,茨城県筑西市花橋252-2,茨城県筑西市花橋２５２－２,,,食肉処理業,食肉処理業,Ｄｉｎｏ Ｊａｐａｎ合同会社,ルーン クァン ルェン,茨城県筑西市花橋252-2,茨城県筑西市花橋２５２－２,,,2022/07/26,2022/07/26,筑保指令法第220339号,,筑西保健所,Ｄｉｎｏ Ｊａｐａｎ合同会社,0296,,,,,茨城県筑西市花橋２５２－２,茨城県筑西市花橋２５２－２,,56240,茨城県,筑西市,花橋,,2022/07/26,2022/07/26,,,Ｄｉｎｏ Ｊａｐａｎ合同会社,ルーン クァン ルェン,,茨城県筑西市花橋２５２－２,茨城県筑西市花橋２５２－２,,56240,茨城県,筑西市,花橋,筑保指令法第220339号,,食肉販売業, 食肉処理業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,Ｄｉｎｏ　Ｊａｐａｎ合同会社,ＤｉｎｏＪａｐａｎ合同会社,Ｄｉｎｏ　Ｊａｐａｎ合同会社,,1,,,,,
和風スナック　京,茨城県小美玉市小川1366,茨城県小美玉市小川１３６６,,0299-58-4183,飲食店営業,バー・キャバレー等,大串　利津子,,,,,,2022/07/26,2022/07/26,中保指令法第220325号,,中央保健所,和風スナック　京,0299,0299-58-4183,,,,茨城県小美玉市小川１３６６,茨城県小美玉市小川１３６６,,56918,茨城県,小美玉市,小川,,2022/07/26,2022/07/26,,,,,,,,,,,,,中保指令法第220325号,,飲食店営業, バー・キャバレー等,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,和風スナック　京,和風スナック京,,,1,,,,,
深海魚,茨城県ひたちなか市勝田泉町8-16,茨城県ひたちなか市勝田泉町８－１６,,029-273-2840,飲食店営業,バー・キャバレー等,有限会社　永井開発,永井 友子,茨城県ひたちなか市勝田泉町8-16,茨城県ひたちなか市勝田泉町８－１６,,029-274-1790,2022/07/26,2022/07/26,ひ保指令法第220551号,,ひたちなか保健所,深海魚,029,029-273-2840,,,,茨城県ひたちなか市勝田泉町８－１６,茨城県ひたちなか市勝田泉町８－１６,,55628,茨城県,ひたちなか市,勝田泉町,,2022/07/26,2022/07/26,,,有限会社　永井開発,永井 友子,029-274-1790,茨城県ひたちなか市勝田泉町８－１６,茨城県ひたちなか市勝田泉町８－１６,,55628,茨城県,ひたちなか市,勝田泉町,ひ保指令法第220551号,,飲食店営業, バー・キャバレー等,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,深海魚,深海魚,有限会社永井開発,,1,,,,,
さわた和菓子工場,茨城県潮来市あやめ1-8-1,茨城県潮来市あやめ１－８－１,,0299-63-3123,菓子製造業,菓子製造業,（株）さわた,代表取締役　澤田　章,茨城県潮来市あやめ1-8-1,茨城県潮来市あやめ１－８－１,,0299-63-3123,2022/07/26,2022/07/26,潮保指令法第220539号,,潮来保健所,さわた和菓子工場,0299,0299-63-3123,,,,茨城県潮来市あやめ１－８－１,茨城県潮来市あやめ１－８－１,,55846,茨城県,潮来市,あやめ１,,2022/07/26,2022/07/26,,,（株）さわた,代表取締役　澤田　章,0299-63-3123,茨城県潮来市あやめ１－８－１,茨城県潮来市あやめ１－８－１,,55846,茨城県,潮来市,あやめ１,潮保指令法第220539号,,菓子製造業, 菓子製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,さわた和菓子工場,さわた和菓子工場,株式会社さわた,,1,,,,,
みらく,茨城県小美玉市上玉里1301,茨城県小美玉市上玉里１３０１,,0299-58-4434,飲食店営業,中華料理店,佐久間　悦美,,,,,,2022/07/26,2022/07/26,中保指令法第220327号,,中央保健所,みらく,0299,0299-58-4434,,,,茨城県小美玉市上玉里１３０１,茨城県小美玉市上玉里１３０１,,56922,茨城県,小美玉市,上玉里,,2022/07/26,2022/07/26,,,,,,,,,,,,,中保指令法第220327号,,飲食店営業, 中華料理店,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,みらく,みらく,,,1,,,,,
こだわりらーめん ゆきむら亭 阿見店,茨城県稲敷郡阿見町中央5-34-9,茨城県稲敷郡阿見町中央５－３４－９,,029-888-4044,飲食店営業,中華料理店,株式会社　雪村,三輪　光男,茨城県土浦市卸町1-7-7,茨城県土浦市卸町１－７－７,,029-843-5777,2022/07/26,2022/07/26,竜保指令法第220453号,,竜ケ崎保健所,こだわりらーめん ゆきむら亭 阿見店,029,029-888-4044,,,,茨城県稲敷郡阿見町中央５－３４－９,茨城県稲敷郡阿見町中央５－３４－９,,57160,茨城県,稲敷郡阿見町,中央５,,2022/07/26,2022/07/26,,,株式会社　雪村,三輪　光男,029-843-5777,茨城県土浦市卸町１－７－７,茨城県土浦市卸町１－７－７,,54137,茨城県,土浦市,卸町１,竜保指令法第220453号,,飲食店営業, 中華料理店,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,こだわりらーめん　ゆきむら亭　阿見店,こだわりらめんゆきむら亭阿見店,株式会社雪村,,1,,,,,
株式会社茨城もぎたてファクトリー,茨城県東茨城郡茨城町小幡18-27,茨城県東茨城郡茨城町小幡１８－２７,,029-297-8181,菓子製造業,菓子製造業,株式会社茨城もぎたてファクトリー,久信田　清人,茨城県東茨城郡茨城町小幡18-27,茨城県東茨城郡茨城町小幡１８－２７,,029-292-3303,2022/07/27,2022/07/27,中保指令法第220331号,,中央保健所,株式会社茨城もぎたてファクトリー,029,029-297-8181,,,,茨城県東茨城郡茨城町小幡１８－２７,茨城県東茨城郡茨城町小幡１８－２７,,56977,茨城県,東茨城郡茨城町,小幡,,2022/07/27,2022/07/27,,,株式会社茨城もぎたてファクトリー,久信田　清人,029-292-3303,茨城県東茨城郡茨城町小幡１８－２７,茨城県東茨城郡茨城町小幡１８－２７,,56977,茨城県,東茨城郡茨城町,小幡,中保指令法第220331号,,菓子製造業, 菓子製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,株式会社茨城もぎたてファクトリー,株式会社茨城もぎたてファクトリ,株式会社茨城もぎたてファクトリー,,3,,,,,
株式会社茨城もぎたてファクトリー,茨城県東茨城郡茨城町小幡18-27,茨城県東茨城郡茨城町小幡１８－２７,,029-297-8181,そうざい製造業,そうざい製造業,株式会社茨城もぎたてファクトリー,久信田　清人,茨城県東茨城郡茨城町小幡18-27,茨城県東茨城郡茨城町小幡１８－２７,,029-292-3303,2022/07/27,2022/07/27,中保指令法第220332号,,中央保健所,株式会社茨城もぎたてファクトリー,029,029-297-8181,,,,茨城県東茨城郡茨城町小幡１８－２７,茨城県東茨城郡茨城町小幡１８－２７,,56977,茨城県,東茨城郡茨城町,小幡,,2022/07/27,2022/07/27,,,株式会社茨城もぎたてファクトリー,久信田　清人,029-292-3303,茨城県東茨城郡茨城町小幡１８－２７,茨城県東茨城郡茨城町小幡１８－２７,,56977,茨城県,東茨城郡茨城町,小幡,中保指令法第220332号,,そうざい製造業, そうざい製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,株式会社茨城もぎたてファクトリー,株式会社茨城もぎたてファクトリ,株式会社茨城もぎたてファクトリー,,3,,,,,
株式会社茨城もぎたてファクトリー,茨城県東茨城郡茨城町小幡18-27,茨城県東茨城郡茨城町小幡１８－２７,,029-297-8181,漬物製造業,漬物製造業,株式会社茨城もぎたてファクトリー,久信田　清人,茨城県東茨城郡茨城町小幡18-27,茨城県東茨城郡茨城町小幡１８－２７,,029-292-3303,2022/07/27,2022/07/27,中保指令法第220333号,,中央保健所,株式会社茨城もぎたてファクトリー,029,029-297-8181,,,,茨城県東茨城郡茨城町小幡１８－２７,茨城県東茨城郡茨城町小幡１８－２７,,56977,茨城県,東茨城郡茨城町,小幡,,2022/07/27,2022/07/27,,,株式会社茨城もぎたてファクトリー,久信田　清人,029-292-3303,茨城県東茨城郡茨城町小幡１８－２７,茨城県東茨城郡茨城町小幡１８－２７,,56977,茨城県,東茨城郡茨城町,小幡,中保指令法第220333号,,漬物製造業, 漬物製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,株式会社茨城もぎたてファクトリー,株式会社茨城もぎたてファクトリ,株式会社茨城もぎたてファクトリー,,3,,,,,
リンクステックサーキット㈱石岡工場シダックス店,茨城県石岡市柏原4-5　リンクステックサーキット㈱石岡工場内社員食堂,茨城県石岡市柏原４－５,リンクステックサーキット㈱石岡工場内社員食堂,080-3402-7024,飲食店営業,給食（委託）,シダックスコントラクトフードサービス㈱,佐藤　好男,東京都調布市調布ケ丘3-6-3,東京都調布市調布ケ丘３－６－３,,03-5784-8881,2022/07/27,2022/07/27,土保指令法第220400号,,土浦保健所,リンクステックサーキット㈱石岡工場シダックス店,0299,080-3402-7024,,,,茨城県石岡市柏原４－５,茨城県石岡市柏原４－５,リンクステックサーキット㈱石岡工場内社員食堂,54309,茨城県,石岡市,柏原,,2022/07/27,2022/07/27,,,シダックスコントラクトフードサービス㈱,佐藤　好男,03-5784-8881,東京都調布市調布ケ丘３－６－３,東京都調布市調布が丘３－６－３,,76805,東京都,調布市,調布が丘３,土保指令法第220400号,,飲食店営業, 給食（委託）,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,リンクステックサーキット株式会社石岡工場シダックス店,リンクステックサキット株式会社石岡工場シダックス店,シダックスコントラクトフードサービス株式会社,,1,,,,,
Ｑｕｂｅ,茨城県土浦市木田余3206-4,茨城県土浦市木田余３２０６－４,,,飲食店営業,バー・キャバレー等,中野　恭平,,,,,,2022/07/27,2022/07/27,土保指令法第220399号,,土浦保健所,Ｑｕｂｅ,029,,,,,茨城県土浦市木田余３２０６－４,茨城県土浦市木田余３２０６－４,,54031,茨城県,土浦市,木田余,,2022/07/27,2022/07/27,,,,,,,,,,,,,土保指令法第220399号,,飲食店営業, バー・キャバレー等,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｑｕｂｅ,Ｑｕｂｅ,,,1,,,,,
手打蕎麦　真𥙿,茨城県筑西市女方70-7,茨城県筑西市女方７０－７,,080-6556-0988,飲食店営業,そば屋,山本　裕孝,,,,,,2022/07/27,2022/07/27,筑保指令法第220343号,,筑西保健所,手打蕎麦　真𥙿,0296,080-6556-0988,,,,茨城県筑西市女方７０－７,茨城県筑西市女方７０－７,,56138,茨城県,筑西市,女方,,2022/07/27,2022/07/27,,,,,,,,,,,,,筑保指令法第220343号,,飲食店営業, そば屋,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,手打蕎麦　真𥙿,手打蕎麦真𥙿,,,1,,,,,
