https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アゲハ,,アゲハ　,糸満市西崎６－１４－１２,一番館ビル　４Ｆ－Ｃ,              ,飲食店営業,バー,宮城豊,,R03.12.21,R03.12.21,第05202101086号,,466,アゲハ　,098,,,,,糸満市西崎６－１４－１２,沖縄県糸満市西崎６－１４－１２,一番館ビル　４Ｆ－Ｃ,215850,47,47210,西崎６,,2021/12/21,2021/12/21,,,,宮城豊,,,,,,,,,第05202101086号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,アゲハ21585047210,9de2140c-8e50-4d81-aae6-7d3ea0c7ed23,,personal,9d93eb46-b35f-4ded-8da4-f522b3db4b73,2021/12/21,アゲハ　,アゲハ,
くんせい酒場　紅,,くんせい酒場　紅　,浦添市屋富祖２－１６－９,２階,              ,飲食店営業,居酒屋,大見謝恒俊,,R03.12.21,R03.12.21,第05202101079号,,466,くんせい酒場　紅　,098,,,,,浦添市屋富祖２－１６－９,沖縄県浦添市屋富祖２－１６－９,２階,215711,47,47208,屋富祖２,,2021/12/21,2021/12/21,,,,大見謝恒俊,,,,,,,,,第05202101079号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,くんせい酒場紅21571147208,ee6c71c2-1d92-4dac-bef8-9eddd5977e19,,personal,2d66a7af-e090-43f9-9d84-23c08e18b1fb,2021/12/21,くんせい酒場　紅　,くんせい酒場紅,
ぬちばな,,ぬちばな　,南城市玉城字親慶原２２５－５,,              ,魚介類販売業,魚介類販売業,仲村かおり,,R03.12.21,R03.12.21,第05202101081号,,466,ぬちばな　,098,,,,,南城市玉城字親慶原２２５－５,沖縄県南城市玉城字親慶原２２５－５,,216128,47,47215,玉城,,2021/12/21,2021/12/21,,,,仲村かおり,,,,,,,,,第05202101081号,,魚介類販売業, 魚介類販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,,,ぬちばな21612847215,dbcc214c-b340-4807-85f6-bd6c25509d96,,personal,f73625ab-3760-49a1-9fa0-f1826dc5164c,2021/12/21,ぬちばな　,ぬちばな,
ぬちばな,,ぬちばな　,南城市玉城字親慶原２２５－５,,              ,飲食店営業,食堂,仲村かおり,,R03.12.21,R03.12.21,第05202101083号,,466,ぬちばな　,098,,,,,南城市玉城字親慶原２２５－５,沖縄県南城市玉城字親慶原２２５－５,,216128,47,47215,玉城,,2021/12/21,2021/12/21,,,,仲村かおり,,,,,,,,,第05202101083号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ぬちばな21612847215,dbcc214c-b340-4807-85f6-bd6c25509d96,,personal,aad6d316-7ddf-4448-aae0-8341f5e924cb,2021/12/21,ぬちばな　,ぬちばな,
ぬちばな,,ぬちばな　,南城市玉城字親慶原２２５－５,,              ,食肉販売業,食肉販売業,仲村かおり,,R03.12.21,R03.12.21,第05202101082号,,466,ぬちばな　,098,,,,,南城市玉城字親慶原２２５－５,沖縄県南城市玉城字親慶原２２５－５,,216128,47,47215,玉城,,2021/12/21,2021/12/21,,,,仲村かおり,,,,,,,,,第05202101082号,,食肉販売業, 食肉販売業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,I,58,583,,ぬちばな21612847215,dbcc214c-b340-4807-85f6-bd6c25509d96,,personal,b13571f0-ee50-4c0d-8e78-bb7d543fbd8b,2021/12/21,ぬちばな　,ぬちばな,
カラオケバー赤パンツ,,カラオケバー赤パンツ　,糸満市西崎６－８－５,パークサイドビル２－Ｃ,              ,飲食店営業,バー,中本隆久,,R03.12.23,R03.12.23,第05202101089号,,466,カラオケバー赤パンツ　,098,,,,,糸満市西崎６－８－５,沖縄県糸満市西崎６－８－５,パークサイドビル２－Ｃ,215850,47,47210,西崎６,,2021/12/23,2021/12/23,,,,中本隆久,,,,,,,,,第05202101089号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カラオケバ赤パンツ21585047210,f38b5c6d-7628-47e2-abfa-5f083cfa4237,,personal,fc330250-fedc-44a3-babc-18321d7e2e56,2021/12/23,カラオケバー赤パンツ　,カラオケバ赤パンツ,
カラオケハウス　エース,,カラオケハウス　エース　,西原町字翁長２３７－８,,              ,飲食店営業,レストラン,西村浩二,,R04.01.28,R04.01.28,第05202101189号,,466,カラオケハウス　エース　,098,,,,,西原町字翁長２３７－８,沖縄県中頭郡西原町字翁長２３７－８,,216321,47,47329,翁長,,2022/01/28,2022/01/28,,,,西村浩二,,,,,,,,,第05202101189号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カラオケハウスエス21632147329,0da83db4-3014-4566-8c40-2ec49d670c90,,personal,03b0f36c-7009-4e38-aa13-c971ef8da9e8,2022/01/28,カラオケハウス　エース　,カラオケハウスエス,
ＧＡＩＡ,,ＧＡＩＡ　,浦添市屋富祖３－６－５,ＭＲビル５Ｆ,              ,飲食店営業,スナック,内間貴明,,R03.12.28,R03.12.28,第05202101098号,,466,ＧＡＩＡ　,098,,,,,浦添市屋富祖３－６－５,沖縄県浦添市屋富祖３－６－５,ＭＲビル５Ｆ,215712,47,47208,屋富祖３,,2021/12/28,2021/12/28,,,,内間貴明,,,,,,,,,第05202101098号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＧＡＩＡ21571247208,e1783699-a7b9-4704-b79b-26bd180f4cd3,,personal,b6746387-5983-494e-a6f6-f35ef1adb04e,2021/12/28,ＧＡＩＡ　,ＧＡＩＡ,
Ｂａｒ　Ｅｌｆｉｎ,,Ｂａｒ　Ｅｌｆｉｎ　,糸満市西崎６－１２－８,（５－Ｂ）,              ,飲食店営業,バー,玉城將義,,R03.12.28,R03.12.28,第05202101102号,,466,Ｂａｒ　Ｅｌｆｉｎ　,098,,,,,糸満市西崎６－１２－８,沖縄県糸満市西崎６－１２－８,（５－Ｂ）,215850,47,47210,西崎６,,2021/12/28,2021/12/28,,,,玉城將義,,,,,,,,,第05202101102号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＢａｒＥｌｆｉｎ21585047210,936673f9-17b8-4ceb-b234-9f36b2e5ca0b,,personal,15e843e1-9c4a-482e-958f-6d502c426491,2021/12/28,Ｂａｒ　Ｅｌｆｉｎ　,ＢａｒＥｌｆｉｎ,
カラオケ　はっぴい,,カラオケ　はっぴい　,西原町字我謝７９１－２,ドリームテナントビル・イースト２０１号,              ,飲食店営業,スナック,崎原盛克,,R04.01.24,R04.01.24,第05202101155号,,466,カラオケ　はっぴい　,098,,,,,西原町字我謝７９１－２,沖縄県中頭郡西原町字我謝７９１－２,ドリームテナントビル・イースト２０１号,216326,47,47329,我謝,,2022/01/24,2022/01/24,,,,崎原盛克,,,,,,,,,第05202101155号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カラオケはっぴい21632647329,2f1ea8dc-ae84-4979-9f70-6583f2c8db42,,personal,260c124d-1e5e-40ed-a1b6-082bd1a64e5b,2022/01/24,カラオケ　はっぴい　,カラオケはっぴい,
スナック来夢,,スナック来夢　,西原町字我謝７９１－２,ドリームテナントビル２０１,              ,飲食店営業,スナック,石嶺幸子,,R04.02.18,R04.02.18,第05202101253号,,466,スナック来夢　,098,,,,,西原町字我謝７９１－２,沖縄県中頭郡西原町字我謝７９１－２,ドリームテナントビル２０１,216326,47,47329,我謝,,2022/02/18,2022/02/18,,,,石嶺幸子,,,,,,,,,第05202101253号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,スナック来夢21632647329,612d6c2c-2cef-48e3-b32e-c8e751c86e04,,personal,5d73e733-9090-4dab-864b-84285c2843fe,2022/02/18,スナック来夢　,スナック来夢,
Ｂａｒ　ＧＢ,,Ｂａｒ　ＧＢ　,浦添市屋富祖２－２４－６,タイガビル１０２号,              ,飲食店営業,バー,奥間思聡,,R04.01.11,R04.01.11,第05202101111号,,466,Ｂａｒ　ＧＢ　,098,,,,,浦添市屋富祖２－２４－６,沖縄県浦添市屋富祖２－２４－６,タイガビル１０２号,215711,47,47208,屋富祖２,,2022/01/11,2022/01/11,,,,奥間思聡,,,,,,,,,第05202101111号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＢａｒＧＢ21571147208,f5df2a19-f251-4e1b-a276-c77447eeb059,,personal,97b64661-a4df-45a1-9418-60e02d5ac1dd,2022/01/11,Ｂａｒ　ＧＢ　,ＢａｒＧＢ,
おでん屋　ことに,,おでん屋　ことに　,糸満市糸満９８９－９０,１１１区画,              ,飲食店営業,居酒屋,山城拓也,,R04.01.11,R04.01.11,第05202101115号,,466,おでん屋　ことに　,098,,,,,糸満市糸満９８９－９０,沖縄県糸満市糸満９８９－９０,１１１区画,215815,47,47210,糸満,,2022/01/11,2022/01/11,,,,山城拓也,,,,,,,,,第05202101115号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,おでん屋ことに21581547210,9dc4deed-0733-495a-89e6-53e9b11a9f8b,,personal,edc181d4-4683-4c37-8841-9b81193ed859,2022/01/11,おでん屋　ことに　,おでん屋ことに,
串揚げ　ことに,,串揚げ　ことに　,糸満市糸満９８９－９０,１１０区画,              ,飲食店営業,居酒屋,山城拓也,,R04.01.11,R04.01.11,第05202101114号,,466,串揚げ　ことに　,098,,,,,糸満市糸満９８９－９０,沖縄県糸満市糸満９８９－９０,１１０区画,215815,47,47210,糸満,,2022/01/11,2022/01/11,,,,山城拓也,,,,,,,,,第05202101114号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,串揚げことに21581547210,ae5ed85b-c821-40fa-86a7-a3c4397f5dfa,,personal,55cb11e0-b436-46ce-ac1e-1e0aec95d5c1,2022/01/11,串揚げ　ことに　,串揚げことに,
小さな飲み屋　ＲＡＶＩＧＯＴＥ,,小さな飲み屋　ＲＡＶＩＧＯＴＥ　,西原町棚原１－５－７,,              ,飲食店営業,レストラン,山城裕二,,R04.02.10,R04.02.10,第05202101231号,,466,小さな飲み屋　ＲＡＶＩＧＯＴＥ　,098,,,,,西原町棚原１－５－７,沖縄県中頭郡西原町棚原１－５－７,,216340,47,47329,棚原１,,2022/02/10,2022/02/10,,,,山城裕二,,,,,,,,,第05202101231号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,小さな飲み屋ＲＡＶＩＧＯＴＥ21634047329,29c40105-5114-4313-9ed1-e8d4fba3b6de,,personal,e806ce37-1df7-487b-b09a-c19bd455d296,2022/02/10,小さな飲み屋　ＲＡＶＩＧＯＴＥ　,小さな飲み屋ＲＡＶＩＧＯＴＥ,
睦水商会,,睦水商会　,豊見城市字豊見城４６３－１,,              ,飲食店営業,パーラー,上地睦生,,R04.01.12,R04.01.12,第05202101116号,,466,睦水商会　,098,,,,,豊見城市字豊見城４６３－１,沖縄県豊見城市字豊見城４６３－１,,216015,47,47212,豊見城,,2022/01/12,2022/01/12,,,,上地睦生,,,,,,,,,第05202101116号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,睦水商会21601547212,1e32f277-72d3-4c1a-80ae-c69cd5051b87,,personal,a3536c1f-78bd-4500-afb2-d5e3354b6e46,2022/01/12,睦水商会　,睦水商会,
四季の音,,四季の音　,浦添市屋富祖４－３－５,２Ｆ,              ,飲食店営業,バー,照屋寛樹,,R04.01.14,R04.01.14,第05202101122号,,466,四季の音　,098,,,,,浦添市屋富祖４－３－５,沖縄県浦添市屋富祖４－３－５,２Ｆ,215713,47,47208,屋富祖４,,2022/01/14,2022/01/14,,,,照屋寛樹,,,,,,,,,第05202101122号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,四季の音21571347208,272330a8-b061-4169-b233-007e7bbafc8d,,personal,bd02400d-3581-4efd-a748-42301553f8c8,2022/01/14,四季の音　,四季の音,
酒処カラオケ　いろは,,酒処カラオケ　いろは　,浦添市屋富祖１－３－１１,イナモリ店舗１０１,              ,飲食店営業,小料理,垣花正子,,R04.01.14,R04.01.14,第05202101119号,,466,酒処カラオケ　いろは　,098,,,,,浦添市屋富祖１－３－１１,沖縄県浦添市屋富祖１－３－１１,イナモリ店舗１０１,215710,47,47208,屋富祖１,,2022/01/14,2022/01/14,,,,垣花正子,,,,,,,,,第05202101119号,,飲食店営業, 小料理,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,酒処カラオケいろは21571047208,d08eb530-3760-4c44-8432-19ce5f4a42f5,,personal,d8f4901c-765b-4fb1-864a-79af560917fc,2022/01/14,酒処カラオケ　いろは　,酒処カラオケいろは,
リバーサイド２０５,,リバーサイド２０５　,渡嘉敷村字渡嘉敷２０５,,              ,飲食店営業,居酒屋,米田正樹,,R04.01.28,R04.01.28,第05202101186号,,466,リバーサイド２０５　,098,,,,,渡嘉敷村字渡嘉敷２０５,沖縄県島尻郡渡嘉敷村字渡嘉敷２０５,,216393,47,47353,渡嘉敷,,2022/01/28,2022/01/28,,,,米田正樹,,,,,,,,,第05202101186号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,リバサイド２０５21639347353,67bf2533-4304-4359-b71e-3ac80b74ae38,,personal,21f039ab-18a8-4dcf-a800-403ff678e350,2022/01/28,リバーサイド２０５　,リバサイド２０５,
海鮮居酒屋　新選組,,海鮮居酒屋　新選組　,南風原町字宮平２４７,,              ,飲食店営業,居酒屋,新垣正克,,R03.12.08,R03.12.08,第05202101056号,,466,海鮮居酒屋　新選組　,098,,,,,南風原町字宮平２４７,沖縄県島尻郡南風原町字宮平２４７,,216405,47,47350,宮平,,2021/12/08,2021/12/08,,,,新垣正克,,,,,,,,,第05202101056号,,飲食店営業, 居酒屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,海鮮居酒屋新選組21640547350,4713a4d7-835e-4e31-8099-d5605de1d0f7,,personal,ca776bfe-a232-463b-8098-c1a70f0f2375,2021/12/08,海鮮居酒屋　新選組　,海鮮居酒屋新選組,
熊屋,,熊屋　,豊見城市上田２６４,,              ,そうざい製造業,そうざい製造業,志良堂清仁,,R04.01.20,R04.01.20,第05202101135号,,466,熊屋　,098,,,,,豊見城市上田２６４,沖縄県豊見城市上田２６４,,215996,47,47212,上田,,2022/01/20,2022/01/20,,,,志良堂清仁,,,,,,,,,第05202101135号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,熊屋21599647212,39f518ca-cc4c-4318-9261-4f8e135262d3,,personal,48929bf7-e55d-4460-9a0f-fc82f782e407,2022/01/20,熊屋　,熊屋,
うたねこ,,うたねこ　,南風原町字兼城１２９－３,東宝ビル２３　２０１号室,              ,飲食店営業,スナック,豊真梨子,,R04.01.12,R04.01.12,第05202101117号,,466,うたねこ　,098,,,,,南風原町字兼城１２９－３,沖縄県島尻郡南風原町字兼城１２９－３,東宝ビル２３　２０１号室,216399,47,47350,兼城,,2022/01/12,2022/01/12,,,,豊真梨子,,,,,,,,,第05202101117号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,うたねこ21639947350,03dcf944-7253-44b1-8739-3a190a174722,,personal,3514e684-1312-4cb0-be20-4c3cde11037a,2022/01/12,うたねこ　,うたねこ,
熊屋,,熊屋　,豊見城市上田２６４,,              ,飲食店営業,レストラン,志良堂清仁,,R04.01.20,R04.01.20,第05202101136号,,466,熊屋　,098,,,,,豊見城市上田２６４,沖縄県豊見城市上田２６４,,215996,47,47212,上田,,2022/01/20,2022/01/20,,,,志良堂清仁,,,,,,,,,第05202101136号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,熊屋21599647212,39f518ca-cc4c-4318-9261-4f8e135262d3,,personal,9391363d-8588-4ee7-8e32-7269d80f3002,2022/01/20,熊屋　,熊屋,
ＪＡＭⅡ,,ＪＡＭⅡ　,南城市大里字稲嶺１５３８,,              ,飲食店営業,食堂,知念哲雄,,R04.01.20,R04.01.20,第05202101132号,,466,ＪＡＭⅡ　,098,,,,,南城市大里字稲嶺１５３８,沖縄県南城市大里字稲嶺１５３８,,216126,47,47215,大里,,2022/01/20,2022/01/20,,,,知念哲雄,,,,,,,,,第05202101132号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＪＡＭⅡ21612647215,aa2f3e39-1b4f-45ac-b752-cc0aebf34163,,personal,a266bd92-c59c-4149-a527-37a1e18ddab7,2022/01/20,ＪＡＭⅡ　,ＪＡＭⅡ,
熊屋,,熊屋　,豊見城市上田２６４,,              ,密封包装食品製造業,密封包装,志良堂清仁,,R04.01.20,R04.01.20,第05202101134号,,466,熊屋　,098,,,,,豊見城市上田２６４,沖縄県豊見城市上田２６４,,215996,47,47212,上田,,2022/01/20,2022/01/20,,,,志良堂清仁,,,,,,,,,第05202101134号,,密封包装食品製造業, 密封包装,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,熊屋21599647212,39f518ca-cc4c-4318-9261-4f8e135262d3,,personal,50cdc5ce-dc20-4101-833d-1ae4527561bd,2022/01/20,熊屋　,熊屋,
スナックかりゆし,,スナックかりゆし　,浦添市勢理客１－２５－１６,１Ｆ,              ,飲食店営業,スナック,與那覇えつ子,,R04.01.21,R04.01.21,第05202101145号,,466,スナックかりゆし　,098,,,,,浦添市勢理客１－２５－１６,沖縄県浦添市勢理客１－２５－１６,１Ｆ,215665,47,47208,勢理客１,,2022/01/21,2022/01/21,,,,與那覇えつ子,,,,,,,,,第05202101145号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,スナックかりゆし21566547208,90146149-03f1-45c6-9887-88e6a3345ce4,,personal,0ad8512b-d0e2-4ea9-b632-c1e29495bde7,2022/01/21,スナックかりゆし　,スナックかりゆし,
ローソン前田小学校前店,,ローソン前田小学校前店　,浦添市字前田１３５１－１,,              ,飲食店営業,そうざい,上江田睦,,R04.01.21,R04.01.21,第05202101142号,,466,ローソン前田小学校前店　,098,,,,,浦添市字前田１３５１－１,沖縄県浦添市字前田１３５１－１,,215689,47,47208,前田１,,2022/01/21,2022/01/21,,,,上江田睦,,,,,,,,,第05202101142号,,飲食店営業, そうざい,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ロソン前田小学校前店21568947208,5ffd9d83-69ec-41e3-af7e-e97bb9d6fefe,,personal,5b0261b7-788a-4ab8-b277-8fd84b48dec3,2022/01/21,ローソン前田小学校前店　,ロソン前田小学校前店,
酒処　ひーろー,,酒処　ひーろー　,浦添市城間２－１２－７,,              ,飲食店営業,スナック,宮城弘子,,R04.01.24,R04.01.24,第05202101153号,,466,酒処　ひーろー　,098,,,,,浦添市城間２－１２－７,沖縄県浦添市城間２－１２－７,,215661,47,47208,城間２,,2022/01/24,2022/01/24,,,,宮城弘子,,,,,,,,,第05202101153号,,飲食店営業, スナック,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,酒処ひろ21566147208,3c4b1331-8586-4e80-b4c5-0805836c1525,,personal,50e28062-a86d-4484-a7b2-e515bf37df5f,2022/01/24,酒処　ひーろー　,酒処ひろ,
パーラーみなみ,,パーラーみなみ　,南風原町字山川１４３２,,              ,飲食店営業,パーラー,金城達子,,R04.01.21,R04.01.21,第05202101148号,,466,パーラーみなみ　,098,,,,,南風原町字山川１４３２,沖縄県島尻郡南風原町字山川１４３２,,216407,47,47350,山川,,2022/01/21,2022/01/21,,,,金城達子,,,,,,,,,第05202101148号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,パラみなみ21640747350,f89dd3ef-bec3-44ee-9437-2095b1a66c5f,,personal,c8080acd-c485-49b7-a74e-57d87a3fded0,2022/01/21,パーラーみなみ　,パラみなみ,
Ｂａｒ　Ｎｅｘｔ　Ｆｏｒｍ徹,,Ｂａｒ　Ｎｅｘｔ　Ｆｏｒｍ徹　,浦添市内間２－１１－１６,ハッピーイエロービル　２０３,              ,飲食店営業,バー,山盛徹也,,R04.01.24,R04.01.24,第05202101152号,,466,Ｂａｒ　Ｎｅｘｔ　Ｆｏｒｍ徹　,098,,,,,浦添市内間２－１１－１６,沖縄県浦添市内間２－１１－１６,ハッピーイエロービル　２０３,215650,47,47208,内間２,,2022/01/24,2022/01/24,,,,山盛徹也,,,,,,,,,第05202101152号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＢａｒＮｅｘｔＦｏｒｍ徹21565047208,886d3e56-983e-40ed-a1d2-e04bc7d22dcf,,personal,a0ce3374-97b6-4a40-9b7c-7956247e7a93,2022/01/24,Ｂａｒ　Ｎｅｘｔ　Ｆｏｒｍ徹　,ＢａｒＮｅｘｔＦｏｒｍ徹,
鳥豚　ＴＯＲＩＴＯＮ,,鳥豚　ＴＯＲＩＴＯＮ　,浦添市牧港２－４７－３,１０１,              ,飲食店営業,小料理,松川寿依,,R04.01.24,R04.01.24,第05202101156号,,466,鳥豚　ＴＯＲＩＴＯＮ　,098,,,,,浦添市牧港２－４７－３,沖縄県浦添市牧港２－４７－３,１０１,215695,47,47208,牧港２,,2022/01/24,2022/01/24,,,,松川寿依,,,,,,,,,第05202101156号,,飲食店営業, 小料理,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,鳥豚ＴＯＲＩＴＯＮ21569547208,a9bf0ab1-9213-4485-9fa4-0018d06b6b88,,personal,58b6743e-c1d8-4be0-a1f9-b82390d1754e,2022/01/24,鳥豚　ＴＯＲＩＴＯＮ　,鳥豚ＴＯＲＩＴＯＮ,
豊見城タコライス,,豊見城タコライス　,豊見城市名嘉地３１４,,              ,飲食店営業,食堂,照屋常次,,R04.01.24,R04.01.24,第05202101151号,,466,豊見城タコライス　,098,,,,,豊見城市名嘉地３１４,沖縄県豊見城市名嘉地３１４,,216017,47,47212,名嘉地,,2022/01/24,2022/01/24,,,,照屋常次,,,,,,,,,第05202101151号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,豊見城タコライス21601747212,52344583-1e2a-4913-9f51-a71852075bcf,,personal,f4140fdf-6429-4f01-8000-b4d35b26f5a0,2022/01/24,豊見城タコライス　,豊見城タコライス,
ｔｕｎ　ｔｕｎ,,ｔｕｎ　ｔｕｎ　,豊見城市字上田１５７,コーポスマイル１０１,              ,飲食店営業,バー,嶺井陽太,,R04.01.25,R04.01.25,第05202101162号,,466,ｔｕｎ　ｔｕｎ　,098,,,,,豊見城市字上田１５７,沖縄県豊見城市字上田１５７,コーポスマイル１０１,215996,47,47212,上田,,2022/01/25,2022/01/25,,,,嶺井陽太,,,,,,,,,第05202101162号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ｔｕｎｔｕｎ21599647212,19490e62-f602-43fa-b581-25bf8fe79127,,personal,dc75b5cc-095b-4a11-8fac-a198cecf0fbf,2022/01/25,ｔｕｎ　ｔｕｎ　,ｔｕｎｔｕｎ,
焼菓子工房Ｌｕｎｔａｔａ,,焼菓子工房Ｌｕｎｔａｔａ　,糸満市喜屋武１８６３－１,,              ,菓子製造業,菓子製造業,鈴木敦子,,R04.01.25,R04.01.25,第05202101160号,,466,焼菓子工房Ｌｕｎｔａｔａ　,098,,,,,糸満市喜屋武１８６３－１,沖縄県糸満市喜屋武１８６３－１,,215823,47,47210,喜屋武,,2022/01/25,2022/01/25,,,,鈴木敦子,,,,,,,,,第05202101160号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,焼菓子工房Ｌｕｎｔａｔａ21582347210,55ba2b80-75fe-441f-95c9-2bdfc40826b7,,personal,f5645620-bf18-48fa-b35e-b8d384b14666,2022/01/25,焼菓子工房Ｌｕｎｔａｔａ　,焼菓子工房Ｌｕｎｔａｔａ,
ルードゥース,,ルードゥース　,南風原町字津嘉山１４６７－１０,MKビルⅢ　３０１,              ,飲食店営業,バー,具志堅千賀子,,R04.02.25,R04.02.25,第05202101277号,,466,ルードゥース　,098,,,,,南風原町字津嘉山１４６７－１０,沖縄県島尻郡南風原町字津嘉山１４６７－１０,MKビルⅢ　３０１,216402,47,47350,津嘉山,,2022/02/25,2022/02/25,,,,具志堅千賀子,,,,,,,,,第05202101277号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ルドゥス21640247350,d8a35bbe-5b7c-4f76-9548-23383d25e690,,personal,d401c559-4c38-4130-8ed3-737be2806d71,2022/02/25,ルードゥース　,ルドゥス,
サワムラスタイル南城,,サワムラスタイル南城　,南城市佐敷字新里５１８,コスモ１２ビル２階２－Ｂ号室,              ,飲食店営業,バー,垰坂徹,,R04.01.26,R04.01.26,第05202101167号,,466,サワムラスタイル南城　,098,,,,,南城市佐敷字新里５１８,沖縄県南城市佐敷字新里５１８,コスモ１２ビル２階２－Ｂ号室,216127,47,47215,佐敷,,2022/01/26,2022/01/26,,,,垰坂徹,,,,,,,,,第05202101167号,,飲食店営業, バー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,サワムラスタイル南城21612747215,bc072d4e-3975-46e0-99c7-3eeb3c69e6ae,,personal,3e67909f-55f4-46f4-9126-c8ca2f3ef0ca,2022/01/26,サワムラスタイル南城　,サワムラスタイル南城,
