https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-住所1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設＿名称（屋号・商号）,所在地,,,施設＿電話番号（所在地）,業種,申請者＿申請者名,申請者＿住所,申請者＿電話番号,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Ｃａｆｅ   ふろーらむ,生駒市真弓   １－１１－１６   花のまちづくりセンター内,生駒市真弓 １－１１－１６   ,花のまちづくりセンター内,0743-70-0187,飲食店営業,生駒市長,生駒市東新町   ８－３８,0743-74-1111,R03.09.01,R03.09.01,第421218号,,321,Ｃａｆｅ   ふろーらむ,0743,0743-70-0187,,,,生駒市真弓 １－１１－１６   ,奈良県生駒市真弓１－１１－１６,花のまちづくりセンター内,173538,29,29209,真弓１,,2021/09/01,2021/09/01,,,生駒市長,,0743-74-1111,生駒市東新町   ８－３８,奈良県生駒市東新町８－３８,,173524,奈良県,生駒市,東新町,第421218号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,Ｃａｆｅふろらむ0743-70-018717353829209,caeda121-5776-4373-a8c5-9017107ac348,173524,e1ff2f35-8003-41ab-88f6-454567199cfd,6ac248c2-c3a5-4626-85b3-b075e548c87f,2021/09/01,Ｃａｆｅ　ふろーらむ,Ｃａｆｅふろらむ,
パール,生駒市あすか野北   ２－１－２,生駒市あすか野北,２－１－２,0743-78-4237,飲食店営業,加藤   勝彦,,,R03.09.01,R03.09.01,第421244号,,321,パール,0743,0743-78-4237,,,,生駒市あすか野北,奈良県生駒市あすか野北２－１－２,,173469,29,29209,あすか野北２,,2021/09/01,2021/09/01,,,,加藤   勝彦,,,,,,,,,第421244号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,パル0743-78-423717346929209,194fdfbe-302e-4cf5-bea3-a047a4e500b0,,personal,95bf6244-ef98-4f33-9f7b-3d3545a04254,2021/09/01,パール,パル,
創作菓子   花菜,生駒市本町   ６－２桜ビル３Ｆ,生駒市本町,６－２桜ビル３Ｆ,0743-73-1050,菓子製造業,社会福祉法人   萌,大和郡山市小泉町   ７３－１,0743-54-0821,R03.09.01,R03.09.01,第421245号,,321,創作菓子   花菜,0743,0743-73-1050,,,,生駒市本町,奈良県生駒市本町,６－２桜ビル３Ｆ,173529,29,29209,本町,,2021/09/01,2021/09/01,,,社会福祉法人   萌,,0743-54-0821,大和郡山市小泉町   ７３－１,奈良県大和郡山市小泉町７３－１,,172846,奈良県,大和郡山市,小泉町,第421245号,,菓子製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,創作菓子花菜0743-73-105017352929209,441e73fc-ff40-44a7-a426-9848a00cdf58,社会福祉法人　萌172846,9ea19e90-c010-46fb-a702-b1af39afe29f,46464c94-2268-4b97-8d0c-bc58c9c97b7f,2021/09/01,創作菓子　花菜,創作菓子花菜,社会福祉法人　萌
社会福祉法人青葉仁会   生駒事業所,生駒市俵口町   ２０８８,生駒市俵口町,２０８８,0743-73-8881,飲食店営業,社会福祉法人青葉仁会,奈良市杣ノ川町   ５０－１,0742-81-0420,R03.09.01,R03.09.01,第421246号,,321,社会福祉法人青葉仁会   生駒事業所,0743,0743-73-8881,,,,生駒市俵口町,奈良県生駒市俵口町,２０８８,173506,29,29209,俵口町,,2021/09/01,2021/09/01,,,社会福祉法人青葉仁会,,0742-81-0420,奈良市杣ノ川町   ５０－１,奈良県奈良市杣ノ川町５０－１,,172288,奈良県,奈良市,杣ノ川町,第421246号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,社会福祉法人青葉仁会生駒事業所0743-73-888117350629209,9d5afc40-af96-4634-b39b-731f5d2f649a,社会福祉法人青葉仁会172288,072b7d8a-8aea-4e12-9f84-fb1a959604fd,df3e92bc-3aa7-4d4b-997c-cac0788f387b,2021/09/01,社会福祉法人青葉仁会　生駒事業所,社会福祉法人青葉仁会生駒事業所,社会福祉法人青葉仁会
ｕｃｈｉｔａｎｅ,生駒市谷田町   １６００   アントレいこま１   １０４,生駒市谷田町 １６００   ,アントレいこま１ １０４,,飲食店営業,内種   隆行,,,R03.09.01,R03.09.01,第421219号,,321,ｕｃｈｉｔａｎｅ,0743,,,,,生駒市谷田町 １６００   ,奈良県生駒市谷田町１６００,アントレいこま１ １０４,173505,29,29209,谷田町,,2021/09/01,2021/09/01,,,,内種   隆行,,,,,,,,,第421219号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ｕｃｈｉｔａｎｅ17350529209,0d492dd0-50e7-4469-9552-b0d3124e35ab,,personal,512c36b9-434f-4556-9f17-118099a0b6e7,2021/09/01,ｕｃｈｉｔａｎｅ,ｕｃｈｉｔａｎｅ,
ジョリーパスタ生駒,生駒市南田原町   ８１２－３,生駒市南田原町,８１２－３,0743-72-0256,飲食店営業,株式会社ジョリーパスタ,港区港南２－１８－１,03-6833-8833,R03.09.01,R03.09.01,第421220号,,321,ジョリーパスタ生駒,0743,0743-72-0256,,,,生駒市南田原町,奈良県生駒市南田原町,８１２－３,173532,29,29209,南田原町,,2021/09/01,2021/09/01,,,株式会社ジョリーパスタ,,03-6833-8833,港区港南２－１８－１,東京都港区港南２－１８－１,,73073,東京都,港区,港南２,第421220号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ジョリパスタ生駒0743-72-025617353229209,a609a793-82ed-4b12-8c4b-22b4ba263581,株式会社ジョリーパスタ73073,288bade4-0bb8-4c10-9d1b-576f885aa5ad,38e7f579-92e7-4239-8a10-2d775e978244,2021/09/01,ジョリーパスタ生駒,ジョリパスタ生駒,株式会社ジョリーパスタ
さわや,生駒市元町   １－１５７９グリーンヒル生駒３Ｆ,生駒市元町,１－１５７９グリーンヒル生駒３Ｆ,0743-75-3886,飲食店営業,有限会社さわや,大阪市東成区東小橋   ２－９－１２クリスタルハイツ柳川   ６０１,,R03.08.31,R03.08.31,第421221号,,321,さわや,0743,0743-75-3886,,,,生駒市元町,奈良県生駒市元町１－１５７９,グリーンヒル生駒３Ｆ,173533,29,29209,元町１,,2021/08/31,2021/08/31,,,有限会社さわや,,,大阪市東成区東小橋   ２－９－１２クリスタルハイツ柳川   ６０１,大阪府大阪市東成区東小橋２－９－１２,クリスタルハイツ柳川６０１,154849,大阪府,大阪市東成区,東小橋２,第421221号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,さわや0743-75-388617353329209,64e00a3c-4c67-4061-8a30-468ccd186272,有限会社さわや154849,5da2deb1-5900-4bfe-8e93-8759c71058ba,ca3e228a-d467-46d0-989e-ba4ac417aa4f,2021/08/31,さわや,さわや,有限会社さわや
法華院（新館）,生駒市上町   ４４３６（長弓寺）,生駒市上町,４４３６（長弓寺）,0743-78-2437,飲食店営業,宗教法人   法華院,生駒市上町   ４４４３,0743-78-2437,R03.08.31,R03.08.31,第421228号,,321,法華院（新館）,0743,0743-78-2437,,,,生駒市上町,奈良県生駒市上町,４４３６（長弓寺）,173482,29,29209,上町,,2021/08/31,2021/08/31,,,宗教法人   法華院,,0743-78-2437,生駒市上町   ４４４３,奈良県生駒市上町４４４３,,173482,奈良県,生駒市,上町,第421228号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,法華院新館0743-78-243717348229209,e566d752-2402-4ec0-9014-2f49afd3d914,宗教法人　法華院173482,fd44a8bb-6dfa-4455-8ba7-e9f310b8bd84,64925fc3-7d9c-431c-8cb7-5e92ad868a61,2021/08/31,法華院（新館）,法華院新館,宗教法人　法華院
セブン－イレブン   生駒鹿畑町店,生駒市鹿畑町   ８７,生駒市鹿畑町,８７,0743-78-0911,飲食店営業,和田   秀樹,,,R03.08.31,R03.08.31,第421229号,,321,セブン－イレブン   生駒鹿畑町店,0743,0743-78-0911,,,,生駒市鹿畑町,奈良県生駒市鹿畑町,８７,173501,29,29209,鹿畑町,,2021/08/31,2021/08/31,,,,和田   秀樹,,,,,,,,,第421229号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,セブンイレブン生駒鹿畑町店0743-78-091117350129209,f410e641-6069-4dbd-bf45-0956c43c0353,,personal,1fc61832-c514-4a62-8f83-bc18bc74c6a5,2021/08/31,セブンイレブン　生駒鹿畑町店,セブンイレブン生駒鹿畑町店,
やまと,生駒市門前町   １２－８,生駒市門前町,１２－８,0743-73-4488,飲食店営業,有限会社やまと,生駒市門前町   １２－８,0743-73-4488,R03.08.31,R03.08.31,第421230号,,321,やまと,0743,0743-73-4488,,,,生駒市門前町,奈良県生駒市門前町,１２－８,173535,29,29209,門前町,,2021/08/31,2021/08/31,,,有限会社やまと,,0743-73-4488,生駒市門前町   １２－８,奈良県生駒市門前町１２－８,,173535,奈良県,生駒市,門前町,第421230号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,やまと0743-73-448817353529209,5023ba15-1aad-41f6-ada9-d533c11c0712,有限会社やまと173535,d5ef6a48-6a82-4585-97c7-c63f4e7ca476,bac6313d-430e-4cba-a221-d147d2a33216,2021/08/31,やまと,やまと,有限会社やまと
みよし野,生駒市俵口町   ７５８－１ディアーズコープいこま内,生駒市俵口町,７５８－１ディアーズコープいこま内,0743-73-8833,飲食店営業,株式会社奈良コープ産業,天理市荒蒔町   ９６－１,0743-64-3900,R03.08.31,R03.08.31,第421231号,,321,みよし野,0743,0743-73-8833,,,,生駒市俵口町,奈良県生駒市俵口町,７５８－１ディアーズコープいこま内,173506,29,29209,俵口町,,2021/08/31,2021/08/31,,,株式会社奈良コープ産業,,0743-64-3900,天理市荒蒔町   ９６－１,奈良県天理市荒蒔町９６－１,,172939,奈良県,天理市,荒蒔町,第421231号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,みよし野0743-73-883317350629209,2ed20d66-475d-41d1-ae4a-bbd9ddc247a4,株式会社奈良コープ産業172939,7a744ce9-9b50-4893-a24b-7db257194ca9,f14907cd-14aa-4f5b-b083-e6a658ad71dd,2021/08/31,みよし野,みよし野,株式会社奈良コープ産業
お食事処   お空ら,生駒市東生駒   １－３２０,生駒市東生駒,１－３２０,0743-84-6966,飲食店営業,株式会社クーリエ,生駒市東生駒   １－３２２,0743-79-4194,R03.08.31,R03.08.31,第421232号,,321,お食事処   お空ら,0743,0743-84-6966,,,,生駒市東生駒,奈良県生駒市東生駒１－３２０,,173519,29,29209,東生駒１,,2021/08/31,2021/08/31,,,株式会社クーリエ,,0743-79-4194,生駒市東生駒   １－３２２,奈良県生駒市東生駒１－３２２,,173519,奈良県,生駒市,東生駒１,第421232号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,お食事処お空ら0743-84-696617351929209,533b4cb5-95a1-4d1d-907b-0a1a0d12c4be,株式会社クーリエ173519,b0b0a18b-b765-43fb-aa0c-a24ae2b8559e,14a1664a-2ec8-4243-9fe0-54c5cb359b56,2021/08/31,お食事処　お空ら,お食事処お空ら,株式会社クーリエ
清栄薬品株式会社,生駒市北田原町   １６７４－１０,生駒市北田原町,１６７４－１０,0743-78-0528,食品の小分け業,清栄薬品株式会社,生駒市北田原町   １６７４－１０,0743-78-0528,R03.08.31,R03.08.31,第421222号,,321,清栄薬品株式会社,0743,0743-78-0528,,,,生駒市北田原町,奈良県生駒市北田原町,１６７４－１０,173485,29,29209,北田原町,,2021/08/31,2021/08/31,,,清栄薬品株式会社,,0743-78-0528,生駒市北田原町   １６７４－１０,奈良県生駒市北田原町１６７４－１０,,173485,奈良県,生駒市,北田原町,第421222号,,食品の小分け業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,I,58,522,5229,清栄薬品株式会社0743-78-052817348529209,14f8fa2a-508c-4686-ab5e-a69076e23240,清栄薬品株式会社173485,1fbd914c-2814-43b1-8de3-1150d8ed9d1b,3b3e5de6-883f-4cfb-ac3b-922e1651aa5b,2021/08/31,清栄薬品株式会社,清栄薬品株式会社,清栄薬品株式会社
口福堂イオン奈良登美ヶ丘店,生駒市鹿畑町   ３０２７,生駒市鹿畑町,３０２７,,菓子製造業,株式会社柿安本店,桑名市吉之丸   ８,0594-23-5500,R03.08.31,R03.08.31,第421223号,,321,口福堂イオン奈良登美ヶ丘店,0743,,,,,生駒市鹿畑町,奈良県生駒市鹿畑町,３０２７,173501,29,29209,鹿畑町,,2021/08/31,2021/08/31,,,株式会社柿安本店,,0594-23-5500,桑名市吉之丸   ８,三重県桑名市吉ノ丸８,,136257,三重県,桑名市,吉ノ丸,第421223号,,菓子製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,口福堂イオン奈良登美ヶ丘店17350129209,e052782c-5e92-4498-a300-e625c5c6d71b,株式会社柿安本店136257,d233ddd9-21fa-4763-90f8-3e7f958cafbf,c7e928f2-305d-47a6-9b5d-6ea257a34f05,2021/08/31,口福堂イオン奈良登美ヶ丘店,口福堂イオン奈良登美ヶ丘店,株式会社柿安本店
Ｓｎａｃｋ   Ｂａｒ   ｍｉＲｉｎａ,生駒市本町   ６－４   旭ビル２Ｆ,生駒市本町 ６－４   ,旭ビル２Ｆ,0743-73-1418,飲食店営業,平   理香,,,R03.08.31,R03.08.31,第421224号,,321,Ｓｎａｃｋ   Ｂａｒ   ｍｉＲｉｎａ,0743,0743-73-1418,,,,生駒市本町 ６－４   ,奈良県生駒市本町６－４,旭ビル２Ｆ,173529,29,29209,本町,,2021/08/31,2021/08/31,,,,平   理香,,,,,,,,,第421224号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ＳｎａｃｋＢａｒｍｉＲｉｎａ0743-73-141817352929209,a2af4dc7-3efe-48aa-b355-2bd11ff88fd3,,personal,ee2b9e8b-6fa1-4b37-8e58-6f5c8bf571c3,2021/08/31,Ｓｎａｃｋ　Ｂａｒ　ｍｉＲｉｎａ,ＳｎａｃｋＢａｒｍｉＲｉｎａ,
シカゴデリータ生駒店,生駒市東松ケ丘   １６－２０   グレイスホンダ１Ｆ,生駒市東松ケ丘 １６－２０   ,グレイスホンダ１Ｆ,0743-73-3900,飲食店営業,株式会社シカゴピザ,茨木市大住町   ２－５,072-622-3880,R03.08.31,R03.08.31,第421225号,,321,シカゴデリータ生駒店,0743,0743-73-3900,,,,生駒市東松ケ丘 １６－２０   ,奈良県生駒市東松が丘１６－２０,グレイスホンダ１Ｆ,173527,29,29209,東松が丘,,2021/08/31,2021/08/31,,,株式会社シカゴピザ,,072-622-3880,茨木市大住町   ２－５,大阪府茨木市大住町２－５,,159037,大阪府,茨木市,大住町,第421225号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,シカゴデリタ生駒店0743-73-390017352729209,d4b391f5-e0d3-4248-8e09-d081fd784f0f,株式会社シカゴピザ159037,6fbb6199-ed83-41cf-876e-fcfa17684e05,b64e23ec-2772-48b3-b42a-924fb01485b6,2021/08/31,シカゴデリータ生駒店,シカゴデリタ生駒店,株式会社シカゴピザ
ワンカルビ北生駒店,生駒市上町   ３４１４,生駒市上町,３４１４,0743-78-8929,飲食店営業,（株）ワン・ダイニング,大阪市西区新町   １－２７－９,06-6578-1290,R03.08.31,R03.08.31,第421226号,,321,ワンカルビ北生駒店,0743,0743-78-8929,,,,生駒市上町,奈良県生駒市上町,３４１４,173482,29,29209,上町,,2021/08/31,2021/08/31,,,（株）ワン・ダイニング,,06-6578-1290,大阪市西区新町   １－２７－９,大阪府大阪市西区新町１－２７－９,,154403,大阪府,大阪市西区,新町１,第421226号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,ワンカルビ北生駒店0743-78-892917348229209,023f2a98-537e-41f9-bf6c-cfc1e9e0afee,株式会社ワン・ダイニング154403,05045b6d-2d39-4d81-955a-1a718a599a47,33c785fd-825e-4bfe-a685-4cec8e1d710f,2021/08/31,ワンカルビ北生駒店,ワンカルビ北生駒店,株式会社ワン・ダイニング
（株）近鉄百貨店生駒店１Ｆ   築地中島水産,生駒市谷田町   １６００   近鉄百貨店,生駒市谷田町 １６００   ,近鉄百貨店,0743-74-5511,魚介類販売業,株式会社近鉄百貨店,大阪市阿倍野区阿倍野筋   １－１－４３,06-6624-1111,R03.08.31,R03.08.31,第421233号,,321,（株）近鉄百貨店生駒店１Ｆ   築地中島水産,0743,0743-74-5511,,,,生駒市谷田町 １６００   ,奈良県生駒市谷田町１６００,近鉄百貨店,173505,29,29209,谷田町,,2021/08/31,2021/08/31,,,株式会社近鉄百貨店,,06-6624-1111,大阪市阿倍野区阿倍野筋   １－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,第421233号,,魚介類販売業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,I,58,,,株式会社近鉄百貨店生駒店１Ｆ築地中島水産0743-74-551117350529209,77e2bfea-042f-4802-9ee5-c18c1e642bd8,株式会社近鉄百貨店155077,953ebc0c-0e33-44e0-a715-f7697867ec3d,9f49abfd-7f21-44d8-99ef-7ff916b89a99,2021/08/31,株式会社近鉄百貨店生駒店１Ｆ　築地中島水産,株式会社近鉄百貨店生駒店１Ｆ築地中島水産,株式会社近鉄百貨店
きんのぶた   北生駒上町店,生駒市上町   ３４１４,生駒市上町,３４１４,0743-78-2901,飲食店営業,（株）ワン・ダイニング,大阪市西区新町   １－２７－９,06-6578-1290,R03.08.31,R03.08.31,第421227号,,321,きんのぶた   北生駒上町店,0743,0743-78-2901,,,,生駒市上町,奈良県生駒市上町,３４１４,173482,29,29209,上町,,2021/08/31,2021/08/31,,,（株）ワン・ダイニング,,06-6578-1290,大阪市西区新町   １－２７－９,大阪府大阪市西区新町１－２７－９,,154403,大阪府,大阪市西区,新町１,第421227号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,きんのぶた北生駒上町店0743-78-290117348229209,d8b40809-71bc-460b-adeb-e7afa1af610a,株式会社ワン・ダイニング154403,05045b6d-2d39-4d81-955a-1a718a599a47,42df5f00-d8b3-417c-8efe-ba8bf858544f,2021/08/31,きんのぶた　北生駒上町店,きんのぶた北生駒上町店,株式会社ワン・ダイニング
（株）近鉄百貨店生駒店１Ｆ   漁場寿司,生駒市谷田町   １６００   近鉄百貨店,生駒市谷田町 １６００   ,近鉄百貨店,0743-74-5511,飲食店営業,株式会社近鉄百貨店,大阪市阿倍野区阿倍野筋   １－１－４３,06-6624-1111,R03.08.31,R03.08.31,第421234号,,321,（株）近鉄百貨店生駒店１Ｆ   漁場寿司,0743,0743-74-5511,,,,生駒市谷田町 １６００   ,奈良県生駒市谷田町１６００,近鉄百貨店,173505,29,29209,谷田町,,2021/08/31,2021/08/31,,,株式会社近鉄百貨店,,06-6624-1111,大阪市阿倍野区阿倍野筋   １－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,第421234号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,株式会社近鉄百貨店生駒店１Ｆ漁場寿司0743-74-551117350529209,22d070a2-16b5-4734-9e09-41d2373e90e1,株式会社近鉄百貨店155077,953ebc0c-0e33-44e0-a715-f7697867ec3d,e87475d1-fa69-4fba-90c7-3a1be49072dc,2021/08/31,株式会社近鉄百貨店生駒店１Ｆ　漁場寿司,株式会社近鉄百貨店生駒店１Ｆ漁場寿司,株式会社近鉄百貨店
（株）近鉄百貨店生駒店１Ｆ   とんかついなば和幸,生駒市谷田町   １６００   近鉄百貨店,生駒市谷田町 １６００   ,近鉄百貨店,0743-74-5511,飲食店営業,株式会社近鉄百貨店,大阪市阿倍野区阿倍野筋   １－１－４３,06-6624-1111,R03.08.31,R03.08.31,第421235号,,321,（株）近鉄百貨店生駒店１Ｆ   とんかついなば和幸,0743,0743-74-5511,,,,生駒市谷田町 １６００   ,奈良県生駒市谷田町１６００,近鉄百貨店,173505,29,29209,谷田町,,2021/08/31,2021/08/31,,,株式会社近鉄百貨店,,06-6624-1111,大阪市阿倍野区阿倍野筋   １－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,第421235号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,株式会社近鉄百貨店生駒店１Ｆとんかついなば和幸0743-74-551117350529209,5b8c36d2-cd5f-440b-9da4-c281dacc9814,株式会社近鉄百貨店155077,953ebc0c-0e33-44e0-a715-f7697867ec3d,188912f6-594c-4ce9-9b9f-1be5a18034a8,2021/08/31,株式会社近鉄百貨店生駒店１Ｆ　とんかついなば和幸,株式会社近鉄百貨店生駒店１Ｆとんかついなば和幸,株式会社近鉄百貨店
（株）近鉄百貨店生駒店１Ｆ   鶏太郎,生駒市谷田町   １６００   近鉄百貨店,生駒市谷田町 １６００   ,近鉄百貨店,0743-74-5511,食肉販売業,株式会社近鉄百貨店,大阪市阿倍野区阿倍野筋   １－１－４３,06-6624-1111,R03.08.31,R03.08.31,第421236号,,321,（株）近鉄百貨店生駒店１Ｆ   鶏太郎,0743,0743-74-5511,,,,生駒市谷田町 １６００   ,奈良県生駒市谷田町１６００,近鉄百貨店,173505,29,29209,谷田町,,2021/08/31,2021/08/31,,,株式会社近鉄百貨店,,06-6624-1111,大阪市阿倍野区阿倍野筋   １－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,第421236号,,食肉販売業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,I,58,583,,株式会社近鉄百貨店生駒店１Ｆ鶏太郎0743-74-551117350529209,80ac15dc-856a-449d-b973-817400a973aa,株式会社近鉄百貨店155077,953ebc0c-0e33-44e0-a715-f7697867ec3d,e2486eb6-34dc-45e3-babc-50494f592b4f,2021/08/31,株式会社近鉄百貨店生駒店１Ｆ　鶏太郎,株式会社近鉄百貨店生駒店１Ｆ鶏太郎,株式会社近鉄百貨店
（株）近鉄百貨店生駒店１Ｆ   富惣,生駒市谷田町   １６００   近鉄百貨店,生駒市谷田町 １６００   ,近鉄百貨店,0743-74-5511,飲食店営業,株式会社近鉄百貨店,大阪市阿倍野区阿倍野筋   １－１－４３,06-6624-1111,R03.08.31,R03.08.31,第421237号,,321,（株）近鉄百貨店生駒店１Ｆ   富惣,0743,0743-74-5511,,,,生駒市谷田町 １６００   ,奈良県生駒市谷田町１６００,近鉄百貨店,173505,29,29209,谷田町,,2021/08/31,2021/08/31,,,株式会社近鉄百貨店,,06-6624-1111,大阪市阿倍野区阿倍野筋   １－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,第421237号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,株式会社近鉄百貨店生駒店１Ｆ富惣0743-74-551117350529209,224675e9-b951-4215-9d1d-2caf5b2814d4,株式会社近鉄百貨店155077,953ebc0c-0e33-44e0-a715-f7697867ec3d,cb46d400-7ca0-4ec7-b9e5-2b8f29581485,2021/08/31,株式会社近鉄百貨店生駒店１Ｆ　富惣,株式会社近鉄百貨店生駒店１Ｆ富惣,株式会社近鉄百貨店
（株）近鉄百貨店生駒店１Ｆ   蓬莱,生駒市谷田町   １６００   近鉄百貨店,生駒市谷田町 １６００   ,近鉄百貨店,0743-74-5511,飲食店営業,株式会社近鉄百貨店,大阪市阿倍野区阿倍野筋   １－１－４３,06-6624-1111,R03.08.31,R03.08.31,第421238号,,321,（株）近鉄百貨店生駒店１Ｆ   蓬莱,0743,0743-74-5511,,,,生駒市谷田町 １６００   ,奈良県生駒市谷田町１６００,近鉄百貨店,173505,29,29209,谷田町,,2021/08/31,2021/08/31,,,株式会社近鉄百貨店,,06-6624-1111,大阪市阿倍野区阿倍野筋   １－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,第421238号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,株式会社近鉄百貨店生駒店１Ｆ蓬莱0743-74-551117350529209,ad1c2bb0-c67c-46ff-ac51-5a7eea6c58d7,株式会社近鉄百貨店155077,953ebc0c-0e33-44e0-a715-f7697867ec3d,ad878a2a-570f-4d1b-8855-1d01d2affc95,2021/08/31,株式会社近鉄百貨店生駒店１Ｆ　蓬莱,株式会社近鉄百貨店生駒店１Ｆ蓬莱,株式会社近鉄百貨店
（株）近鉄百貨店生駒店１Ｆ   ハマヤ,生駒市谷田町   １６００   近鉄百貨店,生駒市谷田町 １６００   ,近鉄百貨店,0743-74-5511,飲食店営業,株式会社近鉄百貨店,大阪市阿倍野区阿倍野筋   １－１－４３,06-6624-1111,R03.08.31,R03.08.31,第421239号,,321,（株）近鉄百貨店生駒店１Ｆ   ハマヤ,0743,0743-74-5511,,,,生駒市谷田町 １６００   ,奈良県生駒市谷田町１６００,近鉄百貨店,173505,29,29209,谷田町,,2021/08/31,2021/08/31,,,株式会社近鉄百貨店,,06-6624-1111,大阪市阿倍野区阿倍野筋   １－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,第421239号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,株式会社近鉄百貨店生駒店１Ｆハマヤ0743-74-551117350529209,95897ed4-0c38-492a-b627-6efdf7c5987b,株式会社近鉄百貨店155077,953ebc0c-0e33-44e0-a715-f7697867ec3d,ead1c7ec-f8fc-4601-9080-308e79b22f5d,2021/08/31,株式会社近鉄百貨店生駒店１Ｆ　ハマヤ,株式会社近鉄百貨店生駒店１Ｆハマヤ,株式会社近鉄百貨店
