https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,n処理終了,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設名2,郵便番号,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-マンション名,申請-電話番号1,業種,確認番号,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,セレモニー椿めいけ,,9500943,新潟県,新潟市中央区女池神明２丁目１０番地４,新潟市中央区女池神明２丁目１０番地４,,0120-108-401,株式会社福宝,石塚　福栄,新潟県新潟市南区根岸１５１１番地,,025-362-1657,飲食店営業,2588,R 4. 1.26,,151,セレモニー椿めいけ,025,0120-108-401,,,,新潟県　新潟市中央区女池神明２丁目１０番地４,新潟県新潟市中央区女池神明２丁目１０番地４,,84023,15,15103,女池神明２,,,2022/01/26,,,株式会社福宝,石塚　福栄,025-362-1657,新潟県新潟市南区根岸１５１１番地,新潟県新潟市南区根岸１５１１番地,,84620,新潟県,新潟市南区,根岸,2588,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,セレモニ椿めいけ0120-108-4018402315103,8b97ea7b-a2ce-4660-96bd-ff35ccb76336,株式会社福宝84620,083910a1-6f80-4510-aa79-26972b39ac00,63c5aabc-5db3-4215-849c-79dcafa08b95,2022/01/26,セレモニー椿めいけ,セレモニ椿めいけ,株式会社福宝
49,シフォンケーキのお店　アニス,,9500941,新潟県,新潟市中央区女池３丁目１番１０号２Ｂ,新潟市中央区女池３丁目１番１０号,２Ｂ,,遠藤　淳子,,,,,菓子製造業,2487,R 4. 1. 5,,151,シフォンケーキのお店　アニス,025,,,,,新潟県　新潟市中央区女池３丁目１番１０号,新潟県新潟市中央区女池３丁目１番１０号,２Ｂ,84010,15,15103,女池３,,,2022/01/05,,,,遠藤　淳子 ,,,,,,,,,2487,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,シフォンケキのお店アニス8401015103,62e0cb5b-e36b-4f47-ab6c-8be81b2adc1c,,personal,77b936d4-62c5-45ba-b9f8-96e8aa6f2b67,2022/01/05,シフォンケーキのお店　アニス,シフォンケキのお店アニス,
52,桃乃,,9500075,新潟県,新潟市中央区沼垂東３丁目１番２０号大塚ビル２階,新潟市中央区沼垂東３丁目１番２０号,大塚ビル２階,,原　くみ子,,,,,飲食店営業,2457,R 3.12.21,,151,桃乃,025,,,,,新潟県　新潟市中央区沼垂東３丁目１番２０号,新潟県新潟市中央区沼垂東３丁目１番２０号,大塚ビル２階,83863,15,15103,沼垂東３,,,2021/12/21,,,,原　くみ子 ,,,,,,,,,2457,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,桃乃8386315103,2dbd6114-424d-42af-bfe5-226cfa0b7fdb,,personal,9ee10215-a2fe-44a8-9f13-2ba6fb00d5d8,2021/12/21,桃乃,桃乃,
53,ＡｉＬｅｓ,,9500075,新潟県,新潟市中央区沼垂東３丁目５番２５号テラスストリートＡ-１,新潟市中央区沼垂東３丁目５番２５号,テラスストリートＡ－１,025-245-5677,小林　明美,,,,,そうざい製造業,2491,R 4. 1.11,,151,ＡｉＬｅｓ,025,025-245-5677,,,,新潟県　新潟市中央区沼垂東３丁目５番２５号,新潟県新潟市中央区沼垂東３丁目５番２５号,テラスストリートＡ－１,83863,15,15103,沼垂東３,,,2022/01/11,,,,小林　明美 ,,,,,,,,,2491,,そうざい製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ＡｉＬｅｓ025-245-56778386315103,2eac6d2d-9fd6-4bc6-b5c7-f283bbef95ab,,personal,fc90992c-224e-4d1e-a7da-47e2398988b5,2022/01/11,ＡｉＬｅｓ,ＡｉＬｅｓ,
54,Ｏｌｄｔｏｗｎ　Ｄｅｓｓｅｒｔ　Ｃｏｍｐａｎｙ,,9500075,新潟県,新潟市中央区沼垂東３丁目５番３２号,新潟市中央区沼垂東３丁目５番３２号,,,佐々木　岳人,,,,,菓子製造業,2583,R 4. 1.25,,151,Ｏｌｄｔｏｗｎ　Ｄｅｓｓｅｒｔ　Ｃｏｍｐａｎｙ,025,,,,,新潟県　新潟市中央区沼垂東３丁目５番３２号,新潟県新潟市中央区沼垂東３丁目５番３２号,,83863,15,15103,沼垂東３,,,2022/01/25,,,,佐々木　岳人 ,,,,,,,,,2583,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ＯｌｄｔｏｗｎＤｅｓｓｅｒｔＣｏｍｐａｎｙ8386315103,54f7abfe-6ce7-407e-954e-86b21e8a01b4,,personal,5d651ad5-e2a5-4162-952b-b9c1750e11c9,2022/01/25,Ｏｌｄｔｏｗｎ　Ｄｅｓｓｅｒｔ　Ｃｏｍｐａｎｙ,ＯｌｄｔｏｗｎＤｅｓｓｅｒｔＣｏｍｐａｎｙ,
55,ルコトラボ,,9500993,新潟県,新潟市中央区上所中３丁目１２番２４号,新潟市中央区上所中３丁目１２番２４号,,,佐藤　千裕,,,,,そうざい製造業,2360,R 3.12.10,,151,ルコトラボ,025,,,,,新潟県　新潟市中央区上所中３丁目１２番２４号,新潟県新潟市中央区上所中３丁目１２番２４号,,83656,15,15103,上所中３,,,2021/12/10,,,,佐藤　千裕 ,,,,,,,,,2360,,そうざい製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ルコトラボ8365615103,5f4f5d55-8482-4431-b8cf-0d2bab1cb21d,,personal,66b2db40-531c-4725-8099-f357ae0daf4d,2021/12/10,ルコトラボ,ルコトラボ,
56,ルコトラボ,,9500993,新潟県,新潟市中央区上所中３丁目１２番２４号,新潟市中央区上所中３丁目１２番２４号,,,佐藤　千裕,,,,,菓子製造業,2361,R 3.12.10,,151,ルコトラボ,025,,,,,新潟県　新潟市中央区上所中３丁目１２番２４号,新潟県新潟市中央区上所中３丁目１２番２４号,,83656,15,15103,上所中３,,,2021/12/10,,,,佐藤　千裕 ,,,,,,,,,2361,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ルコトラボ8365615103,5f4f5d55-8482-4431-b8cf-0d2bab1cb21d,,personal,04bee557-f78e-46d4-b282-d3c7616c3067,2021/12/10,ルコトラボ,ルコトラボ,
66,Ｃａｖａｌｉｅｒ,,9518062,新潟県,新潟市中央区西堀前通８番町１５２７番地小黒館ビル　１階,新潟市中央区西堀前通８番町１５２７番地,小黒館ビル １階,,渡部　大希,,,,,飲食店営業,2444,R 3.12.17,,151,Ｃａｖａｌｉｅｒ,025,,,,,新潟県　新潟市中央区西堀前通８番町１５２７番地,新潟県新潟市中央区西堀前通八番町１５２７番地,小黒館ビル １階,83851,15,15103,西堀前通八番町,,,2021/12/17,,,,渡部　大希 ,,,,,,,,,2444,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,Ｃａｖａｌｉｅｒ8385115103,73f91c21-627e-4122-925a-8f7340255429,,personal,afa2410f-a43e-4c6c-8a30-5d57097f95ed,2021/12/17,Ｃａｖａｌｉｅｒ,Ｃａｖａｌｉｅｒ,
67,アムネシア,,9518062,新潟県,新潟市中央区西堀前通９番町１５２８番地１三笠ビル２階,新潟市中央区西堀前通９番町１５２８番地,１三笠ビル２階,025-201-6292,田中　賢司,,,,,飲食店営業,2615,R 4. 1.28,,151,アムネシア,025,025-201-6292,,,,新潟県　新潟市中央区西堀前通９番町１５２８番地,新潟県新潟市中央区西堀前通九番町１５２８番地,１三笠ビル２階,83844,15,15103,西堀前通九番町,,,2022/01/28,,,,田中　賢司 ,,,,,,,,,2615,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,アムネシア025-201-62928384415103,69ce8c6c-a56a-446d-86d7-4b58cea967d8,,personal,f30628b3-cb0b-48ed-b650-1d0d3020d6ed,2022/01/28,アムネシア,アムネシア,
76,スター　インドカレー＆ネパールレストラン,,9518116,新潟県,新潟市中央区東中通１番町８６番地１３糸金ビル　１階,新潟市中央区東中通１番町８６番地,１３糸金ビル １階,025-222-4547,ＤＳ株式会社,セレスター・ディル・バハドウール,新潟県新潟市中央区東中通一番町８６番地１３,,025-222-4547,飲食店営業,2364,R 3.12.14,,151,スター　インドカレー＆ネパールレストラン,025,025-222-4547,,,,新潟県　新潟市中央区東中通１番町８６番地,新潟県新潟市中央区東中通一番町８６番地,１３糸金ビル １階,83895,15,15103,東中通一番町,,,2021/12/14,,,ＤＳ株式会社,セレスター・ディル・バハドウール,025-222-4547,新潟県新潟市中央区東中通一番町８６番地１３,新潟県新潟市中央区東中通一番町８６番地１３,,83895,新潟県,新潟市中央区,東中通一番町,2364,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,スタインドカレネパルレストラン025-222-45478389515103,eab159c1-5ef5-433a-a3d0-81f0f5d99f9f,ＤＳ株式会社83895,cf9da0f1-67d4-407d-a9d6-69ff97646559,eeac4bfe-e537-46ed-96dd-87528f814da8,2021/12/14,スター　インドカレー＆ネパールレストラン,スタインドカレネパルレストラン,ＤＳ株式会社
68,Ｆｉｓｈｅｒｍａｎ’ｓ　Ｃａｆｅ　Ｓｏｕｔｈ　Ｗｉｎｄ,,9518062,新潟県,新潟市中央区西堀前通９番町１５４２番地エスカイヤふじ１階,新潟市中央区西堀前通９番町１５４２番地,エスカイヤふじ１階,,清野　宗弘,,,,,飲食店営業,2552,R 4. 1.19,,151,Ｆｉｓｈｅｒｍａｎ’ｓ　Ｃａｆｅ　Ｓｏｕｔｈ　Ｗｉｎｄ,025,,,,,新潟県　新潟市中央区西堀前通９番町１５４２番地,新潟県新潟市中央区西堀前通九番町１５４２番地,エスカイヤふじ１階,83844,15,15103,西堀前通九番町,,,2022/01/19,,,,清野　宗弘 ,,,,,,,,,2552,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＦｉｓｈｅｒｍａｎｓＣａｆｅＳｏｕｔｈＷｉｎｄ8384415103,1960244c-c8a3-4bf4-bb85-5e1a225bd321,,personal,d7fdef20-a1fc-4178-be0b-c89faf287014,2022/01/19,Ｆｉｓｈｅｒｍａｎ＇ｓ　Ｃａｆｅ　Ｓｏｕｔｈ　Ｗｉｎｄ,ＦｉｓｈｅｒｍａｎｓＣａｆｅＳｏｕｔｈＷｉｎｄ,
62,セブン‐イレブン新潟神道寺店,,9500983,新潟県,新潟市中央区神道寺１丁目８５番地１,新潟市中央区神道寺１丁目８５番地１,,025-245-7115,有限会社市屋,伊藤　あきら,新潟県新潟市江南区曽川甲３７５番地,,025-280-3453,飲食店営業,2446,R 3.12.17,,151,セブン‐イレブン新潟神道寺店,025,025-245-7115,,,,新潟県　新潟市中央区神道寺１丁目８５番地１,新潟県新潟市中央区神道寺１丁目８５番地１,,83668,15,15103,神道寺１,,,2021/12/17,,,有限会社市屋,伊藤　あきら,025-280-3453,新潟県新潟市江南区曽川甲３７５番地,新潟県新潟市江南区曽川甲３７５番地,,84242,新潟県,新潟市江南区,曽川,2446,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,セブンイレブン新潟神道寺店025-245-71158366815103,ea82a9cf-3ce8-408a-aee0-03cea81d3ced,有限会社市屋84242,2eb9d95c-3ee3-4d4f-90aa-65a5b665c17f,a20ac154-31ba-49f8-a501-4d271b696565,2021/12/17,セブンイレブン新潟神道寺店,セブンイレブン新潟神道寺店,有限会社市屋
77,割烹ふく,,9518066,新潟県,新潟市中央区東堀前通５番町４００番地６原田ビル　１階,新潟市中央区東堀前通５番町４００番地,６原田ビル １階,,渡辺　晃,,,,,飲食店営業,2560,R 4. 1.21,,151,割烹ふく,025,,,,,新潟県　新潟市中央区東堀前通５番町４００番地,新潟県新潟市中央区東堀前通五番町４００番地,６原田ビル １階,83913,15,15103,東堀前通五番町,,,2022/01/21,,,,渡辺　晃 ,,,,,,,,,2560,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,割烹ふく8391315103,a4b67522-744d-4555-b7bc-a2f1a51b6de0,,personal,7afe9aee-02a5-42c0-84f8-d6a2a942517c,2022/01/21,割烹ふく,割烹ふく,
78,Ｔｈｅ　Ｌｉｆｆｅｙ　Ｔａｖｅｒｎ　Ⅱ,,9518065,新潟県,新潟市中央区東堀通６番町１０４１番地東隆ビル１階,新潟市中央区東堀通６番町１０４１番地,東隆ビル１階,025-228-5615,株式会社バッチ・グー,大原　久二男,新潟県新潟市東区逢谷内三丁目５１９番地１,,,飲食店営業,2623,R 4. 1.28,,151,Ｔｈｅ　Ｌｉｆｆｅｙ　Ｔａｖｅｒｎ　Ⅱ,025,025-228-5615,,,,新潟県　新潟市中央区東堀通６番町１０４１番地,新潟県新潟市中央区東堀通六番町１０４１番地,東隆ビル１階,83910,15,15103,東堀通六番町,,,2022/01/28,,,株式会社バッチ・グー,大原　久二男,,新潟県新潟市東区逢谷内三丁目５１９番地１,新潟県新潟市東区逢谷内３丁目５１９番地１,,83328,新潟県,新潟市東区,逢谷内３,2623,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＴｈｅＬｉｆｆｅｙＴａｖｅｒｎⅡ025-228-56158391015103,e849180f-bfe1-4777-a65e-7fbc0ce10d50,株式会社バッチ・グー83328,788322bc-d114-41e0-b1db-1115a09231e5,b524856f-3d84-405a-be34-657dc176f9de,2022/01/28,Ｔｈｅ　Ｌｉｆｆｅｙ　Ｔａｖｅｒｎ　Ⅱ,ＴｈｅＬｉｆｆｅｙＴａｖｅｒｎⅡ,株式会社バッチ・グー
63,ｄＡｂ　ＣＯＦＦＥＥ　ＳＴＯＲＥ（菓子製造所）,,9500904,新潟県,新潟市中央区水島町１１番１０号メイプル幸,新潟市中央区水島町１１番１０号,メイプル幸,,小林　大地,,,,,菓子製造業,2604,R 4. 1.28,,151,ｄＡｂ　ＣＯＦＦＥＥ　ＳＴＯＲＥ（菓子製造所）,025,,,,,新潟県　新潟市中央区水島町１１番１０号,新潟県新潟市中央区水島町１１番１０号,メイプル幸,83986,15,15103,水島町,,,2022/01/28,,,,小林　大地 ,,,,,,,,,2604,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ｄＡｂＣＯＦＦＥＥＳＴＯＲＥ菓子製造所8398615103,66f5b6fa-212b-452c-9bc9-441c5e7210e2,,personal,48cc9c95-528d-4032-ac49-e301fe7d9b5a,2022/01/28,ｄＡｂ　ＣＯＦＦＥＥ　ＳＴＯＲＥ（菓子製造所）,ｄＡｂＣＯＦＦＥＥＳＴＯＲＥ菓子製造所,
80,茶屋ず々,,9518065,新潟県,新潟市中央区東堀通９番町１４０７番地首藤ビル２階,新潟市中央区東堀通９番町１４０７番地,首藤ビル２階,,株式会社ＧＴ　ＪＡＰＡＮ,田中　裕生,新潟県新潟市中央区幸西二丁目３番１３号,リバーサイド幸,025-282-5337,飲食店営業,2559,R 4. 1.20,,151,茶屋ず々,025,,,,,新潟県　新潟市中央区東堀通９番町１４０７番地,新潟県新潟市中央区東堀通九番町１４０７番地,首藤ビル２階,83899,15,15103,東堀通九番町,,,2022/01/20,,,株式会社ＧＴ　ＪＡＰＡＮ,田中　裕生,025-282-5337,新潟県新潟市中央区幸西二丁目３番１３号,新潟県新潟市中央区幸西２丁目３番１３号,リバーサイド幸,83706,新潟県,新潟市中央区,幸西２,2559,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,茶屋ず8389915103,1b47c8c2-ff91-4e6e-803d-c80688793584,株式会社ＧＴ　ＪＡＰＡＮ83706,41a7f242-3087-45f3-80d7-75e429b5eba5,2a2175da-e7ca-4f36-8f0e-c6f1096ad413,2022/01/20,茶屋ず々,茶屋ず,株式会社ＧＴ　ＪＡＰＡＮ
84,本間文庫にいがた食の図書館,,9518067,新潟県,新潟市中央区本町通１番町１７８番地３,新潟市中央区本町通１番町１７８番地３,,,株式会社ニール,中澤　真理子,新潟県新潟市西区新中浜六丁目３番地１１,,025-261-7280,飲食店営業,2344,R 3.12.10,,151,本間文庫にいがた食の図書館,025,,,,,新潟県　新潟市中央区本町通１番町１７８番地３,新潟県新潟市中央区本町通一番町１７８番地３,,83962,15,15103,本町通一番町,,,2021/12/10,,,株式会社ニール,中澤　真理子,025-261-7280,新潟県新潟市西区新中浜六丁目３番地１１,新潟県新潟市西区新中浜６丁目３番地１１,,84778,新潟県,新潟市西区,新中浜６,2344,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,本間文庫にいがた食の図書館8396215103,557fd68b-e480-476b-a22d-00e5acdf19b5,株式会社ニール84778,4392911e-e73b-4b28-9346-d720c21ddaa1,fb00b664-09d4-4b86-883c-10a56df32dcf,2021/12/10,本間文庫にいがた食の図書館,本間文庫にいがた食の図書館,株式会社ニール
79,ランウェイ,,9518065,新潟県,新潟市中央区東堀通８番町１４２５番地玉家ビル２階,新潟市中央区東堀通８番町１４２５番地,玉家ビル２階,025-367-3177,加藤　由美,,,,,飲食店営業,2607,R 4. 1.28,,151,ランウェイ,025,025-367-3177,,,,新潟県　新潟市中央区東堀通８番町１４２５番地,新潟県新潟市中央区東堀通八番町１４２５番地,玉家ビル２階,83908,15,15103,東堀通八番町,,,2022/01/28,,,,加藤　由美 ,,,,,,,,,2607,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ランウェイ025-367-31778390815103,7d361777-d741-422e-917c-5ddcf099100e,,personal,c34a4835-151f-46b1-b0b5-5b82d34a4f12,2022/01/28,ランウェイ,ランウェイ,
69,大阪お好み焼　かおるや長潟店,,9500932,新潟県,新潟市中央区長潟３丁目７番１４号,新潟市中央区長潟３丁目７番１４号,,025-278-8681,合同会社ＤＥＫＩ－ＩＣＨＩ,石橋　洋,新潟県新潟市中央区出来島２丁目１４番１６号,アルゴ天神山１ＦーＢ１,025-282-4989,飲食店営業,2272,R 3.12. 1,,151,大阪お好み焼　かおるや長潟店,025,025-278-8681,,,,新潟県　新潟市中央区長潟３丁目７番１４号,新潟県新潟市中央区長潟３丁目７番１４号,,83822,15,15103,長潟３,,,2021/12/01,,,合同会社ＤＥＫＩ－ＩＣＨＩ,石橋　洋,025-282-4989,新潟県新潟市中央区出来島２丁目１４番１６号,新潟県新潟市中央区出来島２丁目１４番１６号,アルゴ天神山１ＦーＢ１,83811,新潟県,新潟市中央区,出来島２,2272,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,大阪お好み焼かおるや長潟店025-278-86818382215103,cd8c6c99-2e81-43b9-8e49-2beaa6d447e9,合同会社ＤＥＫＩ－ＩＣＨＩ83811,e9e06ece-7db5-4bdf-bf26-8717112ec5e6,34551800-cffb-45c1-bdbd-a2510f0b7f84,2021/12/01,大阪お好み焼　かおるや長潟店,大阪お好み焼かおるや長潟店,合同会社ＤＥＫＩ－ＩＣＨＩ
70,カニカニランド,,9500917,新潟県,新潟市中央区天神１丁目１２番地７ＬＥＸＮ１　１階,新潟市中央区天神１丁目１２番地７,ＬＥＸＮ１　１階,025-384-0120,株式会社弁慶,小崎　和彦,新潟県佐渡市河原田諏訪町９０番地２,,0259-57-3964,飲食店営業,2470,R 3.12.24,,151,カニカニランド,025,025-384-0120,,,,新潟県　新潟市中央区天神１丁目１２番地７,新潟県新潟市中央区天神１丁目１２番地７,ＬＥＸＮ１　１階,83803,15,15103,天神１,,,2021/12/24,,,株式会社弁慶,小崎　和彦,0259-57-3964,新潟県佐渡市河原田諏訪町９０番地２,新潟県佐渡市河原田諏訪町９０番地２,,89731,新潟県,佐渡市,河原田諏訪町,2470,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,カニカニランド025-384-01208380315103,ff5e6451-c36c-46b1-9a64-d162d6db0d02,株式会社弁慶89731,52444eae-9545-4483-8590-0e1ad7f29eaf,4109d38b-2c73-4f90-886b-1a6bd541e46a,2021/12/24,カニカニランド,カニカニランド,株式会社弁慶
71,ザ・リフィー　タヴァーンけやき通り店,,9500917,新潟県,新潟市中央区天神１丁目１９番５号,新潟市中央区天神１丁目１９番５号,,025-256-8088,株式会社バッチ・グー,大原　久二男,新潟県新潟市東区逢谷内３丁目５１９番地１,,,飲食店営業,2614,R 4. 1.28,,151,ザ・リフィー　タヴァーンけやき通り店,025,025-256-8088,,,,新潟県　新潟市中央区天神１丁目１９番５号,新潟県新潟市中央区天神１丁目１９番５号,,83803,15,15103,天神１,,,2022/01/28,,,株式会社バッチ・グー,大原　久二男,,新潟県新潟市東区逢谷内３丁目５１９番地１,新潟県新潟市東区逢谷内３丁目５１９番地１,,83328,新潟県,新潟市東区,逢谷内３,2614,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ザリフィタヴァンけやき通り店025-256-80888380315103,dc6a51d8-0685-4faf-b0b4-438974fab21a,株式会社バッチ・グー83328,788322bc-d114-41e0-b1db-1115a09231e5,b2e69a82-7f9e-4af8-8faa-d971d7e8483e,2022/01/28,ザ・リフィー　タヴァーンけやき通り店,ザリフィタヴァンけやき通り店,株式会社バッチ・グー
72,Ｔｈｅ　Ｌｉｆｆｅｙ　Ｔａｖｅｒｎ,,9500087,新潟県,新潟市中央区東大通１丁目１番１５号東大通ビル１階,新潟市中央区東大通１丁目１番１５号,東大通ビル１階,025-250-6515,株式会社バッチ・グー,大原　久二男,新潟県新潟市東区逢谷内三丁目５１９番地１,,,飲食店営業,2622,R 4. 1.28,,151,Ｔｈｅ　Ｌｉｆｆｅｙ　Ｔａｖｅｒｎ,025,025-250-6515,,,,新潟県　新潟市中央区東大通１丁目１番１５号,新潟県新潟市中央区東大通１丁目１番１５号,東大通ビル１階,83889,15,15103,東大通１,,,2022/01/28,,,株式会社バッチ・グー,大原　久二男,,新潟県新潟市東区逢谷内三丁目５１９番地１,新潟県新潟市東区逢谷内３丁目５１９番地１,,83328,新潟県,新潟市東区,逢谷内３,2622,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＴｈｅＬｉｆｆｅｙＴａｖｅｒｎ025-250-65158388915103,f6af945b-0d11-40c6-8400-f639f31a9711,株式会社バッチ・グー83328,788322bc-d114-41e0-b1db-1115a09231e5,6b930535-5274-4f3d-a125-da78afaadf1f,2022/01/28,Ｔｈｅ　Ｌｉｆｆｅｙ　Ｔａｖｅｒｎ,ＴｈｅＬｉｆｆｅｙＴａｖｅｒｎ,株式会社バッチ・グー
1,Ｃｕｐ　ｄｅ　ＤＯＮ　,新潟４８０ ち ７５３８,,新潟県,県内一円,県内一円,,,小倉　秀人,,,,,飲食店営業,2334,R 3.12.10,,151,Ｃｕｐ　ｄｅ　ＤＯＮ　,,,,,,新潟県　県内一円,新潟県県内一円,新潟４８０ ち ７５３８,,15,,,,,2021/12/10,,,,小倉　秀人 ,,,,,,,,,2334,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＣｕｐｄｅＤＯＮ,ed09f61d-843b-4502-8ee8-a9fd28d8d6b3,,personal,72f7a051-4554-4542-ad1d-b9cd798c907c,2021/12/10,Ｃｕｐ　ｄｅ　ＤＯＮ　,ＣｕｐｄｅＤＯＮ,
73,さば亭　弁天店,,9500087,新潟県,新潟市中央区東大通１丁目２番１１号肉昭ビル１階,新潟市中央区東大通１丁目２番１１号,肉昭ビル１階,,手塚　信慈,,,,,飲食店営業,2283,R 3.12. 1,,151,さば亭　弁天店,025,,,,,新潟県　新潟市中央区東大通１丁目２番１１号,新潟県新潟市中央区東大通１丁目２番１１号,肉昭ビル１階,83889,15,15103,東大通１,,,2021/12/01,,,,手塚　信慈 ,,,,,,,,,2283,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,さば亭弁天店8388915103,13bda268-3b0b-4bc0-a600-6f4ecafdfea1,,personal,02a9fe38-8843-4776-a033-3dd8c1dbfc06,2021/12/01,さば亭　弁天店,さば亭弁天店,
75,ＸＺＥＮＯ　ＮＩＩＧＡＴＡ,,9500087,新潟県,新潟市中央区東大通１丁目７番１０号新潟セントラルビルＢ１,新潟市中央区東大通１丁目７番１０号,新潟セントラルビルＢ１,025-282-5266,合同会社ゼノ,藤田　修也,新潟県新潟市中央区東大通一丁目７―１０,,,飲食店営業,2452,R 3.12.22,,151,ＸＺＥＮＯ　ＮＩＩＧＡＴＡ,025,025-282-5266,,,,新潟県　新潟市中央区東大通１丁目７番１０号,新潟県新潟市中央区東大通１丁目７番１０号,新潟セントラルビルＢ１,83889,15,15103,東大通１,,,2021/12/22,,,合同会社ゼノ,藤田　修也,,新潟県新潟市中央区東大通一丁目７―１０,新潟県新潟市中央区東大通１丁目７―１０,,83889,新潟県,新潟市中央区,東大通１,2452,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＸＺＥＮＯＮＩＩＧＡＴＡ025-282-52668388915103,ba21ea6f-e084-4035-b691-9bc5d8c11804,合同会社ゼノ83889,aad18b6a-d283-4e8d-a72e-fa99b38014be,f7a1a2b7-182e-41d0-9b48-fa9dd7245bf4,2021/12/22,ＸＺＥＮＯ　ＮＩＩＧＡＴＡ,ＸＺＥＮＯＮＩＩＧＡＴＡ,合同会社ゼノ
2,Ｄｅｖｉｌ’ｓ　ｋｉｔｃｈｅｎ　,新潟４８０ つ ２１０７,,新潟県,県内一円,県内一円,,,合同会社ｋｉｓｕｋｅ,佐藤　宏二,新潟県新潟市西区青山４丁目７番２６号,ベレーザ青山Ａ１０６,025-211-8070,飲食店営業,2600,R 4. 1.26,,151,Ｄｅｖｉｌ’ｓ　ｋｉｔｃｈｅｎ　,,,,,,新潟県　県内一円,新潟県県内一円,新潟４８０ つ ２１０７,,15,,,,,2022/01/26,,,合同会社ｋｉｓｕｋｅ,佐藤　宏二,025-211-8070,新潟県新潟市西区青山４丁目７番２６号,新潟県新潟市西区青山４丁目７番２６号,ベレーザ青山Ａ１０６,84650,新潟県,新潟市西区,青山４,2600,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,Ｄｅｖｉｌｓｋｉｔｃｈｅｎ,2841320d-06f9-4fd0-9c43-fef1271f40a7,合同会社ｋｉｓｕｋｅ84650,2ca5d41e-01ba-48f0-8517-41c1444aa951,7ccdfaeb-aaec-4409-bea7-e7cb04a56aee,2022/01/26,Ｄｅｖｉｌ＇ｓ　ｋｉｔｃｈｅｎ　,Ｄｅｖｉｌｓｋｉｔｃｈｅｎ,合同会社ｋｉｓｕｋｅ
