,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社　ミナミ 代表取締役　大曽根　壮,052-898-2861,ＯＮ／ＯＦＦ　ｃｏｆｆｅｅ　ｃｌｕｂ,名古屋市中区栄三丁目１３番３１号　プリンセスガーデンホテル　１Ｆ　８号室,名古屋市中区栄３丁目１３番３１号,プリンセスガーデンホテル １Ｆ ８号室,,飲食店営業,2022/7/12,4中保管第1-702号,2022/7/20,2028/7/20,,名古屋市保健所,ＯＮ／ＯＦＦ　ｃｏｆｆｅｅ　ｃｌｕｂ,052,,,,,名古屋市中区栄３丁目１３番３１号,愛知県名古屋市中区栄３丁目１３番３１号,プリンセスガーデンホテル １Ｆ ８号室,114857,愛知県,名古屋市中区,栄３,,2022/07/12,,2022/07/20,2028/07/20,株式会社　ミナミ ,代表取締役　大曽根　壮,052-898-2861,,,,,,,,4中保管第1-702号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＯＮ／ＯＦＦ　ｃｏｆｆｅｅ　ｃｌｕｂ,ＯＮＯＦＦｃｏｆｆｅｅｃｌｕｂ,株式会社ミナミ　,,2,,,,,
株式会社　ミナミ 代表取締役　大曽根　壮,052-898-2861,ＯＮ／ＯＦＦ　ｃｏｆｆｅｅ　ｃｌｕｂ,名古屋市中区栄三丁目１３番３１号　プリンセスガーデンホテル　１Ｆ　８号室,名古屋市中区栄３丁目１３番３１号,プリンセスガーデンホテル １Ｆ ８号室,,菓子製造業,2022/7/12,4中保管第1-703号,2022/7/20,2028/7/20,,名古屋市保健所,ＯＮ／ＯＦＦ　ｃｏｆｆｅｅ　ｃｌｕｂ,052,,,,,名古屋市中区栄３丁目１３番３１号,愛知県名古屋市中区栄３丁目１３番３１号,プリンセスガーデンホテル １Ｆ ８号室,114857,愛知県,名古屋市中区,栄３,,2022/07/12,,2022/07/20,2028/07/20,株式会社　ミナミ ,代表取締役　大曽根　壮,052-898-2861,,,,,,,,4中保管第1-703号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＯＮ／ＯＦＦ　ｃｏｆｆｅｅ　ｃｌｕｂ,ＯＮＯＦＦｃｏｆｆｅｅｃｌｕｂ,株式会社ミナミ　,,2,,,,,
合同会社　シーマン 代表社員　小川　幸,,琉,名古屋市中区錦三丁目１８番６号　シャイン山清　７階の７D号室,名古屋市中区錦３丁目１８番６号,シャイン山清 ７階の７D号室,,飲食店営業,2022/7/12,4中保管第1-696号,2022/7/12,2028/7/20,,名古屋市保健所,琉,052,,,,,名古屋市中区錦３丁目１８番６号,愛知県名古屋市中区錦３丁目１８番６号,シャイン山清 ７階の７D号室,114880,愛知県,名古屋市中区,錦３,,2022/07/12,,2022/07/12,2028/07/20,合同会社　シーマン ,代表社員　小川　幸,,,,,,,,,4中保管第1-696号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,琉,琉,合同会社シーマン　,,1,,,,,
合同会社テラスクリエイト 代表社員　渡邊　元嗣,052-409-2040,ＵＰ　ＣＡＭＰ,名古屋市中区栄四丁目１５番８号　,名古屋市中区栄４丁目１５番８号, ,,食肉販売業,2022/7/12,4中保管第1-634号,2022/7/27,2028/8/20,,名古屋市保健所,ＵＰ　ＣＡＭＰ,052,,,,,名古屋市中区栄４丁目１５番８号,愛知県名古屋市中区栄４丁目１５番８号, ,114858,愛知県,名古屋市中区,栄４,,2022/07/12,,2022/07/27,2028/08/20,合同会社テラスクリエイト ,代表社員　渡邊　元嗣,052-409-2040,,,,,,,,4中保管第1-634号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,ＵＰ　ＣＡＭＰ,ＵＰＣＡＭＰ,合同会社テラスクリエイト　,,2,,,,,
合同会社テラスクリエイト 代表社員　渡邊　元嗣,052-409-2040,ＵＰ　ＣＡＭＰ,名古屋市中区栄四丁目１５番８号　,名古屋市中区栄４丁目１５番８号, ,,飲食店営業,2022/7/12,4中保管第1-633号,2022/7/27,2028/8/20,,名古屋市保健所,ＵＰ　ＣＡＭＰ,052,,,,,名古屋市中区栄４丁目１５番８号,愛知県名古屋市中区栄４丁目１５番８号, ,114858,愛知県,名古屋市中区,栄４,,2022/07/12,,2022/07/27,2028/08/20,合同会社テラスクリエイト ,代表社員　渡邊　元嗣,052-409-2040,,,,,,,,4中保管第1-633号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＵＰ　ＣＡＭＰ,ＵＰＣＡＭＰ,合同会社テラスクリエイト　,,2,,,,,
株式会社　ｖｉｅｃｏ 代表取締役　新福　州吾,,大衆飯酒場　ワイロ,名古屋市中区栄五丁目５番３３号　オオタビル　１階,名古屋市中区栄５丁目５番３３号,オオタビル １階,052-261-4305,飲食店営業,2022/7/13,4中保管第1-680号,2022/7/16,2028/7/20,,名古屋市保健所,大衆飯酒場　ワイロ,052,052-261-4305,,,,名古屋市中区栄５丁目５番３３号,愛知県名古屋市中区栄５丁目５番３３号,オオタビル １階,114859,愛知県,名古屋市中区,栄５,,2022/07/13,,2022/07/16,2028/07/20,株式会社　ｖｉｅｃｏ ,代表取締役　新福　州吾,,,,,,,,,4中保管第1-680号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,大衆飯酒場　ワイロ,大衆飯酒場ワイロ,株式会社ｖｉｅｃｏ　,,1,,,,,
株式会社　ＧＥＮＧＥ　ＣＯＲＰＯＲＡＴＩＯＮ 代表取締役　松井　敬道,052-261-0308,Ｗａｆｆｌｅ　Ｋｈａｎ　名古屋大須店,名古屋市中区大須三丁目２６番２９号　,名古屋市中区大須３丁目２６番２９号, ,052-211-8277,飲食店営業,2022/7/27,4中保管第1-723号,2022/7/29,2028/8/20,,名古屋市保健所,Ｗａｆｆｌｅ　Ｋｈａｎ　名古屋大須店,052,052-211-8277,,,,名古屋市中区大須３丁目２６番２９号,愛知県名古屋市中区大須３丁目２６番２９号, ,114845,愛知県,名古屋市中区,大須３,,2022/07/27,,2022/07/29,2028/08/20,株式会社　ＧＥＮＧＥ　ＣＯＲＰＯＲＡＴＩＯＮ ,代表取締役　松井　敬道,052-261-0308,,,,,,,,4中保管第1-723号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｗａｆｆｌｅ　Ｋｈａｎ　名古屋大須店,ＷａｆｆｌｅＫｈａｎ名古屋大須店,株式会社ＧＥＮＧＥ　ＣＯＲＰＯＲＡＴＩＯＮ　,,1,,,,,
株式会社　Ｍダイニング 代表取締役　山下　守,052-971-7772,中国料理　瑞瓏,名古屋市中区錦二丁目７番７号　１０２,名古屋市中区錦２丁目７番７号,１０２,052-253-8118,魚介類販売業,2022/7/13,4中保管第1-673号,2022/7/14,2028/7/20,,名古屋市保健所,中国料理　瑞瓏,052,052-253-8118,,,,名古屋市中区錦２丁目７番７号,愛知県名古屋市中区錦２丁目７番７号,１０２,114879,愛知県,名古屋市中区,錦２,,2022/07/13,,2022/07/14,2028/07/20,株式会社　Ｍダイニング ,代表取締役　山下　守,052-971-7772,,,,,,,,4中保管第1-673号,,魚介類販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,中国料理　瑞瓏,中国料理瑞瓏,株式会社Ｍダイニング　,,4,,,,,
株式会社　Ｍダイニング 代表取締役　山下　守,052-971-7772,中国料理　瑞瓏,名古屋市中区錦二丁目７番７号　１０２,名古屋市中区錦２丁目７番７号,１０２,052-253-8118,食肉販売業,2022/7/13,4中保管第1-672号,2022/7/14,2028/7/20,,名古屋市保健所,中国料理　瑞瓏,052,052-253-8118,,,,名古屋市中区錦２丁目７番７号,愛知県名古屋市中区錦２丁目７番７号,１０２,114879,愛知県,名古屋市中区,錦２,,2022/07/13,,2022/07/14,2028/07/20,株式会社　Ｍダイニング ,代表取締役　山下　守,052-971-7772,,,,,,,,4中保管第1-672号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,中国料理　瑞瓏,中国料理瑞瓏,株式会社Ｍダイニング　,,4,,,,,
株式会社　Ｍダイニング 代表取締役　山下　守,052-971-7772,中国料理　瑞瓏,名古屋市中区錦二丁目７番７号　１０２,名古屋市中区錦２丁目７番７号,１０２,052-253-8118,飲食店営業,2022/7/13,4中保管第1-671号,2022/7/14,2028/7/20,,名古屋市保健所,中国料理　瑞瓏,052,052-253-8118,,,,名古屋市中区錦２丁目７番７号,愛知県名古屋市中区錦２丁目７番７号,１０２,114879,愛知県,名古屋市中区,錦２,,2022/07/13,,2022/07/14,2028/07/20,株式会社　Ｍダイニング ,代表取締役　山下　守,052-971-7772,,,,,,,,4中保管第1-671号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,中国料理　瑞瓏,中国料理瑞瓏,株式会社Ｍダイニング　,,4,,,,,
株式会社　Ｍダイニング 代表取締役　山下　守,052-971-7772,中国料理　瑞瓏,名古屋市中区錦二丁目７番７号　１０２,名古屋市中区錦２丁目７番７号,１０２,052-253-8118,そうざい製造業,2022/7/13,4中保管第1-674号,2022/7/14,2028/7/20,,名古屋市保健所,中国料理　瑞瓏,052,052-253-8118,,,,名古屋市中区錦２丁目７番７号,愛知県名古屋市中区錦２丁目７番７号,１０２,114879,愛知県,名古屋市中区,錦２,,2022/07/13,,2022/07/14,2028/07/20,株式会社　Ｍダイニング ,代表取締役　山下　守,052-971-7772,,,,,,,,4中保管第1-674号,,そうざい製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,中国料理　瑞瓏,中国料理瑞瓏,株式会社Ｍダイニング　,,4,,,,,
佐藤　学,,サウンドバー　ＢＢＳ,名古屋市中区栄四丁目１７番２７号　エンパイアビル　Ｂ１,名古屋市中区栄４丁目１７番２７号,エンパイアビル Ｂ１,052-261-6700,飲食店営業,2022/7/13,4中保管第1-691号,2022/7/13,2028/7/20,,名古屋市保健所,サウンドバー　ＢＢＳ,052,052-261-6700,,,,名古屋市中区栄４丁目１７番２７号,愛知県名古屋市中区栄４丁目１７番２７号,エンパイアビル Ｂ１,114858,愛知県,名古屋市中区,栄４,,2022/07/13,,2022/07/13,2028/07/20,,佐藤　学,,,,,,,,,4中保管第1-691号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,サウンドバー　ＢＢＳ,サウンドバＢＢＳ,,,1,,,,,
林　光瑠,,ｌｕｍｉｅｒｅ,名古屋市中区錦三丁目８番１号　ＯＡＳＩＳ錦　地上５階部分５Ｂ号室,名古屋市中区錦３丁目８番１号,ＯＡＳＩＳ錦 地上５階部分５Ｂ号室,052-228-4525,飲食店営業,2022/7/14,4中保管第1-659号,2022/7/14,2028/7/20,,名古屋市保健所,ｌｕｍｉｅｒｅ,052,052-228-4525,,,,名古屋市中区錦３丁目８番１号,愛知県名古屋市中区錦３丁目８番１号,ＯＡＳＩＳ錦 地上５階部分５Ｂ号室,114880,愛知県,名古屋市中区,錦３,,2022/07/14,,2022/07/14,2028/07/20,,林　光瑠,,,,,,,,,4中保管第1-659号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｌｕｍｉｅｒｅ,ｌｕｍｉｅｒｅ,,,1,,,,,
リゾートトラスト株式会社 代表取締役　伏見　有貴,933-6000,ローズルーム　名古屋,名古屋市中区栄二丁目７番１３号　ヴィア白川 ２Ｆ,名古屋市中区栄２丁目７番１３号,ヴィア白川 ２Ｆ,203-5931,飲食店営業,2022/7/13,4中保管第1-581号,2022/7/21,2028/7/20,,名古屋市保健所,ローズルーム　名古屋,052,052-203-5931,,,,名古屋市中区栄２丁目７番１３号,愛知県名古屋市中区栄２丁目７番１３号,ヴィア白川 ２Ｆ,114856,愛知県,名古屋市中区,栄２,,2022/07/13,,2022/07/21,2028/07/20,リゾートトラスト株式会社 ,代表取締役　伏見　有貴,-933-6000,,,,,,,,4中保管第1-581号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ローズルーム　名古屋,ロズルム名古屋,リゾートトラスト株式会社,,1,,,,,
株式会社アルアビ 的場弘明,052-262-8041,串カツ田中矢場町店,名古屋市中区栄五丁目２８番４号　ブロビデンス栄１Ｆ,名古屋市中区栄５丁目２８番４号, ブロビデンス栄１Ｆ,052-684-6982,飲食店営業,2022/7/12,4中保管第1-714号,2022/7/12,2028/7/20,,名古屋市保健所,串カツ田中矢場町店,052,052-684-6982,,,,名古屋市中区栄５丁目２８番４号,愛知県名古屋市中区栄５丁目２８番４号, ブロビデンス栄１Ｆ,114859,愛知県,名古屋市中区,栄５,,2022/07/12,,2022/07/12,2028/07/20,株式会社アルアビ 的場弘明,,052-262-8041,,,,,,,,4中保管第1-714号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,串カツ田中矢場町店,串カツ田中矢場町店,株式会社アルアビ　的場弘明,串カツ田中,1,宿泊業，飲食サービス業,飲食店,食堂，レストラン（専門料理店を除く）,食堂，レストラン（専門料理店を除く）,
株式会社　ブリコラージュラボ 代表取締役　田中　道行,052-228-6834,ａｔｅｌｉｅｒ　ｂｒｉｃｏ,名古屋市中区橘二丁目１番２４号－２　,名古屋市中区橘２丁目１番２４号－２,,052-228-6834,菓子製造業,2022/7/14,4中保管第1-721号,2022/7/14,2028/7/20,,名古屋市保健所,ａｔｅｌｉｅｒ　ｂｒｉｃｏ,052,052-228-6834,,,,名古屋市中区橘２丁目１番２４号－２,愛知県名古屋市中区橘２丁目１番２４号－２,,114872,愛知県,名古屋市中区,橘２,,2022/07/14,,2022/07/14,2028/07/20,株式会社　ブリコラージュラボ ,代表取締役　田中　道行,052-228-6834,,,,,,,,4中保管第1-721号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ａｔｅｌｉｅｒ　ｂｒｉｃｏ,ａｔｅｌｉｅｒｂｒｉｃｏ,株式会社ブリコラージュラボ　,,1,,,,,
伊藤　正次,,ＴＣＧ／ＢｏａｒｄＧａｍｅ　Ｃａｆｅ＆ＢａｒＴＯＭ　名古屋店,名古屋市中区新栄一丁目１４番２４号　第三和光ビルB1　４号,名古屋市中区新栄１丁目１４番２４号,第三和光ビルB１ ４号,,飲食店営業,2022/7/20,4中保管第1-730号,2022/8/1,2028/8/20,,名古屋市保健所,ＴＣＧ／ＢｏａｒｄＧａｍｅ　Ｃａｆｅ＆ＢａｒＴＯＭ　名古屋店,052,,,,,名古屋市中区新栄１丁目１４番２４号,愛知県名古屋市中区新栄１丁目１４番２４号,第三和光ビルB１ ４号,114865,愛知県,名古屋市中区,新栄１,,2022/07/20,,2022/08/01,2028/08/20,,伊藤　正次,,,,,,,,,4中保管第1-730号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＴＣＧ／ＢｏａｒｄＧａｍｅ　Ｃａｆｅ＆ＢａｒＴＯＭ　名古屋店,ＴＣＧＢｏａｒｄＧａｍｅＣａｆｅＢａｒＴＯＭ名古屋店,,,1,,,,,
黒瀬　勇輔,,Ｃｌｕｂ　９５’,名古屋市中区新栄一丁目５番６号　メイトウスタービル５F　D号,名古屋市中区新栄１丁目５番６号,メイトウスタービル５F D号,,飲食店営業,2022/7/20,4中保管第1-499号,2022/7/29,2028/8/20,,名古屋市保健所,Ｃｌｕｂ　９５’,052,,,,,名古屋市中区新栄１丁目５番６号,愛知県名古屋市中区新栄１丁目５番６号,メイトウスタービル５F D号,114865,愛知県,名古屋市中区,新栄１,,2022/07/20,,2022/07/29,2028/08/20,,黒瀬　勇輔,,,,,,,,,4中保管第1-499号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃｌｕｂ　９５＇,Ｃｌｕｂ９５,,,1,,,,,
ＨＡＳＥＧＡＷＡ　ＬＡＤＤＡ,,ＢＡＮＧＫＯＫ　Ｔｈａｉ　ｒｅｓｔａｕｒａｎｔ,名古屋市中区栄四丁目２０番１０号　第３オーシャンビル　１Ｆ,名古屋市中区栄４丁目２０番１０号,第３オーシャンビル １Ｆ,052-261-2755,飲食店営業,2022/7/15,4中保管第1-710号,2022/7/15,2028/7/20,,名古屋市保健所,ＢＡＮＧＫＯＫ　Ｔｈａｉ　ｒｅｓｔａｕｒａｎｔ,052,052-261-2755,,,,名古屋市中区栄４丁目２０番１０号,愛知県名古屋市中区栄４丁目２０番１０号,第３オーシャンビル １Ｆ,114858,愛知県,名古屋市中区,栄４,,2022/07/15,,2022/07/15,2028/07/20,,ＨＡＳＥＧＡＷＡ　ＬＡＤＤＡ,,,,,,,,,4中保管第1-710号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＮＧＫＯＫ　Ｔｈａｉ　ｒｅｓｔａｕｒａｎｔ,ＢＡＮＧＫＯＫＴｈａｉｒｅｓｔａｕｒａｎｔ,,,1,,,,,
佐藤　翼,,Ｂａｒ　Ｌａｐｌａｃｅ,名古屋市中区栄四丁目１３番１５号　ハットリビル５Ｃ,名古屋市中区栄４丁目１３番１５号, ハットリビル５Ｃ,,飲食店営業,2022/7/15,4中保管第1-706号,2022/7/15,2028/7/20,,名古屋市保健所,Ｂａｒ　Ｌａｐｌａｃｅ,052,,,,,名古屋市中区栄４丁目１３番１５号,愛知県名古屋市中区栄４丁目１３番１５号, ハットリビル５Ｃ,114858,愛知県,名古屋市中区,栄４,,2022/07/15,,2022/07/15,2028/07/20,,佐藤　翼,,,,,,,,,4中保管第1-706号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂａｒ　Ｌａｐｌａｃｅ,ＢａｒＬａｐｌａｃｅ,,,1,,,,,
グローバルオーク株式会社 代表取締役　漉橋　玲央,,零－ＺＥＲＯ－,名古屋市中区栄四丁目５番１９号　シャイン栄ビル ５階５０１～３号室,名古屋市中区栄４丁目５番１９号,シャイン栄ビル ５階５０１～３号室,,飲食店営業,2022/7/15,4中保管第1-655号,2022/7/21,2028/7/20,,名古屋市保健所,零－ＺＥＲＯ－,052,,,,,名古屋市中区栄４丁目５番１９号,愛知県名古屋市中区栄４丁目５番１９号,シャイン栄ビル ５階５０１～３号室,114858,愛知県,名古屋市中区,栄４,,2022/07/15,,2022/07/21,2028/07/20,グローバルオーク株式会社 ,代表取締役　漉橋　玲央,,,,,,,,,4中保管第1-655号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,零－ＺＥＲＯ－,零ＺＥＲＯ,グローバルオーク株式会社,,1,,,,,
二木　環,,ＩＮＦＩＮＩＴＹ,名古屋市中区栄五丁目６番２６号　いづもビル３階Ｃ,名古屋市中区栄５丁目６番２６号, いづもビル３階Ｃ,,飲食店営業,2022/7/20,4中保管第1-728号,2022/7/21,2028/7/20,,名古屋市保健所,ＩＮＦＩＮＩＴＹ,052,,,,,名古屋市中区栄５丁目６番２６号,愛知県名古屋市中区栄５丁目６番２６号, いづもビル３階Ｃ,114859,愛知県,名古屋市中区,栄５,,2022/07/20,,2022/07/21,2028/07/20,,二木　環,,,,,,,,,4中保管第1-728号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＩＮＦＩＮＩＴＹ,ＩＮＦＩＮＩＴＹ,,,1,,,,,
木村　秀太郎,,ジェリーズウノ栄店,名古屋市中区栄四丁目９番２６号　アシュールビル１ＦＢ号室,名古屋市中区栄４丁目９番２６号,アシュールビル１ＦＢ号室,,飲食店営業,2022/7/19,4中保管第1-715号,2022/7/19,2028/7/20,,名古屋市保健所,ジェリーズウノ栄店,052,,,,,名古屋市中区栄４丁目９番２６号,愛知県名古屋市中区栄４丁目９番２６号,アシュールビル１ＦＢ号室,114858,愛知県,名古屋市中区,栄４,,2022/07/19,,2022/07/19,2028/07/20,,木村　秀太郎,,,,,,,,,4中保管第1-715号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ジェリーズウノ栄店,ジェリズウノ栄店,,,1,,,,,
青山　桃子,,Ｂａｒ　Ｓｈｉｎｙ,名古屋市中区栄四丁目６番１８号　パールプラザビル　４０２,名古屋市中区栄４丁目６番１８号,パールプラザビル ４０２,050-8882-6699,飲食店営業,2022/7/19,4中保管第1-718号,2022/7/19,2028/7/20,,名古屋市保健所,Ｂａｒ　Ｓｈｉｎｙ,052,050-8882-6699,,,,名古屋市中区栄４丁目６番１８号,愛知県名古屋市中区栄４丁目６番１８号,パールプラザビル ４０２,114858,愛知県,名古屋市中区,栄４,,2022/07/19,,2022/07/19,2028/07/20,,青山　桃子,,,,,,,,,4中保管第1-718号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂａｒ　Ｓｈｉｎｙ,ＢａｒＳｈｉｎｙ,,,1,,,,,
上甲　将門,,ＳＴＡＲ,名古屋市中区栄四丁目２０番１号　ニュージャパンビル２Ｆ　３号室,名古屋市中区栄４丁目２０番１号,ニュージャパンビル２Ｆ ３号室,,飲食店営業,2022/7/19,4中保管第1-736号,2022/7/19,2028/7/20,,名古屋市保健所,ＳＴＡＲ,052,,,,,名古屋市中区栄４丁目２０番１号,愛知県名古屋市中区栄４丁目２０番１号,ニュージャパンビル２Ｆ ３号室,114858,愛知県,名古屋市中区,栄４,,2022/07/19,,2022/07/19,2028/07/20,,上甲　将門,,,,,,,,,4中保管第1-736号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＳＴＡＲ,ＳＴＡＲ,,,1,,,,,
株式会社　ＦＳ．ｓｈａｋｅ 代表取締役　遠藤　勇太,03-6903-6727,Ｃ．ＳＴＡＮＤ　名古屋栄店,名古屋市中区栄三丁目９番２号　ＧＥＭＳ栄　９階,名古屋市中区栄３丁目９番２号,ＧＥＭＳ栄 ９階,052-291-4567,飲食店営業,2022/7/19,4中保管第1-709号,2022/7/21,2028/7/20,,名古屋市保健所,Ｃ．ＳＴＡＮＤ　名古屋栄店,052,052-291-4567,,,,名古屋市中区栄３丁目９番２号,愛知県名古屋市中区栄３丁目９番２号,ＧＥＭＳ栄 ９階,114857,愛知県,名古屋市中区,栄３,,2022/07/19,,2022/07/21,2028/07/20,株式会社　ＦＳ．ｓｈａｋｅ ,代表取締役　遠藤　勇太,03-6903-6727,,,,,,,,4中保管第1-709号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃ．ＳＴＡＮＤ　名古屋栄店,ＣＳＴＡＮＤ名古屋栄店,株式会社ＦＳ．ｓｈａｋｅ　,,1,,,,,
石川　俊樹,,ＤＯＰＰＥＬ,名古屋市中区大須四丁目１番７９号　第二林ビル地下１階,名古屋市中区大須４丁目１番７９号, 第二林ビル地下１階,052-307-3985,飲食店営業,2022/7/19,4中保管第1-727号,2022/7/23,2028/8/20,,名古屋市保健所,ＤＯＰＰＥＬ,052,052-307-3985,,,,名古屋市中区大須４丁目１番７９号,愛知県名古屋市中区大須４丁目１番７９号, 第二林ビル地下１階,114846,愛知県,名古屋市中区,大須４,,2022/07/19,,2022/07/23,2028/08/20,,石川　俊樹,,,,,,,,,4中保管第1-727号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＤＯＰＰＥＬ,ＤＯＰＰＥＬ,,,1,,,,,
遠藤　隆宏,,ＭＵＳＥＡ　ＣＯＦＦＥＥ　大須店,名古屋市中区大須四丁目１１番１４号　,名古屋市中区大須４丁目１１番１４号, ,,飲食店営業,2022/7/25,4中保管第1-751号,2022/7/27,2028/8/20,,名古屋市保健所,ＭＵＳＥＡ　ＣＯＦＦＥＥ　大須店,052,,,,,名古屋市中区大須４丁目１１番１４号,愛知県名古屋市中区大須４丁目１１番１４号, ,114846,愛知県,名古屋市中区,大須４,,2022/07/25,,2022/07/27,2028/08/20,,遠藤　隆宏,,,,,,,,,4中保管第1-751号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＭＵＳＥＡ　ＣＯＦＦＥＥ　大須店,ＭＵＳＥＡＣＯＦＦＥＥ大須店,,,1,,,,,
有限会社セブンファクトリー 代表取締役　山本　義樹,052-228-0105,コラボヒットカフェ　ＮＡＧＯＹＡ,名古屋市中区大須三丁目３０番４０号　万松寺ビル　１階５,名古屋市中区大須３丁目３０番４０号,万松寺ビル １階５,,飲食店営業,2022/7/25,4中保管第1-754号,2022/7/25,2028/8/20,,名古屋市保健所,コラボヒットカフェ　ＮＡＧＯＹＡ,052,,,,,名古屋市中区大須３丁目３０番４０号,愛知県名古屋市中区大須３丁目３０番４０号,万松寺ビル １階５,114845,愛知県,名古屋市中区,大須３,,2022/07/25,,2022/07/25,2028/08/20,有限会社セブンファクトリー ,代表取締役　山本　義樹,052-228-0105,,,,,,,,4中保管第1-754号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,コラボヒットカフェ　ＮＡＧＯＹＡ,コラボヒットカフェＮＡＧＯＹＡ,有限会社セブンファクトリー　,,1,,,,,
