,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡田水産,飲食店営業,飲食店営業,,220668,R 4. 7.26,R 9.11.30,R 4. 7.26,,浜松市内一円,,,岡田　純,,,,,,露店,,浜松市保健所,岡田水産,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/26,,2022/07/26,2027/11/30,,岡田　純,,　,,,,,,,220668,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,岡田水産,岡田水産,,,1,,,,,
Ｌｏｕｎｇｅ　糸,飲食店営業,飲食店営業,,220672,R 4. 7.27,R10. 2.29,R 4. 7.27,4300934,静岡県浜松市中区千歳町３５番地の３,アオイビル３階３０２号室,,ユアン　サ,,,,,,ラウンジ,,浜松市保健所,Ｌｏｕｎｇｅ　糸,053,,4300934,,,静岡県浜松市中区千歳町３５番地の３,静岡県浜松市中区千歳町３５番地ノ３,アオイビル３階３０２号室,110736,静岡県,浜松市中区,千歳町,,2022/07/27,,2022/07/27,2028/02/29,,ユアン　サ,,　,,,,,,,220672,,飲食店営業, ラウンジ,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｌｏｕｎｇｅ　糸,Ｌｏｕｎｇｅ糸,,,1,,,,,
Ｐ２,飲食店営業,飲食店営業,,220675,R 4. 7.27,R10. 2.29,R 4. 7.27,4300934,静岡県浜松市中区千歳町２６番地の５,永田石川共同ビル１階東,,井上　一乃,,,,,,スナック,,浜松市保健所,Ｐ２,053,,4300934,,,静岡県浜松市中区千歳町２６番地の５,静岡県浜松市中区千歳町２６番地ノ５,永田石川共同ビル１階東,110736,静岡県,浜松市中区,千歳町,,2022/07/27,,2022/07/27,2028/02/29,,井上　一乃,,　,,,,,,,220675,,飲食店営業, スナック,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｐ２,Ｐ２,,,1,,,,,
きまぐれＤｉｎｉｎｇ　ばっしらいん,飲食店営業,飲食店営業,,220676,R 4. 7.27,R10. 5.31,R 4. 7.27,4300926,静岡県浜松市中区砂山町３５３番地の１,ホテルアセント浜松１Ｆ,,村田　淳次,,,,,,ホテル　レストラン,,浜松市保健所,きまぐれＤｉｎｉｎｇ　ばっしらいん,053,,4300926,,,静岡県浜松市中区砂山町３５３番地の１,静岡県浜松市中区砂山町３５３番地ノ１,ホテルアセント浜松１Ｆ,110707,静岡県,浜松市中区,砂山町,,2022/07/27,,2022/07/27,2028/05/31,,村田　淳次,,　,,,,,,,220676,,飲食店営業, ホテル　レストラン,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,きまぐれＤｉｎｉｎｇ　ばっしらいん,きまぐれＤｉｎｉｎｇばっしらいん,,,1,,,,,
コアムーン,飲食店営業,飲食店営業,,220673,R 4. 7.27,R10. 2.29,R 4. 7.27,4300931,静岡県浜松市中区神明町２２３番地の３３,ワールドプラザ４０１,,磯部　知宏,,,,,,バー,,浜松市保健所,コアムーン,053,,4300931,,,静岡県浜松市中区神明町２２３番地の３３,静岡県浜松市中区神明町２２３番地ノ３３,ワールドプラザ４０１,110700,静岡県,浜松市中区,神明町,,2022/07/27,,2022/07/27,2028/02/29,,磯部　知宏,,　,,,,,,,220673,,飲食店営業, バー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,コアムーン,コアムン,,,1,,,,,
ホツイモン市場,飲食店営業,飲食店営業,,220669,R 4. 7.27,R 9. 9.30,R 4. 7.27,,浜松市内一円,,,田上　末雄,,,,,,露店,,浜松市保健所,ホツイモン市場,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/27,,2022/07/27,2027/09/30,,田上　末雄,,　,,,,,,,220669,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ホツイモン市場,ホツイモン市場,,,1,,,,,
Ｍａｄａｍｅ７０５,菓子製造業,菓子製造業,,220677,R 4. 7.28,R 9. 9.30,R 4. 7.28,4311414,静岡県浜松市北区三ヶ日町三ヶ日７２０番地の１,,525-0059,縣　直子,,,,,,,,浜松市保健所,Ｍａｄａｍｅ７０５,053,053-525-0059,4311414,,,静岡県浜松市北区三ヶ日町三ヶ日７２０番地の１,静岡県浜松市北区三が日町三が日７２０番地ノ１,,111050,静岡県,浜松市北区,三が日町三が日,,2022/07/28,,2022/07/28,2027/09/30,,縣　直子,,　,,,,,,,220677,,菓子製造業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｍａｄａｍｅ７０５,Ｍａｄａｍｅ７０５,,,4,,,,,
Ｍａｄａｍｅ７０５,飲食店営業,飲食店営業,,220678,R 4. 7.28,R 9. 9.30,R 4. 7.28,4311414,静岡県浜松市北区三ヶ日町三ヶ日７２０番地の１,,525-0059,縣　直子,,,,,,,,浜松市保健所,Ｍａｄａｍｅ７０５,053,053-525-0059,4311414,,,静岡県浜松市北区三ヶ日町三ヶ日７２０番地の１,静岡県浜松市北区三が日町三が日７２０番地ノ１,,111050,静岡県,浜松市北区,三が日町三が日,,2022/07/28,,2022/07/28,2027/09/30,,縣　直子,,　,,,,,,,220678,,飲食店営業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｍａｄａｍｅ７０５,Ｍａｄａｍｅ７０５,,,4,,,,,
Ｍａｄａｍｅ７０５,麺類製造業,麺類製造業,,220679,R 4. 7.28,R 9. 9.30,R 4. 7.28,4311414,静岡県浜松市北区三ヶ日町三ヶ日７２０番地の１,,525-0059,縣　直子,,,,,,,,浜松市保健所,Ｍａｄａｍｅ７０５,053,053-525-0059,4311414,,,静岡県浜松市北区三ヶ日町三ヶ日７２０番地の１,静岡県浜松市北区三が日町三が日７２０番地ノ１,,111050,静岡県,浜松市北区,三が日町三が日,,2022/07/28,,2022/07/28,2027/09/30,,縣　直子,,　,,,,,,,220679,,麺類製造業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｍａｄａｍｅ７０５,Ｍａｄａｍｅ７０５,,,4,,,,,
Ｍａｄａｍｅ７０５,みそ又はしょうゆ製造業,みそ又はしょうゆ製造業,,220680,R 4. 7.28,R 9. 9.30,R 4. 7.28,4311414,静岡県浜松市北区三ヶ日町三ヶ日７２０番地の１,,525-0059,縣　直子,,,,,,,,浜松市保健所,Ｍａｄａｍｅ７０５,053,053-525-0059,4311414,,,静岡県浜松市北区三ヶ日町三ヶ日７２０番地の１,静岡県浜松市北区三が日町三が日７２０番地ノ１,,111050,静岡県,浜松市北区,三が日町三が日,,2022/07/28,,2022/07/28,2027/09/30,,縣　直子,,　,,,,,,,220680,,みそ製造業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,Ｍａｄａｍｅ７０５,Ｍａｄａｍｅ７０５,,,4,,,,,
ファミリーマート浜松メガジャンボ/S,飲食店営業,飲食店営業,,220670,R 4. 7.28,R11. 2.28,R 4. 7.28,4328041,静岡県浜松市中区菅原町１０番８号,,450-5270,タンソー冷熱有限会社,静岡県浜松市北区初生町１１７６番地の１３,,438-1141,代表取締役,湛増　時雄,コンビニエンスストア,,浜松市保健所,ファミリーマート浜松メガジャンボ/S,053,053-450-5270,4328041,,,静岡県浜松市中区菅原町１０番８号,静岡県浜松市中区菅原町１０番８号,,110705,静岡県,浜松市中区,菅原町,,2022/07/28,,2022/07/28,2029/02/28,タンソー冷熱有限会社,代表取締役 湛増　時雄,-438-1141,静岡県浜松市北区初生町１１７６番地の１３　,静岡県浜松市北区初生町１１７６番地ノ１３,,111024,静岡県,浜松市北区,初生町,220670,,飲食店営業, コンビニエンスストア,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート浜松メガジャンボ／Ｓ,ファミリマト浜松メガジャンボＳ,タンソー冷熱有限会社,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
熟女　紫　ｍｕｒａｓａｋｉ,飲食店営業,飲食店営業,,220671,R 4. 7.28,R 9. 9.30,R 4. 7.28,4338122,静岡県浜松市中区上島五丁目１番１２号,,,青野　純子,,,,,,飲食店,,浜松市保健所,熟女　紫　ｍｕｒａｓａｋｉ,053,,4338122,,,静岡県浜松市中区上島五丁目１番１２号,静岡県浜松市中区上島５丁目１番１２号,,110662,静岡県,浜松市中区,上島５,,2022/07/28,,2022/07/28,2027/09/30,,青野　純子,,　,,,,,,,220671,,飲食店営業, 飲食店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,熟女　紫　ｍｕｒａｓａｋｉ,熟女紫ｍｕｒａｓａｋｉ,,,1,,,,,
ＷＩＬＬ　ＣＯＦＦＥＥ　ＷＥＳＴ,飲食店営業,飲食店営業,,220683,R 4. 7.28,R10. 2.29,R 4. 7.28,4300946,静岡県浜松市中区元城町２１５番地の６,浜松出世横丁１階１号室,,株式会社　プレジャーシップ・ダイニング,静岡県浜松市中区野口町２１８番地の３,,589-4730,代表取締役,三好　猛嗣,コーヒー店,,浜松市保健所,ＷＩＬＬ　ＣＯＦＦＥＥ　ＷＥＳＴ,053,,4300946,,,静岡県浜松市中区元城町２１５番地の６,静岡県浜松市中区元城町２１５番地ノ６,浜松出世横丁１階１号室,110801,静岡県,浜松市中区,元城町,,2022/07/28,,2022/07/28,2028/02/29,株式会社　プレジャーシップ・ダイニング,代表取締役 三好　猛嗣,-589-4730,静岡県浜松市中区野口町２１８番地の３　,静岡県浜松市中区野口町２１８番地ノ３,,110765,静岡県,浜松市中区,野口町,220683,,飲食店営業, コーヒー店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＷＩＬＬ　ＣＯＦＦＥＥ　ＷＥＳＴ,ＷＩＬＬＣＯＦＦＥＥＷＥＳＴ,株式会社プレジャーシップ・ダイニング,,1,,,,,
道の駅　いっぷく処横川,調理の機能を有する自動販売機営業,調理の機能を有する自動販売機営業,,220674,R 4. 7.28,R 9.11.30,R 4. 7.28,4313301,静岡県浜松市天竜区横川３０８５番地,,924-0129,コカ・コーラボトラーズジャパン株式会社,東京都港区赤坂九丁目７番１号,,,代表取締役,カリン・ドラガン,,削除,浜松市保健所,道の駅　いっぷく処横川,053,053-924-0129,4313301,,,静岡県浜松市天竜区横川３０８５番地,静岡県浜松市天竜区横川３０８５番地,,111178,静岡県,浜松市天竜区,横川,,2022/07/28,,2022/07/28,2027/11/30,コカ・コーラボトラーズジャパン株式会社,代表取締役 カリン・ドラガン,,東京都港区赤坂九丁目７番１号　,東京都港区赤坂９丁目７番１号,,73054,東京都,港区,赤坂９,220674,,調理機能を有する自動販売機,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,無店舗小売業,自動販売機による小売業,,,,,,,,道の駅　いっぷく処横川,道の駅いっぷく処横川,コカ・コーラボトラーズジャパン株式会社,,1,,,,,
真味,飲食店営業,飲食店営業,,220682,R 4. 7.28,R10. 2.29,R 4. 7.28,,浜松市内一円,,,福井　武治,,,,,,キッチンカー,,浜松市保健所,真味,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/28,,2022/07/28,2028/02/29,,福井　武治,,　,,,,,,,220682,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,真味,真味,,,1,,,,,
サニーデイズキッチン,飲食店営業,飲食店営業,,220685,R 4. 7.28,R10. 2.29,R 4. 7.28,,浜松市内一円,,,株式会社　山翔,愛知県名古屋市守山区新守山４０６番地,,052-799-3910,代表取締役,山田　慎治,キッチンカー,,浜松市保健所,サニーデイズキッチン,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/28,,2022/07/28,2028/02/29,株式会社　山翔,代表取締役 山田　慎治,052-799-3910,愛知県名古屋市守山区新守山４０６番地　,愛知県名古屋市守山区新守山４０６番地,,117068,愛知県,名古屋市守山区,新守山,220685,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,サニーデイズキッチン,サニデイズキッチン,株式会社山翔,,1,,,,,
Ｓｐｉｃｅ　Ｂｅａｒ,飲食店営業,飲食店営業,,220681,R 4. 7.28,R10. 2.29,R 4. 7.28,,浜松市内一円,,,原　啓斗,,,,,,キッチンカー,,浜松市保健所,Ｓｐｉｃｅ　Ｂｅａｒ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/28,,2022/07/28,2028/02/29,,原　啓斗,,　,,,,,,,220681,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｓｐｉｃｅ　Ｂｅａｒ,ＳｐｉｃｅＢｅａｒ,,,1,,,,,
Ｆｏｕｒｔｈｄｉｍｅｎｓｉｏｎｃｏｆｆｅｅ,飲食店営業,飲食店営業,,220686,R 4. 7.29,R 9. 9.30,R 4. 7.29,4313124,静岡県浜松市東区半田町１２１４番地,,,大石　悦代,,,,,,コーヒー店,,浜松市保健所,Ｆｏｕｒｔｈｄｉｍｅｎｓｉｏｎｃｏｆｆｅｅ,053,,4313124,,,静岡県浜松市東区半田町１２１４番地,静岡県浜松市東区半田町１２１４番地,,110864,静岡県,浜松市東区,半田町,,2022/07/29,,2022/07/29,2027/09/30,,大石　悦代,,　,,,,,,,220686,,飲食店営業, コーヒー店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｆｏｕｒｔｈｄｉｍｅｎｓｉｏｎｃｏｆｆｅｅ,Ｆｏｕｒｔｈｄｉｍｅｎｓｉｏｎｃｏｆｆｅｅ,,,1,,,,,
ビストロ　ボア　ソルテ,飲食店営業,飲食店営業,,220684,R 4. 7.29,R10. 2.29,R 4. 7.29,,浜松市内一円,,,井本　博,,,,,,キッチンカー,,浜松市保健所,ビストロ　ボア　ソルテ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/29,,2022/07/29,2028/02/29,,井本　博,,　,,,,,,,220684,,飲食店営業, キッチンカー,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ビストロ　ボア　ソルテ,ビストロボアソルテ,,,1,,,,,
