https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,確認番号,,申請-住所0,申請-住所1,申請-マンション名,申請者1,,申請者2,,,申請-電話番号1,郵便番号,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,その他,その他,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業,25361,保生第-,238-0017,神奈川県横須賀市上町１－４４,神奈川県横須賀市上町１－４４,,ＹＳフーズ株式会社,代表取締役,鈴木 政子,代表取締役　鈴木 政子,ワイエスフーズ,080-3560-1330,238-0017,横須賀市上町１－４４,神奈川県,横須賀市上町１－４４,,ＹＳフーズ株式会社 ,080-3560-1330,野菜果物販売業,野菜果物販売業,,販売業,12/2/21 0:00,12/2/21 0:00,,12/31/87 0:00,,144,ＹＳフーズ株式会社 ,046,080-3560-1330,,,,神奈川県　横須賀市上町１－４４,神奈川県横須賀市上町１－４４,,81001,14,14201,上町１,,2021/12/02,2021/12/02,,2087/12/31,ＹＳフーズ株式会社,代表取締役　鈴木 政子,080-3560-1330,神奈川県横須賀市上町１－４４,神奈川県横須賀市上町１－４４,,81001,神奈川県,横須賀市,上町１,,,野菜果物販売業, 野菜果物販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,582,,ＹＳフズ株式会社080-3560-13308100114201,47c0461f-96f2-480d-b7e2-4dea278138a3,ＹＳフーズ株式会社81001,c1aee5a6-6dd8-4be1-8cbf-a9c730c7db9f,1d292050-8e49-4eeb-84cc-5024d083d4d1,2021/12/02,ＹＳフーズ株式会社,ＹＳフズ株式会社,ＹＳフーズ株式会社
営業,25357,保生第-,367-0030,埼玉県本庄市早稲田の杜１－２－１,埼玉県本庄市早稲田の杜１－２－１,,株式会社カインズ,代表取締役,高家 正行,代表取締役　高家 正行,カインズ,0495-25-1000,239-0831,横須賀市久里浜８－８－１,神奈川県,横須賀市久里浜８－８－１,,カインズ横須賀久里浜店 ,837-8666,米穀類販売業,米穀類販売業,,販売業,11/26/21 0:00,11/26/21 0:00,,12/31/87 0:00,,144,カインズ横須賀久里浜店 ,046,046-837-8666,,,,神奈川県　横須賀市久里浜８－８－１,神奈川県横須賀市久里浜８－８－１,,81065,14,14201,久里浜８,,2021/11/26,2021/11/26,,2087/12/31,株式会社カインズ,代表取締役　高家 正行,0495-25-1000,埼玉県本庄市早稲田の杜１－２－１,埼玉県本庄市早稲田ノ杜１－２－１,,63636,埼玉県,本庄市,早稲田の杜１,,,米穀類販売業, 米穀類販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,589,5896,カインズ横須賀久里浜店046-837-86668106514201,280e4691-8957-4d0f-9700-f51bb650e133,株式会社カインズ63636,743be33d-c973-4da6-9bd3-55517f00a10c,4446bc90-d57c-45fb-9d08-e611bc66f2f3,2021/11/26,カインズ横須賀久里浜店　,カインズ横須賀久里浜店,株式会社カインズ
営業,25236,保生第-,249-0001,,,,,,芝田 明和,芝田 明和,シバタアキカズ,,237-0067,横須賀市鷹取２－１９－３,神奈川県,横須賀市鷹取２－１９－３,,ローソン横須賀鷹取店 ,869-0058,コンビニエンスストア,コンビニエンスストア,,販売業,11/15/21 0:00,11/15/21 0:00,,12/31/87 0:00,,144,ローソン横須賀鷹取店 ,046,046-869-0058,,,,神奈川県　横須賀市鷹取２－１９－３,神奈川県横須賀市鷹取２－１９－３,,81289,14,14201,鷹取２,,2021/11/15,2021/11/15,,2087/12/31,,芝田 明和,,,,,,,,,,,コンビニエンスストア, コンビニエンスストア,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,589,5891,ロソン横須賀鷹取店046-869-00588128914201,0109327f-4c87-4a7e-85f9-d991455c8dac,,personal,49545f28-34d8-411e-a2bd-2495226ce3ee,2021/11/15,ローソン横須賀鷹取店　,ロソン横須賀鷹取店,
営業,25162,保生第-,238-0022,神奈川県横須賀市公郷町１－５２－８,神奈川県横須賀市公郷町１－５２－８,,株式会社Ｍ・Ｙコミュニケーションズ,代表取締役,松山 雅仁,代表取締役　松山 雅仁,エムワイコミュニケーションズ,046-851-1079,238-0014,横須賀市三春町３－３６,神奈川県,横須賀市三春町３－３６,,ファミリーマートＭ・Ｙ堀ノ内駅前 ,820-2320,コンビニエンスストア,コンビニエンスストア,,販売業,11/5/21 0:00,11/5/21 0:00,,12/31/87 0:00,,144,ファミリーマートＭ・Ｙ堀ノ内駅前 ,046,046-820-2320,,,,神奈川県　横須賀市三春町３－３６,神奈川県横須賀市三春町３－３６,,81235,14,14201,三春町３,,2021/11/05,2021/11/05,,2087/12/31,株式会社Ｍ・Ｙコミュニケーションズ,代表取締役　松山 雅仁,046-851-1079,神奈川県横須賀市公郷町１－５２－８,神奈川県横須賀市公郷町１－５２－８,,81048,神奈川県,横須賀市,公郷町１,,,コンビニエンスストア, コンビニエンスストア,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,589,5891,ファミリマトＭＹ堀ノ内駅前046-820-23208123514201,9bef50d2-a5e5-4f71-adaa-a6a4edb7806b,株式会社Ｍ・Ｙコミュニケーションズ81048,7ec2201f-37ae-4a3e-8c45-ecadd3ee8725,ee62b884-e1e4-46e5-be9c-164f4b548875,2021/11/05,ファミリーマートＭ・Ｙ堀ノ内駅前　,ファミリマトＭＹ堀ノ内駅前,株式会社Ｍ・Ｙコミュニケーションズ
営業,25138,保生第-,239-0841,,,,,,清野 征之,清野 征之,セイノマサユキ,,239-0841,横須賀市野比１－６－４,神奈川県,横須賀市野比１－６－４,,ローソンストア１００　横須賀野比一丁目店 ,839-4699,コンビニエンスストア,コンビニエンスストア,,販売業,11/8/21 0:00,11/8/21 0:00,,12/31/87 0:00,一致の場合削除ローソン・スリーエフ　野比駅前店/ローソンストア１００　横須賀野比一丁目店,144,ローソンストア１００　横須賀野比一丁目店 ,046,046-839-4699,,,,神奈川県　横須賀市野比１－６－４,神奈川県横須賀市野比１－６－４,,81170,14,14201,野比１,,2021/11/08,2021/11/08,,2087/12/31,,清野 征之,,,,,,,,,,,コンビニエンスストア, コンビニエンスストア,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,589,5891,ロソンストア１００横須賀野比一丁目店046-839-46998117014201,d7c38549-d3be-4fab-b05f-9d1f87ed9234,,personal,21aa5364-0449-486e-b80c-b175e274f011,2021/11/08,ローソンストア１００　横須賀野比一丁目店　,ロソンストア１００横須賀野比一丁目店,
営業,25192,保生第-,238-0047,神奈川県横須賀市吉倉町１－１０１,神奈川県横須賀市吉倉町１－１０１,,有限会社桜井商店,取締役,桜井 邦洋,取締役　桜井 邦洋,サクライショウテン,046-822-2658,238-0046,横須賀市西逸見町１－３８－１１,神奈川県,横須賀市西逸見町１－３８－１１,,ファミリーマートウェルシティ横須賀店 ,829-0392,コンビニエンスストア,コンビニエンスストア,,販売業,11/12/21 0:00,11/12/21 0:00,,12/31/87 0:00,,144,ファミリーマートウェルシティ横須賀店 ,046,046-829-0392,,,,神奈川県　横須賀市西逸見町１－３８－１１,神奈川県横須賀市西逸見町１－３８－１１,,81162,14,14201,西逸見町１,,2021/11/12,2021/11/12,,2087/12/31,有限会社桜井商店,取締役　桜井 邦洋,046-822-2658,神奈川県横須賀市吉倉町１－１０１,神奈川県横須賀市吉倉町１－１０１,,81254,神奈川県,横須賀市,吉倉町１,,,コンビニエンスストア, コンビニエンスストア,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,589,5891,ファミリマトウェルシティ横須賀店046-829-03928116214201,11a7e241-a4fc-4b6f-9165-0bd0829082e6,有限会社桜井商店81254,ee716e3f-a2af-48a3-affc-5e21d974b651,c56ce184-6677-4bc1-8e40-db1e532adefa,2021/11/12,ファミリーマートウェルシティ横須賀店　,ファミリマトウェルシティ横須賀店,有限会社桜井商店
営業,25193,保生第-,236-0031,神奈川県横浜市金沢区六浦４－４－１９,神奈川県横浜市金沢区六浦４－４－１９,,株式会社プログレス,代表取締役,湊 祐次郎,代表取締役　湊 祐次郎,プログレス,045-790-3621,237-0062,横須賀市浦郷町４－８－１１,神奈川県,横須賀市浦郷町４－８－１１,,ファミリーマート横須賀追浜店 ,869-3123,コンビニエンスストア,コンビニエンスストア,,販売業,11/16/21 0:00,11/16/21 0:00,,12/31/87 0:00,,144,ファミリーマート横須賀追浜店 ,046,046-869-3123,,,,神奈川県　横須賀市浦郷町４－８－１１,神奈川県横須賀市浦郷町４－８－１１,,80999,14,14201,浦郷町４,,2021/11/16,2021/11/16,,2087/12/31,株式会社プログレス,代表取締役　湊 祐次郎,045-790-3621,神奈川県横浜市金沢区六浦４－４－１９,神奈川県横浜市金沢区六浦４－４－１９,,79106,神奈川県,横浜市金沢区,六浦４,,,コンビニエンスストア, コンビニエンスストア,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,58,589,5891,ファミリマト横須賀追浜店046-869-31238099914201,43be9203-efdc-4aee-b29e-4ccff236dee4,株式会社プログレス79106,d017cafe-0ade-4632-b197-8e85c918ea10,7a147bcb-7ec1-4a73-ab8e-265f8af5f83f,2021/11/16,ファミリーマート横須賀追浜店　,ファミリマト横須賀追浜店,株式会社プログレス
営業,25235,保生第-,135-0064,東京都江東区青海２－５－１０ テレコムセンタービル西棟１２階,東京都江東区青海２－５－１０,テレコムセンタービル西棟１２階,株式会社ヨーク,代表取締役,大竹 正人,代表取締役　大竹 正人,ヨーク,03-5520-9555,239-0831,横須賀市久里浜７－３－１,神奈川県,横須賀市久里浜７－３－１,,株式会社ヨーク　ヨークマート　久里浜店 ,838-3833,百貨店、総合スーパー,百貨店、総合スーパー,,販売業,11/10/21 0:00,11/10/21 0:00,,12/31/87 0:00,,144,株式会社ヨーク　ヨークマート　久里浜店 ,046,046-838-3833,,,,神奈川県　横須賀市久里浜７－３－１,神奈川県横須賀市久里浜７－３－１,,81064,14,14201,久里浜７,,2021/11/10,2021/11/10,,2087/12/31,株式会社ヨーク,代表取締役　大竹 正人,03-5520-9555,東京都江東区青海２－５－１０,東京都江東区青海２－５－１０,テレコムセンタービル西棟１２階,73752,東京都,江東区,青海２,,,百貨店、総合スーパー, 百貨店、総合スーパー,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,56,561,5611,株式会社ヨクヨクマト久里浜店046-838-38338106414201,facb5c5f-8e63-45c9-9ef7-df703858edcb,株式会社ヨーク73752,c1ac6262-f8f8-40dc-9ed2-bab3d92a7cfb,b2427d6f-e96d-4790-983c-25cf52b07d7f,2021/11/10,株式会社ヨーク　ヨークマート　久里浜店　,株式会社ヨクヨクマト久里浜店,株式会社ヨーク
営業,25332,保生第-,065-0024,北海道札幌市東区北２４条東２０－１－２１,北海道札幌市東区北２４条東２０－１－２１,,株式会社ツルハ,代表取締役,八幡　政浩,代表取締役　八幡　政浩,ツルハ,011-783-2754,238-0008,横須賀市大滝町２－２３ スギモトビル１Ｆ,神奈川県,横須賀市大滝町２－２３,スギモトビル１Ｆ,ツルハドラッグ横須賀三笠通店 ,828-3215,百貨店、総合スーパー,百貨店、総合スーパー,,販売業,11/30/21 0:00,11/30/21 0:00,,12/31/87 0:00,,144,ツルハドラッグ横須賀三笠通店 ,046,046-828-3215,,,,神奈川県　横須賀市大滝町２－２３,神奈川県横須賀市大滝町２－２３,スギモトビル１Ｆ,81011,14,14201,大滝町２,,2021/11/30,2021/11/30,,2087/12/31,株式会社ツルハ,代表取締役　八幡　政浩,011-783-2754,北海道札幌市東区北２４条東２０－１－２１,北海道札幌市東区北二十四条東２０－１－２１,,2504,北海道,札幌市東区,北二十四条東２０,,,百貨店、総合スーパー, 百貨店、総合スーパー,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,I,56,561,5611,ツルハドラッグ横須賀三笠通店046-828-32158101114201,f96fc02d-3ff0-44f4-aba5-063297480347,株式会社ツルハ2504,80b4ac1c-c47b-419c-b2c8-584679759b41,19a585dc-2df5-423c-bd36-50971587fdd2,2021/11/30,ツルハドラッグ横須賀三笠通店　,ツルハドラッグ横須賀三笠通店,株式会社ツルハ
営業,25252,保生第-,663-8585,兵庫県西宮市今津二葉町３－６,兵庫県西宮市今津二葉町３－６,,布亀株式会社,代表取締役,布目 荘太,代表取締役　布目 荘太,ヌノカメ,0798-35-9907,239-0805,横須賀市舟倉１－１６－３,神奈川県,横須賀市舟倉１－１６－３,,布亀株式会社　横須賀デリバリーセンター ,830-1711,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/1/21 0:00,11/1/21 0:00,,12/31/87 0:00,,144,布亀株式会社　横須賀デリバリーセンター ,046,046-830-1711,,,,神奈川県　横須賀市舟倉１－１６－３,神奈川県横須賀市舟倉１－１６－３,,81281,14,14201,舟倉１,,2021/11/01,2021/11/01,,2087/12/31,布亀株式会社,代表取締役　布目 荘太,0798-35-9907,兵庫県西宮市今津二葉町３－６,兵庫県西宮市今津二葉町３－６,,167386,兵庫県,西宮市,今津二葉町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,布亀株式会社横須賀デリバリセンタ046-830-17118128114201,44d03bd8-e120-4cb9-9be2-ab71055f6460,布亀株式会社167386,8300120b-35fc-4681-b49e-72d74d0a311b,a141d66a-7254-409f-a64d-49a05c461506,2021/11/01,布亀株式会社横須賀デリバリーセンター　,布亀株式会社横須賀デリバリセンタ,布亀株式会社
営業,25244,保生第-,151-8550,東京都渋谷区本町３－４７－１０,東京都渋谷区本町３－４７－１０,,株式会社伊藤園,代表取締役,本庄 大介,代表取締役　本庄 大介,イトウエン,03-5371-7111,238-0008,横須賀市大滝町１－１３,神奈川県,横須賀市大滝町１－１３,,伊藤園　さいか屋横須賀店 ,827-0408,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/1/21 0:00,11/1/21 0:00,,12/31/87 0:00,,144,伊藤園　さいか屋横須賀店 ,046,046-827-0408,,,,神奈川県　横須賀市大滝町１－１３,神奈川県横須賀市大滝町１－１３,,81010,14,14201,大滝町１,,2021/11/01,2021/11/01,,2087/12/31,株式会社伊藤園,代表取締役　本庄 大介,03-5371-7111,東京都渋谷区本町３－４７－１０,東京都渋谷区本町３－４７－１０,,74540,東京都,渋谷区,本町３,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,伊藤園さいか屋横須賀店046-827-04088101014201,7287c443-d367-4b38-b768-2356b89c6ed3,株式会社伊藤園74540,7fbc8782-521b-4054-8568-7b3c48e5526a,ea33fc13-61db-4db1-8c4e-526da8f68178,2021/11/01,伊藤園　さいか屋横須賀店　,伊藤園さいか屋横須賀店,株式会社伊藤園
営業,25232,保生第-,155-0033,東京都世田谷区代田２－３１－８,東京都世田谷区代田２－３１－８,,株式会社キャメル珈琲,代表取締役,尾田 信夫,代表取締役　尾田 信夫,キャメルコーヒー,03-3412-5640,238-0007,横須賀市若松町２－３０ 横須賀モアーズシティＢ１Ｆ,神奈川県,横須賀市若松町２－３０,横須賀モアーズシティＢ１Ｆ,カルディコーヒーファーム　横須賀店 ,820-4422,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/8/21 0:00,11/8/21 0:00,,12/31/87 0:00,,144,カルディコーヒーファーム　横須賀店 ,046,046-820-4422,,,,神奈川県　横須賀市若松町２－３０,神奈川県横須賀市若松町２－３０,横須賀モアーズシティＢ１Ｆ,81259,14,14201,若松町２,,2021/11/08,2021/11/08,,2087/12/31,株式会社キャメル珈琲,代表取締役　尾田 信夫,03-3412-5640,東京都世田谷区代田２－３１－８,東京都世田谷区代田２－３１－８,,74388,東京都,世田谷区,代田２,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,カルディコヒファム横須賀店046-820-44228125914201,a989265b-7bea-424d-b77b-d1d6477427dc,株式会社キャメル珈琲74388,f0a034fd-5bd5-4f1f-afc4-763ae6743ac5,003e67d3-2e95-46be-9741-b2d30f0f3292,2021/11/08,カルディコーヒーファーム　横須賀店　,カルディコヒファム横須賀店,株式会社キャメル珈琲
営業,25233,保生第-,104-0061,東京都中央区銀座１－８－１,東京都中央区銀座１－８－１,,株式会社　銀座コージーコーナー,代表取締役,山下 訓央,代表取締役　山下 訓央,ギンザコージーコーナー,03-5228-5711,239-0831,横須賀市久里浜４－４－１０ ウィング久里浜１Ｆ,神奈川県,横須賀市久里浜４－４－１０,ウィング久里浜１Ｆ,株式会社　銀座コージーコーナー　ウィング久里浜店 ,836-6665,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/11/21 0:00,11/11/21 0:00,,12/31/87 0:00,,144,株式会社　銀座コージーコーナー　ウィング久里浜店 ,046,046-836-6665,,,,神奈川県　横須賀市久里浜４－４－１０,神奈川県横須賀市久里浜４－４－１０,ウィング久里浜１Ｆ,81061,14,14201,久里浜４,,2021/11/11,2021/11/11,,2087/12/31,株式会社　銀座コージーコーナー,代表取締役　山下 訓央,03-5228-5711,東京都中央区銀座１－８－１,東京都中央区銀座１－８－１,,72953,東京都,中央区,銀座１,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,株式会社銀座コジコナウィング久里浜店046-836-66658106114201,76b9aa60-c659-42ce-a2d8-a106cc348856,株式会社銀座コージーコーナー72953,2401b718-0a02-499d-bff2-bcb6dc2eaa17,14cb1858-a59c-4f1d-85b6-a40387ed361b,2021/11/11,株式会社銀座コージーコーナー　ウィング久里浜店　,株式会社銀座コジコナウィング久里浜店,株式会社銀座コージーコーナー
営業,25234,保生第-,104-0044,東京都中央区明石町８－１,東京都中央区明石町８－１,,株式会社　ちよだ鮨,代表取締役,中島 正人,代表取締役　中島 正人,チヨダスシ,03-3543-6681,238-0013,横須賀市平成町３－２１－４ リビン横須賀１Ｆ,神奈川県,横須賀市平成町３－２１－４,リビン横須賀１Ｆ,ちよだ鮨　リヴィン横須賀店 ,825-0422,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/10/21 0:00,11/10/21 0:00,,12/31/87 0:00,,144,ちよだ鮨　リヴィン横須賀店 ,046,046-825-0422,,,,神奈川県　横須賀市平成町３－２１－４,神奈川県横須賀市平成町３－２１－４,リビン横須賀１Ｆ,81270,14,14201,平成町３,,2021/11/10,2021/11/10,,2087/12/31,株式会社　ちよだ鮨,代表取締役　中島 正人,03-3543-6681,東京都中央区明石町８－１,東京都中央区明石町８－１,,72940,東京都,中央区,明石町,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ちよだ鮨リヴィン横須賀店046-825-04228127014201,f044687f-9f56-4ff4-a6e5-e3aca2bcd8c6,株式会社ちよだ鮨72940,7eea76e6-e2f2-4744-b3bd-a24b51bb5820,cd6e9dce-a050-499f-be03-b01a168efc9f,2021/11/10,ちよだ鮨　リヴィン横須賀店　,ちよだ鮨リヴィン横須賀店,株式会社ちよだ鮨
営業,25299,保生第-,105-0004,東京都港区新橋３－２０－１,東京都港区新橋３－２０－１,,東和フードサービス株式会社,代表取締役,岸野 誠人,代表取締役　岸野 誠人,トウワフードサービス,03-5843-7666,238-0041,横須賀市本町２－１－１２ コースカベイサイドストアーズ ３Ｆ,神奈川県,横須賀市本町２－１－１２,コースカベイサイドストアーズ ３Ｆ,ダッキーダック横須賀 ,828-3240,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/24/21 0:00,11/24/21 0:00,,12/31/87 0:00,,144,ダッキーダック横須賀 ,046,046-828-3240,,,,神奈川県　横須賀市本町２－１－１２,神奈川県横須賀市本町２－１－１２,コースカベイサイドストアーズ ３Ｆ,81221,14,14201,本町２,,2021/11/24,2021/11/24,,2087/12/31,東和フードサービス株式会社,代表取締役　岸野 誠人,03-5843-7666,東京都港区新橋３－２０－１,東京都港区新橋３－２０－１,,73105,東京都,港区,新橋３,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ダッキダック横須賀046-828-32408122114201,827a391d-84ee-4ecc-bbe9-50daf4ecd83d,東和フードサービス株式会社73105,d47b1e08-b44a-4554-9f26-f044def77e07,cfddbe7f-d13a-4e2f-8863-a6cc6e95afb7,2021/11/24,ダッキーダック横須賀　,ダッキダック横須賀,東和フードサービス株式会社
営業,25300,保生第-,105-0004,東京都港区新橋３－２０－１,東京都港区新橋３－２０－１,,東和フードサービス株式会社,代表取締役,岸野 誠人,代表取締役　岸野 誠人,トウワフードサービス,03-5843-7666,239-0831,横須賀市久里浜４－４－１０ ウィング久里浜５Ｆ,神奈川県,横須賀市久里浜４－４－１０,ウィング久里浜５Ｆ,イタリアンダイニング ドナ久里浜,838-0753,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/24/21 0:00,11/24/21 0:00,,12/31/87 0:00,,144,イタリアンダイニング ドナ久里浜,046,046-838-0753,,,,神奈川県　横須賀市久里浜４－４－１０,神奈川県横須賀市久里浜４－４－１０,ウィング久里浜５Ｆ,81061,14,14201,久里浜４,,2021/11/24,2021/11/24,,2087/12/31,東和フードサービス株式会社,代表取締役　岸野 誠人,03-5843-7666,東京都港区新橋３－２０－１,東京都港区新橋３－２０－１,,73105,東京都,港区,新橋３,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,イタリアンダイニングドナ久里浜046-838-07538106114201,de2a8cb2-6bdb-4852-9bb0-1b53d7752075,東和フードサービス株式会社73105,d47b1e08-b44a-4554-9f26-f044def77e07,3e2dd76f-1430-4441-a2a3-b950ad185b14,2021/11/24,イタリアンダイニング　ドナ久里浜,イタリアンダイニングドナ久里浜,東和フードサービス株式会社
営業,25301,保生第-,160-0022,東京都新宿区新宿１－１７－１１,東京都新宿区新宿１－１７－１１,,株式会社　文明堂東京,代表取締役,宮﨑 進司,代表取締役　宮﨑 進司,ブンメイドウトウキョウ,03-3354-2222,238-8533,横須賀市若松町２－３０,神奈川県,横須賀市若松町２－３０,,文明堂　モアーズシティ横須賀店 ,820-4412,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/24/21 0:00,11/24/21 0:00,,12/31/87 0:00,,144,文明堂　モアーズシティ横須賀店 ,046,046-820-4412,,,,神奈川県　横須賀市若松町２－３０,神奈川県横須賀市若松町２－３０,,81259,14,14201,若松町２,,2021/11/24,2021/11/24,,2087/12/31,株式会社　文明堂東京,代表取締役　宮﨑 進司,03-3354-2222,東京都新宿区新宿１－１７－１１,東京都新宿区新宿１－１７－１１,,73221,東京都,新宿区,新宿１,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,文明堂モアズシティ横須賀店046-820-44128125914201,7df04204-1a04-4cbb-9e3b-a7f17800d7e0,株式会社文明堂東京73221,a21e2dda-ba9a-4f57-b58b-2d611cd0fcac,594a5086-3556-4607-a822-7cf996966cb4,2021/11/24,文明堂　モアーズシティ横須賀店　,文明堂モアズシティ横須賀店,株式会社文明堂東京
営業,25212,保生第-,220-0011,神奈川県横浜市西区高島１－２－８,神奈川県横浜市西区高島１－２－８,,株式会社京急ストア,代表取締役,川﨑 宣章,代表取締役　川﨑 宣章,ケイキュウストア,045-305-3100,240-0108,横須賀市佐島の丘１－２－１,神奈川県,横須賀市佐島の丘１－２－１,,京急ストア　湘南佐島店 ,857-4070,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/1/21 0:00,11/1/21 0:00,,12/31/87 0:00,,144,京急ストア　湘南佐島店 ,046,046-857-4070,,,,神奈川県　横須賀市佐島の丘１－２－１,神奈川県横須賀市佐島ノ丘１－２－１,,80953,14,14201,,,2021/11/01,2021/11/01,,2087/12/31,株式会社京急ストア,代表取締役　川﨑 宣章,045-305-3100,神奈川県横浜市西区高島１－２－８,神奈川県横浜市西区高島１－２－８,,78474,神奈川県,横浜市西区,高島１,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,京急ストア湘南佐島店046-857-40708095314201,86224b96-be82-42a6-b31b-ba135aa1b802,株式会社京急ストア78474,b6da6ca0-daa8-4c12-92b0-a7f67a2d9275,9fb0ed43-1ea2-4a52-b925-daf15e95a4e8,2021/11/01,京急ストア　湘南佐島店　,京急ストア湘南佐島店,株式会社京急ストア
営業,25214,保生第-,180-8580,東京都武蔵野市西久保１－２５－８,東京都武蔵野市西久保１－２５－８,,株式会社　すかいらーくレストランツ,代表取締役,大川原 利明,代表取締役　大川原 利明,スカイラークレストランツ,0422-37-5218,239-0835,横須賀市佐原１－１５－６,神奈川県,横須賀市佐原１－１５－６,,ステーキガスト　横須賀佐原インター店 ,838-4761,その他の食料・飲料販売業,その他の食料・飲料販売業,,販売業,11/4/21 0:00,11/4/21 0:00,,12/31/87 0:00,,144,ステーキガスト　横須賀佐原インター店 ,046,046-838-4761,,,,神奈川県　横須賀市佐原１－１５－６,神奈川県横須賀市佐原１－１５－６,,81088,14,14201,佐原１,,2021/11/04,2021/11/04,,2087/12/31,株式会社　すかいらーくレストランツ,代表取締役　大川原 利明,0422-37-5218,東京都武蔵野市西久保１－２５－８,東京都武蔵野市西久保１－２５－８,,76312,東京都,武蔵野市,西久保１,,,その他の食料品製造・加工業,(包装) その他の食料・飲料販売業,販売業,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,E,9,99,,ステキガスト横須賀佐原インタ店046-838-47618108814201,96a7764b-0712-4119-861f-3980ceaf29e3,株式会社すかいらーくレストランツ76312,096e5a40-3c9c-4cb8-82a7-75204bdd2395,0ad76772-5166-415b-9112-3fab0e209081,2021/11/04,ステーキガスト　横須賀佐原インター店　,ステキガスト横須賀佐原インタ店,株式会社すかいらーくレストランツ
