https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉村健二,,,,,セブンイレブン八幡西曲里町店,福岡県,北九州市八幡西区西曲里町１０－１,北九州市八幡西区西曲里町１０－１,,093-641-7122,① 飲食店営業,コンビニエンスストア,2021-60450,2021/11/26,2021/11/26,2021/11/26,2027/11/30,,390,セブンイレブン八幡西曲里町店,093,093-641-7122,,,,福岡県　北九州市八幡西区西曲里町１０－１,福岡県北九州市八幡西区西曲里町１０－１,,199514,40,40109,西曲里町,,2021/11/26,2021/11/26,2021/11/26,2027/11/30,,吉村健二 ,,,,,,,,,2021-60450,,飲食店営業, コンビニエンスストア,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,セブンイレブン八幡西曲里町店093-641-712219951440109,0ba18183-dc83-4300-99ed-35667dddd96a,,personal,5230367d-2aeb-45f0-ad98-6b60f3dbed8b,2021/11/26,セブンイレブン八幡西曲里町店,セブンイレブン八幡西曲里町店,
宮本一喜,,,,,（なし）,福岡県,北九州市小倉北区馬借1丁目7-1（北九州市内一円）,北九州市小倉北区馬借１丁目７－１,（北九州市内一円）,,① 飲食店営業,自動車営業,2021-20843,2021/11/17,2021/11/17,2021/11/17,2026/11/30,,390,（なし）,093,,,,,福岡県　北九州市小倉北区馬借１丁目７－１,福岡県北九州市小倉北区馬借１丁目７－１,（北九州市内一円）,198834,40,40106,馬借１,,2021/11/17,2021/11/17,2021/11/17,2026/11/30,,宮本一喜 ,,,,,,,,,2021-20843,,飲食店営業, 自動車営業,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,なし19883440106,6474c8b0-118d-40eb-8c0e-afbd3f2100e7,,personal,960306d2-8353-4eab-9fd2-5d80389819be,2021/11/17,（なし）,なし,
福本秀雄,,,,,福寿し,福岡県,北九州市戸畑区中本町６－２３,北九州市戸畑区中本町６－２３,,,① 飲食店営業,寿司屋,2021-70062,2021/11/25,2021/11/25,2021/12/1,2027/11/30,,390,福寿し,093,,,,,福岡県　北九州市戸畑区中本町６－２３,福岡県北九州市戸畑区中本町６－２３,,198613,40,40105,中本町,,2021/11/25,2021/11/25,2021/12/01,2027/11/30,,福本秀雄 ,,,,,,,,,2021-70062,,飲食店営業, 寿司屋,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,福寿し19861340105,21df80d6-1683-4132-b08d-14b6f5f54e57,,personal,a7c0999b-1bf0-4a31-b9cf-0f0b6c433337,2021/11/25,福寿し,福寿し,
豊原康高,,,,,黒崎ホルモンセンター,福岡県,北九州市八幡西区熊手一丁目２－７,北九州市八幡西区熊手１丁目２－７,,093-641-2018,③ 食肉販売業,,2021-60453,2021/11/30,2021/11/30,2022/1/1,2027/12/31,,390,黒崎ホルモンセンター,093,093-641-2018,,,,福岡県　北九州市八幡西区熊手１丁目２－７,福岡県北九州市八幡西区熊手１丁目２－７,,199424,40,40109,熊手１,,2021/11/30,2021/11/30,2022/01/01,2027/12/31,,豊原康高 ,,,,,,,,,2021-60453,,食肉販売業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,583,,黒崎ホルモンセンタ093-641-201819942440109,79098375-5133-4db0-8457-cc2c3f2c40f5,,personal,6b89014c-c8ae-469e-944d-125d9d84b5e3,2021/11/30,黒崎ホルモンセンター,黒崎ホルモンセンタ,
平田英明,,,,,たこ焼　英ちゃん,福岡県,北九州市小倉北区片野二丁目１－４０,北九州市小倉北区片野２丁目１－４０,,,① 飲食店営業,,2021-20742,2021/11/22,2021/11/22,2021/11/22,2027/11/30,,390,たこ焼　英ちゃん,093,,,,,福岡県　北九州市小倉北区片野２丁目１－４０,福岡県北九州市小倉北区片野２丁目１－４０,,198696,40,40106,片野２,,2021/11/22,2021/11/22,2021/11/22,2027/11/30,,平田英明 ,,,,,,,,,2021-20742,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,たこ焼英ちゃん19869640106,339a679a-537f-4aec-b168-d88ec4926b2c,,personal,63630d63-dc04-4075-89e4-e96c711e7d59,2021/11/22,たこ焼　英ちゃん,たこ焼英ちゃん,
薄真美,,,,,Ｂｉｅｎｖｅｎｕｅ,福岡県,北九州市小倉南区大字志井６８４－３,北九州市小倉南区大字志井６８４－３,,093-451-1916,① 飲食店営業,,2021-30087,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,Ｂｉｅｎｖｅｎｕｅ,093,093-451-1916,,,,福岡県　北九州市小倉南区大字志井６８４－３,福岡県北九州市小倉南区志井６８４－３,,198926,40,40107,志井６,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,,薄真美 ,,,,,,,,,2021-30087,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,Ｂｉｅｎｖｅｎｕｅ093-451-191619892640107,5d4f9e89-11c3-46a3-b5c8-59d8785093e5,,personal,5479e4da-e620-421d-b934-4520d2d40bcf,2021/11/30,Ｂｉｅｎｖｅｎｕｅ,Ｂｉｅｎｖｅｎｕｅ,
信原優作,,,,,のぶりん,福岡県,北九州市八幡東区祇園二丁目８－１２,北九州市八幡東区祇園２丁目８－１２,,,① 飲食店営業,弁当屋,2021-60457,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,のぶりん,093,,,,,福岡県　北九州市八幡東区祇園２丁目８－１２,福岡県北九州市八幡東区祇園２丁目８－１２,,199270,40,40108,祇園２,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,信原優作 ,,,,,,,,,2021-60457,,飲食店営業, 弁当屋,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,のぶりん19927040108,be9a05e0-bf10-422c-b7c5-5efe91100e97,,personal,82909949-e2fe-4dfc-b281-5d7a5d403243,2021/11/24,のぶりん,のぶりん,
信原優作,,,,,のぶりん,福岡県,北九州市八幡東区祇園二丁目８－１２,北九州市八幡東区祇園２丁目８－１２,,,㉕ そうざい製造業,弁当屋,2021-60458,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,のぶりん,093,,,,,福岡県　北九州市八幡東区祇園２丁目８－１２,福岡県北九州市八幡東区祇園２丁目８－１２,,199270,40,40108,祇園２,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,信原優作 ,,,,,,,,,2021-60458,,そうざい製造業, 弁当屋,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,,,のぶりん19927040108,be9a05e0-bf10-422c-b7c5-5efe91100e97,,personal,5527be01-37c7-43bd-b641-32b31213fe02,2021/11/24,のぶりん,のぶりん,
ハーモニーワールド株式会社,岡本興大,北九州市小倉北区堺町一丁目４－５,北九州市小倉北区堺町１丁目４－５,,SUNTORY SHOT BAR 1-9-2-3,福岡県,北九州市小倉北区鍛冶町一丁目７－１９安田ビル１F,北九州市小倉北区鍛冶町１丁目７－１９,安田ビル１F,,① 飲食店営業,,2021-20855,2021/11/18,2021/11/18,2021/11/18,2027/11/30,,390,SUNTORY SHOT BAR 1-9-2-3,093,,,,,福岡県　北九州市小倉北区鍛冶町１丁目７－１９,福岡県北九州市小倉北区鍛冶町１丁目７－１９,安田ビル１F,198693,40,40106,鍛冶町１,,2021/11/18,2021/11/18,2021/11/18,2027/11/30,ハーモニーワールド株式会社,岡本興大,,北九州市小倉北区堺町１丁目４－５,福岡県北九州市小倉北区堺町１丁目４－５,,198760,福岡県,北九州市小倉北区,堺町１,2021-20855,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ＳＵＮＴＯＲＹＳＨＯＴＢＡＲ１９２３19869340106,64399408-b76d-4808-bb5e-d78443df1ad6,ハーモニーワールド株式会社198760,b9eeddfc-ed1b-4db3-a595-b094ea9a8ee6,a1805db4-f3a0-4c04-b721-1999c5ec42f5,2021/11/18,ＳＵＮＴＯＲＹ　ＳＨＯＴ　ＢＡＲ　１－９－２－３,ＳＵＮＴＯＲＹＳＨＯＴＢＡＲ１９２３,ハーモニーワールド株式会社
小倉かまぼこ株式会社,森尾泰之,北九州市小倉北区紺屋町２番２０号,北九州市小倉北区紺屋町２番２０号,,小倉かまぼこ,福岡県,北九州市小倉北区魚町四丁目２－１９,北九州市小倉北区魚町４丁目２－１９,,093-521-1559,⑯ 水産製品製造業,,2021-20806,2021/11/24,2021/11/24,2021/12/1,2026/11/30,,390,小倉かまぼこ,093,093-521-1559,,,,福岡県　北九州市小倉北区魚町４丁目２－１９,福岡県北九州市小倉北区魚町４丁目２－１９,,198683,40,40106,魚町４,,2021/11/24,2021/11/24,2021/12/01,2026/11/30,小倉かまぼこ株式会社,森尾泰之,,北九州市小倉北区紺屋町２番２０号,福岡県北九州市小倉北区紺屋町２番２０号,,198757,福岡県,北九州市小倉北区,紺屋町,2021-20806,,水産製品製造業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,92,,小倉かまぼこ093-521-155919868340106,bf30f59d-27b8-48f3-a521-12a51b56f1a5,小倉かまぼこ株式会社198757,c97a666d-e7af-45b5-901f-3df2a020ccd5,d340e376-31e1-4f8a-abf4-bdf5266112f5,2021/11/24,小倉かまぼこ,小倉かまぼこ,小倉かまぼこ株式会社
藤本朝美,,,,,町のごはんやさん拓,福岡県,北九州市門司区別院８－２馬場ハイツ１０３,北九州市門司区別院８－２,馬場ハイツ１０３,,① 飲食店営業,一般食堂,2021-20670,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,390,町のごはんやさん拓,093,,,,,福岡県　北九州市門司区別院８－２,福岡県北九州市門司区別院８－２,馬場ハイツ１０３,198357,40,40101,別院,,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,藤本朝美 ,,,,,,,,,2021-20670,,飲食店営業, 一般食堂,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,町のごはんやさん拓19835740101,46836bec-437f-4398-8f8e-7d968eedd6f0,,personal,bf257968-eda2-4fd6-b77d-dacea3795659,2021/11/19,町のごはんやさん拓,町のごはんやさん拓,
吉田正三,,,,,札幌ラーメン時計台,福岡県,北九州市門司区西新町一丁目１－３,北九州市門司区西新町１丁目１－３,,093-381-9778,① 飲食店営業,一般食堂,2021-10106,2021/11/30,2021/11/30,2022/1/1,2027/12/31,,390,札幌ラーメン時計台,093,093-381-9778,,,,福岡県　北九州市門司区西新町１丁目１－３,福岡県北九州市門司区西新町１丁目１－３,,198329,40,40101,西新町１,,2021/11/30,2021/11/30,2022/01/01,2027/12/31,,吉田正三 ,,,,,,,,,2021-10106,,飲食店営業, 一般食堂,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,札幌ラメン時計台093-381-977819832940101,489a14aa-b19a-4e55-85e5-485c76e49ab3,,personal,66f1710a-59db-4fb4-a582-31f88942342d,2021/11/30,札幌ラーメン時計台,札幌ラメン時計台,
株式会社アマンプロ,沖圭介,北九州市小倉北区京町一丁目４番１号５ＢＯビル４Ｆ,北九州市小倉北区京町１丁目４番１号,５ＢＯビル４Ｆ,地鶏食堂　小倉北店,福岡県,北九州市小倉北区船場町７－１４船場エステートビル１Ｆ,北九州市小倉北区船場町７－１４,船場エステートビル１Ｆ,093-967-7822,① 飲食店営業,居酒屋,2021-20782,2021/11/25,2021/11/25,2021/11/25,2027/11/30,,390,地鶏食堂　小倉北店,093,093-967-7822,,,,福岡県　北九州市小倉北区船場町７－１４,福岡県北九州市小倉北区船場町７－１４,船場エステートビル１Ｆ,198801,40,40106,船場町,,2021/11/25,2021/11/25,2021/11/25,2027/11/30,株式会社アマンプロ,沖圭介,,北九州市小倉北区京町１丁目４番１号,福岡県北九州市小倉北区京町１丁目４番１号,５ＢＯビル４Ｆ,198724,福岡県,北九州市小倉北区,京町１,2021-20782,,飲食店営業, 居酒屋,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,地鶏食堂小倉北店093-967-782219880140106,577a03bf-8cee-4a55-af33-318109f5a74e,株式会社アマンプロ198724,8031b1fb-08f2-4562-86af-83de073eb146,9e05474f-c0f5-4fce-b8d1-fe0d76c742d0,2021/11/25,地鶏食堂　小倉北店,地鶏食堂小倉北店,株式会社アマンプロ
木下よう子,,,,,てっぱん料理喫茶田城,福岡県,北九州市小倉北区寿山町4-21,北九州市小倉北区寿山町４－２１,,,① 飲食店営業,,2021-20865,2021/11/24,2021/11/24,2021/12/1,2027/11/30,,390,てっぱん料理喫茶田城,093,,,,,福岡県　北九州市小倉北区寿山町４－２１,福岡県北九州市小倉北区寿山町４－２１,,198791,40,40106,寿山町,,2021/11/24,2021/11/24,2021/12/01,2027/11/30,,木下よう子 ,,,,,,,,,2021-20865,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,てっぱん料理喫茶田城19879140106,09b5e2da-f154-4230-9c94-a380542e7fdb,,personal,1518ffb7-3711-4922-b020-306161648395,2021/11/24,てっぱん料理喫茶田城,てっぱん料理喫茶田城,
東陽介,,,,,Apollo,福岡県,北九州市小倉北区魚町一丁目１－２北田ビル１F,北九州市小倉北区魚町１丁目１－２,北田ビル１F,,① 飲食店営業,一般食堂,2021-20795,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,390,Apollo,093,,,,,福岡県　北九州市小倉北区魚町１丁目１－２,福岡県北九州市小倉北区魚町１丁目１－２,北田ビル１F,198680,40,40106,魚町１,,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,東陽介 ,,,,,,,,,2021-20795,,飲食店営業, 一般食堂,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,Ａｐｏｌｌｏ19868040106,7208b1df-f875-4a61-b00d-2f6da5c7dcf9,,personal,ade48df4-9e5c-4d19-9493-0507e13495fc,2021/11/19,Ａｐｏｌｌｏ,Ａｐｏｌｌｏ,
伊藤諒人,,,,,member's VERTEX,福岡県,北九州市小倉北区堺町一丁目５－１２第一エルザビル２F,北九州市小倉北区堺町１丁目５－１２,第一エルザビル２F,,① 飲食店営業,,2021-20862,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,member's VERTEX,093,,,,,福岡県　北九州市小倉北区堺町１丁目５－１２,福岡県北九州市小倉北区堺町１丁目５－１２,第一エルザビル２F,198760,40,40106,堺町１,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,伊藤諒人 ,,,,,,,,,2021-20862,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ｍｅｍｂｅｒｓＶＥＲＴＥＸ19876040106,44eb3766-da1f-4510-b17b-0aff1773e0bf,,personal,8c4ebc73-2088-45d2-a925-406acbad4a7f,2021/11/24,ｍｅｍｂｅｒ＇ｓ　ＶＥＲＴＥＸ,ｍｅｍｂｅｒｓＶＥＲＴＥＸ,
中村俊策,,,,,anocoro,福岡県,北九州市門司区西海岸１丁目４－１６１Ｆ,北九州市門司区西海岸１丁目４－１６,１Ｆ,,① 飲食店営業,,2021-20838,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,anocoro,093,,,,,福岡県　北九州市門司区西海岸１丁目４－１６,福岡県北九州市門司区西海岸１丁目４－１６,１Ｆ,198325,40,40101,西海岸１,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,中村俊策 ,,,,,,,,,2021-20838,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ａｎｏｃｏｒｏ19832540101,e0784471-46b4-464e-ae05-b40dc31b4a0a,,personal,321b90ee-8a73-49c1-b41b-751d6a39cc59,2021/11/24,ａｎｏｃｏｒｏ,ａｎｏｃｏｒｏ,
中村俊策,,,,,anocoro,福岡県,北九州市門司区西海岸１丁目４－１６１Ｆ,北九州市門司区西海岸１丁目４－１６,１Ｆ,,⑪ 菓子製造業,,2021-20839,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,anocoro,093,,,,,福岡県　北九州市門司区西海岸１丁目４－１６,福岡県北九州市門司区西海岸１丁目４－１６,１Ｆ,198325,40,40101,西海岸１,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,中村俊策 ,,,,,,,,,2021-20839,,菓子製造業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,,,ａｎｏｃｏｒｏ19832540101,e0784471-46b4-464e-ae05-b40dc31b4a0a,,personal,a2c22933-e074-4149-9564-ce0784e98161,2021/11/24,ａｎｏｃｏｒｏ,ａｎｏｃｏｒｏ,
増永進之介,,,,,TEQUILA&MEZUCAL イエローカード,福岡県,北九州市小倉北区魚町三丁目３－１２メルカート三番街１F-7,北九州市小倉北区魚町３丁目３－１２,メルカート三番街１F－７,,① 飲食店営業,,2021-20834,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,390,TEQUILA&MEZUCAL イエローカード,093,,,,,福岡県　北九州市小倉北区魚町３丁目３－１２,福岡県北九州市小倉北区魚町３丁目３－１２,メルカート三番街１F－７,198682,40,40106,魚町３,,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,増永進之介 ,,,,,,,,,2021-20834,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ＴＥＱＵＩＬＡＭＥＺＵＣＡＬイエロカド19868240106,e90f1ffe-6411-40fe-b0e3-934aa9b8e8a8,,personal,c9bb01a1-441d-48b6-97cf-6fb6cf325057,2021/11/19,ＴＥＱＵＩＬＡ＆ＭＥＺＵＣＡＬ　イエローカード,ＴＥＱＵＩＬＡＭＥＺＵＣＡＬイエロカド,
株式会社サプラミュー,湯佐昭央,福岡市中央区今泉一丁目１８番１ー４０２号,福岡市中央区今泉１丁目１８番１,４０２号,Star Rist　小倉店,福岡県,北九州市小倉北区京町二丁目４－３２セヴネス小倉４F,北九州市小倉北区京町２丁目４－３２,セヴネス小倉４F,,① 飲食店営業,,2021-20805,2021/11/16,2021/11/16,2021/11/16,2027/11/30,,390,Star Rist　小倉店,093,,,,,福岡県　北九州市小倉北区京町２丁目４－３２,福岡県北九州市小倉北区京町２丁目４－３２,セヴネス小倉４F,198725,40,40106,京町２,,2021/11/16,2021/11/16,2021/11/16,2027/11/30,株式会社サプラミュー,湯佐昭央,,福岡市中央区今泉１丁目１８番１,福岡県福岡市中央区今泉１丁目１８番１,４０２号,200250,福岡県,福岡市中央区,今泉１,2021-20805,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ＳｔａｒＲｉｓｔ小倉店19872540106,5e2a5908-d1a0-4b33-8d4b-c2db0b3c7839,株式会社サプラミュー200250,9c448221-6cd6-4d92-b050-50d48a9dc5ae,fe2dc3ad-cb83-4cba-9aec-ec6e1d1344c9,2021/11/16,Ｓｔａｒ　Ｒｉｓｔ　小倉店,ＳｔａｒＲｉｓｔ小倉店,株式会社サプラミュー
株式会社グローアップ,伊東友美,北九州市八幡西区本城３０３０－２,北九州市八幡西区本城３０３０－２,,地鶏食堂,福岡県,北九州市八幡西区光貞台一丁目１－１,北九州市八幡西区光貞台１丁目１－１,,,① 飲食店営業,焼肉店,2021-60368,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,地鶏食堂,093,,,,,福岡県　北九州市八幡西区光貞台１丁目１－１,福岡県北九州市八幡西区光貞台１丁目１－１,,199567,40,40109,光貞台１,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,株式会社グローアップ,伊東友美,,北九州市八幡西区本城３０３０－２,福岡県北九州市八幡西区本城３０３０－２,,199562,福岡県,北九州市八幡西区,本城３,2021-60368,,飲食店営業, 焼肉店,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,地鶏食堂19956740109,1bdbe0b3-edd9-4ca2-97ee-16d710ec8179,株式会社グローアップ199562,3333f144-507e-4381-84e5-8d6107d2eea8,7baab3c2-f5d3-4def-93cb-0908fb79ec49,2021/11/24,地鶏食堂,地鶏食堂,株式会社グローアップ
株式会社グローアップ,伊東友美,北九州市八幡西区本城３０３０－２,北九州市八幡西区本城３０３０－２,,地鶏食堂,福岡県,北九州市八幡西区光貞台一丁目１－１,北九州市八幡西区光貞台１丁目１－１,,,③ 食肉販売業,焼肉店,2021-60370,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,地鶏食堂,093,,,,,福岡県　北九州市八幡西区光貞台１丁目１－１,福岡県北九州市八幡西区光貞台１丁目１－１,,199567,40,40109,光貞台１,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,株式会社グローアップ,伊東友美,,北九州市八幡西区本城３０３０－２,福岡県北九州市八幡西区本城３０３０－２,,199562,福岡県,北九州市八幡西区,本城３,2021-60370,,食肉販売業, 焼肉店,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,583,,地鶏食堂19956740109,1bdbe0b3-edd9-4ca2-97ee-16d710ec8179,株式会社グローアップ199562,3333f144-507e-4381-84e5-8d6107d2eea8,d220f142-6fdd-4550-9c88-f2652a32cda9,2021/11/24,地鶏食堂,地鶏食堂,株式会社グローアップ
小野光雄,,,,,みわ,福岡県,北九州市小倉北区高尾一丁目11-10,北九州市小倉北区高尾１丁目１１－１０,,,① 飲食店営業,,2021-20868,2021/11/25,2021/11/25,2022/1/1,2027/12/31,,390,みわ,093,,,,,福岡県　北九州市小倉北区高尾１丁目１１－１０,福岡県北九州市小倉北区高尾１丁目１１－１０,,198802,40,40106,高尾１,,2021/11/25,2021/11/25,2022/01/01,2027/12/31,,小野光雄 ,,,,,,,,,2021-20868,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,みわ19880240106,be5dddca-6454-4a2b-acc4-1d94cedef999,,personal,0ab48b07-b3a0-4d2e-be04-906b52f1ba0a,2021/11/25,みわ,みわ,
田中久美子,,,,,多加,福岡県,北九州市小倉北区木町四丁目7-15,北九州市小倉北区木町４丁目７－１５,,,① 飲食店営業,,2021-20852,2021/11/17,2021/11/17,2022/1/1,2027/12/31,,390,多加,093,,,,,福岡県　北九州市小倉北区木町４丁目７－１５,福岡県北九州市小倉北区木町４丁目７－１５,,198723,40,40106,木町４,,2021/11/17,2021/11/17,2022/01/01,2027/12/31,,田中久美子 ,,,,,,,,,2021-20852,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,多加19872340106,dcf8a390-8b1a-47ba-bac2-1e58edf57c98,,personal,fce2f281-eeb1-4c1f-8afe-2d7032d5531a,2021/11/17,多加,多加,
みろく福祉サービス株式会社,村上順子,北九州市門司区大字畑１２０７番地,北九州市門司区大字畑１２０７番地,,いかわ食堂,福岡県,北九州市門司区大字伊川１０５８－３,北九州市門司区大字伊川１０５８－３,,093-861-9521,① 飲食店営業,,2021-20886,2021/11/30,2021/11/30,2021/11/30,2027/11/30,,390,いかわ食堂,093,093-861-9521,,,,福岡県　北九州市門司区大字伊川１０５８－３,福岡県北九州市門司区伊川１０５８－３,,198199,40,40101,伊川,,2021/11/30,2021/11/30,2021/11/30,2027/11/30,みろく福祉サービス株式会社,村上順子,,北九州市門司区大字畑１２０７番地,福岡県北九州市門司区畑１２０７番地,,198331,福岡県,北九州市門司区,畑,2021-20886,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,いかわ食堂093-861-952119819940101,ca96ed18-078b-44c8-ab8e-d49c43ebb270,みろく福祉サービス株式会社198331,2a24f9d0-5dfc-4da4-bcaa-b71edc2f0284,cef00dfe-b29e-4e79-b24f-db9e954ef79e,2021/11/30,いかわ食堂,いかわ食堂,みろく福祉サービス株式会社
津田晋吾,,,,,大阪串かつ　だるまや,福岡県,北九州市小倉北区黄金一丁目2-10,北九州市小倉北区黄金１丁目２－１０,,093-235-3089,① 飲食店営業,,2021-20860,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,大阪串かつ　だるまや,093,093-235-3089,,,,福岡県　北九州市小倉北区黄金１丁目２－１０,福岡県北九州市小倉北区黄金１丁目２－１０,,198750,40,40106,黄金１,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,津田晋吾 ,,,,,,,,,2021-20860,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,大阪串かつだるまや093-235-308919875040106,dd7c8d35-606f-461c-b66c-c8b1d1006ca0,,personal,196e8652-153c-4b10-8ed1-47d8078499bd,2021/11/24,大阪串かつ　だるまや,大阪串かつだるまや,
興梠ともえ,,,,,hinawari to,福岡県,北九州市小倉北区香春口一丁目５－２１comichiかわらぐち　６号室,北九州市小倉北区香春口１丁目５－２１,comichiかわらぐち　６号室,,① 飲食店営業,,2021-20877,2021/11/26,2021/11/26,2021/11/26,2027/11/30,,390,hinawari to,093,,,,,福岡県　北九州市小倉北区香春口１丁目５－２１,福岡県北九州市小倉北区香春口１丁目５－２１,comichiかわらぐち　６号室,198715,40,40106,香春口１,,2021/11/26,2021/11/26,2021/11/26,2027/11/30,,興梠ともえ ,,,,,,,,,2021-20877,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ｈｉｎａｗａｒｉｔｏ19871540106,723723ab-f9b9-493c-8b37-854f4b3cb869,,personal,ffebd7d0-b7d5-4a12-a22f-418bb2dd361b,2021/11/26,ｈｉｎａｗａｒｉ　ｔｏ,ｈｉｎａｗａｒｉｔｏ,
鈴木千賀,,,,,ねこや,福岡県,北九州市小倉北区紺屋町６－５第２６エルザビル１F,北九州市小倉北区紺屋町６－５,第２６エルザビル１F,,① 飲食店営業,一般食堂,2021-20894,2021/11/29,2021/11/29,2022/1/1,2027/12/31,,390,ねこや,093,,,,,福岡県　北九州市小倉北区紺屋町６－５,福岡県北九州市小倉北区紺屋町６－５,第２６エルザビル１F,198757,40,40106,紺屋町,,2021/11/29,2021/11/29,2022/01/01,2027/12/31,,鈴木千賀 ,,,,,,,,,2021-20894,,飲食店営業, 一般食堂,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ねこや19875740106,95999fc2-cc46-4af6-ad08-187e8a286c2e,,personal,6fbf3f5d-636d-4ba2-99c2-180a05b57dec,2021/11/29,ねこや,ねこや,
