https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70-031092,金生指令第243,株式会社ヤチヨ,,横浜市金沢区並木2-13-7 ビアレ横浜新館１F,横浜市金沢区並木２－１３－７,ビアレ横浜新館１F,タリーズコーヒー　ビアレ横浜店 ,7847394,飲食店営業,,2021年11月16日,2028年11月15日,2021年11月16日,,141,タリーズコーヒー　ビアレ横浜店 ,045,045-784-7394,,,,横浜市金沢区並木２－１３－７,神奈川県横浜市金沢区並木２－１３－７,ビアレ横浜新館１F,79093,14,14108,並木２,,2021/11/16,2021/11/16,,2028/11/15,株式会社ヤチヨ,,,,,,,,,,金生指令第243,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,タリズコヒビアレ横浜店045-784-73947909314108,99216848-b565-49ee-943e-55a37fa53dee,株式会社ヤチヨ,65644ae1-dc9d-4c9c-be39-78201699c312,1ec34787-9f77-4be5-a9cf-0212b78354ff,2021/11/16,タリーズコーヒー　ビアレ横浜店　,タリズコヒビアレ横浜店,株式会社ヤチヨ
70-031106,金生指令第234,,長谷川 壽,横浜市金沢区野島町17-1,横浜市金沢区野島町１７－１,,Ｐａｉｎ　ｄ’ｉｌｅ ,7818137,菓子製造業,,2021年11月11日,2028年11月10日,2021年11月11日,,141,Ｐａｉｎ　ｄ’ｉｌｅ ,045,045-781-8137,,,,横浜市金沢区野島町１７－１,神奈川県横浜市金沢区野島町１７－１,,79099,14,14108,野島町,,2021/11/11,2021/11/11,,2028/11/10,,長谷川 壽,,,,,,,,,金生指令第234,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,Ｐａｉｎｄｉｌｅ045-781-81377909914108,00141_56ae2dfd-3429-4b2e-9e4a-62d45645cc9a,,personal,077fbdbd-962c-456b-8031-90a81d3958aa,2021/11/11,Ｐａｉｎ　ｄ＇ｉｌｅ　,Ｐａｉｎｄｉｌｅ,
70-033494,金生指令第252,株式会社横濱屋,,横浜市金沢区大道2-16-2,横浜市金沢区大道２－１６－２,,スーパー横濱屋　大道店 ,7901088,飲食店営業,,2021年11月29日,2028年11月28日,2021年11月29日,,141,スーパー横濱屋　大道店 ,045,045-790-1088,,,,横浜市金沢区大道２－１６－２,神奈川県横浜市金沢区大道２－１６－２,,79112,14,14108,大道２,,2021/11/29,2021/11/29,,2028/11/28,株式会社横濱屋,,,,,,,,,,金生指令第252,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,スパ横濱屋大道店045-790-10887911214108,6771805f-c593-440a-98eb-0a462cf41d4e,株式会社横濱屋,71afc58b-7932-4b38-a8c7-9cd3955e6964,02f58bc5-550e-4212-9351-dba8c8fec4db,2021/11/29,スーパー横濱屋　大道店　,スパ横濱屋大道店,株式会社横濱屋
70-033495,金生指令第249,有限会社オッターブルー,,横浜市金沢区瀬戸17-9,横浜市金沢区瀬戸１７－９,,ベーカリーハウス　アオキ ,7883950,菓子製造業,,2021年11月26日,2028年11月25日,2021年11月26日,,141,ベーカリーハウス　アオキ ,045,045-788-3950,,,,横浜市金沢区瀬戸１７－９,神奈川県横浜市金沢区瀬戸１７－９,,79082,14,14108,瀬戸,,2021/11/26,2021/11/26,,2028/11/25,有限会社オッターブルー,,,,,,,,,,金生指令第249,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,,,ベカリハウスアオキ045-788-39507908214108,00141_905ff688-8b79-48de-8393-ac6f592f0a35,有限会社オッターブルー,d4a50f87-db74-433c-a891-d7409b701052,27c09b0e-9df7-4eba-8915-c612028ae1e1,2021/11/26,ベーカリーハウス　アオキ　,ベカリハウスアオキ,有限会社オッターブルー
70-033497,金生指令第250,有限会社オッターブルー,,横浜市金沢区瀬戸17-9,横浜市金沢区瀬戸１７－９,,ベーカリーハウス　アオキ ,7883950,飲食店営業,,2021年11月26日,2028年11月25日,2021年11月26日,,141,ベーカリーハウス　アオキ ,045,045-788-3950,,,,横浜市金沢区瀬戸１７－９,神奈川県横浜市金沢区瀬戸１７－９,,79082,14,14108,瀬戸,,2021/11/26,2021/11/26,,2028/11/25,有限会社オッターブルー,,,,,,,,,,金生指令第250,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,ベカリハウスアオキ045-788-39507908214108,00141_905ff688-8b79-48de-8393-ac6f592f0a35,有限会社オッターブルー,d4a50f87-db74-433c-a891-d7409b701052,4ff5bec5-34c7-4e34-a49b-078fd9a2b0a5,2021/11/26,ベーカリーハウス　アオキ　,ベカリハウスアオキ,有限会社オッターブルー
70-033500,金生指令第235,株式会社マルベル,,横浜市金沢区福浦1-7-2,横浜市金沢区福浦１－７－２,,協和合金　福浦工場食堂 ,7847800,飲食店営業,,2021年11月10日,2028年11月9日,2021年11月10日,,141,協和合金　福浦工場食堂 ,045,045-784-7800,,,,横浜市金沢区福浦１－７－２,神奈川県横浜市金沢区福浦１－７－２,,79118,14,14108,福浦１,,2021/11/10,2021/11/10,,2028/11/09,株式会社マルベル,,,,,,,,,,金生指令第235,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,協和合金福浦工場食堂045-784-78007911814108,b69c1103-20bc-4526-a901-ba26cffd8834,株式会社マルベル,dc1560f5-accf-49cc-a0f5-1bea467bd1dd,bc24737d-8be4-4fd2-b7c3-4a51fac62279,2021/11/10,協和合金　福浦工場食堂　,協和合金福浦工場食堂,株式会社マルベル
70-033501,金生指令第236,株式会社マルベル,,横浜市金沢区鳥浜町17-4,横浜市金沢区鳥浜町１７－４,,協和合金　本社食堂 ,7721331,飲食店営業,,2021年11月10日,2028年11月9日,2021年11月10日,,141,協和合金　本社食堂 ,045,045-772-1331,,,,横浜市金沢区鳥浜町１７－４,神奈川県横浜市金沢区鳥浜町１７－４,,79088,14,14108,鳥浜町,,2021/11/10,2021/11/10,,2028/11/09,株式会社マルベル,,,,,,,,,,金生指令第236,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,協和合金本社食堂045-772-13317908814108,17e1a294-70c3-4ca4-9c61-7fca812ef63b,株式会社マルベル,dc1560f5-accf-49cc-a0f5-1bea467bd1dd,3e91d1ff-7d9f-44a9-9f49-0a13b939d188,2021/11/10,協和合金　本社食堂　,協和合金本社食堂,株式会社マルベル
70-036087,金生指令第240,有限会社鈴,,横浜市金沢区鳥浜町1-1,横浜市金沢区鳥浜町１－１,,和食　鈴 ,7792372,飲食店営業,,2021年11月16日,2028年11月15日,2021年11月16日,,141,和食　鈴 ,045,045-779-2372,,,,横浜市金沢区鳥浜町１－１,神奈川県横浜市金沢区鳥浜町１－１,,79088,14,14108,鳥浜町,,2021/11/16,2021/11/16,,2028/11/15,有限会社鈴,,,,,,,,,,金生指令第240,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,和食鈴045-779-23727908814108,1cbd4222-eb12-44b7-9529-9c4f38256b43,有限会社鈴,b13f55ef-7180-432a-8f40-1d9f876dbef2,1f3b4802-1aa9-4807-b78b-1f8a84572ae0,2021/11/16,和食　鈴　,和食鈴,有限会社鈴
70-036607,金生指令第210,,鈴木 健太郎,横浜市金沢区六浦東1-22-30,横浜市金沢区六浦東１－２２－３０,,鈴な里 ,,飲食店営業,,2021年11月1日,2027年10月31日,2021年11月1日,,141,鈴な里 ,045,,,,,横浜市金沢区六浦東１－２２－３０,神奈川県横浜市金沢区六浦東１－２２－３０,,79165,14,14108,六浦東１,,2021/11/01,2021/11/01,,2027/10/31,,鈴木 健太郎,,,,,,,,,金生指令第210,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,鈴な里7916514108,229fe4c9-5051-4611-8fcb-e655e2bd84a3,,personal,f789f4f8-899a-4a87-9a71-f146b03406f4,2021/11/01,鈴な里　,鈴な里,
70-036611,金生第8949,オーケー株式会社,,横浜市金沢区並木1-17-9,横浜市金沢区並木１－１７－９,,オーケー㈱　並木店 ,3535655,百貨店、総合スーパー,,2021年11月2日,2117年12月31日,2021年11月2日,,141,オーケー㈱　並木店 ,045,045-353-5655,,,,横浜市金沢区並木１－１７－９,神奈川県横浜市金沢区並木１－１７－９,,79092,14,14108,並木１,,2021/11/02,2021/11/02,,2117/12/31,オーケー株式会社,,,,,,,,,,金生第8949,,百貨店、総合スーパー,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,オケ株式会社並木店045-353-56557909214108,00141_1608e9ca-2dd3-4224-a54a-991168a7982e,オーケー株式会社,cba1568c-ddd9-4770-a291-087695752cc5,990743de-94dc-4c51-8788-94342fa987c7,2021/11/02,オーケー株式会社並木店　,オケ株式会社並木店,オーケー株式会社
70-036612,金生第8951,オーケー株式会社,,横浜市金沢区釜利谷東2-2-10,横浜市金沢区釜利谷東２－２－１０,,オーケー金沢文庫店 ,3709799,百貨店、総合スーパー,,2021年11月2日,2117年12月31日,2021年11月2日,,141,オーケー金沢文庫店 ,045,045-370-9799,,,,横浜市金沢区釜利谷東２－２－１０,神奈川県横浜市金沢区釜利谷東２－２－１０,,79146,14,14108,釜利谷東２,,2021/11/02,2021/11/02,,2117/12/31,オーケー株式会社,,,,,,,,,,金生第8951,,百貨店、総合スーパー,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,オケ金沢文庫店045-370-97997914614108,00141_3db0bf45-494d-4244-869e-42683f7eb10d,オーケー株式会社,cba1568c-ddd9-4770-a291-087695752cc5,b765f961-8a7f-4bfd-8118-37ccfd5411e5,2021/11/02,オーケー金沢文庫店　,オケ金沢文庫店,オーケー株式会社
70-036613,金生第8953,,平野 龍雄,横浜市金沢区釜利谷南1-3-12,横浜市金沢区釜利谷南１－３－１２,,みつばち学童クラブ ,,集団給食施設,集団給食施設,2021年11月1日,2117年12月31日,2021年11月1日,,141,みつばち学童クラブ ,045,,,,,横浜市金沢区釜利谷南１－３－１２,神奈川県横浜市金沢区釜利谷南１－３－１２,,79159,14,14108,釜利谷南１,,2021/11/01,2021/11/01,,2117/12/31,,平野 龍雄,,,,,,,,,金生第8953,,給食施設, 集団給食施設,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,みつばち学童クラブ7915914108,d209124e-8ba1-4885-ac74-352c0e0a62dd,,personal,4d91479c-44ec-4a5e-b911-f003e6d18789,2021/11/01,みつばち学童クラブ　,みつばち学童クラブ,
70-036614,金生第8952,,石井 慎二,横浜市金沢区釜利谷東6-1-18,横浜市金沢区釜利谷東６－１－１８,,自家焙煎珈琲豆専門店　ALOHA BEANS ,7880686,コーヒー製造・加工業（飲料の製造を除く。）,,2021年11月2日,2117年12月31日,2021年11月2日,,141,自家焙煎珈琲豆専門店　ALOHA BEANS ,045,045-788-0686,,,,横浜市金沢区釜利谷東６－１－１８,神奈川県横浜市金沢区釜利谷東６－１－１８,,79150,14,14108,釜利谷東６,,2021/11/02,2021/11/02,,2117/12/31,,石井 慎二,,,,,,,,,金生第8952,,コーヒー製造・加工業,（飲料の製造を除く。）,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,10,103,1032,自家焙煎珈琲豆専門店ＡＬＯＨＡＢＥＡＮＳ045-788-06867915014108,7eb2e6ef-489a-4ac0-8733-f23e27bb73a2,,personal,c2652a64-ca0e-47f3-9474-9991acd6cb26,2021/11/02,自家焙煎珈琲豆専門店　ＡＬＯＨＡ　ＢＥＡＮＳ　,自家焙煎珈琲豆専門店ＡＬＯＨＡＢＥＡＮＳ,
70-036616,金生第8961,,野崎 但男,横浜市金沢区谷津町339 金子ﾋﾞﾙ1F,横浜市金沢区谷津町３３９,金子ﾋﾞﾙ１F,LTF　金沢谷津店 ,,コンビニエンスストア,,2021年11月2日,2117年12月31日,2021年11月2日,,141,LTF　金沢谷津店 ,045,,,,,横浜市金沢区谷津町３３９,神奈川県横浜市金沢区谷津町３３９,金子ﾋﾞﾙ１F,79109,14,14108,谷津町,,2021/11/02,2021/11/02,,2117/12/31,,野崎 但男,,,,,,,,,金生第8961,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ＬＴＦ金沢谷津店7910914108,00141_ade80af6-4c6b-4f41-be97-8af3da19c63b,,personal,6fb5381a-d40d-429e-8c0a-d68736f510b0,2021/11/02,ＬＴＦ　金沢谷津店　,ＬＴＦ金沢谷津店,
70-036617,金生第8965,,岩永 智毅,横浜市金沢区谷津町358,横浜市金沢区谷津町３５８,,ローソンスリーエフ　金沢文庫店 ,,コンビニエンスストア,,2021年11月2日,2117年12月31日,2021年11月2日,,141,ローソンスリーエフ　金沢文庫店 ,045,,,,,横浜市金沢区谷津町３５８,神奈川県横浜市金沢区谷津町３５８,,79109,14,14108,谷津町,,2021/11/02,2021/11/02,,2117/12/31,,岩永 智毅,,,,,,,,,金生第8965,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ロソンスリエフ金沢文庫店7910914108,00141_741e19a1-9c69-43d3-9662-c67e9affd6a2,,personal,249a2fb6-387b-4529-a3c7-454624c2c2e2,2021/11/02,ローソンスリーエフ　金沢文庫店　,ロソンスリエフ金沢文庫店,
70-036618,金生第8957,,西館 雅史,横浜市金沢区六浦南2-3-12,横浜市金沢区六浦南２－３－１２,,LTF 六浦駅前店 ,,コンビニエンスストア,,2021年11月2日,2117年12月31日,2021年11月2日,,141,LTF 六浦駅前店 ,045,,,,,横浜市金沢区六浦南２－３－１２,神奈川県横浜市金沢区六浦南２－３－１２,,79169,14,14108,六浦南２,,2021/11/02,2021/11/02,,2117/12/31,,西館 雅史,,,,,,,,,金生第8957,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ＬＴＦ六浦駅前店7916914108,00141_84ac4c0a-9c20-4b23-b4c4-831f44e511c9,,personal,93544ffe-4819-4df0-97a6-9fbded52aa82,2021/11/02,ＬＴＦ　六浦駅前店　,ＬＴＦ六浦駅前店,
70-036619,金生第8969,株式会社Willセキグチ,,横浜市金沢区幸浦2-26-1,横浜市金沢区幸浦２－２６－１,,LTF ローソン・スリーエフ　金沢幸浦店 ,7853615,コンビニエンスストア,,2021年11月2日,2117年12月31日,2021年11月2日,,141,LTF ローソン・スリーエフ　金沢幸浦店 ,045,045-785-3615,,,,横浜市金沢区幸浦２－２６－１,神奈川県横浜市金沢区幸浦２－２６－１,,79078,14,14108,幸浦２,,2021/11/02,2021/11/02,,2117/12/31,株式会社Willセキグチ,,,,,,,,,,金生第8969,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ＬＴＦロソンスリエフ金沢幸浦店045-785-36157907814108,00141_cd0dd026-f788-4258-936a-27ec9dc515a7,株式会社Ｗｉｌｌセキグチ,eea2c63a-35de-4798-85b3-f1e8dc429d36,fee9294f-add6-41aa-bc10-988ff7fe7977,2021/11/02,ＬＴＦ　ローソン・スリーエフ　金沢幸浦店　,ＬＴＦロソンスリエフ金沢幸浦店,株式会社Ｗｉｌｌセキグチ
70-036620,金生第8974,,平野 龍雄,横浜市金沢区釜利谷東1-41-1,横浜市金沢区釜利谷東１－４１－１,,第1みつばち学童クラブ ,,集団給食施設,集団給食施設,2021年11月1日,2117年12月31日,2021年11月1日,,141,第1みつばち学童クラブ ,045,,,,,横浜市金沢区釜利谷東１－４１－１,神奈川県横浜市金沢区釜利谷東１－４１－１,,79145,14,14108,釜利谷東１,,2021/11/01,2021/11/01,,2117/12/31,,平野 龍雄,,,,,,,,,金生第8974,,給食施設, 集団給食施設,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,第１みつばち学童クラブ7914514108,d3e355d8-3c1b-4f5d-9473-130194157002,,personal,26dc7b38-4b35-4375-8bd2-2fb65936091c,2021/11/01,第１みつばち学童クラブ　,第１みつばち学童クラブ,
70-036621,金生第8975,コンビウィズ株式会社,,横浜市金沢区大川7-7 レイディアントシティ横濱シーサイドアネックス4F,横浜市金沢区大川７－７,レイディアントシティ横濱シーサイドアネックス４F,コンビプラザ金沢八景保育園 ,7917478,集団給食施設,,2021年11月2日,2117年12月31日,2021年11月2日,,141,コンビプラザ金沢八景保育園 ,045,045-791-7478,,,,横浜市金沢区大川７－７,神奈川県横浜市金沢区大川７－７,レイディアントシティ横濱シーサイドアネックス４F,79072,14,14108,大川,,2021/11/02,2021/11/02,,2117/12/31,コンビウィズ株式会社,,,,,,,,,,金生第8975,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,コンビプラザ金沢八景保育園045-791-74787907214108,2ff55788-b637-4edb-8de4-24c9e00081aa,コンビウィズ株式会社,42739ef5-e5dd-448b-a4aa-9b2a7047931e,a1a656ff-4d86-47e9-98ee-3372a7bf0cf7,2021/11/02,コンビプラザ金沢八景保育園　,コンビプラザ金沢八景保育園,コンビウィズ株式会社
70-036622,金生第8976,株式会社セブン＆アイ・フードシステムズ,,横浜市金沢区泥亀1-25-4C,横浜市金沢区泥亀１－２５－４C,,デニーズ金沢八景店 ,7863287,その他の食料・飲料販売業,ファミリーレストラン,2021年11月3日,2117年12月31日,2021年11月3日,,141,デニーズ金沢八景店 ,045,045-786-3287,,,,横浜市金沢区泥亀１－２５－４C,神奈川県横浜市金沢区泥亀１－２５－４C,,79085,14,14108,泥亀１,,2021/11/03,2021/11/03,,2117/12/31,株式会社セブン＆アイ・フードシステムズ,,,,,,,,,,金生第8976,,その他の食料品製造・加工業,(包装) ファミリーレストラン,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,デニズ金沢八景店045-786-32877908514108,aa45e451-d048-466f-8f04-635e1956d2e2,株式会社セブン＆アイ・フードシステムズ,7171a0f2-7ae7-412e-ab81-f1c47e09d29d,63ff0a2e-9de6-4b24-908d-a0643558efe0,2021/11/03,デニーズ金沢八景店　,デニズ金沢八景店,株式会社セブン＆アイ・フードシステムズ
70-036623,金生第8977,株式会社セブン＆アイ・フードシステムズ,,横浜市金沢区富岡東2-4-26,横浜市金沢区富岡東２－４－２６,,デニーズ　金沢富岡店 ,7762421,その他の食料・飲料販売業,ファミリーレストラン,2021年11月3日,2117年12月31日,2021年11月3日,,141,デニーズ　金沢富岡店 ,045,045-776-2421,,,,横浜市金沢区富岡東２－４－２６,神奈川県横浜市金沢区富岡東２－４－２６,,79128,14,14108,富岡東２,,2021/11/03,2021/11/03,,2117/12/31,株式会社セブン＆アイ・フードシステムズ,,,,,,,,,,金生第8977,,その他の食料品製造・加工業,(包装) ファミリーレストラン,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,デニズ金沢富岡店045-776-24217912814108,74799180-8280-49b8-947b-5617528b5630,株式会社セブン＆アイ・フードシステムズ,7171a0f2-7ae7-412e-ab81-f1c47e09d29d,9d40ed17-b590-4dd5-bbd0-cc679bf4d477,2021/11/03,デニーズ　金沢富岡店　,デニズ金沢富岡店,株式会社セブン＆アイ・フードシステムズ
70-036624,金生指令第227,,秋本 一彦,横浜市金沢区釜利谷西3-14-12-102,横浜市金沢区釜利谷西３－１４－１２,１０２,やまやま ,,飲食店営業,,2021年11月10日,2027年11月9日,2021年11月10日,,141,やまやま ,045,,,,,横浜市金沢区釜利谷西３－１４－１２,神奈川県横浜市金沢区釜利谷西３－１４－１２,１０２,79155,14,14108,釜利谷西３,,2021/11/10,2021/11/10,,2027/11/09,,秋本 一彦,,,,,,,,,金生指令第227,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,やまやま7915514108,08d428b9-cb86-4db3-b127-ced3e164218f,,personal,95de30bf-a25c-4b8c-a76a-7a6e823f5598,2021/11/10,やまやま　,やまやま,
70-036625,金生第8978,株式会社下平製作所,,横浜市金沢区富岡東6-3-27,横浜市金沢区富岡東６－３－２７,,株式会社　下平製作所 ,7712080,その他の食料・飲料販売業,,2021年11月5日,2117年12月31日,2021年11月5日,,141,株式会社　下平製作所 ,045,045-771-2080,,,,横浜市金沢区富岡東６－３－２７,神奈川県横浜市金沢区富岡東６－３－２７,,79132,14,14108,富岡東６,,2021/11/05,2021/11/05,,2117/12/31,株式会社下平製作所,,,,,,,,,,金生第8978,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,株式会社下平製作所045-771-20807913214108,f0cea9e8-5750-4e68-893e-49a4f281d27f,株式会社下平製作所,2f83c7ad-7ed5-46f5-bd29-10666d90295c,d2f4c49b-9a8d-47c3-b844-6a42816b4de8,2021/11/05,株式会社下平製作所　,株式会社下平製作所,株式会社下平製作所
70-036626,金生第8979,,平野 龍雄,横浜市金沢区横浜市金沢区釜利谷東2-7-5 大門ビル3F,横浜市金沢区横浜市金沢区釜利谷東２－７－５,大門ビル３F,第2みつばち学童クラブ ,,集団給食施設,集団給食施設,2021年11月4日,2117年12月31日,2021年11月4日,,141,第2みつばち学童クラブ ,045,,,,,横浜市金沢区横浜市金沢区釜利谷東２－７－５,神奈川県横浜市金沢区釜利谷東２－７－５,大門ビル３F,79146,14,14108,釜利谷東２,,2021/11/04,2021/11/04,,2117/12/31,,平野 龍雄,,,,,,,,,金生第8979,,給食施設, 集団給食施設,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,第２みつばち学童クラブ7914614108,3e4dd6e6-f2ad-4979-bcaf-5c5e9d8aa1a6,,personal,c7d0c8ac-4f2c-4447-947c-20bc972a7842,2021/11/04,第２みつばち学童クラブ　,第２みつばち学童クラブ,
70-036628,金生第8970,,渡邊 峰希,横浜市金沢区富岡東5-21-6,横浜市金沢区富岡東５－２１－６,,横浜らーめん　峰の家 ,,その他の食料品製造・加工業,,2021年11月2日,2117年12月31日,2021年11月2日,,141,横浜らーめん　峰の家 ,045,,,,,横浜市金沢区富岡東５－２１－６,神奈川県横浜市金沢区富岡東５－２１－６,,79131,14,14108,富岡東５,,2021/11/02,2021/11/02,,2117/12/31,,渡邊 峰希,,,,,,,,,金生第8970,,その他の食料品製造・加工業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,横浜らめん峰の家7913114108,7039eca5-ef65-471e-8195-a5f4cf287289,,personal,2f86b7eb-dd66-4d52-a3f6-9f1a7028f7cb,2021/11/02,横浜らーめん　峰の家　,横浜らめん峰の家,
70-036629,金生第8983,ハーゲンダッツジャパン株式会社,,横浜市金沢区八景島,横浜市金沢区八景島,,八景島シーパラダイスセンターハウス ,7889772,自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く。）,,2021年11月4日,2117年12月31日,2021年11月4日,,141,八景島シーパラダイスセンターハウス ,045,045-788-9772,,,,横浜市金沢区八景島,神奈川県横浜市金沢区八景島,,79143,14,14108,八景島,,2021/11/04,2021/11/04,,2117/12/31,ハーゲンダッツジャパン株式会社,,,,,,,,,,金生第8983,,自動販売機,コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く。,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,61,612,,八景島シパラダイスセンタハウス045-788-97727914314108,b2a4b54e-a0b7-448e-8412-ffe95c52eada,ハーゲンダッツジャパン株式会社,4d591808-b4f6-4c0d-ab98-5d609908d8e8,b8cd6a1c-275b-45a2-86d7-fb7b1d65b464,2021/11/04,八景島シーパラダイスセンターハウス　,八景島シパラダイスセンタハウス,ハーゲンダッツジャパン株式会社
70-036630,金生第8984,株式会社フレンド楽器,,横浜市金沢区釜利谷東2-16-30,横浜市金沢区釜利谷東２－１６－３０,,フレンド金沢文庫保育園 ,7823421,集団給食施設,,2021年11月5日,2117年12月31日,2021年11月5日,,141,フレンド金沢文庫保育園 ,045,045-782-3421,,,,横浜市金沢区釜利谷東２－１６－３０,神奈川県横浜市金沢区釜利谷東２－１６－３０,,79146,14,14108,釜利谷東２,,2021/11/05,2021/11/05,,2117/12/31,株式会社フレンド楽器,,,,,,,,,,金生第8984,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,フレンド金沢文庫保育園045-782-34217914614108,0a3a7152-32f8-4989-8d53-40b11a9336ab,株式会社フレンド楽器,9e7955a2-ca83-4993-8a69-0d6228766739,5f8eabd6-9735-49ae-9f11-7fd85f65e233,2021/11/05,フレンド金沢文庫保育園　,フレンド金沢文庫保育園,株式会社フレンド楽器
70-036631,金生第8986,生活協同組合ユーコープ,,横浜市金沢区釜利谷東4-53-6,横浜市金沢区釜利谷東４－５３－６,,生活協同組合ユーコープ　釜利谷店 ,7813066,百貨店、総合スーパー,,2021年11月4日,2117年12月31日,2021年11月4日,,141,生活協同組合ユーコープ　釜利谷店 ,045,045-781-3066,,,,横浜市金沢区釜利谷東４－５３－６,神奈川県横浜市金沢区釜利谷東４－５３－６,,79148,14,14108,釜利谷東４,,2021/11/04,2021/11/04,,2117/12/31,生活協同組合ユーコープ,,,,,,,,,,金生第8986,,百貨店、総合スーパー,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,生活協同組合ユコプ釜利谷店045-781-30667914814108,00141_611840ab-9316-4af3-b93a-eccde25538fe,生活協同組合ユーコープ,af2f6322-6591-45aa-b6a6-64d64e256102,c21f6c55-944f-4abd-b055-318e01d19904,2021/11/04,生活協同組合ユーコープ　釜利谷店　,生活協同組合ユコプ釜利谷店,生活協同組合ユーコープ
