11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
おべんとう屋さん利休,宮崎県,都城市,吉尾町,７２３－４６,,080-6403-3432,① 飲食店営業,味透有限会社,黒木兼治,宮崎県,都城市,南横市町,２０４６－１,,0986-46-7325,2022/7/26,2022/7/26,４０４３－１－１７９,,都城保健所,おべんとう屋さん利休,0986,080-6403-3432,,,,宮崎県　都城市　吉尾町　７２３－４６,宮崎県都城市吉尾町７２３－４６,,212719,宮崎県,都城市,吉尾町,,2022/07/26,2022/07/26,,,味透有限会社,黒木兼治,0986-46-7325,宮崎県　都城市　南横市町　２０４６－１　,宮崎県都城市南横市町２０４６－１,,212711,宮崎県,都城市,南横市町,４０４３－１－１７９,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,おべんとう屋さん利休,おべんとう屋さん利休,味透有限会社,,1,,,,,
櫟,宮崎県,日向市,上町,11-4,サンプラザⅠ　１F-A号,0982-54-3219,① 飲食店営業,村上友紀,,,,,,,,2022/7/22,2022/7/22,４０４６－１－７８,,日向保健所,櫟,0982,0982-54-3219,,,,宮崎県　日向市　上町　11-4,宮崎県日向市上町１１－４,サンプラザⅠ　１F-A号,213212,宮崎県,日向市,上町,,2022/07/22,2022/07/22,,,,,,　　　　,,,,,,,４０４６－１－７８,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,櫟,櫟,,,1,,,,,
有限会社　南国屋今門,宮崎県,小林市,本町,６７,,0984-22-3074,⑪ 菓子製造業,有限会社　南国屋今門,今門鉄雄,宮崎県,小林市,本町,６７,,0984-22-3074,1989/7/17,2022/7/22,４０４４－９－２,,小林保健所,有限会社　南国屋今門,0984,0984-22-3074,,,,宮崎県　小林市　本町　６７,宮崎県小林市本町６７,,213201,宮崎県,小林市,本町,,1989/07/17,2022/07/22,,,有限会社　南国屋今門,今門鉄雄,0984-22-3074,宮崎県　小林市　本町　６７　,宮崎県小林市本町６７,,213201,宮崎県,小林市,本町,４０４４－９－２,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,有限会社南国屋今門,有限会社南国屋今門,有限会社南国屋今門,,1,,,,,
マル幸,宮崎県,小林市,堤,３３４４－６,,0984-24-5122,㉔ 麺類製造業,能勢しづ,,,,,,,,2010/8/2,2022/7/25,４０４４－５４－１,,小林保健所,マル幸,0984,0984-24-5122,,,,宮崎県　小林市　堤　３３４４－６,宮崎県小林市堤３３４４－６,,213195,宮崎県,小林市,堤,,2010/08/02,2022/07/25,,,,,,　　　　,,,,,,,４０４４－５４－１,,麺類製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,マル幸,マル幸,,,2,,,,,
マル幸,宮崎県,小林市,堤,３３４４－６,,0984-24-5122,⑪ 菓子製造業,能勢しづ,,,,,,,,2010/8/2,2022/7/25,４０４４－９－４,,小林保健所,マル幸,0984,0984-24-5122,,,,宮崎県　小林市　堤　３３４４－６,宮崎県小林市堤３３４４－６,,213195,宮崎県,小林市,堤,,2010/08/02,2022/07/25,,,,,,　　　　,,,,,,,４０４４－９－４,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,マル幸,マル幸,,,2,,,,,
alocca,宮崎県,東諸県郡綾町,大字南俣,５１５,,080-4180-6703,⑫ アイスクリーム類製造業,長原翔,,,,,,,,2022/7/22,2022/7/22,シレイ４０４１－１１－１,,中央保健所,alocca,0985,080-4180-6703,,,,宮崎県　東諸県郡綾町　大字南俣　５１５,宮崎県東諸県郡綾町南俣５１５,,213450,宮崎県,東諸県郡綾町,南俣,,2022/07/22,2022/07/22,,,,,,　　　　,,,,,,,シレイ４０４１－１１－１,,アイスクリーム類製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ａｌｏｃｃａ,ａｌｏｃｃａ,,,1,,,,,
ラーメンラブアンドピース,宮崎県,東諸県郡綾町,大字南俣,６４８－６,,,① 飲食店営業,谷田祐平,,,,,,,,2022/7/22,2022/7/22,シレイ４０４１－１－6,,中央保健所,ラーメンラブアンドピース,0985,,,,,宮崎県　東諸県郡綾町　大字南俣　６４８－６,宮崎県東諸県郡綾町南俣６４８－６,,213450,宮崎県,東諸県郡綾町,南俣,,2022/07/22,2022/07/22,,,,,,　　　　,,,,,,,シレイ４０４１－１－6,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ラーメンラブアンドピース,ラメンラブアンドピス,,,1,,,,,
BAR HARU,宮崎県,東諸県郡国富町,大字本庄,４３５６,萬ビル１F,090-4993-0926,① 飲食店営業,春山圭祐,,,,,,,,2022/7/22,2022/7/22,シレイ４０４１－１－７,,中央保健所,BAR HARU,0985,090-4993-0926,,,,宮崎県　東諸県郡国富町　大字本庄　４３５６,宮崎県東諸県郡国富町本庄４３５６,萬ビル１F,213462,宮崎県,東諸県郡国富町,本庄,,2022/07/22,2022/07/22,,,,,,　　　　,,,,,,,シレイ４０４１－１－７,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＲ　ＨＡＲＵ,ＢＡＲＨＡＲＵ,,,1,,,,,
からあげ金と銀　都城年見店,宮崎県,都城市,年見町,８－７,,0986-25-2155,① 飲食店営業,佐藤和男,,,,,,,,2022/7/29,2022/7/29,４０４３－１－１８１,,都城保健所,からあげ金と銀　都城年見店,0986,0986-25-2155,,,,宮崎県　都城市　年見町　８－７,宮崎県都城市年見町８－７,,212688,宮崎県,都城市,年見町,,2022/07/29,2022/07/29,,,,,,　　　　,,,,,,,４０４３－１－１８１,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,からあげ金と銀　都城年見店,からあげ金と銀都城年見店,,,1,,,,,
鮨・オードブル専門　ほんだ,宮崎県,えびの市,大字原田,９０２－１,,0984-33-2720,① 飲食店営業,本田政秀,,,,,,,,2010/8/11,2022/7/28,４０４４－２－３６,,小林保健所,鮨・オードブル専門　ほんだ,0984,0984-33-2720,,,,宮崎県　えびの市　大字原田　９０２－１,宮崎県えびの市原田９０２－１,,213420,宮崎県,えびの市,原田,,2010/08/11,2022/07/28,,,,,,　　　　,,,,,,,４０４４－２－３６,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,鮨・オードブル専門　ほんだ,鮨オドブル専門ほんだ,,,1,,,,,
鳥とん,宮崎県,東臼杵郡門川町,南町,3丁目21,,0982-63-6195,① 飲食店営業,川﨑洋一,,,,,,,,2022/7/29,2022/7/29,４０４６－１－９４,,日向保健所,鳥とん,0982,0982-63-6195,,,,宮崎県　東臼杵郡門川町　南町　3丁目21,宮崎県東臼杵郡門川町南町３丁目２１,,213577,宮崎県,東臼杵郡門川町,南町３,,2022/07/29,2022/07/29,,,,,,　　　　,,,,,,,４０４６－１－９４,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,鳥とん,鳥とん,,,1,,,,,
